##gff-version 3												
##source-version rtracklayer 1.62.0												
##date 2025-03-20												
seqnames	source	type	start	end	score	strand	phase	notes	is.canonic	gene	TSS eredeti	TES eredeti
LT934125.1	Liftoff	exon	71548	73139	.	-	.	"transcript_id=FORF15-L2;Name=FORF15-L2;ID=FORF15-L2;gene_id=UL15;ORF_id=UL15;"		UL15	73139	71549
LT934125.1	Liftoff	transcript	71548	73139	.	-	.	"transcript_id=FORF15-L2;Name=FORF15-L2;ID=FORF15-L2;gene_id=UL15;ORF_id=UL15;"		UL15	73139	71549
LT934125.1	Liftoff	exon	71548	72713	.	-	.	"transcript_id=FORF15-S;Name=FORF15-S;ID=FORF15-S;gene_id=UL15;ORF_id=UL15;"		UL15	72713	71549
LT934125.1	Liftoff	transcript	71548	72713	.	-	.	"transcript_id=FORF15-S;Name=FORF15-S;ID=FORF15-S;gene_id=UL15;ORF_id=UL15;"		UL15	72713	71549
LT934125.1	Liftoff	exon	71548	71882	.	-	.	"transcript_id=FORF15-S2;Name=FORF15-S2;ID=FORF15-S2;gene_id=UL15;ORF_id=UL15;"		UL15	71882	71549
LT934125.1	Liftoff	transcript	71548	71882	.	-	.	"transcript_id=FORF15-S2;Name=FORF15-S2;ID=FORF15-S2;gene_id=UL15;ORF_id=UL15;"		UL15	71882	71549
LT934125.1	Liftoff	exon	102362	107560	.	-	.	"transcript_id=IE180;Name=IE180;ID=IE180;gene_id=IE180;ORF_id=IE180;"	canonic	IE180	107560	102362
LT934125.1	Liftoff	transcript	102362	107560	.	-	.	"transcript_id=IE180;Name=IE180;ID=IE180;gene_id=IE180;ORF_id=IE180;"	canonic	IE180	107560	102362
LT934125.1	Liftoff	exon	136158	141356	.	+	.	"transcript_id=IE180_2;Name=IE180_2;ID=IE180_2;gene_id=IE180_2;ORF_id=IE180_2;"	canonic	IE180_2	136158	141356
LT934125.1	Liftoff	transcript	136158	141356	.	+	.	"transcript_id=IE180_2;Name=IE180_2;ID=IE180_2;gene_id=IE180_2;ORF_id=IE180_2;"	canonic	IE180_2	136158	141356
LT934125.1	Liftoff	exon	136348	141356	.	+	.	"transcript_id=IE180_2-S;Name=IE180_2-S;ID=IE180_2-S;gene_id=IE180_2;ORF_id=IE180_2;"		IE180_2	136348	141356
LT934125.1	Liftoff	transcript	136348	141356	.	+	.	"transcript_id=IE180_2-S;Name=IE180_2-S;ID=IE180_2-S;gene_id=IE180_2;ORF_id=IE180_2;"		IE180_2	136348	141356
LT934125.1	Liftoff	exon	102362	107370	.	-	.	"transcript_id=IE180-S;Name=IE180-S;ID=IE180-S;gene_id=IE180;ORF_id=IE180;"		IE180	107370	102362
LT934125.1	Liftoff	transcript	102362	107370	.	-	.	"transcript_id=IE180-S;Name=IE180-S;ID=IE180-S;gene_id=IE180;ORF_id=IE180;"		IE180	107370	102362
LT934125.1	Liftoff	exon	63176	63421	.	+	.	"transcript_id=nc-CTO-S;Name=nc-CTO-S;ID=nc-CTO-S;gene_id=CTO;ORF_id=CTO-S;"		CTO	63176	63421
LT934125.1	Liftoff	transcript	63176	63421	.	+	.	"transcript_id=nc-CTO-S;Name=nc-CTO-S;ID=nc-CTO-S;gene_id=CTO;ORF_id=CTO-S;"		CTO	63176	63421
LT934125.1	Liftoff	exon	96800	97006	.	-	.	"transcript_id=nc-EP0;Name=nc-EP0;ID=nc-EP0;gene_id=EP0;ORF_id=EP0;"		EP0	97006	96800
LT934125.1	Liftoff	transcript	96800	97006	.	-	.	"transcript_id=nc-EP0;Name=nc-EP0;ID=nc-EP0;gene_id=EP0;ORF_id=EP0;"		EP0	97006	96800
LT934125.1	Liftoff	exon	95889	96090	.	-	.	"transcript_id=nc-EP0-2;Name=nc-EP0-2;ID=nc-EP0-2;gene_id=EP0;ORF_id=EP0;"		EP0	96090	95890
LT934125.1	Liftoff	transcript	95889	96090	.	-	.	"transcript_id=nc-EP0-2;Name=nc-EP0-2;ID=nc-EP0-2;gene_id=EP0;ORF_id=EP0;"		EP0	96090	95890
LT934125.1	Liftoff	exon	80352	80491	.	-	.	"transcript_id=nc-UL10;Name=nc-UL10;ID=nc-UL10;gene_id=UL10;ORF_id=UL10;"		UL10	80491	80352
LT934125.1	Liftoff	transcript	80352	80491	.	-	.	"transcript_id=nc-UL10;Name=nc-UL10;ID=nc-UL10;gene_id=UL10;ORF_id=UL10;"		UL10	80491	80352
LT934125.1	Liftoff	exon	70132	70521	.	+	.	"transcript_id=nc-UL19;Name=nc-UL19;ID=nc-UL19;gene_id=UL19;ORF_id=UL19;"		UL19	70132	70521
LT934125.1	Liftoff	transcript	70132	70521	.	+	.	"transcript_id=nc-UL19;Name=nc-UL19;ID=nc-UL19;gene_id=UL19;ORF_id=UL19;"		UL19	70132	70521
LT934125.1	Liftoff	exon	70311	70521	.	+	.	"transcript_id=nc-UL19-S;Name=nc-UL19-S;ID=nc-UL19-S;gene_id=UL19;ORF_id=UL19;"		UL19	70311	70521
LT934125.1	Liftoff	transcript	70311	70521	.	+	.	"transcript_id=nc-UL19-S;Name=nc-UL19-S;ID=nc-UL19-S;gene_id=UL19;ORF_id=UL19;"		UL19	70311	70521
LT934125.1	Liftoff	exon	56317	56946	.	-	.	"transcript_id=nc-UL26;Name=nc-UL26;ID=nc-UL26;gene_id=UL26;ORF_id=UL26;"		UL26	56946	56317
LT934125.1	Liftoff	transcript	56317	56946	.	-	.	"transcript_id=nc-UL26;Name=nc-UL26;ID=nc-UL26;gene_id=UL26;ORF_id=UL26;"		UL26	56946	56317
LT934125.1	Liftoff	exon	92069	92622	.	-	.	"transcript_id=nc-UL3.5;Name=nc-UL3.5;ID=nc-UL3.5;gene_id=UL3.5;ORF_id=UL3.5;"		UL3.5	92622	92069
LT934125.1	Liftoff	transcript	92069	92622	.	-	.	"transcript_id=nc-UL3.5;Name=nc-UL3.5;ID=nc-UL3.5;gene_id=UL3.5;ORF_id=UL3.5;"		UL3.5	92622	92069
LT934125.1	Liftoff	exon	32686	32842	.	-	.	"transcript_id=nc-UL36;Name=nc-UL36;ID=nc-UL36;gene_id=UL36;ORF_id=UL36;"		UL36	32842	32686
LT934125.1	Liftoff	transcript	32686	32842	.	-	.	"transcript_id=nc-UL36;Name=nc-UL36;ID=nc-UL36;gene_id=UL36;ORF_id=UL36;"		UL36	32842	32686
LT934125.1	Liftoff	exon	15883	16224	.	+	.	"transcript_id=nc-UL46;Name=nc-UL46;ID=nc-UL46;gene_id=UL46;ORF_id=UL46;"		UL46	15883	16224
LT934125.1	Liftoff	transcript	15883	16224	.	+	.	"transcript_id=nc-UL46;Name=nc-UL46;ID=nc-UL46;gene_id=UL46;ORF_id=UL46;"		UL46	15883	16224
LT934125.1	Liftoff	exon	16014	16224	.	+	.	"transcript_id=nc-UL46-S;Name=nc-UL46-S;ID=nc-UL46-S;gene_id=UL46;ORF_id=UL46;"		UL46	16014	16224
LT934125.1	Liftoff	transcript	16014	16224	.	+	.	"transcript_id=nc-UL46-S;Name=nc-UL46-S;ID=nc-UL46-S;gene_id=UL46;ORF_id=UL46;"		UL46	16014	16224
LT934125.1	Liftoff	exon	11793	12084	.	+	.	"transcript_id=nc-UL47;Name=nc-UL47;ID=nc-UL47;gene_id=UL47;ORF_id=UL47;"		UL47	11793	12084
LT934125.1	Liftoff	transcript	11793	12084	.	+	.	"transcript_id=nc-UL47;Name=nc-UL47;ID=nc-UL47;gene_id=UL47;ORF_id=UL47;"		UL47	11793	12084
LT934125.1	Liftoff	exon	115012	116628	.	+	.	"transcript_id=nc-US1;Name=nc-US1;ID=nc-US1;gene_id=US1;ORF_id=US1;"		US1	115012	116628
LT934125.1	Liftoff	transcript	115012	116628	.	+	.	"transcript_id=nc-US1;Name=nc-US1;ID=nc-US1;gene_id=US1;ORF_id=US1;"		US1	115012	116628
LT934125.1	Liftoff	exon	127089	128705	.	-	.	"transcript_id=nc-US1_2;Name=nc-US1_2;ID=nc-US1_2;gene_id=US1_2;ORF_id=US1_2;"		US1_2	128705	127089
LT934125.1	Liftoff	transcript	127089	128705	.	-	.	"transcript_id=nc-US1_2;Name=nc-US1_2;ID=nc-US1_2;gene_id=US1_2;ORF_id=US1_2;"		US1_2	128705	127089
LT934125.1	Liftoff	exon	134888	136285	.	-	.	"transcript_id=NOIR_2-1L-2;Name=NOIR_2-1L-2;ID=NOIR_2-1L-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136285	134888
LT934125.1	Liftoff	transcript	134888	136285	.	-	.	"transcript_id=NOIR_2-1L-2;Name=NOIR_2-1L-2;ID=NOIR_2-1L-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136285	134888
LT934125.1	Liftoff	exon	134888	136409	.	-	.	"transcript_id=NOIR_2-1L3-2;Name=NOIR_2-1L3-2;ID=NOIR_2-1L3-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136409	134888
LT934125.1	Liftoff	transcript	134888	136409	.	-	.	"transcript_id=NOIR_2-1L3-2;Name=NOIR_2-1L3-2;ID=NOIR_2-1L3-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136409	134888
LT934125.1	Liftoff	exon	134888	136235	.	-	.	"transcript_id=NOIR_2-1M-2;Name=NOIR_2-1M-2;ID=NOIR_2-1M-2;gene_id=NOIR_2;ORF_id=NOIR_2;"	canonic	NOIR_2	136235	134888
LT934125.1	Liftoff	transcript	134888	136235	.	-	.	"transcript_id=NOIR_2-1M-2;Name=NOIR_2-1M-2;ID=NOIR_2-1M-2;gene_id=NOIR_2;ORF_id=NOIR_2;"	canonic	NOIR_2	136235	134888
LT934125.1	Liftoff	exon	134888	135256	.	-	.	"transcript_id=NOIR_2-1M-splice-2;Name=NOIR_2-1M-splice-2;ID=NOIR_2-1M-splice-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	135256	134894
LT934125.1	Liftoff	exon	135752	136248	.	-	.	"transcript_id=NOIR_2-1M-splice-2;Name=NOIR_2-1M-splice-2;ID=NOIR_2-1M-splice-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136248	135752
LT934125.1	Liftoff	transcript	134888	136248	.	-	.	"transcript_id=NOIR_2-1M-splice-2;Name=NOIR_2-1M-splice-2;ID=NOIR_2-1M-splice-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136248	134894
LT934125.1	Liftoff	exon	134888	136131	.	-	.	"transcript_id=NOIR_2-1S-2;Name=NOIR_2-1S-2;ID=NOIR_2-1S-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136131	134888
LT934125.1	Liftoff	transcript	134888	136131	.	-	.	"transcript_id=NOIR_2-1S-2;Name=NOIR_2-1S-2;ID=NOIR_2-1S-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136131	134888
LT934125.1	Liftoff	exon	134888	136103	.	-	.	"transcript_id=NOIR_2-1S2-2;Name=NOIR_2-1S2-2;ID=NOIR_2-1S2-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136103	134888
LT934125.1	Liftoff	transcript	134888	136103	.	-	.	"transcript_id=NOIR_2-1S2-2;Name=NOIR_2-1S2-2;ID=NOIR_2-1S2-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	136103	134888
LT934125.1	Liftoff	exon	134888	135899	.	-	.	"transcript_id=NOIR_2-1S3-2;Name=NOIR_2-1S3-2;ID=NOIR_2-1S3-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	135899	134888
LT934125.1	Liftoff	transcript	134888	135899	.	-	.	"transcript_id=NOIR_2-1S3-2;Name=NOIR_2-1S3-2;ID=NOIR_2-1S3-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	135899	134888
LT934125.1	Liftoff	exon	134888	135619	.	-	.	"transcript_id=NOIR_2-1S4-2;Name=NOIR_2-1S4-2;ID=NOIR_2-1S4-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	135619	134888
LT934125.1	Liftoff	transcript	134888	135619	.	-	.	"transcript_id=NOIR_2-1S4-2;Name=NOIR_2-1S4-2;ID=NOIR_2-1S4-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	135619	134888
LT934125.1	Liftoff	exon	132614	133513	.	+	.	"transcript_id=NOIR_2-2;Name=NOIR_2-2;ID=NOIR_2-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	132614	133513
LT934125.1	Liftoff	transcript	132614	133513	.	+	.	"transcript_id=NOIR_2-2;Name=NOIR_2-2;ID=NOIR_2-2;gene_id=NOIR_2;ORF_id=NOIR_2;"		NOIR_2	132614	133513
LT934125.1	Liftoff	exon	107483	108830	.	+	.	"transcript_id=NOIR-1M;Name=NOIR-1M;ID=NOIR-1M;gene_id=NOIR;ORF_id=NOIR;"	canonic	NOIR	107483	108830
LT934125.1	Liftoff	transcript	107483	108830	.	+	.	"transcript_id=NOIR-1M;Name=NOIR-1M;ID=NOIR-1M;gene_id=NOIR;ORF_id=NOIR;"	canonic	NOIR	107483	108830
LT934125.1	Liftoff	exon	107483	107615	.	+	.	"transcript_id=NOIR-1M-splice;Name=NOIR-1M-splice;ID=NOIR-1M-splice;gene_id=NOIR;ORF_id=NOIR;"		NOIR	107482	107615
LT934125.1	Liftoff	exon	108460	108830	.	+	.	"transcript_id=NOIR-1M-splice;Name=NOIR-1M-splice;ID=NOIR-1M-splice;gene_id=NOIR;ORF_id=NOIR;"		NOIR	108460	108829
LT934125.1	Liftoff	transcript	107483	108830	.	+	.	"transcript_id=NOIR-1M-splice;Name=NOIR-1M-splice;ID=NOIR-1M-splice;gene_id=NOIR;ORF_id=NOIR;"		NOIR	107482	108829
LT934125.1	Liftoff	exon	107615	108830	.	+	.	"transcript_id=NOIR-1S;Name=NOIR-1S;ID=NOIR-1S;gene_id=NOIR;ORF_id=NOIR;"		NOIR	107615	108830
