chr	strand	gene	cluster	start	end	group	hpi	Time	cell_line	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	subset	cluster_width	CDS_start	CDS_end	CDS_prime5	CDS_prime3	3-UTR_start	3-UTR-end	3-UTR-width	TES_UTR_ov_width	CDS_UTR_ov_width	inCoding	TES_CDS_dist	closest_TC	dominant_TC	gene_mean_dominant_TES	gene_dominant_TES_shift	gene_mean_shift_TES	gene_sd_shift_TES	gene_varcoeff_shif_TES
LT934125.1	+	IE180_2	166	141347	141359	PK_15_6h	6h	6	PK_15	141356	9679.577802	6806.896448	141353	141359	7	LT934125.1_+	13	136420	140772	136420	140772	140773	141773	1001	13			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141347	141359	PK_15_8h	8h	8	PK_15	141356	8568.413857	6358.336805	141354	141359	6	LT934125.1_+	13	136420	140772	136420	140772	140773	141773	1001	13			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141348	141359	PK_15_2h	2h	2	PK_15	141356	25807.539852	18554.440415	141353	141359	7	LT934125.1_+	12	136420	140772	136420	140772	140773	141773	1001	12			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141349	141356	C6_4h	4h	4	C6	141356	3686.897334	3119.68236	141353	141356	4	LT934125.1_+	8	136420	140772	136420	140772	140773	141773	1001	8			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141349	141359	C6_8h	8h	8	C6	141356	7967.592762	5527.2887	141353	141359	7	LT934125.1_+	11	136420	140772	136420	140772	140773	141773	1001	11			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141349	141359	PC_12_12h	12h	12	PC_12	141356	7878.127105	5627.233647	141354	141359	6	LT934125.1_+	11	136420	140772	136420	140772	140773	141773	1001	11			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141349	141359	PK_15_4h	4h	4	PK_15	141356	11019.627412	8087.990685	141354	141359	6	LT934125.1_+	11	136420	140772	136420	140772	140773	141773	1001	11			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141350	141356	PC_12_1h	1h	1	PC_12	141356	20579.268293	15243.902439	141353	141356	4	LT934125.1_+	7	136420	140772	136420	140772	140773	141773	1001	7			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141350	141359	PK_15_12h	12h	12	PK_15	141356	2135.122535	1576.254597	141354	141359	6	LT934125.1_+	10	136420	140772	136420	140772	140773	141773	1001	10			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141350	141360	C6_6h	6h	6	C6	141356	3763.294246	2672.48432	141353	141359	7	LT934125.1_+	11	136420	140772	136420	140772	140773	141773	1001	11			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141352	141356	NRK_1h	1h	1	NRK	141356	36842.105262	28947.368421	141353	141356	4	LT934125.1_+	5	136420	140772	136420	140772	140773	141773	1001	5			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141353	141356	PC_12_2.5h	2.5h	2.5	PC_12	141356	5598.621878	3875.968992	141353	141356	4	LT934125.1_+	4	136420	140772	136420	140772	140773	141773	1001	4			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141354	141356	C6_1h	1h	1	C6	141356	8480.104371	7827.78865	141356	141356	1	LT934125.1_+	3	136420	140772	136420	140772	140773	141773	1001	3			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141354	141356	C6_2h	2h	2	C6	141356	3050.330453	2541.942044	141354	141356	3	LT934125.1_+	3	136420	140772	136420	140772	140773	141773	1001	3			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141354	141356	NRK_2h	2h	2	NRK	141356	5718.954248	4901.960784	141354	141356	3	LT934125.1_+	3	136420	140772	136420	140772	140773	141773	1001	3			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141354	141359	PC_12_0.5h	0.5h	0.5	PC_12	141354	50000.000001	16666.666667	141354	141359	6	LT934125.1_+	6	136420	140772	136420	140772	140773	141773	1001	6			-582	166	166	141356	2	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	IE180_2	166	141356	141356	PC_12_1.5h	1.5h	1.5	PC_12	141356	8985.879332	8985.879332	141356	141356	1	LT934125.1_+	1	136420	140772	136420	140772	140773	141773	1001	1			-584	166	166	141356	0	0.0869565217391304	0.41702882811415	4.79583152331272
LT934125.1	+	NOIR	93	108828	108832	C6_4h	4h	4	C6	108829	5955.757232	5388.542258	108829	108829	1	LT934125.1_+	5	107483	108830	107483	108830	108831	109831	1001	2	3	NOIR	1	93	93	108829	0	0		
LT934125.1	+	ORF-1	2	2259	2275	C6_4h	4h	4	C6	2273	29495.178671	19568.916619	2273	2275	3	LT934125.1_+	17	1623	2243	1623	2243	2244	3244	1001	17			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2263	2275	PK_15_6h	6h	6	PK_15	2273	12441.577913	8577.796336	2271	2275	5	LT934125.1_+	13	1623	2243	1623	2243	2244	3244	1001	13			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	C6_12h	12h	12	C6	2273	10806.072632	7453.219542	2272	2275	4	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	C6_6h	6h	6	C6	2273	23725.115899	17507.499318	2272	2275	4	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	C6_8h	8h	8	C6	2273	17130.934513	11689.056456	2271	2275	5	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PC_12_12h	12h	12	PC_12	2273	10250.763599	7025.925856	2272	2275	4	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PC_12_1h	1h	1	PC_12	2273	27439.02439	14481.707317	2271	2275	5	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PC_12_2h	2h	2	PC_12	2273	26143.790847	18039.215686	2272	2275	4	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PC_12_4h	4h	4	PC_12	2273	23678.385752	16368.97102	2272	2275	4	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PC_12_6h	6h	6	PC_12	2273	21677.578056	14579.836778	2271	2275	5	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PC_12_8h	8h	8	PC_12	2273	15795.007771	11074.79199	2272	2275	4	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PK_15_12h	12h	12	PK_15	2273	4992.759419	3546.186884	2271	2275	5	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PK_15_2h	2h	2	PK_15	2273	25301.509658	17542.380029	2271	2275	5	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PK_15_4h	4h	4	PK_15	2273	18941.2841	13078.010645	2271	2275	5	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2266	2275	PK_15_8h	8h	8	PK_15	2273	7543.197528	5320.648256	2271	2275	5	LT934125.1_+	10	1623	2243	1623	2243	2244	3244	1001	10			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2268	2275	PC_12_2.5h	2.5h	2.5	PC_12	2273	25839.79328	18087.855297	2273	2275	3	LT934125.1_+	8	1623	2243	1623	2243	2244	3244	1001	8			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2269	2275	C6_1h	1h	1	C6	2273	22831.050229	16307.89302	2272	2275	4	LT934125.1_+	7	1623	2243	1623	2243	2244	3244	1001	7			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2269	2275	C6_2h	2h	2	C6	2273	20335.53635	11692.933401	2271	2275	5	LT934125.1_+	7	1623	2243	1623	2243	2244	3244	1001	7			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2269	2275	NRK_1h	1h	1	NRK	2273	31578.947367	23684.210526	2271	2273	3	LT934125.1_+	7	1623	2243	1623	2243	2244	3244	1001	7			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2269	2275	PK_15_1h	1h	1	PK_15	2273	11227.54491	5988.023952	2271	2275	5	LT934125.1_+	7	1623	2243	1623	2243	2244	3244	1001	7			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2270	2275	NRK_2h	2h	2	NRK	2273	21241.830065	14705.882353	2271	2275	5	LT934125.1_+	6	1623	2243	1623	2243	2244	3244	1001	6			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2272	2273	PC_12_0.5h	0.5h	0.5	PC_12	2272	33333.333334	16666.666667	2272	2273	2	LT934125.1_+	2	1623	2243	1623	2243	2244	3244	1001	2			-29	2	2	2273	1	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	ORF-1	2	2273	2275	PC_12_1.5h	1.5h	1.5	PC_12	2273	28241.335044	23106.546855	2273	2275	3	LT934125.1_+	3	1623	2243	1623	2243	2244	3244	1001	3			-30	2	2	2273	0	0.0434782608695652	0.208514414057075	4.79583152331272
LT934125.1	+	UL11	61	79982	79996	PC_12_4h	4h	4	PC_12	79996	36289.699902	28928.810418	79993	79996	4	LT934125.1_+	15	79779	79970	79779	79970	79971	80971	1001	15			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79987	79996	C6_6h	6h	6	C6	79996	50449.959094	37196.618489	79993	79996	4	LT934125.1_+	10	79779	79970	79779	79970	79971	80971	1001	10			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79987	79996	PC_12_6h	6h	6	PC_12	79996	36423.968329	28352.529691	79993	79996	4	LT934125.1_+	10	79779	79970	79779	79970	79971	80971	1001	10			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79987	79996	PK_15_4h	4h	4	PK_15	79996	43309.214903	33641.051231	79994	79996	3	LT934125.1_+	10	79779	79970	79779	79970	79971	80971	1001	10			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79987	79996	PK_15_6h	6h	6	PK_15	79996	35664.515091	28042.602217	79994	79996	3	LT934125.1_+	10	79779	79970	79779	79970	79971	80971	1001	10			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79987	79998	C6_12h	12h	12	C6	79996	36786.423012	28232.630054	79993	79996	4	LT934125.1_+	12	79779	79970	79779	79970	79971	80971	1001	12			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79987	79998	PK_15_8h	8h	8	PK_15	79996	35341.277305	28209.662976	79994	79996	3	LT934125.1_+	12	79779	79970	79779	79970	79971	80971	1001	12			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79988	79996	C6_8h	8h	8	C6	79996	51551.423308	39691.545567	79993	79996	4	LT934125.1_+	9	79779	79970	79779	79970	79971	80971	1001	9			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79988	79996	PC_12_12h	12h	12	PC_12	79996	34323.419844	26721.243619	79994	79996	3	LT934125.1_+	9	79779	79970	79779	79970	79971	80971	1001	9			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79988	79996	PK_15_12h	12h	12	PK_15	79996	30439.776577	24261.352584	79994	79996	3	LT934125.1_+	9	79779	79970	79779	79970	79971	80971	1001	9			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79988	79996	PK_15_1h	1h	1	PK_15	79996	17215.568862	11976.047904	79993	79996	4	LT934125.1_+	9	79779	79970	79779	79970	79971	80971	1001	9			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79988	79998	PC_12_8h	8h	8	PC_12	79996	39476.090336	30527.109811	79994	79996	3	LT934125.1_+	11	79779	79970	79779	79970	79971	80971	1001	11			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79990	79998	PC_12_1.5h	1.5h	1.5	PC_12	79996	42362.002565	34659.820282	79994	79996	3	LT934125.1_+	9	79779	79970	79779	79970	79971	80971	1001	9			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79990	80001	C6_4h	4h	4	C6	79996	36301.758365	27226.318775	79994	79996	3	LT934125.1_+	12	79779	79970	79779	79970	79971	80971	1001	12			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79990	80001	PC_12_2.5h	2.5h	2.5	PC_12	79996	43927.648579	32730.404823	79993	79996	4	LT934125.1_+	12	79779	79970	79779	79970	79971	80971	1001	12			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79991	79996	C6_2h	2h	2	C6	79996	56939.50178	38129.130656	79993	79996	4	LT934125.1_+	6	79779	79970	79779	79970	79971	80971	1001	6			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79991	79996	PC_12_2h	2h	2	PC_12	79996	44967.320262	35032.679739	79994	79996	3	LT934125.1_+	6	79779	79970	79779	79970	79971	80971	1001	6			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79991	79996	PK_15_2h	2h	2	PK_15	79996	23614.742347	17542.380029	79993	79996	4	LT934125.1_+	6	79779	79970	79779	79970	79971	80971	1001	6			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79991	79998	C6_1h	1h	1	C6	79996	40443.574691	28701.891716	79993	79996	4	LT934125.1_+	8	79779	79970	79779	79970	79971	80971	1001	8			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79991	80000	PC_12_1h	1h	1	PC_12	79996	45731.707318	35060.97561	79993	79996	4	LT934125.1_+	10	79779	79970	79779	79970	79971	80971	1001	10			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79991	80001	NRK_1h	1h	1	NRK	79996	55263.157893	34210.526316	79993	79996	4	LT934125.1_+	11	79779	79970	79779	79970	79971	80971	1001	11			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79991	80001	NRK_2h	2h	2	NRK	79996	51470.588234	35130.718954	79994	79996	3	LT934125.1_+	11	79779	79970	79779	79970	79971	80971	1001	11			-26	61	61	79996	0	0	0	
LT934125.1	+	UL11	61	79995	79996	PC_12_0.5h	0.5h	0.5	PC_12	79996	66666.666667	50000	79995	79996	2	LT934125.1_+	2	79779	79970	79779	79970	79971	80971	1001	2			-26	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79982	79996	PC_12_4h	4h	4	PC_12	79996	36289.699902	28928.810418	79993	79996	4	LT934125.1_+	15	78364	79821	78364	79821	79822	80822	1001	15			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79987	79996	C6_6h	6h	6	C6	79996	50449.959094	37196.618489	79993	79996	4	LT934125.1_+	10	78364	79821	78364	79821	79822	80822	1001	10			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79987	79996	PC_12_6h	6h	6	PC_12	79996	36423.968329	28352.529691	79993	79996	4	LT934125.1_+	10	78364	79821	78364	79821	79822	80822	1001	10			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79987	79996	PK_15_4h	4h	4	PK_15	79996	43309.214903	33641.051231	79994	79996	3	LT934125.1_+	10	78364	79821	78364	79821	79822	80822	1001	10			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79987	79996	PK_15_6h	6h	6	PK_15	79996	35664.515091	28042.602217	79994	79996	3	LT934125.1_+	10	78364	79821	78364	79821	79822	80822	1001	10			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79987	79998	C6_12h	12h	12	C6	79996	36786.423012	28232.630054	79993	79996	4	LT934125.1_+	12	78364	79821	78364	79821	79822	80822	1001	12			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79987	79998	PK_15_8h	8h	8	PK_15	79996	35341.277305	28209.662976	79994	79996	3	LT934125.1_+	12	78364	79821	78364	79821	79822	80822	1001	12			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79988	79996	C6_8h	8h	8	C6	79996	51551.423308	39691.545567	79993	79996	4	LT934125.1_+	9	78364	79821	78364	79821	79822	80822	1001	9			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79988	79996	PC_12_12h	12h	12	PC_12	79996	34323.419844	26721.243619	79994	79996	3	LT934125.1_+	9	78364	79821	78364	79821	79822	80822	1001	9			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79988	79996	PK_15_12h	12h	12	PK_15	79996	30439.776577	24261.352584	79994	79996	3	LT934125.1_+	9	78364	79821	78364	79821	79822	80822	1001	9			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79988	79996	PK_15_1h	1h	1	PK_15	79996	17215.568862	11976.047904	79993	79996	4	LT934125.1_+	9	78364	79821	78364	79821	79822	80822	1001	9			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79988	79998	PC_12_8h	8h	8	PC_12	79996	39476.090336	30527.109811	79994	79996	3	LT934125.1_+	11	78364	79821	78364	79821	79822	80822	1001	11			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79990	79998	PC_12_1.5h	1.5h	1.5	PC_12	79996	42362.002565	34659.820282	79994	79996	3	LT934125.1_+	9	78364	79821	78364	79821	79822	80822	1001	9			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79990	80001	C6_4h	4h	4	C6	79996	36301.758365	27226.318775	79994	79996	3	LT934125.1_+	12	78364	79821	78364	79821	79822	80822	1001	12			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79990	80001	PC_12_2.5h	2.5h	2.5	PC_12	79996	43927.648579	32730.404823	79993	79996	4	LT934125.1_+	12	78364	79821	78364	79821	79822	80822	1001	12			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79991	79996	C6_2h	2h	2	C6	79996	56939.50178	38129.130656	79993	79996	4	LT934125.1_+	6	78364	79821	78364	79821	79822	80822	1001	6			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79991	79996	PC_12_2h	2h	2	PC_12	79996	44967.320262	35032.679739	79994	79996	3	LT934125.1_+	6	78364	79821	78364	79821	79822	80822	1001	6			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79991	79996	PK_15_2h	2h	2	PK_15	79996	23614.742347	17542.380029	79993	79996	4	LT934125.1_+	6	78364	79821	78364	79821	79822	80822	1001	6			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79991	79998	C6_1h	1h	1	C6	79996	40443.574691	28701.891716	79993	79996	4	LT934125.1_+	8	78364	79821	78364	79821	79822	80822	1001	8			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79991	80000	PC_12_1h	1h	1	PC_12	79996	45731.707318	35060.97561	79993	79996	4	LT934125.1_+	10	78364	79821	78364	79821	79822	80822	1001	10			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79991	80001	NRK_1h	1h	1	NRK	79996	55263.157893	34210.526316	79993	79996	4	LT934125.1_+	11	78364	79821	78364	79821	79822	80822	1001	11			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79991	80001	NRK_2h	2h	2	NRK	79996	51470.588234	35130.718954	79994	79996	3	LT934125.1_+	11	78364	79821	78364	79821	79822	80822	1001	11			-175	61	61	79996	0	0	0	
LT934125.1	+	UL12	61	79995	79996	PC_12_0.5h	0.5h	0.5	PC_12	79996	66666.666667	50000	79995	79996	2	LT934125.1_+	2	78364	79821	78364	79821	79822	80822	1001	2			-175	61	61	79996	0	0	0	
LT934125.1	+	UL16	59	75633	75652	PC_12_4h	4h	4	PC_12	75649	617.697021	154.424255	75636	75651	16	LT934125.1_+	20	74654	75640	74654	75640	75641	76641	1001	12	8	UL16	-9	59	59	75651	2	2.86666666666667	4.32379903501979	1.50830198896039
LT934125.1	+	UL16	59	75648	75648	PC_12_1.5h	1.5h	1.5	PC_12	75648	1283.697047	1283.697047	75648	75648	1	LT934125.1_+	1	74654	75640	74654	75640	75641	76641	1001	1			-8	59	59	75651	3	2.86666666666667	4.32379903501979	1.50830198896039
LT934125.1	+	UL16	59	75648	75651	C6_12h	12h	12	C6	75650	182.617271	51.132836	75648	75651	4	LT934125.1_+	4	74654	75640	74654	75640	75641	76641	1001	4			-10	59	59	75651	1	2.86666666666667	4.32379903501979	1.50830198896039
LT934125.1	+	UL16	59	75648	75651	C6_8h	8h	8	C6	75648	256.231926	97.612162	75648	75651	4	LT934125.1_+	4	74654	75640	74654	75640	75641	76641	1001	4			-8	59	59	75651	3	2.86666666666667	4.32379903501979	1.50830198896039
LT934125.1	+	UL16	59	75648	75651	PC_12_6h	6h	6	PC_12	75648	217.800725	64.059037	75648	75651	4	LT934125.1_+	4	74654	75640	74654	75640	75641	76641	1001	4			-8	59	59	75651	3	2.86666666666667	4.32379903501979	1.50830198896039
LT934125.1	+	UL16	59	75648	75651	PC_12_8h	8h	8	PC_12	75650	274.298254	114.290939	75648	75651	4	LT934125.1_+	4	74654	75640	74654	75640	75641	76641	1001	4			-10	59	59	75651	1	2.86666666666667	4.32379903501979	1.50830198896039
LT934125.1	+	UL16	59	75648	75651	PK_15_4h	4h	4	PK_15	75648	291.084497	103.958749	75648	75651	4	LT934125.1_+	4	74654	75640	74654	75640	75641	76641	1001	4			-8	59	59	75651	3	2.86666666666667	4.32379903501979	1.50830198896039
LT934125.1	+	UL16	59	75648	75651	PK_15_8h	8h	8	PK_15	75651	236.972144	67.349978	75648	75651	4	LT934125.1_+	4	74654	75640	74654	75640	75641	76641	1001	4			-11	59	59	75651	0	2.86666666666667	4.32379903501979	1.50830198896039
LT934125.1	+	UL16	59	75648	75652	PC_12_12h	12h	12	PC_12	75650	270.540079	70.340421	75648	75651	4	LT934125.1_+	5	74654	75640	74654	75640	75641	76641	1001	5			-10	59	59	75651	1	2.86666666666667	4.32379903501979	1.50830198896039
