seqnames	strand	gene	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines	CAGE_TC_significance
LT934125.1	+	TC_1027	1027	125707	125707	0	1	483.558994	0	0	0	125707	125707	125707			*
LT934125.1	+	TC_1028	1028	125784	125784	0	1	27.285874	0	0	0	125784	125784	125784			*
LT934125.1	+	TC_1029	1029	125893	125907	3	5	908.913649	0	0	3.22542805846655	125904	125902	125905			***
LT934125.1	+	TC_103	103	12416	12416	0	2	68.977493	0	0	0	12416	12416	12416			*
LT934125.1	+	TC_1030	1030	125955	125957	1	3	324.332651	0	0	0.797645586643391	125957	125956	125957			***
LT934125.1	+	TC_1031	1031	126005	126014	3	2	565.416616	1.58496250072116	1.58496250072116	2.57798232963786	126006	126005	126008			**
LT934125.1	+	TC_1032	1032	126034	126038	4	3	703.694957	0	0	0	126036	126034	126038			***
LT934125.1	+	TC_1033	1033	126081	126086	1	3	172.151324	0	0	2.09712352938225	126085	126085	126086			**
LT934125.1	+	TC_1034	1034	126675	126675	0	1	27.285874	0	0	0	126675	126675	126675			*
LT934125.1	+	TC_1035	1035	126797	126797	0	1	241.779497	0	0	0	126797	126797	126797			*
LT934125.1	+	TC_1036	1036	126906	126906	0	1	60.752603	0	0	0	126906	126906	126906			*
LT934125.1	+	TC_1037	1037	126932	126934	2	3	142.714464	0	0	0	126933	126932	126934			**
LT934125.1	+	TC_1038	1038	126982	126992	3	3	496.483975	0	0	1.82484364154432	126989	126988	126991			***
LT934125.1	+	TC_1039	1039	127045	127051	0	1	188.797986	2.57798232963786	2.57798232963786	2.57798232963786	127051	127051	127051			*
LT934125.1	+	TC_104	104	12447	12447	0	1	24.301041	0	0	0	12447	12447	12447			*
LT934125.1	+	TC_1040	1040	127142	127142	0	1	567.859171	0	0	0	127142	127142	127142			*
LT934125.1	+	TC_1041	1041	127175	127194	2	5	1655.481726	0	0	4.48614513110353	127177	127175	127177			***
LT934125.1	+	TC_1042	1042	127225	127229	4	2	809.638668	0	0	0	127227	127225	127229			**
LT934125.1	+	TC_1043	1043	127245	127274	1	5	3173.529772	0	0	4.5852466762109	127270	127269	127270			***
LT934125.1	+	TC_1044	1044	127839	127856	17	3	331.998033	0	0	0	127850	127839	127856			***
LT934125.1	+	TC_1045	1045	128098	128098	0	1	27.285874	0	0	0	128098	128098	128098			*
LT934125.1	+	TC_1046	1046	128133	128133	0	1	18.007181	0	0	0	128133	128133	128133			*
LT934125.1	+	TC_1047	1047	128191	128191	0	1	24.301041	0	0	0	128191	128191	128191			
LT934125.1	+	TC_1048	1048	128265	128265	0	1	27.285874	0	0	0	128265	128265	128265			
LT934125.1	+	TC_1049	1049	128725	128726	1	2	41.691619	0	0	0	128726	128725	128726			
LT934125.1	+	TC_105	105	12842	12842	0	1	18.007181	0	0	0	12842	12842	12842			*
LT934125.1	+	TC_1050	1050	128933	128933	0	1	21.608618	0	0	0	128933	128933	128933			
LT934125.1	+	TC_1051	1051	129025	129025	0	1	18.007181	0	0	0	129025	129025	129025			
LT934125.1	+	TC_1052	1052	129213	129213	0	1	14.405745	0	0	0	129213	129213	129213			
LT934125.1	+	TC_1053	1053	129291	129291	0	1	18.007181	0	0	0	129291	129291	129291			
LT934125.1	+	TC_1054	1054	129425	129425	0	1	27.285874	0	0	0	129425	129425	129425			
LT934125.1	+	TC_1055	1055	129493	129496	3	2	56.097364	0	0	1	129494	129493	129496			
LT934125.1	+	TC_1056	1056	129573	129586	13	2	84.54128	0	0	0	129580	129573	129586			
LT934125.1	+	TC_1057	1057	129686	129686	0	1	27.285874	0	0	0	129686	129686	129686			
LT934125.1	+	TC_1058	1058	129778	129778	0	1	14.405745	0	0	0	129778	129778	129778			
LT934125.1	+	TC_1059	1059	129941	129941	0	1	21.608618	0	0	0	129941	129941	129941			
LT934125.1	+	TC_106	106	13296	13296	0	1	241.779497	0	0	0	13296	13296	13296			*
LT934125.1	+	TC_1060	1060	130121	130121	0	1	27.285874	0	0	0	130121	130121	130121			
LT934125.1	+	TC_1061	1061	130180	130200	20	2	42.308222	0	0	0	130190	130180	130200			
LT934125.1	+	TC_1062	1062	130326	130326	0	1	27.285874	0	0	0	130326	130326	130326			
LT934125.1	+	TC_1063	1063	130384	130408	24	2	269.065371	0	0	0	130396	130384	130408			
LT934125.1	+	TC_1064	1064	130561	130561	0	3	149.917336	0	0	0	130561	130561	130561			
LT934125.1	+	TC_1065	1065	130610	130614	0	4	482.969172	0	0	2.2544774595405	130614	130614	130614			
LT934125.1	+	TC_1066	1066	130768	130768	0	1	27.285874	0	0	0	130768	130768	130768			
LT934125.1	+	TC_1067	1067	130853	130853	0	1	62.932662	0	0	0	130853	130853	130853			
LT934125.1	+	TC_1068	1068	131174	131174	0	1	567.859171	0	0	0	131174	131174	131174			
LT934125.1	+	TC_1069	1069	131241	131241	0	1	27.285874	0	0	0	131241	131241	131241			
LT934125.1	+	TC_107	107	13326	13326	0	1	62.932662	0	0	0	13326	13326	13326			*
LT934125.1	+	TC_1070	1070	131411	131411	0	1	241.779497	0	0	0	131411	131411	131411			
LT934125.1	+	TC_1071	1071	131672	131672	0	1	62.932662	0	0	0	131672	131672	131672			
LT934125.1	+	TC_1072	1072	131745	131755	10	2	277.79386	0	0	0	131750	131745	131755			
LT934125.1	+	TC_1073	1073	132004	132004	0	2	51.586915	0	0	0	132004	132004	132004			
LT934125.1	+	TC_1074	1074	132055	132055	0	1	241.779497	0	0	0	132055	132055	132055			
LT934125.1	+	TC_1075	1075	132521	132521	0	1	62.932662	0	0	0	132521	132521	132521			
LT934125.1	+	TC_1076	1076	132611	132618	3	5	942.926365	0	0	3.59619048602005	132613	132611	132614			
LT934125.1	+	TC_1077	1077	132712	132712	0	1	62.932662	0	0	0	132712	132712	132712			
LT934125.1	+	TC_1078	1078	132747	132767	20	2	595.145045	0	0	0	132757	132747	132767			
LT934125.1	+	TC_1079	1079	132844	132850	0	2	96.263367	0	0	2.57798232963786	132850	132850	132850			
LT934125.1	+	TC_108	108	13374	13374	0	1	24.301041	0	0	0	13374	13374	13374			*
LT934125.1	+	TC_1080	1080	132885	132885	0	1	24.301041	0	0	0	132885	132885	132885			
LT934125.1	+	TC_1081	1081	132938	132975	37	4	429.202198	0	0	2.57169079692443	132956	132938	132975			
LT934125.1	+	TC_1082	1082	133015	133015	0	1	62.932662	0	0	0	133015	133015	133015			
LT934125.1	+	TC_1083	1083	133055	133055	0	1	27.285874	0	0	0	133055	133055	133055			
LT934125.1	+	TC_1084	1084	133098	133098	0	1	27.285874	0	0	0	133098	133098	133098			
LT934125.1	+	TC_1085	1085	133198	133198	0	1	27.285874	0	0	0	133198	133198	133198			
LT934125.1	+	TC_1086	1086	133367	133367	0	1	27.285874	0	0	0	133367	133367	133367			
LT934125.1	+	TC_1087	1087	133560	133565	5	2	90.218536	0	0	0	133562	133560	133565			
LT934125.1	+	TC_1088	1088	133606	133606	0	1	27.285874	0	0	0	133606	133606	133606			
LT934125.1	+	TC_1089	1089	133684	133684	0	1	27.285874	0	0	0	133684	133684	133684			
LT934125.1	+	TC_109	109	13405	13405	0	1	241.779497	0	0	0	13405	13405	13405			*
LT934125.1	+	TC_1090	1090	133846	133846	0	1	27.285874	0	0	0	133846	133846	133846			
LT934125.1	+	TC_1091	1091	133896	133916	20	2	90.218536	0	0	0	133906	133896	133916			**
LT934125.1	+	TC_1092	1092	133955	133996	41	4	141.075843	0	0	0	133976	133955	133996			**
LT934125.1	+	TC_1093	1093	134081	134084	3	2	41.691619	0	0	0	134082	134081	134084			
LT934125.1	+	TC_1094	1094	134217	134217	0	1	27.285874	0	0	0	134217	134217	134217			
LT934125.1	+	TC_1095	1095	134248	134248	0	1	24.301041	0	0	0	134248	134248	134248			
LT934125.1	+	TC_1096	1096	134340	134343	3	2	51.586915	0	0	0	134342	134340	134343			
LT934125.1	+	TC_1097	1097	134979	135002	23	3	93.895138	0	0	0	134994	134979	135002			**
LT934125.1	+	TC_1098	1098	135172	135172	0	1	27.285874	0	0	0	135172	135172	135172			*
LT934125.1	+	TC_1099	1099	135247	135323	23	4	2318.722656	0	0	20.9662460406519	135264	135247	135270			***
LT934125.1	+	TC_11	11	1501	1501	0	1	48.602083	0	0	0	1501	1501	1501			*
LT934125.1	+	TC_110	110	13593	13598	0	1	28.81149	2.58496250072116	2.58496250072116	2.58496250072116	13593	13593	13593			*
LT934125.1	+	TC_1100	1100	135237	135330	3	4	5463.604825	1.58496250072116	1.58496250072116	19.0754828816116	135310	135309	135312			***
LT934125.1	+	TC_1101	1101	135414	135414	0	1	27.285874	0	0	0	135414	135414	135414			*
LT934125.1	+	TC_1102	1102	135552	135552	0	1	62.932662	0	0	0	135552	135552	135552			*
LT934125.1	+	TC_1103	1103	135671	135673	0	2	97.788983	0	0	1.55305523046967	135673	135673	135673			**
LT934125.1	+	TC_1104	1104	135773	135773	0	1	62.932662	0	0	0	135773	135773	135773			*
LT934125.1	+	TC_1105	1105	135856	135856	0	1	62.932662	0	0	0	135856	135856	135856			*
LT934125.1	+	TC_1106	1106	135883	135883	0	3	109.030491	0	0	0	135883	135883	135883			**
LT934125.1	+	TC_1107	1107	135986	135986	0	1	62.932662	0	0	0	135986	135986	135986			*
LT934125.1	+	TC_1108	1108	136067	136087	20	3	658.077707	0	0	0	136074	136067	136087			***
LT934125.1	+	TC_1109	1109	136153	136161	0	6	10238.850526	0	0	1.08712888603634	136158	136158	136158			***
LT934125.1	+	TC_111	111	13858	13858	0	1	36.451562	0	0	0	13858	13858	13858			*
LT934125.1	+	TC_1110	1110	136203	136227	24	2	63.737436	0	0	0	136215	136203	136227			*
LT934125.1	+	TC_1111	1111	136255	136256	1	2	256.185242	0	0	0	136256	136255	136256			**
LT934125.1	+	TC_1112	1112	136335	136351	10	6	12367.046274	0	0	3.1549024322832	136346	136338	136348			***
LT934125.1	+	TC_1113	1113	136429	136433	4	2	52.495928	0	0	0	136431	136429	136433			*
LT934125.1	+	TC_1114	1114	136508	136508	0	1	27.285874	0	0	0	136508	136508	136508			*
LT934125.1	+	TC_1115	1115	136618	136618	0	1	62.932662	0	0	0	136618	136618	136618			*
LT934125.1	+	TC_1116	1116	136650	136668	18	2	87.233703	0	0	0	136659	136650	136668			**
LT934125.1	+	TC_1117	1117	136711	136711	0	1	27.285874	0	0	0	136711	136711	136711			*
LT934125.1	+	TC_1118	1118	136749	136749	0	1	62.932662	0	0	0	136749	136749	136749			*
LT934125.1	+	TC_1119	1119	136780	136780	0	1	27.285874	0	0	0	136780	136780	136780			*
LT934125.1	+	TC_112	112	13979	13979	0	1	24.301041	0	0	0	13979	13979	13979			*
LT934125.1	+	TC_1120	1120	137012	137015	3	2	90.218536	0	0	0	137014	137012	137015			**
LT934125.1	+	TC_1121	1121	137111	137116	5	2	90.218536	0	0	0	137114	137111	137116			**
LT934125.1	+	TC_1122	1122	137167	137186	19	3	169.091325	0	0	0	137180	137167	137186			**
LT934125.1	+	TC_1123	1123	137251	137252	1	2	50.857307	0	0	0	137252	137251	137252			*
LT934125.1	+	TC_1124	1124	137281	137281	0	1	27.285874	0	0	0	137281	137281	137281			*
LT934125.1	+	TC_1125	1125	137488	137488	0	1	27.285874	0	0	0	137488	137488	137488			*
LT934125.1	+	TC_1126	1126	137655	137655	0	1	24.301041	0	0	0	137655	137655	137655			*
LT934125.1	+	TC_1127	1127	137770	137770	0	1	27.285874	0	0	0	137770	137770	137770			*
LT934125.1	+	TC_1128	1128	137936	137936	0	1	62.932662	0	0	0	137936	137936	137936			*
LT934125.1	+	TC_1129	1129	138021	138040	19	2	90.218536	0	0	0	138030	138021	138040			**
LT934125.1	+	TC_113	113	14043	14051	3	6	53570.601716	0	0	3.22518718243005	14047	14045	14048			***
LT934125.1	+	TC_1130	1130	138076	138076	0	1	241.779497	0	0	0	138076	138076	138076			*
LT934125.1	+	TC_1131	1131	138637	138637	0	1	24.301041	0	0	0	138637	138637	138637			*
LT934125.1	+	TC_1132	1132	139175	139175	0	1	27.285874	0	0	0	139175	139175	139175			*
LT934125.1	+	TC_1133	1133	139450	139450	0	1	62.932662	0	0	0	139450	139450	139450			*
LT934125.1	+	TC_1134	1134	139799	139799	0	1	27.285874	0	0	0	139799	139799	139799			*
LT934125.1	+	TC_1135	1135	139843	139843	0	1	62.932662	0	0	0	139843	139843	139843			*
LT934125.1	+	TC_1136	1136	139979	139982	3	3	101.639448	0	0	0	139981	139979	139982			**
LT934125.1	+	TC_1137	1137	140316	140316	0	1	62.932662	0	0	0	140316	140316	140316			*
LT934125.1	+	TC_1138	1138	140967	140967	0	1	27.285874	0	0	0	140967	140967	140967			*
LT934125.1	+	TC_1139	1139	141034	141091	57	5	1754.433372	0	0	10.8882814601761	141064	141034	141091			***
LT934125.1	+	TC_114	114	14137	14139	0	3	698.611285	0	0	2.37744375108173	14138	14138	14138			***
LT934125.1	+	TC_1140	1140	141260	141260	0	1	27.285874	0	0	0	141260	141260	141260			*
LT934125.1	+	TC_1141	1141	141340	141340	0	1	14.405745	0	0	0	141340	141340	141340			*
LT934125.1	+	TC_1142	1142	141490	141498	7	3	146.3159	0	0	3.16992500144231	141494	141490	141497			**
LT934125.1	+	TC_1143	1143	141543	141545	2	2	117.50441	0	0	0	141544	141543	141545			**
LT934125.1	+	TC_1144	1144	141612	141612	0	1	27.285874	0	0	0	141612	141612	141612			*
LT934125.1	+	TC_1145	1145	141678	141678	0	1	18.007181	0	0	0	141678	141678	141678			*
LT934125.1	+	TC_1146	1146	141720	141720	0	1	62.932662	0	0	0	141720	141720	141720			*
LT934125.1	+	TC_1147	1147	141747	141747	0	1	27.285874	0	0	0	141747	141747	141747			*
LT934125.1	+	TC_1148	1148	141824	141824	0	1	21.608618	0	0	0	141824	141824	141824			*
LT934125.1	+	TC_1149	1149	141935	141938	0	3	295.396164	1.88536638146119	1.88536638146119	2	141935	141935	141935			**
LT934125.1	+	TC_115	115	14175	14176	0	1	125.865324	1	1	1	14175	14175	14175			*
LT934125.1	+	TC_1150	1150	142268	142268	0	1	24.301041	0	0	0	142268	142268	142268			
LT934125.1	+	TC_1151	1151	142310	142310	0	1	27.285874	0	0	0	142310	142310	142310			
LT934125.1	+	TC_1152	1152	142393	142393	0	1	27.285874	0	0	0	142393	142393	142393			*
LT934125.1	+	TC_1153	1153	142477	142480	0	1	108.043087	1.30004483613312	1.30004483613312	1.30004483613312	142477	142477	142477			*
LT934125.1	+	TC_1154	1154	142518	142520	0	1	39.615799	1.49883611827611	1.49883611827611	1.49883611827611	142518	142518	142518			
LT934125.1	+	TC_1155	1155	142608	142608	0	1	14.405745	0	0	0	142608	142608	142608			
LT934125.1	+	TC_1156	1156	142765	142765	0	1	27.285874	0	0	0	142765	142765	142765			
LT934125.1	+	TC_116	116	14207	14207	0	1	27.285874	0	0	0	14207	14207	14207			*
LT934125.1	+	TC_117	117	14267	14267	0	1	62.932662	0	0	0	14267	14267	14267			*
LT934125.1	+	TC_118	118	14294	14294	0	1	18.007181	0	0	0	14294	14294	14294			*
LT934125.1	+	TC_119	119	14338	14338	0	1	27.285874	0	0	0	14338	14338	14338			*
LT934125.1	+	TC_12	12	1597	1604	1	6	4814.66339	0	0	3.53380760191737	1600	1599	1600			***
LT934125.1	+	TC_120	120	14398	14400	2	2	51.586915	0	0	0	14399	14398	14400			*
LT934125.1	+	TC_121	121	14468	14468	0	1	27.285874	0	0	0	14468	14468	14468			*
LT934125.1	+	TC_122	122	14537	14563	26	4	307.772157	0	0	0	14552	14537	14563			***
LT934125.1	+	TC_123	123	14603	14606	3	4	252.361558	0	0	0	14605	14603	14606			**
LT934125.1	+	TC_124	124	14654	14684	20	2	144.790284	0	0	5.48306938934921	14664	14654	14674			**
LT934125.1	+	TC_125	125	14741	14741	0	1	27.285874	0	0	0	14741	14741	14741			*
LT934125.1	+	TC_126	126	14821	14822	1	4	234.354377	0	0	0	14822	14821	14822			**
LT934125.1	+	TC_127	127	14861	14861	0	1	18.007181	0	0	0	14861	14861	14861			*
LT934125.1	+	TC_128	128	14935	14956	21	4	322.610098	0	0	3.16992500144231	14945	14935	14956			***
LT934125.1	+	TC_129	129	15028	15054	26	3	293.366412	0	0	0	15044	15028	15054			**
LT934125.1	+	TC_13	13	1666	1666	0	1	54.571748	0	0	0	1666	1666	1666			*
LT934125.1	+	TC_130	130	15085	15109	17	3	171.158379	0	0	3	15095	15085	15102			**
LT934125.1	+	TC_131	131	15172	15187	15	5	588.991811	0	0	8.7886388936966	15178	15172	15187			***
LT934125.1	+	TC_132	132	15251	15286	35	3	104.624281	0	0	0	15269	15251	15286			**
LT934125.1	+	TC_133	133	15321	15366	25	4	1181.076859	0	0	8.25740278004968	15340	15321	15346			***
LT934125.1	+	TC_134	134	15374	15380	3	2	85.962657	0	0	2.72580292501089	15378	15377	15380			**
LT934125.1	+	TC_135	135	15427	15445	18	2	87.233703	0	0	0	15436	15427	15445			**
LT934125.1	+	TC_136	136	15513	15550	37	5	1533.666192	0	0	3.32192809488736	15531	15513	15550			***
LT934125.1	+	TC_137	137	15588	15599	3	5	3250.324944	0	0	6.1197869044989	15598	15596	15599			***
LT934125.1	+	TC_138	138	15639	15649	9	3	403.372315	0	0	4.99059314004692	15645	15639	15648			***
LT934125.1	+	TC_139	139	15694	15697	1	4	625.081341	0	0	1.97285345238086	15696	15696	15697			***
LT934125.1	+	TC_14	14	1712	1729	16	5	1338.822437	0	0	7.99293903385576	1717	1712	1728			***
LT934125.1	+	TC_140	140	15752	15810	58	6	1186.27031	0	0	5.7456568095503	15777	15752	15810			***
LT934125.1	+	TC_141	141	15846	15857	11	2	99.384224	0	0	0	15852	15846	15857			**
LT934125.1	+	TC_142	142	15952	15982	30	3	359.283907	0	0	0	15965	15952	15982			***
LT934125.1	+	TC_143	143	16604	16604	0	1	241.779497	0	0	0	16604	16604	16604			*
LT934125.1	+	TC_144	144	16632	16632	0	1	567.859171	0	0	0	16632	16632	16632			*
LT934125.1	+	TC_145	145	16657	16657	0	1	62.932662	0	0	0	16657	16657	16657			*
LT934125.1	+	TC_146	146	16734	16734	0	1	27.285874	0	0	0	16734	16734	16734			
LT934125.1	+	TC_147	147	16950	16950	0	1	27.285874	0	0	0	16950	16950	16950			*
LT934125.1	+	TC_148	148	17395	17398	3	2	153.151198	0	0	0	17396	17395	17398			**
LT934125.1	+	TC_149	149	18476	18476	0	1	27.285874	0	0	0	18476	18476	18476			
LT934125.1	+	TC_15	15	1830	1871	41	4	969.779259	0	0	1.56154964916481	1852	1830	1871			***
LT934125.1	+	TC_150	150	18710	18710	0	1	241.779497	0	0	0	18710	18710	18710			
LT934125.1	+	TC_151	151	18908	18908	0	1	567.859171	0	0	0	18908	18908	18908			
LT934125.1	+	TC_152	152	19294	19294	0	1	54.571748	0	0	0	19294	19294	19294			
LT934125.1	+	TC_153	153	19488	19488	0	1	27.285874	0	0	0	19488	19488	19488			
LT934125.1	+	TC_154	154	20379	20382	0	2	225.249548	0	0	3.16992500144231	20379	20379	20379			
LT934125.1	+	TC_155	155	21148	21148	0	1	24.301041	0	0	0	21148	21148	21148			
LT934125.1	+	TC_156	156	21320	21320	0	1	62.932662	0	0	0	21320	21320	21320			
LT934125.1	+	TC_157	157	21348	21348	0	1	27.285874	0	0	0	21348	21348	21348			
LT934125.1	+	TC_158	158	21491	21491	0	1	27.285874	0	0	0	21491	21491	21491			
LT934125.1	+	TC_159	159	21639	21639	0	1	241.779497	0	0	0	21639	21639	21639			
LT934125.1	+	TC_16	16	1911	1914	3	3	655.092874	0	0	0	1912	1911	1914			***
LT934125.1	+	TC_160	160	22830	22830	0	1	241.779497	0	0	0	22830	22830	22830			
LT934125.1	+	TC_161	161	23169	23169	0	1	36.451562	0	0	0	23169	23169	23169			
LT934125.1	+	TC_162	162	23722	23723	0	2	72.578929	0	0	1	23722	23722	23722			*
LT934125.1	+	TC_163	163	24434	24434	0	1	27.285874	0	0	0	24434	24434	24434			*
LT934125.1	+	TC_164	164	24821	24821	0	1	62.932662	0	0	0	24821	24821	24821			
LT934125.1	+	TC_165	165	25047	25047	0	1	27.285874	0	0	0	25047	25047	25047			
LT934125.1	+	TC_166	166	25107	25107	0	1	27.285874	0	0	0	25107	25107	25107			*
LT934125.1	+	TC_167	167	25166	25166	0	1	27.285874	0	0	0	25166	25166	25166			*
LT934125.1	+	TC_168	168	25369	25369	0	1	14.405745	0	0	0	25369	25369	25369			*
LT934125.1	+	TC_169	169	25418	25422	3	5	4080.667661	1	1	3.65730282610403	25420	25419	25422			***
LT934125.1	+	TC_17	17	2014	2017	3	2	304.712159	0	0	0	2016	2014	2017			**
LT934125.1	+	TC_170	170	25593	25593	0	1	62.932662	0	0	0	25593	25593	25593			*
LT934125.1	+	TC_171	171	25827	25827	0	1	62.932662	0	0	0	25827	25827	25827			*
LT934125.1	+	TC_172	172	25887	25887	0	1	62.932662	0	0	0	25887	25887	25887			
LT934125.1	+	TC_173	173	25990	25990	0	1	62.932662	0	0	0	25990	25990	25990			*
LT934125.1	+	TC_174	174	26034	26034	0	1	62.932662	0	0	0	26034	26034	26034			*
LT934125.1	+	TC_175	175	26173	26173	0	1	27.285874	0	0	0	26173	26173	26173			*
LT934125.1	+	TC_176	176	26364	26387	23	3	331.998033	0	0	0	26375	26364	26387			***
LT934125.1	+	TC_177	177	26556	26556	0	1	483.558994	0	0	0	26556	26556	26556			*
LT934125.1	+	TC_178	178	26729	26735	0	1	54.571748	2.8073549220576	2.8073549220576	2.8073549220576	26729	26729	26729			*
LT934125.1	+	TC_179	179	26927	26927	0	1	54.571748	0	0	0	26927	26927	26927			*
LT934125.1	+	TC_18	18	2069	2069	0	1	27.285874	0	0	0	2069	2069	2069			*
LT934125.1	+	TC_180	180	26984	27008	24	2	269.065371	0	0	0	26996	26984	27008			**
LT934125.1	+	TC_181	181	27041	27041	0	1	62.932662	0	0	0	27041	27041	27041			*
LT934125.1	+	TC_182	182	27096	27096	0	1	27.285874	0	0	0	27096	27096	27096			*
LT934125.1	+	TC_183	183	27177	27194	17	2	117.50441	0	0	0	27186	27177	27194			**
LT934125.1	+	TC_184	184	27311	27311	0	1	241.779497	0	0	0	27311	27311	27311			*
LT934125.1	+	TC_185	185	27519	27524	0	1	54.571748	2.58496250072116	2.58496250072116	2.58496250072116	27519	27519	27519			*
LT934125.1	+	TC_186	186	27612	27622	10	2	90.218536	0	0	0	27617	27612	27622			**
LT934125.1	+	TC_187	187	27825	27861	36	4	199.060857	0	0	2	27839	27825	27861			**
LT934125.1	+	TC_188	188	28074	28088	14	2	90.218536	0	0	0	28081	28074	28088			**
LT934125.1	+	TC_189	189	28173	28173	0	1	241.779497	0	0	0	28173	28173	28173			*
LT934125.1	+	TC_19	19	2142	2142	0	1	60.752603	0	0	0	2142	2142	2142			*
LT934125.1	+	TC_190	190	28258	28258	0	1	27.285874	0	0	0	28258	28258	28258			*
LT934125.1	+	TC_191	191	28323	28323	0	1	27.285874	0	0	0	28323	28323	28323			*
LT934125.1	+	TC_192	192	28383	28383	0	1	567.859171	0	0	0	28383	28383	28383			*
LT934125.1	+	TC_193	193	28470	28475	0	1	54.571748	2.58496250072116	2.58496250072116	2.58496250072116	28470	28470	28470			*
LT934125.1	+	TC_194	194	28516	28516	0	1	54.571748	0	0	0	28516	28516	28516			*
LT934125.1	+	TC_195	195	28549	28549	0	1	24.301041	0	0	0	28549	28549	28549			*
LT934125.1	+	TC_196	196	28625	28627	2	2	50.857307	0	0	0	28626	28625	28627			*
LT934125.1	+	TC_197	197	28808	28808	0	1	24.301041	0	0	0	28808	28808	28808			*
LT934125.1	+	TC_198	198	29096	29100	4	2	752.624365	0	0	1.45546446154482	29098	29096	29100			**
LT934125.1	+	TC_199	199	29184	29184	0	1	27.285874	0	0	0	29184	29184	29184			*
LT934125.1	+	TC_2	2	949	949	0	1	241.779497	0	0	0	949	949	949			*
LT934125.1	+	TC_20	20	2168	2168	0	2	147.473942	0	0	0	2168	2168	2168			**
LT934125.1	+	TC_200	200	29307	29311	0	2	323.637119	0	0	2.13221689650914	29311	29311	29311			**
LT934125.1	+	TC_201	201	29410	29410	0	1	27.285874	0	0	0	29410	29410	29410			*
