dcDNA.TES_TC_ID	seqnames	strand	transcript_id	exon_number	start.TR	end.TR	start.exon	end.exon	start	end	prime5.TR	prime5.ex	prime3.TR	prime3.ex	last_exon	source	TC.start	TC.end	support	score	consensus_peak	dcDNA.TES_TC_significance
TC_121	LT934125.1	+	US1-splice-5	2	114984	116961	115465	116961	114984	116961	114984	115465	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-6	1	114984	116961	114984	115309	114984	116961	114984	114984	116961	115309	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-6	2	114984	116961	115465	116961	114984	116961	114984	115465	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-L	1	114001	116961	114001	115138	114001	116961	114001	114001	116961	115138	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-L	2	114001	116961	115256	115308	114001	116961	114001	115256	116961	115308	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-L	3	114001	116961	115464	116961	114001	116961	114001	115464	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-L2	1	114832	116961	114832	115138	114832	116961	114832	114832	116961	115138	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-L2	2	114832	116961	115256	115308	114832	116961	114832	115256	116961	115308	FALSE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_121	LT934125.1	+	US1-splice-L2	3	114832	116961	115464	116961	114832	116961	114832	115464	116961	116961	TRUE	NAGATA	116927	116972	23	1187622.083052	116962	***
TC_127	LT934125.1	+	US3-4	1	117769	120477	117769	120477	117769	120477	117769	117769	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US3-L-4	1	117607	120477	117607	120477	117607	120477	117607	117607	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4	1	118864	120477	118864	120477	118864	120477	118864	118864	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4-L	1	118807	120477	118807	120477	118807	120477	118807	118807	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.2	1	119002	120477	119002	120477	119002	120477	119002	119002	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.3	1	119127	120477	119127	120477	119127	120477	119127	119127	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.3-S	1	119221	120477	119221	120477	119221	120477	119221	119221	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.5	1	119344	120477	119344	120477	119344	120477	119344	119344	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.5-S	1	119404	120477	119404	120477	119404	120477	119404	119404	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.5-S2	1	119436	120477	119436	120477	119436	120477	119436	119436	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.6	1	119500	120477	119500	120477	119500	120477	119500	119500	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.6-S	1	119632	120477	119632	120477	119632	120477	119632	119632	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.7	1	120081	120477	120081	120477	120081	120477	120081	120081	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_127	LT934125.1	+	US4.7-S	1	120256	120477	120256	120477	120256	120477	120256	120256	120477	120477	TRUE	NAGATA	120452	120488	23	1683816.66367	120477	***
TC_131	LT934125.1	+	US4-6-7	1	118864	122915	118864	122915	118864	122915	118864	118864	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US6-7	1	120555	122915	120555	122915	120555	122915	120555	120555	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US7	1	121784	122915	121784	122915	121784	122915	121784	121784	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US7-L	1	120934	122915	120934	122915	120934	122915	120934	120934	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US7-L2	1	121058	122915	121058	122915	121058	122915	121058	121058	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US7-L3	1	121715	122915	121715	122915	121715	122915	121715	121715	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US7.1	1	122698	122915	122698	122915	122698	122915	122698	122698	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US7.3	1	121886	122915	121886	122915	121886	122915	121886	121886	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US7.3-S	1	122258	122915	122258	122915	122258	122915	122258	122258	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_131	LT934125.1	+	US7.3-S2	1	122463	122915	122463	122915	122463	122915	122463	122463	122915	122915	TRUE	NAGATA	122888	122926	22	340294.670944	122915	***
TC_136	LT934125.1	+	US7-8-9	1	121784	125230	121784	125230	121784	125230	121784	121784	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US8-9	1	122979	125230	122979	125230	122979	125230	122979	122979	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US8-L-US9	1	122698	125230	122698	125230	122698	125230	122698	122698	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US9	1	124756	125230	124756	125230	124756	125230	124756	124756	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US9-L1	1	124677	125230	124677	125230	124677	125230	124677	124677	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US9-L2	1	124286	125230	124286	125230	124286	125230	124286	124286	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US9-L3	1	124180	125230	124180	125230	124180	125230	124180	124180	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US9-L4	1	123878	125230	123878	125230	123878	125230	123878	123878	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US9-L5	1	123780	125230	123780	125230	123780	125230	123780	123780	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US9-L6	1	123560	125230	123560	125230	123560	125230	123560	123560	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_136	LT934125.1	+	US9.3	1	124872	125230	124872	125230	124872	125230	124872	124872	125230	125230	TRUE	NAGATA	125210	125252	22	308634.390524	125230	***
TC_139	LT934125.1	+	US2	1	125225	126151	125225	126151	125225	126151	125225	125225	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US2-L	1	125105	126151	125105	126151	125105	126151	125105	125105	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US2.3	1	125373	126151	125373	126151	125373	126151	125373	125373	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US2.3-S	1	125430	126151	125430	126151	125430	126151	125430	125430	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US2.3-S2	1	125609	126151	125609	126151	125609	126151	125609	125609	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US2.3-S3	1	125729	126151	125729	126151	125729	126151	125729	125729	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US6-7-8-9-2	1	120555	126151	120555	126151	120555	126151	120555	120555	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US7-8-9-2	1	121784	126151	121784	126151	121784	126151	121784	121784	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US8-9-2	1	122979	126151	122979	126151	122979	126151	122979	122979	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US9-2	1	124756	126151	124756	126151	124756	126151	124756	124756	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US9-US2-L	1	124402	126151	124402	126151	124402	126151	124402	124402	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US9-US2-L2	1	123824	126151	123824	126151	123824	126151	123824	123824	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US9-US2-L3	1	123587	126151	123587	126151	123587	126151	123587	123587	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_139	LT934125.1	+	US9-US2-L4	1	123314	126151	123314	126151	123314	126151	123314	123314	126151	126151	TRUE	NAGATA	126127	126164	23	1064303.084284	126151	***
TC_157	LT934125.1	+	NOIR_2-2	1	132614	133513	132614	133513	132614	133513	132614	132614	133513	133513	TRUE	NAGATA	133498	133525	13	21962.283193	133510	***
TC_166	LT934125.1	+	IE180_2	1	136158	141356	136158	141356	136158	141356	136158	136158	141356	141356	TRUE	NAGATA	141334	141370	23	569518.064749	141356	***
TC_166	LT934125.1	+	IE180_2-S	1	136348	141356	136348	141356	136348	141356	136348	136348	141356	141356	TRUE	NAGATA	141334	141370	23	569518.064749	141356	***
TC_173	LT934125.1	-	UL52-53-54	1	2778	7758	2778	7758	2778	7758	7758	7758	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL53-54	1	2778	4925	2778	4925	2778	4925	4925	4925	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL53L-54	1	2778	5969	2778	5969	2778	5969	5969	5969	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54	1	2778	3910	2778	3910	2778	3910	3910	3910	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54-L	1	2778	4687	2778	4687	2778	4687	4687	4687	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54.3	1	2778	3281	2778	3281	2778	3281	3281	3281	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54.3-S	1	2778	3172	2778	3172	2778	3172	3172	3172	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54.3-S2	1	2778	3141	2778	3141	2778	3141	3141	3141	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54.4	1	2778	3351	2778	3351	2778	3351	3351	3351	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54.5	1	2778	3753	2778	3753	2778	3753	3753	3753	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54.5-S	1	2778	3640	2778	3640	2778	3640	3640	3640	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_173	LT934125.1	-	UL54.5-S2	1	2778	3429	2778	3429	2778	3429	3429	3429	2778	2778	TRUE	NAGATA	2766	2800	23	473004.717011	2778	***
TC_175	LT934125.1	-	UL50	1	8487	9494	8487	9494	8487	9494	9494	9494	8487	8487	TRUE	NAGATA	8476	8512	22	276086.28433	8487	***
TC_175	LT934125.1	-	UL50-L3	1	8487	9752	8487	9752	8487	9752	9752	9752	8487	8487	TRUE	NAGATA	8476	8512	22	276086.28433	8487	***
TC_175	LT934125.1	-	UL50-L4	1	8487	9800	8487	9800	8487	9800	9800	9800	8487	8487	TRUE	NAGATA	8476	8512	22	276086.28433	8487	***
TC_175	LT934125.1	-	UL50.1	1	8487	9058	8487	9058	8487	9058	9058	9058	8487	8487	TRUE	NAGATA	8476	8512	22	276086.28433	8487	***
TC_175	LT934125.1	-	UL50.1-S	1	8487	8997	8487	8997	8487	8997	8997	8997	8487	8487	TRUE	NAGATA	8476	8512	22	276086.28433	8487	***
TC_175	LT934125.1	-	UL50L	1	8487	9590	8487	9590	8487	9590	9590	9590	8487	8487	TRUE	NAGATA	8476	8512	22	276086.28433	8487	***
TC_175	LT934125.1	-	UL50S	1	8487	9214	8487	9214	8487	9214	9214	9214	8487	8487	TRUE	NAGATA	8476	8512	22	276086.28433	8487	***
TC_18	LT934125.1	+	UL46	1	14048	16224	14048	16224	14048	16224	14048	14048	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L	1	13944	16224	13944	16224	13944	16224	13944	13944	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L2	1	13793	16224	13793	16224	13793	16224	13793	13793	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L3	1	13746	16224	13746	16224	13746	16224	13746	13746	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L4	1	13569	16224	13569	16224	13569	16224	13569	13569	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L5	1	13539	16224	13539	16224	13539	16224	13539	13539	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L6	1	13521	16224	13521	16224	13521	16224	13521	13521	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L7	1	13177	16224	13177	16224	13177	16224	13177	13177	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L8	1	12812	16224	12812	16224	12812	16224	12812	12812	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46-L9	1	12406	16224	12406	16224	12406	16224	12406	12406	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.1	1	15597	16224	15597	16224	15597	16224	15597	15597	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.1-S2	1	15646	16224	15646	16224	15646	16224	15646	15646	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.1-S3	1	15750	16224	15750	16224	15750	16224	15750	15750	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.1-S4	1	15787	16224	15787	16224	15787	16224	15787	15787	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.10	1	14307	16224	14307	16224	14307	16224	14307	14307	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.10-S	1	14439	16224	14439	16224	14439	16224	14439	14439	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.2	1	15249	16224	15249	16224	15249	16224	15249	15249	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.5	1	14818	16224	14818	16224	14818	16224	14818	14818	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.5-S2	1	14930	16224	14930	16224	14930	16224	14930	14930	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.5-S3	1	15028	16224	15028	16224	15028	16224	15028	15028	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.6	1	14724	16224	14724	16224	14724	16224	14724	14724	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.6-S	1	14782	16224	14782	16224	14782	16224	14782	14782	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL46.9	1	14560	16224	14560	16224	14560	16224	14560	14560	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL47-46	1	11793	16224	11793	16224	11793	16224	11793	11793	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL48-47-46	1	10431	16224	10431	16224	10431	16224	10431	10431	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	UL49.5-49-48-47-46	1	9113	16224	9113	16224	9113	16224	9113	9113	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	nc-UL46	1	15883	16224	15883	16224	15883	16224	15883	15883	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_18	LT934125.1	+	nc-UL46-S	1	16014	16224	16014	16224	16014	16224	16014	16014	16224	16224	TRUE	NAGATA	16199	16238	23	759674.267904	16224	***
TC_181	LT934125.1	-	UL27	1	16583	19473	16583	19473	16583	19473	19473	19473	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.10	1	16583	17723	16583	17723	16583	17723	17723	17723	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.10-S	1	16583	17670	16583	17670	16583	17670	17670	17670	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.11	1	16583	18161	16583	18161	16583	18161	18161	18161	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.11-S	1	16583	18107	16583	18107	16583	18107	18107	18107	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.11-S2	1	16583	18086	16583	18086	16583	18086	18086	18086	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.11-S3	1	16583	17981	16583	17981	16583	17981	17981	17981	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.11-S4	1	16583	17900	16583	17900	16583	17900	17900	17900	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.11-S5	1	16583	17871	16583	17871	16583	17871	17871	17871	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.11-S6	1	16583	17792	16583	17792	16583	17792	17792	17792	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.11-S7	1	16583	17751	16583	17751	16583	17751	17751	17751	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.13	1	16583	18270	16583	18270	16583	18270	18270	18270	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.14	1	16583	18523	16583	18523	16583	18523	18523	18523	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.14-S	1	16583	18464	16583	18464	16583	18464	18464	18464	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.2	1	16583	16878	16583	16878	16583	16878	16878	16878	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
TC_181	LT934125.1	-	UL27.3	1	16583	16970	16583	16970	16583	16970	16970	16970	16583	16583	TRUE	NAGATA	16569	16609	22	438345.207477	16581	***
