chr	strand	gene	group	cluster	start	end	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC
LT934125.1	+	UL18	NRK_1h	57	70518	70521	70518	5263.157894	2631.578947	70518	70521	4		4	1h	NRK	1	0	70559	71449	70559	71449	931	0
LT934125.1	+	UL18	NRK_1h	58	71535	71544	71541	10526.315789	5263.157895	71535	71544	10		10	1h	NRK	1	58	70559	71449	70559	71449	-92	58
LT934125.1	+	UL18	NRK_2h	57	70518	70521	70521	6535.947712	5718.954248	70518	70521	4		4	2h	NRK	2	57	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	NRK_2h	58	71533	71544	71544	6535.947712	2450.980392	71533	71544	12		12	2h	NRK	2	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PC_12_1.5h	57	70519	70521	70521	5134.788189	3851.091142	70519	70521	3		3	1.5h	PC_12	1.5	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_1.5h	58	71535	71544	71541	10269.576379	5134.78819	71535	71544	10		10	1.5h	PC_12	1.5	58	70559	71449	70559	71449	-92	58
LT934125.1	+	UL18	PC_12_12h	57	70515	70521	70521	13840.83045	12030.91732	70519	70521	3		7	12h	PC_12	12	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_12h	58	71517	71544	71544	22803.823271	11113.786452	71531	71544	14		28	12h	PC_12	12	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PC_12_1h	57	70517	70521	70521	6097.560976	4573.170732	70517	70521	5		5	1h	PC_12	1	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_1h	58	71531	71544	71535	9146.341464	3810.97561	71531	71544	14		14	1h	PC_12	1	58	70559	71449	70559	71449	-86	58
LT934125.1	+	UL18	PC_12_2.5h	57	70518	70521	70521	4737.295435	4306.632214	70521	70521	1		4	2.5h	PC_12	2.5	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_2.5h	58	71530	71544	71541	18087.855296	7321.274763	71531	71544	14		15	2.5h	PC_12	2.5	58	70559	71449	70559	71449	-92	58
LT934125.1	+	UL18	PC_12_2h	57	70515	70521	70521	8627.45098	5751.633987	70518	70521	4		7	2h	PC_12	2	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_2h	58	71529	71544	71544	10196.07843	6274.509804	71531	71544	14		16	2h	PC_12	2	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PC_12_4h	57	70512	70521	70521	8647.758275	7927.111752	70521	70521	1		10	4h	PC_12	4	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_4h	58	71516	71544	71544	20075.153139	10294.950327	71531	71544	14		29	4h	PC_12	4	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PC_12_6h	57	70513	70521	70521	10480.058421	8942.641538	70519	70521	3		9	6h	PC_12	6	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_6h	58	71516	71544	71544	21216.35299	10044.456972	71531	71544	14		29	6h	PC_12	6	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PC_12_8h	57	70512	70521	70521	13234.890737	11440.522995	70519	70521	3		10	8h	PC_12	8	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PC_12_8h	58	71516	71544	71544	16252.171528	8000.365731	71531	71544	14		29	8h	PC_12	8	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PK_15_12h	57	70513	70521	70521	26499.912002	23393.71783	70520	70521	2		9	12h	PK_15	12	57	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PK_15_12h	58	71517	71544	71544	21510.240253	10044.184531	71531	71544	14		28	12h	PK_15	12	0	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PK_15_1h	57	70519	70519	70519	748.502994	748.502994	70519	70519	1		1	1h	PK_15	1	57	70559	71449	70559	71449	930	0
LT934125.1	+	UL18	PK_15_1h	58	71535	71535	71535	748.502994	748.502994	71535	71535	1		1	1h	PK_15	1	58	70559	71449	70559	71449	-86	58
LT934125.1	+	UL18	PK_15_2h	57	70516	70521	70521	12060.38627	9530.235304	70519	70521	3		6	2h	PK_15	2	57	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PK_15_2h	58	71527	71544	71544	7421.776169	3036.181159	71531	71544	14		18	2h	PK_15	2	0	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PK_15_4h	57	70512	70521	70521	12391.882903	10499.833666	70519	70521	3		10	4h	PK_15	4	57	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PK_15_4h	58	71529	71544	71544	11851.297407	5634.564205	71531	71544	14		16	4h	PK_15	4	0	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PK_15_6h	57	70513	70521	70521	14509.304772	12657.909433	70519	70521	3		9	6h	PK_15	6	0	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PK_15_6h	58	71518	71544	71544	14886.62719	6932.670587	71531	71544	14		27	6h	PK_15	6	58	70559	71449	70559	71449	-95	58
LT934125.1	+	UL18	PK_15_8h	57	70513	70521	70521	20334.704445	18152.066272	70520	70521	2		9	8h	PK_15	8	57	70559	71449	70559	71449	928	0
LT934125.1	+	UL18	PK_15_8h	58	71523	71545	71544	13634.628864	6692.592251	71531	71544	14		23	8h	PK_15	8	0	70559	71449	70559	71449	-95	58
LT934125.1	+	UL19	PK_15_2h	54	67067	67067	67067	84.338366	84.338366	67067	67067	1	UL19	1	2h	PK_15	2	54	66399	70391	66399	70391	3324	54
LT934125.1	+	UL22	C6_12h	47	60246	60256	60251	4952.580381	4132.020112	60251	60251	1		11	12h	C6	12	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	C6_1h	47	60248	60254	60251	43705.153293	35877.364644	60251	60252	2		7	1h	C6	1	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	C6_2h	47	60243	60254	60251	57447.890189	50330.452466	60251	60251	1		12	2h	C6	2	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	C6_4h	47	60250	60254	60251	14463.981849	12762.336926	60251	60251	1		5	4h	C6	4	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	C6_6h	47	60242	60254	60251	18434.687755	15271.338969	60251	60251	1		13	6h	C6	6	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	C6_8h	47	60244	60254	60251	11445.026051	9565.991923	60251	60251	1		11	8h	C6	8	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	NRK_1h	47	60248	60256	60251	42105.263157	28947.368421	60249	60254	6		9	1h	NRK	1	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	NRK_2h	47	60248	60254	60251	31862.745098	25326.797386	60250	60252	3		7	2h	NRK	2	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PC_12_1.5h	47	60248	60256	60251	51347.881898	43645.699615	60251	60252	2		9	1.5h	PC_12	1.5	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PC_12_12h	47	60246	60256	60251	5356.693567	4534.251727	60251	60251	1		11	12h	PC_12	12	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PC_12_1h	47	60246	60254	60251	38109.756098	28963.414634	60250	60252	3		9	1h	PC_12	1	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PC_12_2.5h	47	60247	60256	60251	37467.700258	32299.741602	60251	60251	1		10	2.5h	PC_12	2.5	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PC_12_2h	47	60243	60256	60251	28496.732023	24313.72549	60251	60251	1		14	2h	PC_12	2	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PC_12_4h	47	60243	60256	60251	15082.102229	12817.213157	60251	60251	1		14	4h	PC_12	4	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PC_12_6h	47	60243	60254	60251	13618.951226	11569.062048	60251	60251	1		12	6h	PC_12	6	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PC_12_8h	47	60243	60256	60251	10686.2028	9097.558746	60251	60251	1		14	8h	PC_12	8	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PK_15_12h	47	60247	60256	60251	2584.378252	2190.700561	60251	60251	1		10	12h	PK_15	12	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PK_15_1h	47	60251	60252	60251	5988.023952	5239.520958	60251	60252	2		2	1h	PK_15	1	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PK_15_2h	47	60240	60256	60251	15686.935989	12060.38627	60250	60252	3		17	2h	PK_15	2	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PK_15_4h	47	60246	60256	60251	19585.828343	15697.771124	60251	60252	2		11	4h	PK_15	4	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PK_15_6h	47	60246	60256	60251	11203.960377	9417.967591	60251	60252	2		11	6h	PK_15	6	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL22	PK_15_8h	47	60243	60256	60251	7902.397408	6692.592251	60251	60251	1		14	8h	PK_15	8	47	60254	62314	60254	62314	2063	47
LT934125.1	+	UL23	C6_12h	46	59795	59795	59795	12.174485	12.174485	59795	59795	1	UL23	1	12h	C6	12	46	59156	60118	59156	60118	323	46
LT934125.1	+	UL23	PC_12_4h	46	59788	59788	59788	51.474752	51.474752	59788	59788	1	UL23	1	4h	PC_12	4	46	59156	60118	59156	60118	330	46
LT934125.1	+	UL35	C6_12h	24	32402	32415	32415	88235.79542	80726.573248	32415	32415	1		14	12h	C6	12	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	C6_1h	24	32411	32415	32415	28049.575995	26744.944553	32415	32415	1		5	1h	C6	1	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	C6_2h	24	32413	32415	32415	26436.197255	25419.420437	32415	32415	1		3	2h	C6	2	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	C6_4h	24	32410	32415	32415	43959.160522	40272.263188	32415	32415	1		6	4h	C6	4	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	C6_6h	24	32409	32415	32415	51213.526044	46850.286338	32415	32415	1		7	6h	C6	6	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	C6_8h	24	32409	32415	32415	60763.571142	55699.940213	32415	32415	1		7	8h	C6	8	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	C6_8h	26	32704	32704	32704	24.403041	24.403041	32704	32704	1		1	8h	C6	8	0	32066	32377	32066	32377	-327	0
LT934125.1	+	UL35	NRK_1h	24	32412	32415	32415	34210.526315	28947.368421	32413	32415	3		4	1h	NRK	1	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	NRK_2h	24	32410	32416	32415	22058.823529	13888.888889	32413	32415	3		7	2h	NRK	2	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	PC_12_1.5h	24	32413	32415	32415	29525.032092	26957.637997	32415	32415	1		3	1.5h	PC_12	1.5	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	PC_12_12h	24	32407	32415	32415	111789.866109	101579.683522	32415	32415	1		9	12h	PC_12	12	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	PC_12_1h	24	32407	32415	32415	19054.878049	17530.487805	32415	32415	1		9	1h	PC_12	1	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	PC_12_2.5h	24	32410	32416	32415	27562.446166	25409.13006	32415	32415	1		7	2.5h	PC_12	2.5	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	PC_12_2h	24	32412	32416	32415	33986.928103	30588.235294	32415	32415	1		5	2h	PC_12	2	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	PC_12_4h	24	32404	32415	32415	57239.923818	51474.751634	32414	32415	2		12	4h	PC_12	4	24	32066	32377	32066	32377	-38	24
LT934125.1	+	UL35	PC_12_6h	23	32276	32276	32276	25.623615	25.623615	32276	32276	1	UL35	1	6h	PC_12	6	0	32066	32377	32066	32377	101	0
