hpi	cell_line	seqnames	strand	cluster	cluster_start	cluster_end	cluster_peak	cluster_width	cluster_total_count	meta_cluster
12h	C6	LT934125.1	+	926	128182	128258	128189	77	147	57
12h	C6	LT934125.1	+	954	136114	136181	136158	68	174	58
12h	C6	LT934125.1	+	956	136335	136396	136348	62	211	59
1h	C6	LT934125.1	+	2	1332	1337	1334	6	11	59
1h	C6	LT934125.1	+	5	9267	9272	9270	6	16	59
1h	C6	LT934125.1	+	10	14048	14054	14048	7	11	59
1h	C6	LT934125.1	+	18	31096	31098	31098	3	8	59
1h	C6	LT934125.1	+	22	44810	44812	44812	3	7	59
1h	C6	LT934125.1	+	28	48567	48581	48567	15	33	59
1h	C6	LT934125.1	+	30	52444	52461	52460	18	14	59
1h	C6	LT934125.1	+	34	59011	59073	59068	63	25	59
1h	C6	LT934125.1	+	40	70529	70534	70531	6	16	59
1h	C6	LT934125.1	+	42	74400	74403	74402	4	6	59
1h	C6	LT934125.1	+	46	79418	79444	79440	27	7	59
1h	C6	LT934125.1	+	50	114985	114988	114985	4	58	59
1h	C6	LT934125.1	+	55	118860	118866	118864	7	50	59
1h	C6	LT934125.1	+	61	121784	121786	121784	3	11	59
1h	C6	LT934125.1	+	63	122979	122981	122981	3	7	59
1h	C6	LT934125.1	+	68	125222	125236	125223	15	36	59
1h	C6	LT934125.1	-	2	3908	3910	3908	3	8	46
1h	C6	LT934125.1	-	3	9494	9498	9494	5	8	46
1h	C6	LT934125.1	-	9	19467	19514	19473	48	8	46
1h	C6	LT934125.1	-	14	25232	25313	25232	82	6	46
1h	C6	LT934125.1	-	19	34405	34480	34474	76	7	46
1h	C6	LT934125.1	-	23	51142	51147	51147	6	11	46
1h	C6	LT934125.1	-	26	56111	56194	56188	84	46	46
1h	C6	LT934125.1	-	28	63410	63420	63420	11	9	46
1h	C6	LT934125.1	-	40	97317	97361	97344	45	37	46
1h	C6	LT934125.1	-	45	128729	128732	128732	4	58	46
2h	C6	LT934125.1	+	4	1334	1351	1337	18	15	59
2h	C6	LT934125.1	+	9	9267	9314	9270	48	19	59
2h	C6	LT934125.1	+	11	9643	9689	9644	47	5	59
2h	C6	LT934125.1	+	12	14048	14051	14048	4	5	59
2h	C6	LT934125.1	+	20	44810	44812	44810	3	5	59
2h	C6	LT934125.1	+	22	48565	48575	48567	11	37	59
2h	C6	LT934125.1	+	26	51152	51240	51152	89	8	59
2h	C6	LT934125.1	+	28	52440	52484	52460	45	9	59
2h	C6	LT934125.1	+	29	59041	59095	59068	55	64	59
2h	C6	LT934125.1	+	43	70528	70535	70531	8	34	59
2h	C6	LT934125.1	+	46	74400	74403	74400	4	15	59
2h	C6	LT934125.1	+	51	79439	79454	79444	16	19	59
2h	C6	LT934125.1	+	59	91383	91414	91409	32	6	59
2h	C6	LT934125.1	+	62	114985	115083	114985	99	98	59
2h	C6	LT934125.1	+	68	118860	118873	118864	14	45	59
2h	C6	LT934125.1	+	76	125221	125302	125223	82	32	59
2h	C6	LT934125.1	-	7	9494	9498	9494	5	12	46
2h	C6	LT934125.1	-	15	29404	29414	29409	11	10	46
2h	C6	LT934125.1	-	21	51145	51147	51147	3	8	46
2h	C6	LT934125.1	-	24	56114	56194	56188	81	61	46
2h	C6	LT934125.1	-	26	63415	63420	63420	6	50	46
2h	C6	LT934125.1	-	30	81804	81895	81804	92	8	46
2h	C6	LT934125.1	-	40	97297	97361	97361	65	25	46
2h	C6	LT934125.1	-	55	128634	128732	128732	99	98	46
4h	C6	LT934125.1	-	1	3847	3942	3910	96	8	46
4h	C6	LT934125.1	-	7	9462	9534	9494	73	15	46
4h	C6	LT934125.1	-	17	19470	19473	19471	4	27	46
4h	C6	LT934125.1	-	26	29407	29414	29414	8	39	46
4h	C6	LT934125.1	-	39	51094	51147	51147	54	11	46
4h	C6	LT934125.1	-	43	56115	56194	56188	80	87	46
4h	C6	LT934125.1	-	46	56946	56947	56946	2	9	46
4h	C6	LT934125.1	-	51	63410	63420	63420	11	166	46
4h	C6	LT934125.1	-	55	65749	65752	65752	4	9	46
4h	C6	LT934125.1	-	65	81804	81874	81804	71	32	46
4h	C6	LT934125.1	-	66	87157	87250	87157	94	10	46
4h	C6	LT934125.1	-	72	92927	92936	92933	10	28	46
4h	C6	LT934125.1	-	73	93653	93654	93654	2	5	46
4h	C6	LT934125.1	-	74	94526	94529	94526	4	5	46
4h	C6	LT934125.1	-	75	94943	94947	94947	5	5	46
4h	C6	LT934125.1	-	81	97334	97367	97339	34	20	46
4h	C6	LT934125.1	-	94	128661	128738	128732	78	223	46
4h	C6	LT934125.1	+	2	982	990	990	9	17	59
4h	C6	LT934125.1	+	3	1334	1393	1334	60	13	59
4h	C6	LT934125.1	+	4	1593	1603	1600	11	8	59
4h	C6	LT934125.1	+	7	7588	7596	7591	9	9	59
4h	C6	LT934125.1	+	9	9020	9113	9020	94	6	59
4h	C6	LT934125.1	+	10	9267	9274	9270	8	18	59
4h	C6	LT934125.1	+	11	9643	9646	9646	4	7	59
4h	C6	LT934125.1	+	15	14044	14053	14048	10	35	59
4h	C6	LT934125.1	+	23	31095	31098	31098	4	34	59
4h	C6	LT934125.1	+	25	31982	32039	32036	58	30	59
4h	C6	LT934125.1	+	29	44810	44813	44812	4	21	59
4h	C6	LT934125.1	+	31	46024	46027	46025	4	5	59
4h	C6	LT934125.1	+	38	48567	48599	48567	33	51	59
4h	C6	LT934125.1	+	43	51148	51238	51235	91	19	59
4h	C6	LT934125.1	+	44	52460	52494	52460	35	18	59
4h	C6	LT934125.1	+	47	53648	53649	53648	2	10	59
4h	C6	LT934125.1	+	51	59044	59073	59068	30	33	59
4h	C6	LT934125.1	+	69	70529	70535	70529	7	71	59
4h	C6	LT934125.1	+	74	74335	74406	74402	72	21	59
4h	C6	LT934125.1	+	75	78040	78062	78040	23	7	59
4h	C6	LT934125.1	+	76	79440	79447	79444	8	24	59
4h	C6	LT934125.1	+	83	91409	91476	91409	68	9	59
4h	C6	LT934125.1	+	90	114979	115056	114985	78	222	59
4h	C6	LT934125.1	+	97	118791	118868	118864	78	139	59
4h	C6	LT934125.1	+	107	121715	121795	121784	81	21	59
4h	C6	LT934125.1	+	109	122978	122983	122979	6	23	59
4h	C6	LT934125.1	+	115	124716	124758	124756	43	20	59
4h	C6	LT934125.1	+	117	125223	125230	125225	8	62	59
6h	C6	LT934125.1	+	3	960	997	990	38	71	59
6h	C6	LT934125.1	+	5	1314	1396	1337	83	76	59
6h	C6	LT934125.1	+	6	1583	1604	1600	22	39	59
6h	C6	LT934125.1	+	14	7588	7596	7588	9	39	59
6h	C6	LT934125.1	+	21	9107	9145	9113	39	30	59
6h	C6	LT934125.1	+	22	9267	9343	9270	77	160	59
6h	C6	LT934125.1	+	25	9640	9708	9646	69	49	59
6h	C6	LT934125.1	+	30	10431	10433	10431	3	9	59
6h	C6	LT934125.1	+	42	14022	14054	14048	33	241	59
6h	C6	LT934125.1	+	47	15099	15170	15099	72	6	59
6h	C6	LT934125.1	+	59	25420	25424	25422	5	9	59
6h	C6	LT934125.1	+	72	30235	30293	30235	59	20	59
6h	C6	LT934125.1	+	76	31093	31149	31098	57	190	59
6h	C6	LT934125.1	+	81	32028	32095	32036	68	261	59
6h	C6	LT934125.1	+	95	44807	44833	44812	27	156	59
6h	C6	LT934125.1	+	100	46010	46032	46024	23	20	59
6h	C6	LT934125.1	+	101	46233	46270	46233	38	22	59
6h	C6	LT934125.1	+	106	47282	47344	47319	63	8	59
6h	C6	LT934125.1	+	114	48565	48608	48567	44	239	59
6h	C6	LT934125.1	+	127	51230	51282	51235	53	107	59
6h	C6	LT934125.1	+	135	52437	52464	52460	28	131	59
6h	C6	LT934125.1	+	136	52484	52549	52484	66	8	59
6h	C6	LT934125.1	+	142	53644	53655	53648	12	62	59
6h	C6	LT934125.1	+	153	55303	55353	55324	51	8	59
6h	C6	LT934125.1	+	161	59039	59100	59068	62	235	59
6h	C6	LT934125.1	+	168	60232	60260	60234	29	27	59
6h	C6	LT934125.1	+	182	66335	66344	66338	10	44	59
6h	C6	LT934125.1	+	194	69198	69247	69237	50	6	59
6h	C6	LT934125.1	+	198	69994	70090	70090	97	16	59
6h	C6	LT934125.1	+	201	70525	70561	70531	37	374	59
6h	C6	LT934125.1	+	210	72694	72763	72759	70	7	59
6h	C6	LT934125.1	+	212	74396	74448	74400	53	203	59
6h	C6	LT934125.1	+	220	76674	76688	76683	15	22	59
6h	C6	LT934125.1	+	222	76990	77058	76990	69	8	59
6h	C6	LT934125.1	+	226	78035	78099	78044	65	69	59
6h	C6	LT934125.1	+	233	79437	79517	79444	81	229	59
6h	C6	LT934125.1	+	236	79734	79825	79734	92	7	59
6h	C6	LT934125.1	+	257	90369	90381	90381	13	6	59
6h	C6	LT934125.1	+	262	91360	91415	91409	56	27	59
6h	C6	LT934125.1	+	279	107429	107485	107482	57	15	59
6h	C6	LT934125.1	+	289	114979	115075	114985	97	944	59
6h	C6	LT934125.1	+	292	115731	115829	115815	99	7	59
6h	C6	LT934125.1	+	293	115914	115946	115914	33	6	59
6h	C6	LT934125.1	+	295	116139	116216	116170	78	10	59
6h	C6	LT934125.1	+	298	116429	116487	116429	59	7	59
6h	C6	LT934125.1	+	300	116607	116649	116622	43	6	59
6h	C6	LT934125.1	+	301	116696	116768	116696	73	6	59
6h	C6	LT934125.1	+	304	117768	117791	117769	24	17	59
6h	C6	LT934125.1	+	311	118859	118876	118864	18	568	59
6h	C6	LT934125.1	+	313	119157	119230	119157	74	6	59
6h	C6	LT934125.1	+	317	119693	119763	119693	71	6	59
6h	C6	LT934125.1	+	318	119808	119871	119808	64	8	59
6h	C6	LT934125.1	+	324	120555	120624	120555	70	42	59
6h	C6	LT934125.1	+	331	121783	121837	121784	55	171	59
6h	C6	LT934125.1	+	338	122922	122988	122979	67	107	59
6h	C6	LT934125.1	+	347	124252	124316	124306	65	6	59
6h	C6	LT934125.1	+	348	124369	124462	124369	94	6	59
6h	C6	LT934125.1	+	350	124756	124791	124756	36	80	59
6h	C6	LT934125.1	+	353	125177	125272	125225	96	325	59
6h	C6	LT934125.1	+	362	128051	128079	128061	29	11	59
6h	C6	LT934125.1	+	365	136117	136158	136158	42	8	59
6h	C6	LT934125.1	+	367	136338	136372	136348	35	9	59
6h	C6	LT934125.1	-	6	3838	3912	3910	75	54	46
6h	C6	LT934125.1	-	8	4146	4210	4210	65	6	46
6h	C6	LT934125.1	-	11	4893	4927	4925	35	8	46
6h	C6	LT934125.1	-	20	9420	9499	9494	80	78	46
6h	C6	LT934125.1	-	21	9526	9592	9526	67	6	46
6h	C6	LT934125.1	-	31	17303	17363	17303	61	8	46
6h	C6	LT934125.1	-	37	17970	18019	17978	50	7	46
6h	C6	LT934125.1	-	45	19440	19533	19471	94	147	46
6h	C6	LT934125.1	-	52	21939	21967	21939	29	7	46
6h	C6	LT934125.1	-	65	25309	25320	25313	12	16	46
6h	C6	LT934125.1	-	72	29238	29316	29291	79	10	46
6h	C6	LT934125.1	-	73	29359	29417	29412	59	250	46
6h	C6	LT934125.1	-	74	29507	29572	29507	66	9	46
6h	C6	LT934125.1	-	80	30822	30882	30877	61	19	46
6h	C6	LT934125.1	-	85	32836	32870	32842	35	7	46
6h	C6	LT934125.1	-	93	34405	34480	34474	76	36	46
6h	C6	LT934125.1	-	109	44886	44893	44889	8	17	46
6h	C6	LT934125.1	-	119	50982	51055	51055	74	8	46
6h	C6	LT934125.1	-	120	51093	51149	51147	57	73	46
6h	C6	LT934125.1	-	136	56115	56150	56115	36	6	46
6h	C6	LT934125.1	-	137	56173	56222	56188	50	466	46
6h	C6	LT934125.1	-	140	56940	56996	56946	57	60	46
6h	C6	LT934125.1	-	145	58565	58572	58570	8	17	46
6h	C6	LT934125.1	-	153	63359	63423	63420	65	1777	46
6h	C6	LT934125.1	-	163	65746	65752	65752	7	43	46
6h	C6	LT934125.1	-	191	80582	80655	80582	74	8	46
6h	C6	LT934125.1	-	193	80796	80862	80796	67	9	46
6h	C6	LT934125.1	-	194	81035	81130	81130	96	7	46
6h	C6	LT934125.1	-	195	81205	81304	81205	100	6	46
6h	C6	LT934125.1	-	198	81748	81842	81804	95	228	46
6h	C6	LT934125.1	-	199	81864	81919	81897	56	16	46
6h	C6	LT934125.1	-	211	87123	87161	87161	39	31	46
6h	C6	LT934125.1	-	213	87380	87447	87447	68	6	46
6h	C6	LT934125.1	-	222	92750	92830	92750	81	6	46
6h	C6	LT934125.1	-	223	92909	92936	92933	28	167	46
6h	C6	LT934125.1	-	227	93623	93654	93654	32	31	46
6h	C6	LT934125.1	-	228	94459	94529	94526	71	26	46
6h	C6	LT934125.1	-	229	94917	95014	94947	98	36	46
6h	C6	LT934125.1	-	234	96561	96614	96601	54	11	46
6h	C6	LT934125.1	-	239	97291	97361	97339	71	143	46
6h	C6	LT934125.1	-	251	107345	107379	107369	35	9	46
6h	C6	LT934125.1	-	253	107559	107600	107559	42	8	46
6h	C6	LT934125.1	-	256	115638	115666	115656	29	11	46
6h	C6	LT934125.1	-	259	118376	118400	118400	25	7	46
6h	C6	LT934125.1	-	272	126949	127021	126949	73	6	46
6h	C6	LT934125.1	-	273	127068	127110	127095	43	6	46
6h	C6	LT934125.1	-	275	127230	127288	127230	59	7	46
6h	C6	LT934125.1	-	278	127501	127578	127522	78	10	46
6h	C6	LT934125.1	-	280	127771	127803	127771	33	6	46
6h	C6	LT934125.1	-	281	127888	127986	127902	99	7	46
6h	C6	LT934125.1	-	284	128642	128738	128732	97	946	46
6h	C6	LT934125.1	-	294	136232	136288	136233	57	15	46
8h	C6	LT934125.1	-	15	3877	3942	3910	66	56	46
8h	C6	LT934125.1	-	34	9455	9533	9494	79	164	46
8h	C6	LT934125.1	-	52	17333	17407	17341	75	40	46
8h	C6	LT934125.1	-	53	17440	17509	17440	70	19	46
8h	C6	LT934125.1	-	54	17537	17626	17551	90	16	46
8h	C6	LT934125.1	-	64	19466	19514	19471	49	134	46
8h	C6	LT934125.1	-	71	21888	21944	21941	57	29	46
8h	C6	LT934125.1	-	89	25230	25313	25313	84	28	46
8h	C6	LT934125.1	-	101	29364	29424	29414	61	839	46
8h	C6	LT934125.1	-	126	34430	34478	34478	49	38	46
8h	C6	LT934125.1	-	147	44842	44893	44889	52	46	46
8h	C6	LT934125.1	-	162	50592	50641	50641	50	16	46
8h	C6	LT934125.1	-	167	51052	51129	51094	78	24	46
8h	C6	LT934125.1	-	168	51139	51184	51147	46	224	46
8h	C6	LT934125.1	-	181	55362	55439	55438	78	19	46
8h	C6	LT934125.1	-	189	56081	56156	56115	76	21	46
8h	C6	LT934125.1	-	190	56168	56222	56188	55	1382	46
8h	C6	LT934125.1	-	197	56936	57036	56946	101	107	46
8h	C6	LT934125.1	-	203	58490	58575	58570	86	20	46
8h	C6	LT934125.1	-	212	63256	63331	63310	76	18	46
8h	C6	LT934125.1	-	213	63342	63438	63420	97	5602	46
8h	C6	LT934125.1	-	229	65685	65756	65752	72	79	46
8h	C6	LT934125.1	-	271	80517	80607	80517	91	16	46
8h	C6	LT934125.1	-	272	80633	80679	80633	47	20	46
8h	C6	LT934125.1	-	275	80853	80940	80854	88	32	46
8h	C6	LT934125.1	-	284	81802	81897	81804	96	338	46
8h	C6	LT934125.1	-	294	87137	87215	87161	79	78	46
8h	C6	LT934125.1	-	296	87392	87448	87447	57	20	46
8h	C6	LT934125.1	-	303	89072	89165	89079	94	32	46
8h	C6	LT934125.1	-	314	92879	92967	92933	89	454	46
8h	C6	LT934125.1	-	319	93646	93654	93654	9	83	46
8h	C6	LT934125.1	-	322	94481	94536	94526	56	71	46
8h	C6	LT934125.1	-	324	94943	94973	94947	31	72	46
8h	C6	LT934125.1	-	333	96566	96606	96596	41	18	46
8h	C6	LT934125.1	-	339	97321	97367	97339	47	269	46
8h	C6	LT934125.1	-	364	107543	107613	107559	71	37	46
8h	C6	LT934125.1	-	373	115505	115532	115528	28	20	46
8h	C6	LT934125.1	-	383	119910	119992	119910	83	18	46
8h	C6	LT934125.1	-	397	126864	126926	126885	63	16	46
8h	C6	LT934125.1	-	399	127001	127081	127002	81	22	46
8h	C6	LT934125.1	-	400	127112	127179	127126	68	20	46
8h	C6	LT934125.1	-	401	127191	127264	127254	74	23	46
8h	C6	LT934125.1	-	402	127279	127362	127314	84	23	46
8h	C6	LT934125.1	-	403	127396	127472	127434	77	20	46
8h	C6	LT934125.1	-	404	127522	127620	127547	99	33	46
8h	C6	LT934125.1	-	413	128680	128738	128732	59	1807	46
8h	C6	LT934125.1	-	424	136208	136247	136235	40	46	46
8h	C6	LT934125.1	-	425	136267	136328	136285	62	23	46
8h	C6	LT934125.1	+	4	952	1007	990	56	67	59
8h	C6	LT934125.1	+	5	1292	1375	1337	84	142	59
8h	C6	LT934125.1	+	7	1590	1660	1600	71	59	59
8h	C6	LT934125.1	+	20	7584	7636	7588	53	127	59
8h	C6	LT934125.1	+	27	9107	9151	9113	45	109	59
8h	C6	LT934125.1	+	28	9237	9301	9270	65	456	59
8h	C6	LT934125.1	+	31	9477	9556	9548	80	30	59
8h	C6	LT934125.1	+	32	9640	9723	9646	84	148	59
8h	C6	LT934125.1	+	40	10430	10438	10431	9	17	59
8h	C6	LT934125.1	+	53	14016	14054	14048	39	384	59
8h	C6	LT934125.1	+	95	30235	30329	30240	95	21	59
8h	C6	LT934125.1	+	99	31090	31152	31098	63	393	59
8h	C6	LT934125.1	+	106	31994	32050	32038	57	1511	59
8h	C6	LT934125.1	+	107	32062	32118	32091	57	18	59
8h	C6	LT934125.1	+	108	32131	32194	32145	64	19	59
8h	C6	LT934125.1	+	126	44779	44852	44812	74	385	59
8h	C6	LT934125.1	+	150	48559	48599	48567	41	1377	59
8h	C6	LT934125.1	+	151	48611	48670	48622	60	21	59
8h	C6	LT934125.1	+	152	48685	48773	48691	89	20	59
8h	C6	LT934125.1	+	154	48850	48933	48868	84	19	59
8h	C6	LT934125.1	+	158	49196	49261	49196	66	16	59
8h	C6	LT934125.1	+	168	51232	51302	51235	71	209	59
8h	C6	LT934125.1	+	176	52435	52494	52460	60	270	59
8h	C6	LT934125.1	+	186	53643	53696	53648	54	94	59
8h	C6	LT934125.1	+	214	59038	59080	59068	43	391	59
8h	C6	LT934125.1	+	226	60233	60260	60234	28	40	59
8h	C6	LT934125.1	+	240	66337	66359	66338	23	61	59
8h	C6	LT934125.1	+	251	69198	69252	69244	55	17	59
8h	C6	LT934125.1	+	258	70012	70095	70090	84	28	59
8h	C6	LT934125.1	+	261	70490	70576	70531	87	1143	59
8h	C6	LT934125.1	+	265	70952	71043	71043	92	16	59
8h	C6	LT934125.1	+	272	72758	72788	72759	31	18	59
8h	C6	LT934125.1	+	280	74397	74435	74400	39	568	59
8h	C6	LT934125.1	+	291	76677	76692	76683	16	42	59
8h	C6	LT934125.1	+	296	78018	78062	78044	45	103	59
8h	C6	LT934125.1	+	307	79428	79492	79444	65	905	59
8h	C6	LT934125.1	+	311	79753	79825	79781	73	21	59
8h	C6	LT934125.1	+	349	91350	91415	91409	66	99	59
8h	C6	LT934125.1	+	382	107389	107450	107392	62	23	59
8h	C6	LT934125.1	+	383	107470	107509	107482	40	46	59
8h	C6	LT934125.1	+	394	114979	115037	114985	59	1800	59
8h	C6	LT934125.1	+	404	116097	116195	116170	99	33	59
8h	C6	LT934125.1	+	405	116245	116321	116283	77	20	59
8h	C6	LT934125.1	+	407	116420	116475	116453	56	20	59
8h	C6	LT934125.1	+	408	116483	116559	116552	77	20	59
8h	C6	LT934125.1	+	409	116581	116663	116582	83	19	59
8h	C6	LT934125.1	+	410	116682	116742	116682	61	21	59
8h	C6	LT934125.1	+	411	116754	116852	116791	99	25	59
8h	C6	LT934125.1	+	413	117769	117789	117769	21	20	59
8h	C6	LT934125.1	+	421	118857	118927	118864	71	1864	59
8h	C6	LT934125.1	+	431	119763	119826	119763	64	17	59
8h	C6	LT934125.1	+	439	120554	120635	120555	82	43	59
8h	C6	LT934125.1	+	446	121777	121837	121784	61	300	59
8h	C6	LT934125.1	+	454	122922	122991	122979	70	178	59
8h	C6	LT934125.1	+	462	124295	124348	124302	54	18	59
8h	C6	LT934125.1	+	467	124725	124790	124756	66	194	59
8h	C6	LT934125.1	+	472	125193	125288	125225	96	1210	59
8h	C6	LT934125.1	+	485	128185	128212	128189	28	21	59
8h	C6	LT934125.1	+	494	136104	136174	136158	71	37	59
1h	NRK	LT934125.1	+	8	48567	48570	48567	4	7	59
1h	NRK	LT934125.1	+	11	52440	52460	52460	21	5	59
1h	NRK	LT934125.1	+	12	59068	59070	59068	3	6	59
1h	NRK	LT934125.1	+	18	118860	118866	118864	7	10	59
1h	NRK	LT934125.1	+	23	125223	125225	125223	3	7	59
1h	NRK	LT934125.1	-	9	97321	97361	97337	41	15	46
2h	NRK	LT934125.1	+	3	1334	1339	1334	6	5	59
2h	NRK	LT934125.1	+	6	9267	9270	9270	4	6	59
2h	NRK	LT934125.1	+	12	31097	31098	31098	2	7	59
2h	NRK	LT934125.1	+	16	44809	44812	44810	4	6	59
2h	NRK	LT934125.1	+	20	48567	48570	48567	4	26	59
