seqnames	strand	gene	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines	dcDNA_TC_significance
LT934125.1	+	TC_24	24	32402	32416	0	22	1127627.341637	0	0	1.70910005974331	32415	32415	32415	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_25	25	32516	32516	0	1	84.338366	0	0	0	32516	32516	32516	2h	PK_15	*
LT934125.1	+	TC_26	26	32704	32704	0	1	24.403041	0	0	0	32704	32704	32704	8h	C6	*
LT934125.1	+	TC_27	27	35560	35560	0	1	51.474752	0	0	0	35560	35560	35560	4h	PC_12	
LT934125.1	+	TC_28	28	44777	44777	0	1	54.540496	0	0	0	44777	44777	44777	6h	C6	
LT934125.1	+	TC_29	29	45056	45056	0	1	25.623615	0	0	0	45056	45056	45056	6h	PC_12	*
LT934125.1	+	TC_3	3	7254	7254	0	1	54.540496	0	0	0	7254	7254	7254	6h	C6	*
LT934125.1	+	TC_30	30	45890	45890	0	2	40.716512	0	0	0	45890	45890	45890	6h	PC_12, PK_15	*
LT934125.1	+	TC_31	31	46021	46040	4	22	245317.60168	0	0	2.32192809488736	46038	46034	46038	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_32	32	49161	49161	0	2	40.716512	0	0	0	49161	49161	49161	6h	PC_12, PK_15	*
LT934125.1	+	TC_33	33	49636	49649	0	23	1216962.159449	0	0	1.66829136646861	49647	49647	49647	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_34	34	50248	50248	0	1	283.607487	0	0	0	50248	50248	50248	4h	C6	*
LT934125.1	+	TC_35	35	51338	51338	0	1	283.607487	0	0	0	51338	51338	51338	4h	C6	*
LT934125.1	+	TC_36	36	51840	51840	0	1	51.474752	0	0	0	51840	51840	51840	4h	PC_12	*
LT934125.1	+	TC_37	37	52420	52443	2	23	308606.953114	1.39153684928489	1.39153684928489	7.30363308574996	52437	52435	52437	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_38	38	53413	53413	0	1	430.663221	0	0	0	53413	53413	53413	2.5h	PC_12	*
LT934125.1	+	TC_39	39	53577	53607	6	23	404580.46576	0	0	11.962302533691	53594	53592	53598	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_4	4	8509	8528	0	21	77380.566775	0	0	5.7977921798273	8523	8523	8523	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_40	40	54100	54100	0	1	13.894507	0	0	0	54100	54100	54100	12h	PK_15	*
LT934125.1	+	TC_41	41	54804	54804	0	2	30.047723	0	0	0	54804	54804	54804	12h	C6, PK_15	*
LT934125.1	+	TC_42	42	55146	55161	3	22	310850.886885	0	0	3.34184433855595	55161	55158	55161	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_43	43	55262	55279	17	15	5074.815935	0	0	9.12255624629123	55270	55262	55279	12h, 4h, 6h, 8h, 1h, 2.5h, 2h	C6, PC_12, PK_15	***
LT934125.1	+	TC_44	44	55471	55474	3	7	948.713997	0	0	0	55471	55471	55474	12h, 4h, 2h, 8h, 6h	C6, PC_12, PK_15	***
LT934125.1	+	TC_45	45	56189	56189	0	5	167.324543	0	0	0	56189	56189	56189	12h, 6h, 8h	C6, PC_12, PK_15	**
LT934125.1	+	TC_46	46	59788	59795	7	2	63.649237	0	0	0	59792	59788	59795	12h, 4h	C6, PC_12	*
LT934125.1	+	TC_47	47	60240	60256	0	22	487534.872193	0	0	2.44633855118237	60251	60251	60251	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_48	48	61262	61262	0	2	28.619901	0	0	0	61262	61262	61262	12h, 6h	PC_12, PK_15	*
LT934125.1	+	TC_49	49	62133	62133	0	1	51.474752	0	0	0	62133	62133	62133	4h	PC_12	*
LT934125.1	+	TC_5	5	9272	9279	7	3	101.2033	0	0	2.95568441820438	9277	9272	9279	8h, 4h, 6h	C6, PK_15	**
LT934125.1	+	TC_50	50	62328	62343	2	21	169879.883627	0	0	2.76924993245003	62340	62338	62340	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_51	51	63160	63160	0	1	27.789013	0	0	0	63160	63160	63160	12h	PK_15	*
LT934125.1	+	TC_52	52	63412	63421	0	11	1600.538923	0	0	4.75488750686169	63420	63420	63420	12h, 6h, 8h, 4h, 2h	C6, PC_12, PK_15	***
LT934125.1	+	TC_53	53	65742	65742	0	1	51.474752	0	0	0	65742	65742	65742	4h	PC_12	*
LT934125.1	+	TC_54	54	67067	67067	0	1	84.338366	0	0	0	67067	67067	67067	2h	PK_15	*
LT934125.1	+	TC_55	55	68749	68749	0	2	39.134539	0	0	0	68749	68749	68749	12h	C6, PK_15	*
LT934125.1	+	TC_56	56	70083	70083	0	1	261.437908	0	0	0	70083	70083	70083	2h	PC_12	*
LT934125.1	+	TC_57	57	70512	70521	3	22	211664.741109	0	0	2.68595916787363	70521	70518	70521	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_58	58	71516	71546	9	22	341527.247706	0	0	8.92057939767715	71543	71535	71544	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_59	59	75633	75669	21	15	5632.952412	0	0	8.68380238339028	75651	75648	75669	12h, 4h, 6h, 8h, 2h, 1.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_6	6	9934	9934	0	1	261.437908	0	0	0	9934	9934	9934	2h	PC_12	*
LT934125.1	+	TC_60	60	77133	77133	0	1	54.540496	0	0	0	77133	77133	77133	6h	C6	*
LT934125.1	+	TC_61	61	79982	80001	0	23	954960.005264	0.683145415826468	0.683145415826468	2.75325693640152	79996	79996	79996	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_62	62	80858	80858	0	1	54.540496	0	0	0	80858	80858	80858	6h	C6	*
LT934125.1	+	TC_63	63	81796	81806	4	7	334.225262	0	0	7.86870370725247	81798	81797	81801	8h, 12h, 4h, 6h	C6, PC_12, PK_15	**
LT934125.1	+	TC_64	64	86151	86169	0	22	141399.143852	0	0	3.48289214233104	86167	86167	86167	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_65	65	87215	87215	0	1	54.540496	0	0	0	87215	87215	87215	6h	C6	*
LT934125.1	+	TC_66	66	91544	91562	18	18	7918.845348	0	0	7.99914976408009	91555	91544	91562	12h, 1h, 4h, 6h, 8h, 1.5h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_67	67	92045	92059	0	22	113643.629086	0	0	5.01707192617326	92059	92059	92059	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_68	68	92304	92304	0	2	77.098367	0	0	0	92304	92304	92304	4h, 6h	PC_12	*
LT934125.1	+	TC_69	69	92467	92467	0	1	51.474752	0	0	0	92467	92467	92467	4h	PC_12	*
LT934125.1	+	TC_7	7	9986	9986	0	1	51.474752	0	0	0	9986	9986	9986	4h	PC_12	*
LT934125.1	+	TC_70	70	92496	92496	0	3	58.09815	0	0	0	92496	92496	92496	6h, 12h	PC_12, PK_15	*
LT934125.1	+	TC_71	71	92614	92621	7	3	146.619957	0	0	0	92616	92614	92621	4h, 12h, 2h	PC_12, PK_15	**
LT934125.1	+	TC_72	72	92906	92906	0	1	84.338366	0	0	0	92906	92906	92906	2h	PK_15	*
LT934125.1	+	TC_73	73	93375	93375	0	1	84.338366	0	0	0	93375	93375	93375	2h	PK_15	*
LT934125.1	+	TC_74	74	93408	93408	0	1	508.388409	0	0	0	93408	93408	93408	2h	C6	*
LT934125.1	+	TC_75	75	94428	94428	0	1	54.540496	0	0	0	94428	94428	94428	6h	C6	*
LT934125.1	+	TC_76	76	95020	95020	0	1	25.623615	0	0	0	95020	95020	95020	6h	PC_12	
LT934125.1	+	TC_77	77	95869	95869	0	2	47.814286	0	0	0	95869	95869	95869	12h, 8h	PC_12	*
LT934125.1	+	TC_78	78	96005	96029	24	3	718.302262	0	0	0	96019	96005	96029	1h, 8h, 4h	C6, PK_15	
LT934125.1	+	TC_79	79	96906	96906	0	8	699.530262	0	0	0	96906	96906	96906	6h, 8h, 2h, 4h	C6, PC_12, PK_15	
LT934125.1	+	TC_8	8	10332	10332	0	1	816.993464	0	0	0	10332	10332	10332	2h	NRK	*
LT934125.1	+	TC_80	80	99189	99189	0	1	17.044279	0	0	0	99189	99189	99189	12h	C6	
LT934125.1	+	TC_81	81	99507	99515	8	2	76.454568	0	0	0	99511	99507	99515	12h, 6h	C6	
LT934125.1	+	TC_82	82	99869	99869	0	2	104.75464	0	0	0	99869	99869	99869	12h, 8h	C6	
LT934125.1	+	TC_83	83	101312	101312	0	1	54.540496	0	0	0	101312	101312	101312	6h	C6	*
LT934125.1	+	TC_84	84	102385	102393	3	10	3033.819758	0	0	4.16727921661601	102392	102390	102393	6h, 2h, 1.5h, 12h, 8h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_85	85	102419	102422	3	5	1186.893285	0	0	1.4554644705856	102421	102419	102422	12h, 8h, 2.5h, 4h, 6h	C6, PC_12, PK_15	**
LT934125.1	+	TC_86	86	103071	103071	0	1	54.540496	0	0	0	103071	103071	103071	6h	C6	*
LT934125.1	+	TC_87	87	107969	107989	20	2	108.108229	0	0	1.69070188765352	107979	107969	107989	12h, 6h	C6	**
LT934125.1	+	TC_88	88	108051	108079	20	4	166.597853	0	0	4.32247883612704	108066	108051	108071	12h, 8h	C6, PC_12	**
LT934125.1	+	TC_89	89	108120	108152	32	5	204.584324	0	0	0	108144	108120	108152	12h, 8h, 4h	C6, PC_12	**
LT934125.1	+	TC_9	9	10412	10431	5	23	782038.383693	1.23677972418411	1.23677972418411	6.99540802087286	10426	10421	10426	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_90	90	108206	108252	27	7	348.691894	0	0	5.55458885167764	108228	108206	108233	12h, 6h, 8h, 4h	C6, PC_12	**
LT934125.1	+	TC_91	91	108505	108506	0	1	31.653661	0.961236604722876	0.961236604722876	0.961236604722876	108506	108506	108506	12h	C6	*
LT934125.1	+	TC_92	92	108698	108698	0	1	51.474752	0	0	0	108698	108698	108698	4h	PC_12	*
LT934125.1	+	TC_93	93	108816	108832	0	18	125236.100132	0	0	4.62538946333354	108829	108829	108829	12h, 2h, 4h, 6h, 8h, 1h, 2.5h	C6, PC_12, PK_15	***
LT934125.1	+	TC_94	94	113804	113804	0	1	261.437908	0	0	0	113804	113804	113804	2h	PC_12	*
LT934125.1	+	TC_95	95	114067	114067	0	1	54.540496	0	0	0	114067	114067	114067	6h	C6	*
LT934125.1	+	TC_96	96	115079	115113	34	3	115.521063	0	0	1	115094	115079	115113	12h, 6h, 8h	C6	**
LT934125.1	+	TC_97	97	115186	115235	42	12	4364.562941	0	0	10.1864825477502	115211	115186	115228	12h, 2h, 4h, 6h, 8h, 1h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_98	98	115335	115335	0	1	508.388409	0	0	0	115335	115335	115335	2h	C6	*
LT934125.1	+	TC_99	99	115366	115366	0	1	54.540496	0	0	0	115366	115366	115366	6h	C6	*
LT934125.1	-	TC_169	169	990	990	0	4	103.891566	0	0	0	990	990	990	12h, 8h, 6h	C6, PC_12	**
LT934125.1	-	TC_170	170	1521	1521	0	1	51.474752	0	0	0	1521	1521	1521	4h	PC_12	*
LT934125.1	-	TC_171	171	2440	2440	0	1	84.338366	0	0	0	2440	2440	2440	2h	PK_15	*
LT934125.1	-	TC_172	172	2576	2576	0	1	652.315721	0	0	0	2576	2576	2576	1h	C6	*
LT934125.1	-	TC_173	173	2776	2790	0	23	473004.717011	0	0	3.09758988122536	2778	2778	2778	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_174	174	5410	5410	0	1	54.540496	0	0	0	5410	5410	5410	6h	C6	*
LT934125.1	-	TC_175	175	8486	8502	0	22	276086.28433	0.175565025743017	0.175565025743017	3.49293159689966	8487	8487	8487	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_176	176	9270	9270	0	4	103.961562	0	0	0	9270	9270	9270	8h, 12h, 4h	C6, PK_15	**
LT934125.1	-	TC_177	177	9644	9644	0	2	25.899736	0	0	0	9644	9644	9644	12h, 6h	PK_15	
LT934125.1	-	TC_178	178	12905	12905	0	1	54.540496	0	0	0	12905	12905	12905	6h	C6	
LT934125.1	-	TC_179	179	16417	16417	0	1	1283.697047	0	0	0	16417	16417	16417	1.5h	PC_12	*
LT934125.1	-	TC_180	180	16511	16511	0	1	51.474752	0	0	0	16511	16511	16511	4h	PC_12	*
LT934125.1	-	TC_181	181	16579	16599	0	22	438345.207477	1.45546446151108	1.45546446151108	4.98289214233104	16581	16581	16581	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_182	182	17685	17685	0	1	51.474752	0	0	0	17685	17685	17685	4h	PC_12	*
LT934125.1	-	TC_183	183	18040	18044	2	5	191.518779	0	0	1.58496250072116	18040	18040	18042	6h, 8h, 12h	C6, PC_12, PK_15	**
LT934125.1	-	TC_184	184	18580	18584	4	4	62.962979	0	0	0	18582	18580	18584	12h, 8h	C6, PC_12, PK_15	*
LT934125.1	-	TC_185	185	21472	21492	2	23	438844.794904	0	0	3.80286123746612	21477	21475	21477	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_186	186	21598	21598	0	2	35.032673	0	0	0	21598	21598	21598	12h, 8h	C6, PC_12	*
LT934125.1	-	TC_187	187	22416	22416	0	1	51.474752	0	0	0	22416	22416	22416	4h	PC_12	*
LT934125.1	-	TC_188	188	26603	26603	0	1	54.540496	0	0	0	26603	26603	26603	6h	C6	*
LT934125.1	-	TC_189	189	28415	28445	0	22	546234.552414	0	0	5.6481761216813	28429	28429	28429	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	-	TC_190	190	30522	30522	0	1	51.474752	0	0	0	30522	30522	30522	4h	PC_12	*
LT934125.1	-	TC_191	191	31685	31685	0	1	51.474752	0	0	0	31685	31685	31685	4h	PC_12	*
LT934125.1	-	TC_192	192	31899	31899	0	1	51.474752	0	0	0	31899	31899	31899	4h	PC_12	*
LT934125.1	-	TC_193	193	32036	32040	2	12	1580.344919	0	0	3.12255625191463	32038	32036	32038	12h, 6h, 8h, 4h, 2h	C6, PC_12, PK_15	***
LT934125.1	-	TC_194	194	32135	32135	0	1	54.540496	0	0	0	32135	32135	32135	6h	C6	*
LT934125.1	-	TC_195	195	32170	32185	15	2	107.196554	0	0	0	32178	32170	32185	8h, 2h	PC_12, PK_15	**
