group	cluster	cluster_start	cluster_end	seqnames	strand	cluster_width	cluster_peak	cluster_total_count	hpi	cell_line	meta_cluster
PK_15_2h	9	1331	1351	LT934125.1	+	21	1334	20275.162927	2h	PK_15	12
C6_1h	9	1332	1337	LT934125.1	+	6	1337	16949.152543	1h	C6	12
PK_15_6h	9	1332	1369	LT934125.1	+	38	1337	3032.282516	6h	PK_15	12
PC_12_2.5h	9	1333	1358	LT934125.1	+	26	1337	19985.19615	2.5h	PC_12	12
C6_12h	9	1334	1351	LT934125.1	+	18	1337	1433.676717	12h	C6	12
C6_2h	9	1334	1351	LT934125.1	+	18	1337	17584.99414	2h	C6	12
C6_4h	9	1334	1351	LT934125.1	+	18	1334	6305.832897	4h	C6	12
NRK_2h	9	1334	1339	LT934125.1	+	6	1337	16181.229774	2h	NRK	12
PC_12_1.5h	9	1334	1345	LT934125.1	+	12	1337	26548.672568	1.5h	PC_12	12
PC_12_12h	9	1334	1369	LT934125.1	+	36	1337	703.03808	12h	PC_12	12
PC_12_1h	9	1334	1339	LT934125.1	+	6	1337	24498.886414	1h	PC_12	12
PC_12_2h	9	1334	1393	LT934125.1	+	60	1334	22014.676452	2h	PC_12	12
PC_12_4h	9	1334	1352	LT934125.1	+	19	1337	6424.412771	4h	PC_12	12
PK_15_12h	9	1334	1337	LT934125.1	+	4	1337	80.091533	12h	PK_15	12
PK_15_8h	9	1334	1375	LT934125.1	+	42	1337	1504.392562	8h	PK_15	12
PK_15_1h	9	1335	1337	LT934125.1	+	3	1337	8771.929824	1h	PK_15	12
NRK_1h	9	1337	1339	LT934125.1	+	3	1337	40404.040404	1h	NRK	12
C6_6h	10	1583	1604	LT934125.1	+	22	1600	3363.518758	6h	C6	13
PC_12_2.5h	10	1583	1600	LT934125.1	+	18	1600	2960.7698	2.5h	PC_12	13
PC_12_8h	10	1588	1604	LT934125.1	+	17	1600	3730.641421	8h	PC_12	13
C6_8h	10	1590	1605	LT934125.1	+	16	1600	1840.193704	8h	C6	13
PC_12_12h	10	1590	1604	LT934125.1	+	15	1600	2545.953436	12h	PC_12	13
PC_12_6h	10	1590	1607	LT934125.1	+	18	1600	4184.211929	6h	PC_12	13
C6_4h	10	1593	1603	LT934125.1	+	11	1600	4203.888598	4h	C6	13
PC_12_4h	10	1595	1604	LT934125.1	+	10	1600	4015.257982	4h	PC_12	13
C6_12h	10	1600	1604	LT934125.1	+	5	1600	1951.199044	12h	C6	13
PC_12_2h	10	1600	1600	LT934125.1	+	1	1600	1334.222815	2h	PC_12	13
PK_15_12h	10	1600	1607	LT934125.1	+	8	1600	1558.352403	12h	PK_15	13
PK_15_2h	10	1600	1604	LT934125.1	+	5	1600	1086.169443	2h	PK_15	13
PK_15_4h	10	1600	1604	LT934125.1	+	5	1600	893.074612	4h	PK_15	13
PK_15_6h	10	1600	1604	LT934125.1	+	5	1600	1088.718457	6h	PK_15	13
PK_15_8h	10	1600	1607	LT934125.1	+	8	1600	1530.708468	8h	PK_15	13
PC_12_4h	11	1712	1712	LT934125.1	+	1	1712	100.38145	4h	PC_12	14
PK_15_2h	11	1712	1717	LT934125.1	+	6	1712	724.112962	2h	PK_15	14
PK_15_4h	11	1716	1728	LT934125.1	+	13	1716	81.188602	4h	PK_15	14
C6_2h	11	1720	1720	LT934125.1	+	1	1720	1172.332943	2h	C6	14
C6_6h	11	1728	1745	LT934125.1	+	18	1728	172.488142	6h	C6	14
C6_8h	12	1759	1836	LT934125.1	+	78	1770	258.2728	8h	C6	15
PC_12_8h	14	1790	2099	LT934125.1	+	310	1869	1316.696976	8h	PC_12	15
PC_12_2.5h	13	1815	1815	LT934125.1	+	1	1815	740.19245	2.5h	PC_12	15
PK_15_12h	13	1815	1815	LT934125.1	+	1	1815	11.441648	12h	PK_15	15
PK_15_6h	13	1815	1892	LT934125.1	+	78	1821	185.485365	6h	PK_15	15
PC_12_4h	13	1821	1844	LT934125.1	+	24	1821	200.7629	4h	PC_12	15
PK_15_8h	14	1851	1851	LT934125.1	+	1	1851	21.929921	8h	PK_15	15
NRK_2h	14	1869	1869	LT934125.1	+	1	1869	3236.245955	2h	NRK	15
C6_12h	14	1880	1892	LT934125.1	+	13	1880	41.96127	12h	C6	15
PC_12_2h	15	1908	1934	LT934125.1	+	27	1908	1334.222816	2h	PC_12	15
PK_15_4h	15	1910	1910	LT934125.1	+	1	1910	40.594301	4h	PK_15	15
PK_15_1h	15	1912	1912	LT934125.1	+	1	1912	2923.976608	1h	PK_15	15
PC_12_12h	15	1934	1934	LT934125.1	+	1	1934	20.476837	12h	PC_12	15
PC_12_6h	15	1934	1979	LT934125.1	+	46	1934	133.255156	6h	PC_12	15
C6_4h	16	2001	2001	LT934125.1	+	1	2001	525.486075	4h	C6	15
PK_15_6h	16	2001	2010	LT934125.1	+	10	2010	48.387487	6h	PK_15	15
PK_15_4h	17	2010	2078	LT934125.1	+	69	2057	324.754406	4h	PK_15	15
PC_12_2h	17	2057	2057	LT934125.1	+	1	2057	667.111408	2h	PC_12	15
NRK_1h	17	2060	2060	LT934125.1	+	1	2060	10101.010101	1h	NRK	15
PK_15_8h	18	2099	2099	LT934125.1	+	1	2099	17.543937	8h	PK_15	15
PC_12_4h	18	2119	2119	LT934125.1	+	1	2119	100.38145	4h	PC_12	16
PK_15_6h	19	2130	2153	LT934125.1	+	24	2153	56.452067	6h	PK_15	17
C6_12h	19	2153	2153	LT934125.1	+	1	2153	20.980635	12h	C6	17
PC_12_1h	19	2164	2164	LT934125.1	+	1	2164	2227.171492	1h	PC_12	18
C6_6h	20	2732	2732	LT934125.1	+	1	2732	86.244071	6h	C6	19
C6_8h	21	2792	2792	LT934125.1	+	1	2792	32.2841	8h	C6	20
PC_12_8h	22	2854	2854	LT934125.1	+	1	2854	31.349928	8h	PC_12	21
PC_12_8h	23	3132	3132	LT934125.1	+	1	3132	31.349928	8h	PC_12	22
PC_12_6h	24	3218	3218	LT934125.1	+	1	3218	26.651031	6h	PC_12	23
C6_6h	25	3244	3244	LT934125.1	+	1	3244	86.244071	6h	C6	24
C6_4h	26	3372	3372	LT934125.1	+	1	3372	525.486075	4h	C6	25
PC_12_6h	27	3434	3434	LT934125.1	+	1	3434	26.651031	6h	PC_12	26
C6_8h	28	3487	3487	LT934125.1	+	1	3487	32.2841	8h	C6	27
C6_2h	29	3705	3705	LT934125.1	+	1	3705	1172.332943	2h	C6	28
C6_6h	30	4057	4057	LT934125.1	+	1	4057	86.244071	6h	C6	29
PC_12_8h	31	4335	4335	LT934125.1	+	1	4335	31.349928	8h	PC_12	30
PC_12_6h	32	4483	4483	LT934125.1	+	1	4483	26.651031	6h	PC_12	31
C6_8h	32	4502	4502	LT934125.1	+	1	4502	32.2841	8h	C6	32
C6_12h	33	4632	4635	LT934125.1	+	4	4632	55.94836	12h	C6	33
PC_12_8h	33	4632	4632	LT934125.1	+	1	4632	31.349928	8h	PC_12	33
C6_8h	33	4635	4637	LT934125.1	+	3	4635	64.5682	8h	C6	33
PC_12_6h	34	4825	4825	LT934125.1	+	1	4825	26.651031	6h	PC_12	34
C6_8h	35	5102	5102	LT934125.1	+	1	5102	32.2841	8h	C6	35
PC_12_8h	36	5484	5484	LT934125.1	+	1	5484	31.349928	8h	PC_12	36
PC_12_6h	36	5504	5504	LT934125.1	+	1	5504	26.651031	6h	PC_12	37
PC_12_4h	37	6021	6021	LT934125.1	+	1	6021	100.38145	4h	PC_12	38
C6_6h	37	6022	6022	LT934125.1	+	1	6022	86.244071	6h	C6	39
PC_12_8h	37	6023	6023	LT934125.1	+	1	6023	31.349928	8h	PC_12	40
PK_15_4h	37	6024	6024	LT934125.1	+	1	6024	40.594301	4h	PK_15	41
PC_12_6h	37	6030	6030	LT934125.1	+	1	6030	26.651031	6h	PC_12	42
PC_12_6h	38	6663	6663	LT934125.1	+	1	6663	26.651031	6h	PC_12	43
PC_12_8h	38	6669	6669	LT934125.1	+	1	6669	31.349928	8h	PC_12	44
C6_6h	39	6812	6812	LT934125.1	+	1	6812	86.244071	6h	C6	45
PC_12_6h	39	6813	6813	LT934125.1	+	1	6813	26.651031	6h	PC_12	46
PC_12_8h	40	6840	6864	LT934125.1	+	25	6840	62.699856	8h	PC_12	47
PC_12_4h	41	6885	6885	LT934125.1	+	1	6885	100.38145	4h	PC_12	48
PK_15_4h	41	6887	6891	LT934125.1	+	5	6887	81.188602	4h	PK_15	49
PK_15_6h	41	6887	6887	LT934125.1	+	1	6887	16.129162	6h	PK_15	49
C6_8h	42	6912	6912	LT934125.1	+	1	6912	32.2841	8h	C6	50
PC_12_8h	43	6995	6995	LT934125.1	+	1	6995	31.349928	8h	PC_12	51
PC_12_4h	43	6996	7021	LT934125.1	+	26	6996	200.7629	4h	PC_12	52
PC_12_6h	44	7184	7184	LT934125.1	+	1	7184	26.651031	6h	PC_12	53
PC_12_4h	44	7187	7187	LT934125.1	+	1	7187	100.38145	4h	PC_12	54
C6_8h	45	7238	7238	LT934125.1	+	1	7238	32.2841	8h	C6	55
PC_12_2.5h	46	7346	7346	LT934125.1	+	1	7346	740.19245	2.5h	PC_12	56
PC_12_8h	47	7419	7419	LT934125.1	+	1	7419	31.349928	8h	PC_12	57
PC_12_6h	48	7564	7596	LT934125.1	+	33	7588	3731.144395	6h	PC_12	58
C6_12h	48	7569	7596	LT934125.1	+	28	7588	2678.527718	12h	C6	58
C6_8h	48	7584	7594	LT934125.1	+	11	7588	3906.376109	8h	C6	58
PC_12_12h	48	7587	7596	LT934125.1	+	10	7588	1679.100658	12h	PC_12	58
PC_12_4h	48	7587	7596	LT934125.1	+	10	7588	4918.691027	4h	PC_12	58
PK_15_4h	48	7587	7599	LT934125.1	+	13	7588	11041.649751	4h	PK_15	58
PK_15_6h	48	7587	7596	LT934125.1	+	10	7588	4532.294615	6h	PK_15	58
PK_15_8h	48	7587	7596	LT934125.1	+	10	7588	2907.907492	8h	PK_15	58
C6_1h	48	7588	7594	LT934125.1	+	7	7588	4622.496147	1h	C6	58
C6_2h	48	7588	7591	LT934125.1	+	4	7591	3516.998828	2h	C6	58
C6_4h	48	7588	7596	LT934125.1	+	9	7591	4729.374672	4h	C6	58
C6_6h	48	7588	7596	LT934125.1	+	9	7588	3363.518759	6h	C6	58
PC_12_1h	48	7588	7591	LT934125.1	+	4	7588	4454.342984	1h	PC_12	58
PC_12_2.5h	48	7588	7591	LT934125.1	+	4	7588	1480.3849	2.5h	PC_12	58
PC_12_2h	48	7588	7595	LT934125.1	+	8	7591	4669.779853	2h	PC_12	58
PC_12_8h	48	7588	7596	LT934125.1	+	9	7588	2664.743872	8h	PC_12	58
PK_15_12h	48	7588	7596	LT934125.1	+	9	7588	718.53547	12h	PK_15	58
PK_15_2h	48	7589	7594	LT934125.1	+	6	7591	2172.338885	2h	PK_15	58
PC_12_1.5h	48	7591	7591	LT934125.1	+	1	7591	4424.778761	1.5h	PC_12	58
PK_15_1h	48	7591	7591	LT934125.1	+	1	7591	2923.976608	1h	PK_15	58
NRK_2h	48	7592	7592	LT934125.1	+	1	7592	3236.245955	2h	NRK	58
C6_6h	49	7698	7698	LT934125.1	+	1	7698	86.244071	6h	C6	59
C6_8h	50	7788	7836	LT934125.1	+	49	7811	322.841001	8h	C6	60
PC_12_6h	50	7810	7895	LT934125.1	+	86	7811	426.416499	6h	PC_12	60
C6_12h	50	7811	7811	LT934125.1	+	1	7811	118.890264	12h	C6	60
C6_2h	50	7811	7811	LT934125.1	+	1	7811	1172.332943	2h	C6	60
C6_6h	50	7811	7813	LT934125.1	+	3	7811	258.732212	6h	C6	60
PC_12_12h	50	7811	7811	LT934125.1	+	1	7811	75.081737	12h	PC_12	60
PC_12_2h	50	7811	7811	LT934125.1	+	1	7811	667.111408	2h	PC_12	60
PC_12_4h	50	7811	7814	LT934125.1	+	4	7811	702.670147	4h	PC_12	60
PC_12_8h	50	7811	7811	LT934125.1	+	1	7811	219.449495	8h	PC_12	60
PK_15_12h	50	7811	7811	LT934125.1	+	1	7811	16.018307	12h	PK_15	60
PK_15_2h	50	7811	7811	LT934125.1	+	1	7811	724.112962	2h	PK_15	60
PK_15_4h	50	7811	7834	LT934125.1	+	24	7811	527.725909	4h	PK_15	60
PK_15_6h	50	7811	7813	LT934125.1	+	3	7811	193.549948	6h	PK_15	60
PK_15_8h	50	7811	7811	LT934125.1	+	1	7811	92.105667	8h	PK_15	60
C6_1h	51	7858	7858	LT934125.1	+	1	7858	1540.832049	1h	C6	60
PK_15_4h	52	7955	7955	LT934125.1	+	1	7955	40.594301	4h	PK_15	61
PC_12_4h	53	8001	8001	LT934125.1	+	1	8001	100.38145	4h	PC_12	62
PC_12_6h	54	8055	8055	LT934125.1	+	1	8055	53.302063	6h	PC_12	63
PC_12_8h	55	8089	8089	LT934125.1	+	1	8089	31.349928	8h	PC_12	64
C6_4h	55	8094	8094	LT934125.1	+	1	8094	525.486075	4h	C6	65
C6_6h	56	8148	8148	LT934125.1	+	1	8148	86.244071	6h	C6	66
PK_15_4h	56	8148	8148	LT934125.1	+	1	8148	40.594301	4h	PK_15	66
PK_15_6h	57	8184	8184	LT934125.1	+	1	8184	16.129162	6h	PK_15	67
PK_15_1h	58	8324	8324	LT934125.1	+	1	8324	2923.976608	1h	PK_15	68
PC_12_6h	58	8346	8346	LT934125.1	+	1	8346	26.651031	6h	PC_12	69
PC_12_8h	58	8346	8346	LT934125.1	+	1	8346	31.349928	8h	PC_12	69
PK_15_6h	58	8346	8346	LT934125.1	+	1	8346	16.129162	6h	PK_15	69
C6_8h	59	8433	8433	LT934125.1	+	1	8433	32.2841	8h	C6	70
PC_12_1h	59	8438	8438	LT934125.1	+	1	8438	2227.171492	1h	PC_12	71
C6_6h	59	8439	8439	LT934125.1	+	1	8439	86.244071	6h	C6	72
PK_15_4h	60	8518	8518	LT934125.1	+	1	8518	40.594301	4h	PK_15	73
PC_12_6h	60	8526	8526	LT934125.1	+	1	8526	26.651031	6h	PC_12	74
PC_12_8h	60	8529	8540	LT934125.1	+	12	8529	94.049784	8h	PC_12	75
PK_15_8h	60	8531	8531	LT934125.1	+	1	8531	17.543937	8h	PK_15	75
PC_12_6h	61	8792	8792	LT934125.1	+	1	8792	26.651031	6h	PC_12	76
C6_8h	62	8877	8902	LT934125.1	+	26	8877	96.8523	8h	C6	77
C6_6h	62	8882	8903	LT934125.1	+	22	8882	172.488142	6h	C6	77
PC_12_4h	62	8882	8902	LT934125.1	+	21	8882	200.7629	4h	PC_12	77
PC_12_6h	62	8902	8902	LT934125.1	+	1	8902	53.302063	6h	PC_12	77
PK_15_4h	63	9098	9113	LT934125.1	+	16	9113	1420.80052	4h	PK_15	78
PK_15_12h	63	9106	9114	LT934125.1	+	9	9113	8789.473684	12h	PK_15	78
C6_12h	63	9107	9114	LT934125.1	+	8	9113	8567.092574	12h	C6	78
C6_4h	63	9107	9113	LT934125.1	+	7	9113	2101.944299	4h	C6	78
C6_6h	63	9107	9145	LT934125.1	+	39	9113	2587.322123	6h	C6	78
C6_8h	63	9107	9114	LT934125.1	+	8	9113	3292.978207	8h	C6	78
PC_12_12h	63	9107	9114	LT934125.1	+	8	9113	6689.10018	12h	PC_12	78
PC_12_4h	63	9107	9113	LT934125.1	+	7	9113	2810.680587	4h	PC_12	78
PC_12_6h	63	9107	9113	LT934125.1	+	7	9113	3811.097489	6h	PC_12	78
PC_12_8h	63	9107	9114	LT934125.1	+	8	9113	4733.839114	8h	PC_12	78
PK_15_6h	63	9107	9115	LT934125.1	+	9	9113	2661.311783	6h	PK_15	78
PK_15_8h	63	9107	9114	LT934125.1	+	8	9113	3513.173303	8h	PK_15	78
PK_15_2h	63	9113	9113	LT934125.1	+	1	9113	1086.169442	2h	PK_15	78
PC_12_8h	64	9263	9272	LT934125.1	+	10	9270	13135.619787	8h	PC_12	79
PK_15_4h	64	9266	9274	LT934125.1	+	9	9270	25209.060648	4h	PK_15	79
C6_12h	64	9267	9270	LT934125.1	+	4	9270	12301.645581	12h	C6	79
C6_1h	64	9267	9272	LT934125.1	+	6	9270	24653.312788	1h	C6	79
C6_2h	64	9267	9270	LT934125.1	+	4	9270	21101.992966	2h	C6	79
C6_4h	64	9267	9274	LT934125.1	+	8	9270	9458.749345	4h	C6	79
C6_6h	64	9267	9272	LT934125.1	+	6	9270	13367.830961	6h	C6	79
C6_8h	64	9267	9272	LT934125.1	+	6	9270	14366.424537	8h	C6	79
NRK_2h	64	9267	9270	LT934125.1	+	4	9270	19417.475729	2h	NRK	79
PC_12_1.5h	64	9267	9274	LT934125.1	+	8	9270	26548.672568	1.5h	PC_12	79
PC_12_12h	64	9267	9270	LT934125.1	+	4	9270	10477.315077	12h	PC_12	79
PC_12_2.5h	64	9267	9278	LT934125.1	+	12	9270	28867.505551	2.5h	PC_12	79
PC_12_2h	64	9267	9274	LT934125.1	+	8	9270	26684.456305	2h	PC_12	79
PC_12_4h	64	9267	9272	LT934125.1	+	6	9270	12648.062639	4h	PC_12	79
PC_12_6h	64	9267	9272	LT934125.1	+	6	9270	14338.254891	6h	PC_12	79
PK_15_12h	64	9267	9270	LT934125.1	+	4	9270	12171.624714	12h	PK_15	79
PK_15_2h	64	9267	9272	LT934125.1	+	6	9270	25343.953656	2h	PK_15	79
PK_15_6h	64	9267	9274	LT934125.1	+	8	9270	11024.282453	6h	PK_15	79
PK_15_8h	64	9267	9272	LT934125.1	+	6	9270	11153.557691	8h	PK_15	79
NRK_1h	64	9270	9270	LT934125.1	+	1	9270	20202.020202	1h	NRK	79
PC_12_1h	64	9270	9270	LT934125.1	+	1	9270	22271.714922	1h	PC_12	79
PK_15_1h	64	9270	9273	LT934125.1	+	4	9270	8771.929824	1h	PK_15	79
C6_8h	65	9385	9477	LT934125.1	+	93	9412	225.9887	8h	C6	80
C6_6h	65	9444	9448	LT934125.1	+	5	9444	172.488142	6h	C6	80
C6_1h	66	9548	9550	LT934125.1	+	3	9548	4622.496148	1h	C6	81
NRK_1h	66	9548	9548	LT934125.1	+	1	9548	20202.020202	1h	NRK	81
PC_12_6h	67	9548	9699	LT934125.1	+	152	9644	5037.044931	6h	PC_12	81
PK_15_4h	67	9638	9742	LT934125.1	+	105	9643	6819.842498	4h	PK_15	81
C6_12h	67	9640	9650	LT934125.1	+	11	9646	6189.287286	12h	C6	81
C6_6h	67	9640	9668	LT934125.1	+	29	9646	4053.471323	6h	C6	81
C6_8h	67	9640	9791	LT934125.1	+	152	9646	4907.18321	8h	C6	81
PC_12_12h	67	9640	9650	LT934125.1	+	11	9643	5399.05943	12h	PC_12	81
PC_12_2.5h	67	9640	9650	LT934125.1	+	11	9644	8882.3094	2.5h	PC_12	81
PC_12_4h	67	9640	9676	LT934125.1	+	37	9644	3613.732186	4h	PC_12	81
PC_12_8h	67	9640	9650	LT934125.1	+	11	9646	5705.686878	8h	PC_12	81
PK_15_12h	67	9640	9679	LT934125.1	+	40	9646	7508.009155	12h	PK_15	81
PK_15_6h	67	9640	9704	LT934125.1	+	65	9643	5048.427807	6h	PK_15	81
PK_15_8h	67	9640	9650	LT934125.1	+	11	9646	6513.186462	8h	PK_15	81
C6_2h	67	9643	9648	LT934125.1	+	6	9644	4689.331771	2h	C6	81
C6_4h	67	9643	9646	LT934125.1	+	4	9646	3678.402522	4h	C6	81
PK_15_2h	67	9643	9647	LT934125.1	+	5	9646	3620.564808	2h	PK_15	81
PC_12_2h	67	9644	9653	LT934125.1	+	10	9644	4669.779854	2h	PC_12	81
NRK_2h	67	9646	9647	LT934125.1	+	2	9646	9708.737864	2h	NRK	81
PC_12_1.5h	68	9704	9704	LT934125.1	+	1	9704	2212.389381	1.5h	PC_12	81
PC_12_8h	69	9742	9890	LT934125.1	+	149	9742	564.298704	8h	PC_12	81
PK_15_12h	71	9771	9861	LT934125.1	+	91	9817	169.336387	12h	PK_15	81
PK_15_2h	70	9772	9772	LT934125.1	+	1	9772	362.056481	2h	PK_15	81
PC_12_2.5h	70	9782	9782	LT934125.1	+	1	9782	1480.3849	2.5h	PC_12	81
C6_8h	72	9827	9861	LT934125.1	+	35	9861	161.4205	8h	C6	81
PC_12_6h	73	9852	9930	LT934125.1	+	79	9919	186.557219	6h	PC_12	81
PC_12_2h	72	9862	9862	LT934125.1	+	1	9862	667.111408	2h	PC_12	81
PK_15_12h	73	9896	9930	LT934125.1	+	35	9930	89.244851	12h	PK_15	81
PK_15_6h	73	9896	9930	LT934125.1	+	35	9930	88.710392	6h	PK_15	81
PK_15_8h	73	9896	9930	LT934125.1	+	35	9919	78.947715	8h	PK_15	81
PC_12_12h	73	9919	9919	LT934125.1	+	1	9919	27.30245	12h	PC_12	81
PC_12_8h	74	9935	9979	LT934125.1	+	45	9979	250.799424	8h	PC_12	82
C6_8h	74	9965	10044	LT934125.1	+	80	9977	225.9887	8h	C6	82
PK_15_4h	74	9989	9989	LT934125.1	+	1	9989	81.188601	4h	PK_15	82
PC_12_8h	75	10035	10218	LT934125.1	+	184	10119	1253.99712	8h	PC_12	82
PK_15_6h	75	10035	10161	LT934125.1	+	127	10075	419.358216	6h	PK_15	82
C6_12h	75	10046	10089	LT934125.1	+	44	10075	118.890265	12h	C6	82
PC_12_12h	75	10046	10121	LT934125.1	+	76	10075	238.896434	12h	PC_12	82
PK_15_12h	75	10046	10161	LT934125.1	+	116	10075	382.151031	12h	PK_15	82
PK_15_4h	75	10046	10124	LT934125.1	+	79	10103	202.971504	4h	PK_15	82
PK_15_8h	75	10046	10156	LT934125.1	+	111	10103	232.457161	8h	PK_15	82
C6_6h	75	10056	10060	LT934125.1	+	5	10056	172.488142	6h	C6	82
PK_15_2h	75	10061	10061	LT934125.1	+	1	10061	362.056481	2h	PK_15	82
C6_4h	75	10091	10091	LT934125.1	+	1	10091	525.486075	4h	C6	82
PC_12_4h	75	10103	10106	LT934125.1	+	4	10103	301.144349	4h	PC_12	82
NRK_2h	75	10120	10120	LT934125.1	+	1	10120	3236.245955	2h	NRK	82
PC_12_2.5h	75	10132	10132	LT934125.1	+	1	10132	740.19245	2.5h	PC_12	82
PC_12_2h	75	10156	10156	LT934125.1	+	1	10156	667.111408	2h	PC_12	82
C6_8h	76	10218	10343	LT934125.1	+	126	10252	355.1251	8h	C6	82
PC_12_4h	76	10247	10283	LT934125.1	+	37	10247	301.14435	4h	PC_12	82
C6_6h	76	10248	10248	LT934125.1	+	1	10248	86.244071	6h	C6	82
C6_12h	76	10252	10252	LT934125.1	+	1	10252	48.954815	12h	C6	82
PC_12_12h	76	10252	10280	LT934125.1	+	29	10252	143.337861	12h	PC_12	82
PC_12_8h	76	10252	10327	LT934125.1	+	76	10252	344.849208	8h	PC_12	82
PK_15_12h	76	10252	10252	LT934125.1	+	1	10252	100.686499	12h	PK_15	82
PK_15_6h	76	10252	10271	LT934125.1	+	20	10252	64.516649	6h	PK_15	82
PK_15_8h	76	10252	10271	LT934125.1	+	20	10252	57.017793	8h	PK_15	82
C6_8h	77	10430	10438	LT934125.1	+	9	10431	548.829701	8h	C6	83
PK_15_6h	77	10430	10433	LT934125.1	+	4	10431	572.585262	6h	PK_15	83
C6_12h	77	10431	10435	LT934125.1	+	5	10431	1566.554071	12h	C6	83
C6_1h	77	10431	10431	LT934125.1	+	1	10431	1540.832049	1h	C6	83
C6_6h	77	10431	10433	LT934125.1	+	3	10431	776.196637	6h	C6	83
PC_12_12h	77	10431	10434	LT934125.1	+	4	10431	832.724716	12h	PC_12	83
PC_12_4h	77	10431	10431	LT934125.1	+	1	10431	200.762899	4h	PC_12	83
PC_12_6h	77	10431	10435	LT934125.1	+	5	10431	319.812376	6h	PC_12	83
PC_12_8h	77	10431	10434	LT934125.1	+	4	10431	909.147909	8h	PC_12	83
PK_15_12h	77	10431	10434	LT934125.1	+	4	10431	1320.366133	12h	PK_15	83
PK_15_4h	77	10431	10433	LT934125.1	+	3	10431	162.377203	4h	PK_15	83
PK_15_8h	77	10431	10435	LT934125.1	+	5	10431	1390.356975	8h	PK_15	83
