chr	strand	gene	group	cluster	start	end	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC	gene_mean_dominant_TES	gene_dominant_TES_shift	gene_mean_shift_TES	gene_sd_shift_TES	gene_varcoeff_shif_TES
LT934125.1	+	UL4	C6_dRNA	55	92051	92059	92059	5421.453465	4517.877888	92052	92059	8		9	dRNA	C6	dRNA	55	91486	91923	91486	91923	-136	55	92059	0	0	0	
LT934125.1	+	UL4	PC_12_dRNA	55	92045	92059	92059	4062.413442	3231.465239	92052	92059	8		15	dRNA	PC_12	dRNA	55	91486	91923	91486	91923	-136	55	92059	0	0	0	
LT934125.1	+	UL4	PK_15_dRNA	55	92050	92059	92059	1864.223849	1436.076745	92052	92059	8		10	dRNA	PK_15	dRNA	55	91486	91923	91486	91923	-136	55	92059	0	0	0	
LT934125.1	+	UL40	C6_dRNA	29	49640	49647	49647	38337.420936	35239.447528	49647	49647	1		8	dRNA	C6	dRNA	29	48656	49567	48656	49567	-80	29	49647	0	0	0	
LT934125.1	+	UL40	PC_12_dRNA	29	49640	49647	49647	35776.936571	32868.617856	49647	49647	1		8	dRNA	PC_12	dRNA	29	48656	49567	48656	49567	-80	29	49647	0	0	0	
LT934125.1	+	UL40	PK_15_dRNA	29	49640	49647	49647	21202.20139	19596.649749	49647	49647	1		8	dRNA	PK_15	dRNA	29	48656	49567	48656	49567	-80	29	49647	0	0	0	
LT934125.1	+	UL43	C6_dRNA	30	52426	52439	52435	12262.81141	6841.357945	52430	52439	10		14	dRNA	C6	dRNA	30	52473	53594	52473	53594	1159	30	52435	0	0	0	
LT934125.1	+	UL43	PC_12_dRNA	30	52422	52439	52435	12187.240326	5908.965008	52430	52439	10		18	dRNA	PC_12	dRNA	30	52473	53594	52473	53594	1159	30	52435	0	0	0	
LT934125.1	+	UL43	PK_15_dRNA	30	52422	52440	52435	16421.225392	8554.022353	52434	52439	6		19	dRNA	PK_15	dRNA	30	52473	53594	52473	53594	1159	30	52435	0	0	0	
LT934125.1	+	UL44	C6_dRNA	34	54412	54412	54412	129.082225	129.082225	54412	54412	1	UL44	1	dRNA	C6	dRNA	34	53661	55103	53661	55103	691	34	54088	-324	323.5	0.707106781186548	0.0021858014874391
LT934125.1	+	UL44	PC_12_dRNA	32	53765	53765	53765	46.163789	46.163789	53765	53765	1	UL44	1	dRNA	PC_12	dRNA	32	53661	55103	53661	55103	1338	32	54088	323	323.5	0.707106781186548	0.0021858014874391
LT934125.1	+	UL46	C6_dRNA	10	15006	15006	15006	129.082225	129.082225	15006	15006	1	UL46	1	dRNA	C6	dRNA	10	14071	16146	14071	16146	1140	10	15006	0	0		
LT934125.1	+	UL47	PC_12_dRNA	7	12765	12765	12765	46.163789	46.163789	12765	12765	1	UL47	1	dRNA	PC_12	dRNA	7	11815	14052	11815	14052	1287	7	12765	0	0		
LT934125.1	+	UL48	PC_12_dRNA	4	10416	10431	10426	56827.624411	47641.030376	10426	10429	4		16	dRNA	PC_12	dRNA	4	10473	11714	10473	11714	1288	4	10426	0	0	0	
LT934125.1	+	UL48	PK_15_dRNA	4	10413	10431	10426	60752.290139	46391.522687	10426	10430	5		19	dRNA	PK_15	dRNA	4	10473	11714	10473	11714	1288	4	10426	0	0	0	
LT934125.1	+	UL51	C6_dRNA	2	8519	8526	8519	1807.151155	1032.657803	8519	8523	5		8	dRNA	C6	dRNA	2	7729	8439	7729	8439	-80	2	8519	0	0	0	
LT934125.1	+	UL51	PC_12_dRNA	2	8518	8526	8519	2031.206722	969.439572	8519	8526	8		9	dRNA	PC_12	dRNA	2	7729	8439	7729	8439	-80	2	8519	0	0	0	
LT934125.1	+	UL51	PK_15_dRNA	2	8515	8526	8519	2203.173641	1043.608567	8519	8526	8		12	dRNA	PK_15	dRNA	2	7729	8439	7729	8439	-80	2	8519	0	0	0	
LT934125.1	+	UL8	PC_12_dRNA	52	84254	84254	84254	46.163789	46.163789	84254	84254	1	UL8	1	dRNA	PC_12	dRNA	52	84087	86138	84087	86138	1884	52	84254	0	0		
LT934125.1	+	US1	C6_dRNA	81	116372	116372	116372	129.082225	129.082225	116372	116372	1	US1	1	dRNA	C6	dRNA	81	115740	116831	115740	116831	459	81	116296	-76	75.5	0.707106781186548	0.00936565273094765
LT934125.1	+	US1	PC_12_dRNA	80	116221	116221	116221	46.163789	46.163789	116221	116221	1	US1	1	dRNA	PC_12	dRNA	80	115740	116831	115740	116831	610	80	116296	75	75.5	0.707106781186548	0.00936565273094765
LT934125.1	+	US2	C6_dRNA	91	126139	126151	126151	49696.65677	44404.28553	126148	126151	4		13	dRNA	C6	dRNA	91	125308	126078	125308	126078	-73	91	126151	0	0	0	
LT934125.1	+	US2	PC_12_dRNA	91	126135	126151	126151	39931.677591	36469.393408	126151	126151	1		17	dRNA	PC_12	dRNA	91	125308	126078	125308	126078	-73	91	126151	0	0	0	
LT934125.1	+	US2	PK_15_dRNA	91	126135	126151	126151	29470.792341	26304.287715	126149	126151	3		17	dRNA	PK_15	dRNA	91	125308	126078	125308	126078	-73	91	126151	0	0	0	
LT934125.1	+	US4	C6_dRNA	84	118933	118933	118933	129.082225	129.082225	118933	118933	1	US4	1	dRNA	C6	dRNA	84	118897	120396	118897	120396	1463	84	118933	0	0		
LT934125.1	+	US6	C6_dRNA	86	120563	120563	120563	129.082225	129.082225	120563	120563	1		1	dRNA	C6	dRNA	86	120576	121778	120576	121778	1215	86	120563	0	0		
LT934125.1	+	US8	C6_dRNA	88	123070	123070	123070	129.082225	129.082225	123070	123070	1	US8	1	dRNA	C6	dRNA	88	123000	124730	123000	124730	1660	88	123070	0	0		
LT934125.1	+	US9	C6_dRNA	89	125225	125235	125230	9681.166903	8132.180199	125230	125230	1		11	dRNA	C6	dRNA	89	124788	125084	124788	125084	-146	89	125230	0	0	0	
LT934125.1	+	US9	PC_12_dRNA	89	125213	125235	125230	11633.274858	9555.904349	125225	125230	6		23	dRNA	PC_12	dRNA	89	124788	125084	124788	125084	-146	89	125230	0	0	0	
LT934125.1	+	US9	PK_15_dRNA	89	125222	125235	125230	13638.269216	11524.292888	125230	125230	1		14	dRNA	PK_15	dRNA	89	124788	125084	124788	125084	-146	89	125230	0	0	0	
LT934125.1	-	CTO-M	C6_dRNA	140	64133	64151	64138	13037.304762	6195.946818	64133	64144	12	UL21	19	dRNA	C6	dRNA	140	63164	64127	64127	63164	-974	140	64138	0	0	0	
LT934125.1	-	CTO-M	PK_15_dRNA	140	64133	64151	64138	9374.637635	5021.808743	64133	64144	12	UL21	19	dRNA	PK_15	dRNA	140	63164	64127	64127	63164	-974	140	64138	0	0	0	
LT934125.1	-	CTO-S	C6_dRNA	137	63152	63174	63161	87001.419904	52794.630179	63153	63161	9		23	dRNA	C6	dRNA	137	63164	63420	63420	63164	3	137	63161	0	0	0	
LT934125.1	-	CTO-S	PC_12_dRNA	137	63152	63174	63161	63706.028988	38823.746653	63153	63161	9		23	dRNA	PC_12	dRNA	137	63164	63420	63420	63164	3	137	63161	0	0	0	
LT934125.1	-	CTO-S	PK_15_dRNA	137	63152	63172	63161	121005.075328	72472.817119	63153	63161	9		21	dRNA	PK_15	dRNA	137	63164	63420	63420	63164	3	137	63161	0	0	0	
LT934125.1	-	Ep0	C6_dRNA	161	96807	96807	96807	129.082225	129.082225	96807	96807	1	Ep0	1	dRNA	C6	dRNA	161	96114	97346	97346	96114	-693	161	96807	0	0		
LT934125.1	-	NOIR_2	PC_12_dRNA	192	135484	135486	135484	92.327578	46.163789	135484	135486	3	NOIR_2	3	dRNA	PC_12	dRNA	192	134888	136235	136235	134888	-596	192	135484	0	0		
LT934125.1	-	UL10	C6_dRNA	149	80661	80661	80661	129.082225	129.082225	80661	80661	1	UL10	1	dRNA	C6	dRNA	149	80370	81551	81551	80370	-291	149	80661	0	0		
LT934125.1	-	UL2	C6_dRNA	158	93604	93604	93604	129.082225	129.082225	93604	93604	1	UL2	1	dRNA	C6	dRNA	158	93521	94483	94483	93521	-83	158	93604	0	0		
LT934125.1	-	UL21	C6_dRNA	142	64801	64801	64801	129.082225	129.082225	64801	64801	1	UL21	1	dRNA	C6	dRNA	142	64143	65720	65720	64143	-658	142	64801	0	0		
LT934125.1	-	UL25	C6_dRNA	132	57879	57879	57879	129.082225	129.082225	57879	57879	1	UL25	1	dRNA	C6	dRNA	132	56951	58555	58555	56951	-928	132	58190	311	310.5	0.707106781186548	0.00227731652556054
LT934125.1	-	UL25	PC_12_dRNA	133	58500	58500	58500	46.163789	46.163789	58500	58500	1	UL25	1	dRNA	PC_12	dRNA	133	56951	58555	58555	56951	-1549	133	58190	-310	310.5	0.707106781186548	0.00227731652556054
LT934125.1	-	UL26.5	C6_dRNA	131	55268	55279	55270	68671.743901	56667.096941	55270	55273	4		12	dRNA	C6	dRNA	131	55343	56179	56179	55343	73	131	55270	0	0	0	
LT934125.1	-	UL26.5	PC_12_dRNA	131	55265	55279	55270	60890.037855	49256.762995	55270	55275	6		15	dRNA	PC_12	dRNA	131	55343	56179	56179	55343	73	131	55270	0	0	0	
LT934125.1	-	UL26.5	PK_15_dRNA	131	55265	55280	55270	60787.969068	50664.073998	55270	55271	2		16	dRNA	PK_15	dRNA	131	55343	56179	56179	55343	73	131	55270	0	0	0	
LT934125.1	-	UL29	PC_12_dRNA	113	24906	24906	24906	46.163789	46.163789	24906	24906	1	UL29	1	dRNA	PC_12	dRNA	113	21554	25087	25087	21554	-3352	113	24906	0	0		
LT934125.1	-	UL3	C6_dRNA	157	92926	92926	92926	129.082225	129.082225	92926	92926	1	UL3	1	dRNA	C6	dRNA	157	92749	93465	93465	92749	-177	157	92926	0	0		
LT934125.1	-	UL3.5	C6_dRNA	156	92054	92080	92069	16651.607071	7099.522396	92067	92072	6		27	dRNA	C6	dRNA	156	92099	92752	92752	92099	30	156	92069	0	0	0	
LT934125.1	-	UL3.5	PC_12_dRNA	156	92064	92080	92069	17219.09334	6832.24079	92067	92072	6		17	dRNA	PC_12	dRNA	156	92099	92752	92752	92099	30	156	92069	0	0	0	
LT934125.1	-	UL3.5	PK_15_dRNA	156	92063	92080	92069	13665.028409	4834.494385	92067	92072	6		18	dRNA	PK_15	dRNA	156	92099	92752	92752	92099	30	156	92069	0	0	0	
LT934125.1	-	UL31	C6_dRNA	115	28425	28433	28429	39111.91429	26461.856202	28427	28430	4		9	dRNA	C6	dRNA	115	28501	29316	29316	28501	72	115	28429	0	0	0	
LT934125.1	-	UL31	PC_12_dRNA	115	28425	28433	28429	35638.445203	24974.609916	28427	28430	4		9	dRNA	PC_12	dRNA	115	28501	29316	29316	28501	72	115	28429	0	0	0	
LT934125.1	-	UL31	PK_15_dRNA	115	28427	28440	28429	34046.614517	24939.56882	28428	28430	3		14	dRNA	PK_15	dRNA	115	28501	29316	29316	28501	72	115	28429	0	0	0	
LT934125.1	-	UL36	PC_12_dRNA	122	42005	42012	42005	11771.766227	5078.016804	42005	42008	4		8	dRNA	PC_12	dRNA	122	32705	41983	41983	32705	-9300	122	42005	0	0	0	
LT934125.1	-	UL36	PK_15_dRNA	122	42004	42014	42005	8750.256442	3728.447699	42005	42008	4		11	dRNA	PK_15	dRNA	122	32705	41983	41983	32705	-9300	122	42005	0	0	0	
LT934125.1	-	UL50	C6_dRNA	105	8486	8497	8487	5163.289015	4388.795663	8487	8487	1		12	dRNA	C6	dRNA	105	8593	9399	9399	8593	106	105	8487	0	0	0	
LT934125.1	-	UL50	PC_12_dRNA	105	8487	8492	8487	3693.103129	3185.30145	8487	8489	3		6	dRNA	PC_12	dRNA	105	8593	9399	9399	8593	106	105	8487	0	0	0	
LT934125.1	-	UL50	PK_15_dRNA	105	8487	8492	8487	3773.046355	3327.059789	8487	8490	4		6	dRNA	PK_15	dRNA	105	8593	9399	9399	8593	106	105	8487	0	0	0	
LT934125.1	-	UL54	C6_dRNA	103	2922	2922	2922	129.082225	129.082225	2922	2922	1	UL54	1	dRNA	C6	dRNA	103	2797	3882	3882	2797	-125	103	2922	0	0		
LT934125.1	-	UL6	PC_12_dRNA	151	88000	88000	88000	46.163789	46.163789	88000	88000	1	UL6	1	dRNA	PC_12	dRNA	151	86993	88924	88924	86993	-1007	151	88000	0	0		
LT934125.1	-	UL7	C6_dRNA	150	86124	86145	86130	11230.153607	10197.495805	86130	86130	1		22	dRNA	C6	dRNA	150	86302	87102	87102	86302	172	150	86130	0	0	0	
LT934125.1	-	UL7	PC_12_dRNA	150	86124	86142	86130	10479.18013	9648.231927	86130	86130	1		19	dRNA	PC_12	dRNA	150	86302	87102	87102	86302	172	150	86130	0	0	0	
LT934125.1	-	UL7	PK_15_dRNA	150	86124	86133	86130	5860.263489	5360.758534	86130	86130	1		10	dRNA	PK_15	dRNA	150	86302	87102	87102	86302	172	150	86130	0	0	0	
LT934125.1	-	US1_2	C6_dRNA	176	127345	127345	127345	129.082225	129.082225	127345	127345	1	US1_2	1	dRNA	C6	dRNA	176	126886	127977	127977	126886	-459	176	127420	75	75.5	0.707106781186548	0.00936565273094765
LT934125.1	-	US1_2	PC_12_dRNA	177	127496	127496	127496	46.163789	46.163789	127496	127496	1	US1_2	1	dRNA	PC_12	dRNA	177	126886	127977	127977	126886	-610	177	127420	-76	75.5	0.707106781186548	0.00936565273094765
