group	cluster	chr	start	end	strand	dominant_tes	tags	tags.dominant_tes	q_0.1	q_0.9	interquantile_width	cluster_width	hpi	cell_line	Time
C6_12h	107	LT934125.1	115885	115885	+	115885	14.609382	14.609382	115885	115885	1	1	12h	C6	12
C6_12h	114	LT934125.1	116387	116456	+	116441	776.732128	146.093817	116393	116449	57	70	12h	C6	12
C6_12h	116	LT934125.1	116563	116565	+	116563	38.958351	24.348969	116563	116565	3	3	12h	C6	12
C6_12h	118	LT934125.1	116619	116705	+	116669	4628.73909	535.677327	116629	116689	61	87	12h	C6	12
C6_12h	119	LT934125.1	116727	116750	+	116750	1003.17754	333.580881	116728	116750	23	24	12h	C6	12
C6_12h	121	LT934125.1	116937	116962	+	116962	49968.955065	44602.442202	116961	116962	2	26	12h	C6	12
C6_12h	127	LT934125.1	120465	120477	+	120477	69297.166999	44989.590816	120473	120477	5	13	12h	C6	12
C6_12h	131	LT934125.1	122903	122915	+	122915	15839.004615	11049.562327	122912	122915	4	13	12h	C6	12
C6_12h	136	LT934125.1	125225	125233	+	125230	10260.655718	8078.988057	125228	125230	3	9	12h	C6	12
C6_12h	139	LT934125.1	126139	126151	+	126151	53645.649449	39550.031045	126148	126151	4	13	12h	C6	12
C6_12h	140	LT934125.1	126457	126462	+	126462	82.786496	70.612011	126457	126462	6	6	12h	C6	12
C6_12h	143	LT934125.1	127110	127131	+	127116	301.927221	211.836034	127110	127119	10	22	12h	C6	12
C6_12h	144	LT934125.1	127174	127174	+	127174	12.174485	12.174485	127174	127174	1	1	12h	C6	12
C6_12h	166	LT934125.1	141347	141359	+	141356	8376.045484	5848.622457	141353	141359	7	13	12h	C6	12
C6_12h	169	LT934125.1	990	990	-	990	14.609382	14.609382	990	990	1	1	12h	C6	12
C6_12h	173	LT934125.1	2778	2785	-	2778	7879.326509	6545.002983	2778	2780	3	8	12h	C6	12
C6_12h	175	LT934125.1	8487	8494	-	8487	4051.668513	3133.712366	8487	8490	4	8	12h	C6	12
C6_12h	181	LT934125.1	16580	16593	-	16581	27833.306956	15320.371565	16581	16584	4	14	12h	C6	12
C6_12h	184	LT934125.1	18584	18584	-	18584	14.609382	14.609382	18584	18584	1	1	12h	C6	12
C6_12h	185	LT934125.1	21473	21483	-	21477	11482.973984	5911.929778	21475	21478	4	11	12h	C6	12
C6_12h	186	LT934125.1	21598	21598	-	21598	12.174485	12.174485	21598	21598	1	1	12h	C6	12
C6_12h	189	LT934125.1	28425	28434	-	28429	27723.736592	18130.242637	28427	28430	4	10	12h	C6	12
C6_12h	193	LT934125.1	32036	32038	-	32038	146.093816	107.135465	32036	32038	3	3	12h	C6	12
C6_12h	196	LT934125.1	32686	32694	-	32686	12464.237452	11322.270785	32686	32686	1	9	12h	C6	12
C6_12h	198	LT934125.1	42005	42012	-	42005	8295.693886	5237.463324	42005	42007	3	8	12h	C6	12
C6_12h	199	LT934125.1	50025	50041	-	50028	38.958352	14.609382	50025	50041	17	17	12h	C6	12
C6_12h	210	LT934125.1	54341	54341	-	54341	21.914072	21.914072	54341	54341	1	1	12h	C6	12
C6_12h	214	LT934125.1	55265	55284	-	55270	98438.013612	76105.13885	55270	55273	4	20	12h	C6	12
C6_12h	220	LT934125.1	56317	56318	-	56318	138.789126	121.744847	56317	56318	2	2	12h	C6	12
C6_12h	221	LT934125.1	56526	56526	-	56526	12.174485	12.174485	56526	56526	1	1	12h	C6	12
C6_12h	224	LT934125.1	60234	60234	-	60234	14.609382	14.609382	60234	60234	1	1	12h	C6	12
C6_12h	227	LT934125.1	63151	63176	-	63164	2705.170504	618.463824	63159	63167	9	26	12h	C6	12
C6_12h	228	LT934125.1	63307	63319	-	63308	65.742218	29.218763	63307	63319	13	13	12h	C6	12
C6_12h	229	LT934125.1	64133	64143	-	64133	2610.209525	1641.12054	64133	64141	9	11	12h	C6	12
C6_12h	234	LT934125.1	71546	71553	-	71549	2951.095097	2001.485287	71546	71550	5	8	12h	C6	12
C6_12h	237	LT934125.1	75637	75652	-	75652	46.263043	17.044279	75637	75652	16	16	12h	C6	12
C6_12h	239	LT934125.1	80352	80363	-	80352	40419.289253	35576.279234	80352	80353	2	12	12h	C6	12
C6_12h	240	LT934125.1	86128	86138	-	86133	1068.919757	601.419545	86131	86137	7	11	12h	C6	12
C6_12h	242	LT934125.1	92064	92083	-	92069	39119.054286	24129.828705	92067	92070	4	20	12h	C6	12
C6_12h	243	LT934125.1	93214	93253	-	93245	172.877684	53.567733	93214	93253	40	40	12h	C6	12
C6_12h	245	LT934125.1	95886	95894	-	95889	9849.158135	6540.133189	95889	95891	3	9	12h	C6	12
C6_12h	249	LT934125.1	102357	102370	-	102361	8480.746053	5855.927148	102358	102364	7	14	12h	C6	12
C6_12h	271	LT934125.1	116543	116543	-	116543	12.174485	12.174485	116543	116543	1	1	12h	C6	12
C6_12h	272	LT934125.1	116586	116607	-	116601	301.927221	211.836034	116598	116607	10	22	12h	C6	12
C6_12h	278	LT934125.1	117248	117258	-	117253	211.836033	150.96361	117248	117258	11	11	12h	C6	12
C6_12h	283	LT934125.1	122913	122913	-	122913	26.783866	26.783866	122913	122913	1	1	12h	C6	12
C6_12h	290	LT934125.1	125140	125153	-	125141	56.00263	29.218763	125140	125153	14	14	12h	C6	12
C6_12h	296	LT934125.1	126753	126778	-	126753	50003.043621	44638.965656	126753	126754	2	26	12h	C6	12
C6_12h	298	LT934125.1	126967	126990	-	126967	1003.17754	336.015778	126967	126989	23	24	12h	C6	12
C6_12h	299	LT934125.1	127012	127098	-	127048	4636.04378	535.677327	127028	127088	61	87	12h	C6	12
C6_12h	300	LT934125.1	127152	127154	-	127154	38.958351	24.348969	127152	127154	3	3	12h	C6	12
C6_12h	302	LT934125.1	127261	127330	-	127276	774.297231	146.093817	127268	127324	57	70	12h	C6	12
C6_12h	310	LT934125.1	127832	127832	-	127832	14.609382	14.609382	127832	127832	1	1	12h	C6	12
C6_12h	311	LT934125.1	127995	127995	-	127995	19.479176	19.479176	127995	127995	1	1	12h	C6	12
C6_12h	317	LT934125.1	128326	128326	-	128326	12.174485	12.174485	128326	128326	1	1	12h	C6	12
C6_12h	319	LT934125.1	128482	128503	-	128489	75.481806	21.914072	128482	128503	22	22	12h	C6	12
C6_12h	320	LT934125.1	128619	128619	-	128619	12.174485	12.174485	128619	128619	1	1	12h	C6	12
C6_12h	324	LT934125.1	134888	134897	-	134888	2303.412508	1938.177967	134888	134892	5	10	12h	C6	12
C6_12h	326	LT934125.1	135211	135212	-	135211	31.653661	19.479176	135211	135212	2	2	12h	C6	12
C6_12h	327	LT934125.1	135485	135486	-	135485	82.786496	46.263042	135485	135486	2	2	12h	C6	12
C6_12h	328	LT934125.1	135565	135565	-	135565	53.567733	53.567733	135565	135565	1	1	12h	C6	12
C6_12h	329	LT934125.1	135638	135650	-	135646	82.786497	58.437527	135638	135650	13	13	12h	C6	12
C6_12h	330	LT934125.1	135728	135731	-	135728	53.567733	38.958351	135728	135731	4	4	12h	C6	12
C6_12h	332	LT934125.1	141295	141297	-	141295	58.437527	38.958351	141295	141297	3	3	12h	C6	12
C6_1h	2	LT934125.1	2269	2275	+	2273	22831.050229	16307.89302	2272	2275	4	7	1h	C6	1
C6_1h	4	LT934125.1	8518	8526	+	8523	2609.262884	1304.631442	8518	8526	9	9	1h	C6	1
C6_1h	9	LT934125.1	10417	10431	+	10426	35877.364645	22831.050228	10424	10431	8	15	1h	C6	1
C6_1h	18	LT934125.1	16212	16224	+	16224	32615.78604	22831.050228	16220	16224	5	13	1h	C6	1
C6_1h	19	LT934125.1	28632	28632	+	28632	5218.525766	5218.525766	28632	28632	1	1	1h	C6	1
C6_1h	24	LT934125.1	32411	32415	+	32415	28049.575995	26744.944553	32415	32415	1	5	1h	C6	1
C6_1h	31	LT934125.1	46034	46038	+	46038	11089.367255	8480.104371	46035	46038	4	5	1h	C6	1
C6_1h	33	LT934125.1	49644	49648	+	49647	82191.780822	65231.572081	49645	49647	3	5	1h	C6	1
C6_1h	37	LT934125.1	52437	52439	+	52437	9132.420091	6523.157208	52437	52439	3	3	1h	C6	1
C6_1h	39	LT934125.1	53590	53604	+	53594	15003.261579	6523.157208	53594	53604	11	15	1h	C6	1
C6_1h	42	LT934125.1	55158	55161	+	55158	1956.947163	652.315721	55158	55161	4	4	1h	C6	1
C6_1h	47	LT934125.1	60248	60254	+	60251	43705.153293	35877.364644	60251	60252	2	7	1h	C6	1
C6_1h	50	LT934125.1	62334	62340	+	62340	5870.841488	4566.210046	62334	62340	7	7	1h	C6	1
C6_1h	57	LT934125.1	70517	70521	+	70521	6523.157209	4566.210046	70517	70521	5	5	1h	C6	1
C6_1h	58	LT934125.1	71529	71545	+	71544	13046.314417	5870.841487	71530	71544	15	17	1h	C6	1
C6_1h	61	LT934125.1	79991	79998	+	79996	40443.574691	28701.891716	79993	79996	4	8	1h	C6	1
C6_1h	64	LT934125.1	86161	86168	+	86167	10437.051534	7827.78865	86164	86167	4	8	1h	C6	1
C6_1h	66	LT934125.1	91562	91562	+	91562	652.315721	652.315721	91562	91562	1	1	1h	C6	1
C6_1h	67	LT934125.1	92052	92059	+	92059	7175.472929	5218.525766	92056	92059	4	8	1h	C6	1
C6_1h	78	LT934125.1	96023	96023	+	96023	652.315721	652.315721	96023	96023	1	1	1h	C6	1
C6_1h	116	LT934125.1	116564	116564	+	116564	652.315721	652.315721	116564	116564	1	1	1h	C6	1
C6_1h	117	LT934125.1	116624	116633	+	116624	1956.947163	652.315721	116624	116633	10	10	1h	C6	1
C6_1h	119	LT934125.1	116732	116741	+	116732	1304.631442	652.315721	116732	116741	10	10	1h	C6	1
C6_1h	121	LT934125.1	116958	116962	+	116962	52837.573386	48923.679061	116962	116962	1	5	1h	C6	1
C6_1h	127	LT934125.1	120469	120477	+	120477	75016.307894	45662.100457	120473	120477	5	9	1h	C6	1
C6_1h	131	LT934125.1	122912	122915	+	122915	15003.261578	12393.998695	122912	122915	4	4	1h	C6	1
C6_1h	136	LT934125.1	125225	125235	+	125230	15655.577301	11741.682975	125228	125230	3	11	1h	C6	1
C6_1h	139	LT934125.1	126145	126152	+	126151	52185.257665	36529.680365	126148	126151	4	8	1h	C6	1
C6_1h	140	LT934125.1	126462	126462	+	126462	652.315721	652.315721	126462	126462	1	1	1h	C6	1
C6_1h	143	LT934125.1	127116	127116	+	127116	652.315721	652.315721	127116	127116	1	1	1h	C6	1
C6_1h	166	LT934125.1	141354	141356	+	141356	8480.104371	7827.78865	141356	141356	1	3	1h	C6	1
C6_1h	172	LT934125.1	2576	2576	-	2576	652.315721	652.315721	2576	2576	1	1	1h	C6	1
C6_1h	173	LT934125.1	2778	2783	-	2778	33920.417482	25440.313112	2778	2781	4	6	1h	C6	1
C6_1h	175	LT934125.1	8486	8490	-	8487	18264.840183	15655.577299	8487	8488	2	5	1h	C6	1
C6_1h	181	LT934125.1	16581	16587	-	16581	16960.208741	10437.051533	16581	16583	3	7	1h	C6	1
C6_1h	185	LT934125.1	21475	21483	-	21477	24787.997392	15003.261579	21475	21479	5	9	1h	C6	1
C6_1h	189	LT934125.1	28427	28430	-	28429	8480.104371	4566.210046	28429	28430	2	4	1h	C6	1
C6_1h	196	LT934125.1	32686	32689	-	32686	28049.575995	26744.944553	32686	32686	1	4	1h	C6	1
C6_1h	198	LT934125.1	42005	42008	-	42005	3261.578604	1956.947162	42005	42008	4	4	1h	C6	1
C6_1h	199	LT934125.1	50039	50039	-	50039	652.315721	652.315721	50039	50039	1	1	1h	C6	1
C6_1h	201	LT934125.1	52392	52392	-	52392	652.315721	652.315721	52392	52392	1	1	1h	C6	1
C6_1h	214	LT934125.1	55265	55278	-	55270	70450.097848	53489.889106	55270	55272	3	14	1h	C6	1
C6_1h	223	LT934125.1	59087	59087	-	59087	652.315721	652.315721	59087	59087	1	1	1h	C6	1
C6_1h	227	LT934125.1	63162	63164	-	63162	1956.947163	652.315721	63162	63164	3	3	1h	C6	1
C6_1h	229	LT934125.1	64133	64140	-	64133	3261.578605	1304.631442	64133	64140	8	8	1h	C6	1
C6_1h	239	LT934125.1	80350	80355	-	80352	9784.735813	7827.78865	80352	80354	3	6	1h	C6	1
C6_1h	242	LT934125.1	92067	92072	-	92069	8480.10437	5218.525766	92069	92072	4	6	1h	C6	1
C6_1h	243	LT934125.1	93253	93253	-	93253	652.315721	652.315721	93253	93253	1	1	1h	C6	1
C6_1h	245	LT934125.1	95886	95898	-	95889	89367.253751	49575.994781	95886	95892	7	13	1h	C6	1
C6_1h	249	LT934125.1	102358	102363	-	102361	11089.367254	7827.78865	102358	102361	4	6	1h	C6	1
C6_1h	272	LT934125.1	116601	116601	-	116601	652.315721	652.315721	116601	116601	1	1	1h	C6	1
C6_1h	279	LT934125.1	118861	118861	-	118861	652.315721	652.315721	118861	118861	1	1	1h	C6	1
C6_1h	294	LT934125.1	126006	126006	-	126006	652.315721	652.315721	126006	126006	1	1	1h	C6	1
C6_1h	296	LT934125.1	126753	126757	-	126753	52837.573386	48923.679061	126753	126753	1	5	1h	C6	1
C6_1h	298	LT934125.1	126976	126985	-	126976	1304.631442	652.315721	126976	126985	10	10	1h	C6	1
C6_1h	299	LT934125.1	127027	127048	-	127027	2609.262884	652.315721	127027	127048	22	22	1h	C6	1
C6_1h	300	LT934125.1	127153	127153	-	127153	652.315721	652.315721	127153	127153	1	1	1h	C6	1
C6_2h	2	LT934125.1	2269	2275	+	2273	20335.53635	11692.933401	2271	2275	5	7	2h	C6	2
C6_2h	4	LT934125.1	8519	8526	+	8523	5592.272497	4067.10727	8520	8523	4	8	2h	C6	2
C6_2h	9	LT934125.1	10420	10431	+	10426	41179.461108	31011.692933	10425	10429	5	12	2h	C6	2
C6_2h	18	LT934125.1	16219	16224	+	16224	18810.371122	14234.875445	16220	16224	5	6	2h	C6	2
C6_2h	19	LT934125.1	28632	28632	+	28632	2033.553635	2033.553635	28632	28632	1	1	2h	C6	2
C6_2h	24	LT934125.1	32413	32415	+	32415	26436.197255	25419.420437	32415	32415	1	3	2h	C6	2
C6_2h	31	LT934125.1	46037	46038	+	46038	8642.602948	7625.826131	46037	46038	2	2	2h	C6	2
C6_2h	33	LT934125.1	49643	49647	+	49647	78291.814946	65073.716319	49645	49647	3	5	2h	C6	2
C6_2h	37	LT934125.1	52430	52439	+	52437	12201.32181	6100.660905	52434	52439	6	10	2h	C6	2
C6_2h	39	LT934125.1	53590	53604	+	53598	21860.701574	5083.884087	53591	53602	12	15	2h	C6	2
C6_2h	42	LT934125.1	55156	55161	+	55161	9150.991358	6100.660905	55157	55161	5	6	2h	C6	2
C6_2h	47	LT934125.1	60243	60254	+	60251	57447.890189	50330.452466	60251	60251	1	12	2h	C6	2
C6_2h	50	LT934125.1	62336	62340	+	62340	11184.544993	6100.660905	62338	62340	3	5	2h	C6	2
C6_2h	57	LT934125.1	70521	70521	+	70521	6609.049314	6609.049314	70521	70521	1	1	2h	C6	2
C6_2h	58	LT934125.1	71529	71545	+	71544	25927.808846	12709.710219	71531	71544	14	17	2h	C6	2
C6_2h	61	LT934125.1	79991	79996	+	79996	56939.50178	38129.130656	79993	79996	4	6	2h	C6	2
C6_2h	64	LT934125.1	86164	86168	+	86167	10676.156585	8642.602949	86166	86167	2	5	2h	C6	2
C6_2h	67	LT934125.1	92056	92059	+	92059	9150.991357	7625.826131	92056	92059	4	4	2h	C6	2
C6_2h	74	LT934125.1	93408	93408	+	93408	508.388409	508.388409	93408	93408	1	1	2h	C6	2
C6_2h	93	LT934125.1	108821	108829	+	108829	3050.330452	1525.165226	108821	108829	9	9	2h	C6	2
C6_2h	97	LT934125.1	115186	115233	+	115186	1016.776818	508.388409	115186	115233	48	48	2h	C6	2
C6_2h	98	LT934125.1	115335	115335	+	115335	508.388409	508.388409	115335	115335	1	1	2h	C6	2
C6_2h	103	LT934125.1	115633	115633	+	115633	508.388409	508.388409	115633	115633	1	1	2h	C6	2
C6_2h	105	LT934125.1	115710	115710	+	115710	508.388409	508.388409	115710	115710	1	1	2h	C6	2
C6_2h	114	LT934125.1	116462	116462	+	116462	508.388409	508.388409	116462	116462	1	1	2h	C6	2
C6_2h	117	LT934125.1	116628	116630	+	116628	1525.165226	1016.776817	116628	116630	3	3	2h	C6	2
C6_2h	121	LT934125.1	116956	116962	+	116962	53889.171327	47788.510422	116960	116962	3	7	2h	C6	2
C6_2h	127	LT934125.1	120469	120477	+	120477	68124.046771	42196.237926	120473	120477	5	9	2h	C6	2
C6_2h	131	LT934125.1	122910	122915	+	122915	11184.544992	7625.826131	122911	122915	5	6	2h	C6	2
C6_2h	136	LT934125.1	125225	125230	+	125230	10167.768174	8134.21454	125229	125230	2	6	2h	C6	2
C6_2h	139	LT934125.1	126144	126152	+	126151	52872.394509	38129.130656	126148	126151	4	9	2h	C6	2
C6_2h	143	LT934125.1	127116	127116	+	127116	508.388409	508.388409	127116	127116	1	1	2h	C6	2
C6_2h	166	LT934125.1	141354	141356	+	141356	3050.330453	2541.942044	141354	141356	3	3	2h	C6	2
C6_2h	173	LT934125.1	2778	2785	-	2778	27961.362481	19827.147941	2778	2781	4	8	2h	C6	2
C6_2h	175	LT934125.1	8487	8494	-	8487	19318.759533	14743.263854	8487	8490	4	8	2h	C6	2
C6_2h	181	LT934125.1	16579	16588	-	16581	17285.205897	9150.991357	16581	16583	3	10	2h	C6	2
C6_2h	185	LT934125.1	21475	21483	-	21477	18301.982716	10676.156584	21475	21479	5	9	2h	C6	2
C6_2h	189	LT934125.1	28425	28432	-	28429	18301.982714	8642.602949	28426	28430	5	8	2h	C6	2
C6_2h	196	LT934125.1	32686	32692	-	32686	9150.991358	8134.21454	32686	32690	5	7	2h	C6	2
C6_2h	198	LT934125.1	42005	42006	-	42005	3050.330452	2033.553635	42005	42006	2	2	2h	C6	2
C6_2h	199	LT934125.1	50028	50029	-	50028	1016.776818	508.388409	50028	50029	2	2	2h	C6	2
C6_2h	214	LT934125.1	55268	55284	-	55270	82867.310625	63548.551093	55270	55273	4	17	2h	C6	2
C6_2h	227	LT934125.1	63159	63167	-	63167	3050.330453	1525.165226	63159	63167	9	9	2h	C6	2
C6_2h	229	LT934125.1	64133	64141	-	64133	2541.942044	1525.165226	64133	64141	9	9	2h	C6	2
C6_2h	234	LT934125.1	71546	71551	-	71546	2541.942043	1016.776817	71546	71551	6	6	2h	C6	2
C6_2h	239	LT934125.1	80352	80354	-	80352	16776.817489	15760.040671	80352	80352	1	3	2h	C6	2
C6_2h	240	LT934125.1	86131	86133	-	86131	1016.776818	508.388409	86131	86133	3	3	2h	C6	2
C6_2h	242	LT934125.1	92067	92072	-	92069	12709.710218	8642.602949	92067	92069	3	6	2h	C6	2
C6_2h	245	LT934125.1	95886	95893	-	95889	59989.832231	34570.411795	95888	95892	5	8	2h	C6	2
C6_2h	249	LT934125.1	102361	102363	-	102361	3050.330453	2541.942044	102361	102363	3	3	2h	C6	2
C6_2h	272	LT934125.1	116601	116601	-	116601	508.388409	508.388409	116601	116601	1	1	2h	C6	2
C6_2h	296	LT934125.1	126753	126759	-	126753	53889.171327	47788.510422	126753	126755	3	7	2h	C6	2
C6_2h	299	LT934125.1	127028	127072	-	127072	2033.553635	1016.776817	127028	127072	45	45	2h	C6	2
C6_2h	302	LT934125.1	127255	127255	-	127255	508.388409	508.388409	127255	127255	1	1	2h	C6	2
C6_2h	311	LT934125.1	127979	127979	-	127979	508.388409	508.388409	127979	127979	1	1	2h	C6	2
C6_2h	313	LT934125.1	128084	128084	-	128084	508.388409	508.388409	128084	128084	1	1	2h	C6	2
C6_2h	318	LT934125.1	128382	128382	-	128382	508.388409	508.388409	128382	128382	1	1	2h	C6	2
C6_2h	319	LT934125.1	128484	128531	-	128484	1016.776818	508.388409	128484	128531	48	48	2h	C6	2
C6_2h	324	LT934125.1	134888	134895	-	134888	2541.942043	1525.165226	134888	134895	8	8	2h	C6	2
C6_4h	2	LT934125.1	2259	2275	+	2273	29495.178671	19568.916619	2273	2275	3	17	4h	C6	4
C6_4h	4	LT934125.1	8519	8526	+	8523	3403.289846	2552.467385	8520	8523	4	8	4h	C6	4
C6_4h	9	LT934125.1	10420	10431	+	10426	27509.92626	21270.561543	10426	10431	6	12	4h	C6	4
C6_4h	18	LT934125.1	16219	16224	+	16224	31196.823596	26091.888826	16220	16224	5	6	4h	C6	4
C6_4h	19	LT934125.1	28632	28632	+	28632	1134.429949	1134.429949	28632	28632	1	1	4h	C6	4
C6_4h	24	LT934125.1	32410	32415	+	32415	43959.160522	40272.263188	32415	32415	1	6	4h	C6	4
C6_4h	31	LT934125.1	46030	46039	+	46038	10209.86954	7657.402155	46035	46038	4	10	4h	C6	4
C6_4h	33	LT934125.1	49642	49648	+	49647	60408.394781	47078.842881	49645	49647	3	7	4h	C6	4
C6_4h	34	LT934125.1	50248	50248	+	50248	283.607487	283.607487	50248	50248	1	1	4h	C6	4
C6_4h	35	LT934125.1	51338	51338	+	51338	283.607487	283.607487	51338	51338	1	1	4h	C6	4
C6_4h	37	LT934125.1	52426	52443	+	52437	15031.196823	7373.794668	52430	52439	10	18	4h	C6	4
C6_4h	39	LT934125.1	53590	53604	+	53594	9359.047078	2552.467385	53590	53604	15	15	4h	C6	4
C6_4h	42	LT934125.1	55157	55161	+	55161	17016.449234	11627.906977	55158	55161	4	5	4h	C6	4
C6_4h	43	LT934125.1	55262	55278	+	55262	850.822461	283.607487	55262	55278	17	17	4h	C6	4
C6_4h	44	LT934125.1	55471	55471	+	55471	567.214974	567.214974	55471	55471	1	1	4h	C6	4
C6_4h	47	LT934125.1	60250	60254	+	60251	14463.981849	12762.336926	60251	60251	1	5	4h	C6	4
C6_4h	50	LT934125.1	62328	62341	+	62340	10777.084513	6522.972206	62336	62340	5	14	4h	C6	4
C6_4h	57	LT934125.1	70519	70521	+	70521	5388.542257	4821.327283	70519	70521	3	3	4h	C6	4
C6_4h	58	LT934125.1	71530	71544	+	71544	20136.131593	11344.29949	71531	71544	14	15	4h	C6	4
C6_4h	59	LT934125.1	75651	75651	+	75651	283.607487	283.607487	75651	75651	1	1	4h	C6	4
C6_4h	61	LT934125.1	79990	80001	+	79996	36301.758365	27226.318775	79994	79996	3	12	4h	C6	4
C6_4h	64	LT934125.1	86158	86168	+	86167	5104.934769	3686.897334	86164	86168	5	11	4h	C6	4
C6_4h	66	LT934125.1	91559	91559	+	91559	567.214974	567.214974	91559	91559	1	1	4h	C6	4
C6_4h	67	LT934125.1	92052	92059	+	92059	8224.617129	6522.972206	92056	92059	4	8	4h	C6	4
