chr	strand	gene	group	cluster	start	end	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	inCoding	cluster_width	hpi	cell_line	Time	dominant_TC	CDS_start	CDS_end	CDS_prime5	CDS_prime3	TSS_CDS_dist	closest_TC	gene_mean_dominant_TSS	gene_dominant_TSS_shift	gene_mean_shift_TSS	gene_sd_shift_TSS	gene_varcoeff_shif_TSS
LT934125.1	+	IE180_2	PC_12_6h	1229	136339	136351	136348	533.020628	373.11444	136345	136351	7		13	6h	PC_12	6	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PC_12_8h	1229	136322	136355	136348	735.012146	351.527547	136335	136351	17		34	8h	PC_12	8	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PK_15_12h	1229	136339	136351	136348	121.281465	86.956522	136339	136351	13		13	12h	PK_15	12	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PK_15_1h	1228	136270	136270	136270	2923.976608	2923.976608	136270	136270	1		1	1h	PK_15	1	1228	136420	140772	136420	140772	150	1228	136337	67	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PK_15_2h	1228	136245	136245	136245	362.056481	362.056481	136245	136245	1		1	2h	PK_15	2	1228	136420	140772	136420	140772	175	1228	136337	92	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PK_15_4h	1229	136339	136352	136348	3491.10985	1948.526427	136341	136351	11		14	4h	PK_15	4	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PK_15_6h	1229	136335	136351	136348	1806.466181	1193.558013	136339	136351	13		17	6h	PK_15	6	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	IE180_2	PK_15_8h	1229	136335	136351	136348	1184.215721	750.003289	136339	136350	12		17	8h	PK_15	8	1229	136420	140772	136420	140772	72	1229	136337	-11	19.0588235294118	23.1745296290866	1.21594754226689
LT934125.1	+	NOIR	C6_12h	979	107473	107485	107482	755.302857	349.677248	107482	107484	3		13	12h	C6	12	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	C6_4h	978	107420	107427	107420	1050.97215	525.486075	107420	107427	8		8	4h	C6	4	978	107483	108830	107483	108830	63	978	107474	54	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	C6_6h	979	107468	107485	107483	1034.928849	344.976283	107476	107484	9	NOIR	18	6h	C6	6	979	107483	108830	107483	108830	0	979	107474	-9	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	C6_8h	979	107470	107485	107482	1355.932203	807.102502	107482	107483	2		16	8h	C6	8	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PC_12_12h	979	107473	107485	107482	1208.133401	423.187971	107476	107485	10		13	12h	PC_12	12	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PC_12_1h	979	107479	107479	107479	2227.171492	2227.171492	107479	107479	1		1	1h	PC_12	1	979	107483	108830	107483	108830	4	979	107474	-5	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PC_12_2.5h	979	107482	107482	107482	2220.57735	2220.57735	107482	107482	1		1	2.5h	PC_12	2.5	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PC_12_4h	978	107420	107437	107420	501.907249	200.762899	107420	107437	18		18	4h	PC_12	4	978	107483	108830	107483	108830	63	978	107474	54	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PC_12_6h	979	107473	107485	107483	799.530941	239.859283	107475	107485	11	NOIR	13	6h	PC_12	6	979	107483	108830	107483	108830	0	979	107474	-9	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PC_12_8h	979	107473	107485	107482	1661.766587	926.754442	107479	107484	6		13	8h	PC_12	8	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PK_15_12h	979	107473	107485	107482	1009.153318	405.034325	107482	107485	4		13	12h	PK_15	12	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PK_15_2h	979	107482	107482	107482	1810.282404	1810.282404	107482	107482	1		1	2h	PK_15	2	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PK_15_4h	979	107476	107485	107482	2354.469434	933.668913	107479	107485	7		10	4h	PK_15	4	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PK_15_6h	979	107472	107485	107482	2467.761836	1201.622594	107482	107484	3		14	6h	PK_15	6	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	NOIR	PK_15_8h	979	107473	107485	107482	2535.098837	1364.04107	107482	107485	4		13	8h	PK_15	8	979	107483	108830	107483	108830	1	979	107474	-8	14.0666666666667	16.2369361407285	1.15428455976743
LT934125.1	+	ORF-1	C6_12h	16	1600	1604	1600	1951.199044	1433.676716	1600	1603	4		5	12h	C6	12	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	C6_4h	16	1593	1603	1600	4203.888598	2627.430373	1593	1603	11		11	4h	C6	4	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	C6_6h	16	1583	1604	1600	3363.518758	2328.589909	1600	1603	4		22	6h	C6	6	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	C6_8h	16	1590	1604	1600	1807.909604	1097.659403	1600	1603	4		15	8h	C6	8	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PC_12_12h	16	1590	1603	1600	2504.999761	1979.427604	1600	1603	4		14	12h	PC_12	12	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PC_12_2.5h	16	1600	1600	1600	2220.57735	2220.57735	1600	1600	1		1	2.5h	PC_12	2.5	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PC_12_2h	16	1600	1600	1600	1334.222815	1334.222815	1600	1600	1		1	2h	PC_12	2	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PC_12_4h	16	1595	1603	1600	3914.876532	3412.969283	1600	1600	1		9	4h	PC_12	4	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PC_12_6h	16	1590	1603	1600	3997.65471	3384.680987	1600	1602	3		14	6h	PC_12	6	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PC_12_8h	16	1588	1604	1600	3770.931868	2492.649879	1600	1603	4		17	8h	PC_12	8	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PK_15_12h	16	1600	1603	1600	1478.260869	1162.471396	1600	1603	4		4	12h	PK_15	12	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PK_15_2h	16	1600	1604	1600	1086.169443	724.112962	1600	1604	5		5	2h	PK_15	2	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PK_15_4h	16	1600	1604	1600	893.074612	608.914508	1600	1603	4		5	4h	PK_15	4	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PK_15_6h	16	1600	1604	1600	1088.718457	750.006048	1600	1603	4		5	6h	PK_15	6	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	ORF-1	PK_15_8h	16	1600	1603	1600	1464.918706	1004.39037	1600	1603	4		4	8h	PK_15	8	16	1623	2243	1623	2243	23	16	1600	0	0	0	
LT934125.1	+	UL11	C6_1h	743	79749	79749	79749	1540.832049	1540.832049	79749	79749	1	UL12	1	1h	C6	1	743	79779	79970	79779	79970	30	743	79714	-35	17.5	19.0875177362939	1.09071529921679
LT934125.1	+	UL11	PC_12_1.5h	743	79681	79681	79681	2212.389381	2212.389381	79681	79681	1	UL12	1	1.5h	PC_12	1.5	743	79779	79970	79779	79970	98	743	79714	33	17.5	19.0875177362939	1.09071529921679
LT934125.1	+	UL11	PC_12_1h	743	79712	79712	79712	2227.171492	2227.171492	79712	79712	1	UL12	1	1h	PC_12	1	743	79779	79970	79779	79970	67	743	79714	2	17.5	19.0875177362939	1.09071529921679
LT934125.1	+	UL11	PC_12_2h	743	79714	79714	79714	667.111408	667.111408	79714	79714	1	UL12	1	2h	PC_12	2	743	79779	79970	79779	79970	65	743	79714	0	17.5	19.0875177362939	1.09071529921679
LT934125.1	+	UL12	C6_8h	723	78329	78332	78329	64.5682	32.2841	78329	78332	4	UL13	4	8h	C6	8	723	78364	79821	78364	79821	35	723	78310	-19	21	5.47722557505166	0.260820265478651
LT934125.1	+	UL12	PC_12_8h	722	78295	78300	78295	63.9141	31.95705	78295	78300	6	UL13	6	8h	PC_12	8	722	78364	79821	78364	79821	69	722	78310	15	21	5.47722557505166	0.260820265478651
LT934125.1	+	UL12	PK_15_4h	722	78282	78282	78282	40.594301	40.594301	78282	78282	1	UL13	1	4h	PK_15	4	722	78364	79821	78364	79821	82	722	78310	28	21	5.47722557505166	0.260820265478651
LT934125.1	+	UL12	PK_15_8h	723	78332	78332	78332	13.157952	13.157952	78332	78332	1	UL13	1	8h	PK_15	8	723	78364	79821	78364	79821	32	723	78310	-22	21	5.47722557505166	0.260820265478651
LT934125.1	+	UL13	PC_12_8h	708	77169	77169	77169	31.95705	31.95705	77169	77169	1	UL14	1	8h	PC_12	8	708	77202	78398	77202	78398	33	708	77169	0	0		
LT934125.1	+	UL14	C6_1h	702	76683	76689	76683	6163.328197	3081.664099	76683	76689	7		7	1h	C6	1	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	C6_6h	702	76674	76688	76683	1897.369557	948.684778	76683	76685	3		15	6h	C6	6	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	C6_8h	702	76677	76685	76683	1259.079903	742.534302	76677	76685	9		9	8h	C6	8	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PC_12_12h	702	76677	76685	76683	389.059908	238.896435	76682	76685	4		9	12h	PC_12	12	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PC_12_2h	702	76683	76685	76683	3335.557038	1334.222815	76683	76685	3		3	2h	PC_12	2	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PC_12_6h	702	76677	76687	76683	799.530942	373.11444	76683	76685	3		11	6h	PC_12	6	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PC_12_8h	702	76677	76685	76683	447.398696	255.656398	76677	76685	9		9	8h	PC_12	8	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PK_15_12h	702	76683	76685	76683	183.066362	123.569794	76683	76685	3		3	12h	PK_15	12	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PK_15_2h	702	76683	76683	76683	724.112962	724.112962	76683	76683	1		1	2h	PK_15	2	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PK_15_4h	702	76682	76685	76683	974.263214	527.725907	76683	76685	3		4	4h	PK_15	4	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PK_15_6h	702	76677	76689	76683	814.522697	451.616545	76683	76687	5		13	6h	PK_15	6	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL14	PK_15_8h	702	76677	76687	76683	644.73967	355.264716	76683	76685	3		11	8h	PK_15	8	702	76753	77232	76753	77232	70	702	76683	0	0	0	
LT934125.1	+	UL16	C6_8h	686	74573	74573	74573	32.2841	32.2841	74573	74573	1	UL17	1	8h	C6	8	686	74654	75640	74654	75640	81	686	74625	52	20.6	18.4878338374186	0.897467662010611
LT934125.1	+	UL16	PC_12_4h	687	74643	74643	74643	100.38145	100.38145	74643	74643	1		1	4h	PC_12	4	687	74654	75640	74654	75640	11	687	74625	-18	20.6	18.4878338374186	0.897467662010611
LT934125.1	+	UL16	PC_12_8h	687	74643	74795	74643	191.742299	63.914099	74643	74795	153		153	8h	PC_12	8	687	74654	75640	74654	75640	11	687	74625	-18	20.6	18.4878338374186	0.897467662010611
LT934125.1	+	UL16	PK_15_4h	687	74629	74722	74629	162.377204	40.594301	74629	74722	94		94	4h	PK_15	4	687	74654	75640	74654	75640	25	687	74625	-4	20.6	18.4878338374186	0.897467662010611
LT934125.1	+	UL16	PK_15_6h	687	74636	74770	74636	40.322905	24.193743	74636	74770	135		135	6h	PK_15	6	687	74654	75640	74654	75640	18	687	74625	-11	20.6	18.4878338374186	0.897467662010611
LT934125.1	+	UL17	C6_12h	661	72758	72763	72759	1042.038199	657.393226	72758	72763	6		6	12h	C6	12	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	C6_4h	661	72759	72759	72759	1050.972149	1050.972149	72759	72759	1		1	4h	C6	4	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	C6_6h	661	72758	72763	72759	517.464425	344.976283	72758	72763	6		6	6h	C6	6	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	C6_8h	661	72758	72763	72759	548.829701	387.409201	72758	72759	2		6	8h	C6	8	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	PC_12_12h	661	72758	72763	72759	491.444095	382.234296	72759	72760	2		6	12h	PC_12	12	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	PC_12_4h	661	72759	72760	72759	401.525799	301.144349	72759	72760	2		2	4h	PC_12	4	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	PC_12_6h	661	72759	72763	72759	612.973722	533.020628	72759	72760	2		5	6h	PC_12	6	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	PC_12_8h	661	72758	72763	72759	543.269846	383.484597	72758	72761	4		6	8h	PC_12	8	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	PK_15_12h	661	72758	72763	72759	411.899313	292.906178	72759	72763	5		6	12h	PK_15	12	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	PK_15_4h	661	72758	72764	72759	243.565804	162.377202	72758	72764	7		7	4h	PK_15	4	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	PK_15_6h	661	72758	72763	72759	459.681127	322.583247	72758	72763	6		6	6h	PK_15	6	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL17	PK_15_8h	661	72758	72763	72759	605.265813	434.212431	72758	72763	6		6	8h	PK_15	8	661	72834	74627	72834	74627	75	661	72759	0	0	0	
LT934125.1	+	UL18	C6_12h	636	70525	70531	70531	53906.244537	31596.83612	70529	70531	3		7	12h	C6	12	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	C6_1h	636	70529	70534	70531	24653.312788	12326.656394	70529	70532	4		6	1h	C6	1	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	C6_2h	636	70528	70535	70531	39653.035936	18587.360595	70529	70531	3		8	2h	C6	2	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	C6_4h	636	70529	70531	70529	35733.053074	19442.984761	70529	70531	3		3	4h	C6	4	636	70559	71449	70559	71449	30	636	70531	2	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	C6_6h	636	70525	70531	70531	30530.401035	18025.010781	70529	70531	3		7	6h	C6	6	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	C6_8h	636	70525	70531	70531	35351.089588	19983.85795	70529	70531	3		7	8h	C6	8	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	NRK_1h	636	70529	70531	70529	20202.020202	10101.010101	70529	70531	3		3	1h	NRK	1	636	70559	71449	70559	71449	30	636	70531	2	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	NRK_2h	636	70529	70531	70529	16181.229773	9708.737864	70529	70531	3		3	2h	NRK	2	636	70559	71449	70559	71449	30	636	70531	2	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_0.5h	636	70529	70529	70529	32258.064516	32258.064516	70529	70529	1		1	0.5h	PC_12	0.5	636	70559	71449	70559	71449	30	636	70531	2	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_1.5h	636	70529	70534	70531	24336.283186	13274.336283	70529	70531	3		6	1.5h	PC_12	1.5	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_12h	636	70525	70531	70531	34872.053894	20667.954432	70529	70531	3		7	12h	PC_12	12	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_1h	636	70529	70531	70529	15590.200446	8908.685969	70529	70531	3		3	1h	PC_12	1	636	70559	71449	70559	71449	30	636	70531	2	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_2.5h	636	70525	70532	70531	22945.965951	12583.271651	70529	70531	3		8	2.5h	PC_12	2.5	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_2h	636	70529	70531	70531	22014.676451	11340.893929	70529	70531	3		3	2h	PC_12	2	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_4h	636	70525	70531	70531	32925.115439	18871.712508	70529	70531	3		7	4h	PC_12	4	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_6h	636	70525	70531	70531	34646.340814	19481.90395	70529	70531	3		7	6h	PC_12	6	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PC_12_8h	636	70525	70531	70531	25821.296178	15754.825515	70529	70531	3		7	8h	PC_12	8	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PK_15_12h	636	70525	70531	70531	36659.038902	22148.741419	70529	70531	3		7	12h	PK_15	12	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PK_15_2h	636	70529	70534	70531	14844.315714	7603.186097	70529	70531	3		6	2h	PK_15	2	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PK_15_4h	636	70525	70531	70531	25696.192254	14086.222294	70529	70531	3		7	4h	PK_15	4	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PK_15_6h	636	70525	70531	70531	26395.374157	15742.062436	70529	70531	3		7	6h	PK_15	6	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL18	PK_15_8h	636	70525	70531	70531	26026.429941	15565.857745	70529	70531	3		7	8h	PK_15	8	636	70559	71449	70559	71449	28	636	70531	0	0.454545454545455	0.857864054457777	1.88730091980711
LT934125.1	+	UL19	C6_12h	578	66335	66341	66338	4916.462105	3342.91449	66338	66341	4		7	12h	C6	12	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	C6_2h	578	66338	66345	66338	3717.472119	2478.314746	66338	66345	8		8	2h	C6	2	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	C6_4h	578	66338	66338	66338	2101.944298	2101.944298	66338	66338	1		1	4h	C6	4	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	C6_6h	578	66335	66341	66338	3708.495042	2242.345839	66338	66341	4		7	6h	C6	6	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	C6_8h	578	66337	66341	66338	1840.193705	1452.784504	66338	66341	4		5	8h	C6	8	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	NRK_1h	578	66338	66338	66338	10101.010101	10101.010101	66338	66338	1		1	1h	NRK	1	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	NRK_2h	578	66338	66338	66338	3236.245955	3236.245955	66338	66338	1		1	2h	NRK	2	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PC_12_12h	578	66335	66341	66338	2784.84987	1958.950767	66338	66341	4		7	12h	PC_12	12	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PC_12_2h	578	66338	66338	66338	2001.334223	2001.334223	66338	66338	1		1	2h	PC_12	2	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PC_12_4h	578	66335	66347	66338	2308.77334	1304.958844	66338	66341	4		13	4h	PC_12	4	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PC_12_6h	578	66335	66344	66338	2291.9887	1412.504664	66338	66341	4		10	6h	PC_12	6	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PC_12_8h	578	66335	66341	66338	3227.662022	2141.122332	66338	66341	4		7	8h	PC_12	8	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PK_15_12h	578	66335	66341	66338	4659.038902	3093.82151	66338	66341	4		7	12h	PK_15	12	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PK_15_1h	578	66338	66338	66338	2923.976608	2923.976608	66338	66338	1		1	1h	PK_15	1	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PK_15_2h	578	66338	66344	66338	2172.338885	1448.225923	66338	66344	7		7	2h	PK_15	2	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PK_15_4h	578	66335	66341	66338	1420.800521	893.074612	66338	66341	4		7	4h	PK_15	4	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PK_15_6h	578	66335	66341	66338	1951.628642	1395.172542	66338	66341	4		7	6h	PK_15	6	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL19	PK_15_8h	578	66335	66341	66338	4109.667148	2820.187808	66338	66341	4		7	8h	PK_15	8	578	66399	70391	66399	70391	61	578	66338	0	0	0	
LT934125.1	+	UL20	C6_12h	575	65805	65809	65807	412.619153	237.780529	65805	65807	3		5	12h	C6	12	575	65827	66312	65827	66312	20	575	65806	-1	1.29411764705882	0.848874687627166	0.655948622257355
LT934125.1	+	UL20	C6_2h	575	65807	65807	65807	2478.314746	2478.314746	65807	65807	1		1	2h	C6	2	575	65827	66312	65827	66312	20	575	65806	-1	1.29411764705882	0.848874687627166	0.655948622257355
LT934125.1	+	UL20	C6_4h	575	65807	65807	65807	525.486075	525.486075	65807	65807	1		1	4h	C6	4	575	65827	66312	65827	66312	20	575	65806	-1	1.29411764705882	0.848874687627166	0.655948622257355
LT934125.1	+	UL20	C6_6h	575	65805	65815	65805	258.732213	86.244071	65805	65815	11		11	6h	C6	6	575	65827	66312	65827	66312	22	575	65806	1	1.29411764705882	0.848874687627166	0.655948622257355
LT934125.1	+	UL20	C6_8h	575	65805	65807	65805	64.5682	32.2841	65805	65807	3		3	8h	C6	8	575	65827	66312	65827	66312	22	575	65806	1	1.29411764705882	0.848874687627166	0.655948622257355
LT934125.1	+	UL20	NRK_2h	575	65807	65807	65807	3236.245955	3236.245955	65807	65807	1		1	2h	NRK	2	575	65827	66312	65827	66312	20	575	65806	-1	1.29411764705882	0.848874687627166	0.655948622257355
LT934125.1	+	UL20	PC_12_12h	575	65805	65809	65807	348.106234	163.814698	65805	65807	3		5	12h	PC_12	12	575	65827	66312	65827	66312	20	575	65806	-1	1.29411764705882	0.848874687627166	0.655948622257355
