hpi	cell_line	seqnames	strand	cluster	cluster_start	cluster_end	cluster_peak	cluster_width	cluster_total_count	cluster_ratio	meta_cluster
4h	PC-12	LT934125.1	+	3	1334	1352	1337	19	64	0.00642441276852038	3
6h	PC-12	LT934125.1	+	6	1334	1397	1337	64	237	0.00631629444059485	3
4h	PK-15	LT934125.1	+	5	1346	1407	1351	62	19	0.000771291710643826	3
4h	PC-12	LT934125.1	+	4	1519	1604	1600	86	41	0.00411563942983337	4
6h	PK-15	LT934125.1	+	8	1519	1604	1600	86	147	0.00118549343139864	4
2.5h	PC-12	LT934125.1	+	3	1542	1600	1600	59	6	0.00444115470022206	4
8h	PK-15	LT934125.1	+	9	1542	1616	1600	75	364	0.0015964982302554	4
6h	C6	LT934125.1	+	6	1583	1604	1600	22	39	0.00336351875808538	4
12h	PC-12	LT934125.1	+	9	1583	1655	1600	73	395	0.00269611690908967	4
8h	PC-12	LT934125.1	+	7	1588	1604	1600	17	119	0.00373064141952474	4
12h	C6	LT934125.1	+	9	1590	1652	1600	63	298	0.00208407639748512	4
8h	C6	LT934125.1	+	7	1590	1660	1600	71	59	0.0019047619047619	4
6h	PC-12	LT934125.1	+	8	1590	1644	1600	55	158	0.00421086296039657	4
12h	PK-15	LT934125.1	+	10	1591	1669	1600	79	712	0.00162929061784897	4
4h	C6	LT934125.1	+	4	1593	1603	1600	11	8	0.00420388859695218	4
4h	PK-15	LT934125.1	+	7	1600	1604	1600	5	22	0.00089307461232443	4
8h	PC-12	LT934125.1	+	10	1815	1889	1869	75	17	0.000532948774217819	5
12h	PK-15	LT934125.1	+	27	7548	7614	7588	67	324	0.000741418764302059	6
12h	PC-12	LT934125.1	+	34	7553	7599	7588	47	254	0.00173370555673108	6
6h	PC-12	LT934125.1	+	23	7564	7605	7588	42	141	0.00375779542668301	6
8h	PK-15	LT934125.1	+	28	7567	7614	7588	48	674	0.00295615331646191	6
12h	C6	LT934125.1	+	45	7569	7633	7588	65	389	0.00272048898866346	6
6h	PK-15	LT934125.1	+	27	7569	7665	7588	97	571	0.00460487584577295	6
8h	C6	LT934125.1	+	20	7584	7636	7588	53	127	0.0041000807102502	6
4h	PC-12	LT934125.1	+	12	7587	7596	7588	10	49	0.00491869102589841	6
4h	PK-15	LT934125.1	+	14	7587	7631	7588	45	273	0.011082244052935	6
4h	C6	LT934125.1	+	7	7588	7596	7591	9	9	0.0047293746715712	6
6h	C6	LT934125.1	+	14	7588	7596	7588	9	39	0.00336351875808538	6
2h	PC-12	LT934125.1	+	7	7588	7595	7591	8	7	0.00466977985323549	6
8h	PC-12	LT934125.1	+	25	7588	7599	7588	12	86	0.00269609379898426	6
2h	PK-15	LT934125.1	+	4	7589	7594	7591	6	6	0.00217233888486604	6
4h	PC-12	LT934125.1	+	13	7768	7814	7811	47	8	0.000803051596065047	7
4h	PK-15	LT934125.1	+	16	7778	7834	7811	57	14	0.000568320207842819	7
4h	C6	LT934125.1	+	9	9020	9113	9020	94	6	0.00315291644771414	8
12h	PC-12	LT934125.1	+	46	9069	9133	9113	65	1007	0.00687339171507164	8
12h	PK-15	LT934125.1	+	38	9079	9136	9113	58	3945	0.00902745995423341	8
4h	PK-15	LT934125.1	+	21	9098	9160	9113	63	37	0.00150198912072745	8
8h	PK-15	LT934125.1	+	40	9098	9176	9113	79	829	0.00363598085956517	8
12h	C6	LT934125.1	+	57	9103	9163	9113	61	1261	0.00881886019204274	8
6h	C6	LT934125.1	+	21	9107	9145	9113	39	30	0.00258732212160414	8
8h	C6	LT934125.1	+	27	9107	9151	9113	45	109	0.00351896690879742	8
4h	PC-12	LT934125.1	+	17	9107	9113	9113	7	28	0.00281068058622767	8
6h	PC-12	LT934125.1	+	32	9107	9160	9113	54	144	0.00383774852086776	8
8h	PC-12	LT934125.1	+	34	9107	9149	9113	43	154	0.00482788889585554	8
6h	PK-15	LT934125.1	+	36	9107	9164	9113	58	338	0.00272582843410028	8
12h	PC-12	LT934125.1	+	48	9208	9274	9270	67	1604	0.0109482823346325	9
8h	PC-12	LT934125.1	+	35	9208	9301	9270	94	428	0.013417769139131	9
6h	PK-15	LT934125.1	+	37	9225	9322	9270	98	1391	0.0112178324018742	9
8h	C6	LT934125.1	+	28	9237	9301	9270	65	456	0.0147215496368039	9
12h	PK-15	LT934125.1	+	40	9254	9303	9270	50	5659	0.0129496567505721	9
8h	PK-15	LT934125.1	+	42	9254	9325	9270	72	2629	0.0115307523278611	9
12h	C6	LT934125.1	+	59	9260	9325	9270	66	1846	0.0129100839924749	9
4h	PK-15	LT934125.1	+	22	9266	9338	9270	73	627	0.0254526264512462	9
1h	C6	LT934125.1	+	5	9267	9272	9270	6	16	0.024653312788906	9
2h	C6	LT934125.1	+	9	9267	9314	9270	48	19	0.022274325908558	9
4h	C6	LT934125.1	+	10	9267	9274	9270	8	18	0.00945874934314241	9
6h	C6	LT934125.1	+	22	9267	9343	9270	77	160	0.0137990513152221	9
2h	NRK	LT934125.1	+	6	9267	9270	9270	4	6	0.0194174757281553	9
1.5h	PC-12	LT934125.1	+	4	9267	9274	9270	8	12	0.0265486725663717	9
2.5h	PC-12	LT934125.1	+	7	9267	9278	9270	12	39	0.0288675055514434	9
2h	PC-12	LT934125.1	+	9	9267	9274	9270	8	40	0.0266844563042028	9
4h	PC-12	LT934125.1	+	18	9267	9286	9270	20	129	0.0129492069865489	9
6h	PC-12	LT934125.1	+	33	9267	9343	9270	77	552	0.0147113693299931	9
2h	PK-15	LT934125.1	+	7	9267	9275	9270	9	71	0.0257060101375815	9
1h	PC-12	LT934125.1	+	5	9270	9270	9270	1	10	0.022271714922049	9
8h	C6	LT934125.1	+	31	9477	9556	9548	80	30	0.000968523002421307	10
12h	PK-15	LT934125.1	+	44	9511	9604	9548	94	259	0.000592677345537758	10
12h	C6	LT934125.1	+	63	9548	9609	9548	62	93	0.00065039968109435	10
6h	PC-12	LT934125.1	+	35	9548	9614	9548	67	26	0.00069292681626779	10
2h	PK-15	LT934125.1	+	8	9550	9647	9643	98	11	0.00398262128892107	10
8h	PC-12	LT934125.1	+	39	9604	9653	9646	50	185	0.00579973666060568	10
4h	PK-15	LT934125.1	+	25	9604	9651	9643	48	154	0.00625152228627101	10
12h	PK-15	LT934125.1	+	45	9620	9681	9646	62	3312	0.00757894736842105	10
6h	PK-15	LT934125.1	+	41	9633	9679	9643	47	621	0.00500810490407181	10
12h	C6	LT934125.1	+	64	9640	9684	9646	45	912	0.00637811300169943	10
6h	C6	LT934125.1	+	25	9640	9708	9646	69	49	0.00422595946528676	10
8h	C6	LT934125.1	+	32	9640	9723	9646	84	148	0.00477804681194512	10
12h	PC-12	LT934125.1	+	53	9640	9687	9643	48	807	0.00550826922945661	10
2.5h	PC-12	LT934125.1	+	9	9640	9650	9644	11	12	0.00888230940044412	10
4h	PC-12	LT934125.1	+	20	9640	9723	9644	84	37	0.00371411363180084	10
6h	PC-12	LT934125.1	+	36	9640	9700	9644	61	164	0.00437076914876606	10
8h	PK-15	LT934125.1	+	46	9640	9727	9646	88	1572	0.00689476708231176	10
2h	C6	LT934125.1	+	11	9643	9689	9644	47	5	0.00586166471277843	10
4h	C6	LT934125.1	+	11	9643	9646	9646	4	7	0.00367840252233316	10
2h	PC-12	LT934125.1	+	11	9644	9653	9644	10	7	0.00466977985323549	10
4h	PK-15	LT934125.1	+	26	9666	9742	9699	77	15	0.00060891450840302	10
8h	PC-12	LT934125.1	+	40	9668	9745	9668	78	16	0.000501598846322654	10
4h	PC-12	LT934125.1	+	21	9798	9895	9798	98	5	0.000501907247540655	11
8h	PC-12	LT934125.1	+	45	10086	10161	10108	76	19	0.000595648630008151	12
12h	C6	LT934125.1	+	73	10430	10493	10431	64	231	0.00161550888529887	13
8h	C6	LT934125.1	+	40	10430	10438	10431	9	17	0.000548829701372074	13
12h	PC-12	LT934125.1	+	62	10430	10484	10431	55	128	0.000873678390793614	13
12h	PK-15	LT934125.1	+	55	10430	10466	10431	37	603	0.00137986270022883	13
6h	PK-15	LT934125.1	+	51	10430	10467	10431	38	74	0.000596779006282309	13
8h	PK-15	LT934125.1	+	56	10430	10437	10431	8	322	0.00141228689599516	13
6h	C6	LT934125.1	+	30	10431	10433	10431	3	9	0.000776196636481242	13
8h	PC-12	LT934125.1	+	48	10431	10434	10431	4	29	0.000909147908959809	13
12h	PK-15	LT934125.1	+	68	11761	11811	11793	51	318	0.000727688787185355	14
12h	C6	LT934125.1	+	83	11780	11864	11793	85	133	0.0009301414794145	14
8h	PK-15	LT934125.1	+	67	11788	11846	11793	59	139	0.000609651796718407	14
12h	PC-12	LT934125.1	+	74	11791	11803	11793	13	86	0.000587002668814459	14
8h	PK-15	LT934125.1	+	89	13992	14056	14048	65	1962	0.00860530090044255	15
8h	C6	LT934125.1	+	53	14016	14054	14048	39	384	0.0123970944309927	15
12h	PC-12	LT934125.1	+	93	14016	14054	14048	39	805	0.00549461800460046	15
6h	C6	LT934125.1	+	42	14022	14054	14048	33	241	0.0207848210435533	15
6h	PK-15	LT934125.1	+	73	14022	14054	14048	33	1019	0.00821780820813071	15
12h	C6	LT934125.1	+	105	14033	14082	14048	50	2782	0.0194560420731665	15
12h	PK-15	LT934125.1	+	92	14033	14057	14048	25	3081	0.00705034324942792	15
8h	PC-12	LT934125.1	+	62	14040	14089	14048	50	177	0.00554893723744435	15
4h	PC-12	LT934125.1	+	30	14042	14078	14048	37	138	0.0138526400321221	15
6h	PC-12	LT934125.1	+	56	14042	14087	14048	46	499	0.0132988646660626	15
4h	PK-15	LT934125.1	+	43	14042	14052	14048	11	226	0.0091743119266055	15
4h	C6	LT934125.1	+	15	14044	14053	14048	10	35	0.0183920126116658	15
2h	PK-15	LT934125.1	+	15	14047	14054	14048	8	24	0.00868935553946416	15
1h	C6	LT934125.1	+	10	14048	14054	14048	7	11	0.0169491525423729	15
2h	C6	LT934125.1	+	12	14048	14051	14048	4	5	0.00586166471277843	15
2h	PC-12	LT934125.1	+	15	14048	14101	14048	54	12	0.00800533689126084	15
6h	C6	LT934125.1	+	47	15099	15170	15099	72	6	0.000517464424320828	16
4h	PC-12	LT934125.1	+	34	15113	15200	15113	88	5	0.000501907247540655	16
12h	PK-15	LT934125.1	+	115	15726	15805	15750	80	221	0.000505720823798627	17
6h	C6	LT934125.1	+	59	25420	25424	25422	5	9	0.000776196636481242	18
12h	C6	LT934125.1	+	197	30235	30298	30240	64	132	0.000923147934456497	19
6h	C6	LT934125.1	+	72	30235	30293	30235	59	20	0.00172488141440276	19
8h	C6	LT934125.1	+	95	30235	30329	30240	95	21	0.000677966101694915	19
4h	PC-12	LT934125.1	+	46	30240	30298	30240	59	8	0.000803051596065047	19
4h	PC-12	LT934125.1	+	48	30932	30994	30932	63	6	0.000602288697048785	20
2h	PK-15	LT934125.1	+	30	31030	31104	31098	75	23	0.00832729905865315	21
12h	PK-15	LT934125.1	+	178	31034	31121	31098	88	4507	0.0103135011441648	21
6h	PC-12	LT934125.1	+	104	31042	31103	31098	62	423	0.011273386280049	21
8h	PK-15	LT934125.1	+	174	31042	31124	31098	83	2476	0.0108596967530559	21
12h	C6	LT934125.1	+	204	31079	31167	31098	89	2589	0.0181062878962717	21
12h	PC-12	LT934125.1	+	174	31088	31181	31098	94	1259	0.00859344604694656	21
2.5h	PC-12	LT934125.1	+	21	31089	31116	31098	28	23	0.0170244263508512	21
6h	PK-15	LT934125.1	+	132	31089	31152	31098	64	1042	0.00840329357494819	21
8h	C6	LT934125.1	+	99	31090	31152	31098	63	393	0.0126876513317191	21
4h	PK-15	LT934125.1	+	77	31090	31152	31098	63	411	0.0166842575302428	21
8h	PC-12	LT934125.1	+	121	31091	31189	31098	99	409	0.0128221205091228	21
6h	C6	LT934125.1	+	76	31093	31149	31098	57	190	0.0163863734368262	21
4h	PC-12	LT934125.1	+	50	31093	31151	31098	59	115	0.0115438666934351	21
4h	C6	LT934125.1	+	23	31095	31098	31098	4	34	0.0178665265370468	21
2h	PC-12	LT934125.1	+	25	31095	31098	31098	4	34	0.0226817878585724	21
1h	C6	LT934125.1	+	18	31096	31098	31098	3	8	0.012326656394453	21
2h	NRK	LT934125.1	+	12	31097	31098	31098	2	7	0.0226537216828479	21
1.5h	PC-12	LT934125.1	+	9	31098	31098	31098	1	6	0.0132743362831858	21
6h	PC-12	LT934125.1	+	105	31134	31198	31150	65	20	0.0005330206278983	21
2h	PC-12	LT934125.1	+	27	31955	32041	32036	87	10	0.0066711140760507	22
4h	C6	LT934125.1	+	25	31982	32039	32036	58	30	0.0157645822385707	22
12h	C6	LT934125.1	+	216	31990	32051	32038	62	11404	0.0797543867010749	22
8h	C6	LT934125.1	+	106	31994	32050	32038	57	1511	0.0487812752219532	22
12h	PC-12	LT934125.1	+	183	31994	32051	32038	58	14491	0.0989099496952364	22
2h	PK-15	LT934125.1	+	32	31994	32080	32038	87	56	0.0202751629254164	22
4h	PK-15	LT934125.1	+	83	31994	32045	32038	52	645	0.0261833238613299	22
6h	PC-12	LT934125.1	+	112	32005	32080	32038	76	1426	0.0380043707691488	22
8h	PK-15	LT934125.1	+	186	32005	32085	32038	81	14574	0.0639213329883026	22
8h	PC-12	LT934125.1	+	130	32016	32114	32038	99	2205	0.0691265910088407	22
6h	C6	LT934125.1	+	81	32028	32095	32036	68	261	0.022509702457956	22
4h	PC-12	LT934125.1	+	55	32028	32099	32038	72	221	0.0221843003412969	22
6h	PK-15	LT934125.1	+	144	32031	32131	32038	101	6338	0.0511133154299631	22
12h	PK-15	LT934125.1	+	191	32034	32095	32038	62	36987	0.0846384439359268	22
2.5h	PC-12	LT934125.1	+	24	32036	32038	32038	3	16	0.0118430792005922	22
12h	PC-12	LT934125.1	+	184	32056	32110	32091	55	102	0.000696212467663661	22
12h	C6	LT934125.1	+	217	32057	32110	32091	54	89	0.000622425501262335	22
8h	C6	LT934125.1	+	107	32062	32118	32091	57	18	0.000581113801452785	22
8h	PK-15	LT934125.1	+	187	32089	32145	32091	57	146	0.00064035368576178	22
12h	PC-12	LT934125.1	+	185	32112	32174	32161	63	126	0.000860027165937464	22
12h	C6	LT934125.1	+	218	32116	32180	32161	65	147	0.00102805110882655	22
8h	C6	LT934125.1	+	108	32131	32194	32145	64	19	0.000613397901533495	22
8h	PC-12	LT934125.1	+	131	32131	32227	32167	97	38	0.0011912972600163	22
6h	PK-15	LT934125.1	+	145	32135	32205	32173	71	78	0.000629037330946217	22
8h	PK-15	LT934125.1	+	188	32152	32219	32173	68	151	0.000662283606507046	22
12h	PK-15	LT934125.1	+	193	32154	32229	32161	76	288	0.000659038901601831	22
12h	C6	LT934125.1	+	219	32185	32281	32185	97	107	0.000748309310506403	22
8h	PC-12	LT934125.1	+	132	32238	32322	32269	85	32	0.00100319769264531	22
12h	PC-12	LT934125.1	+	187	32239	32328	32269	90	77	0.000525572156961783	22
12h	PC-12	LT934125.1	+	235	44728	44818	44812	91	1522	0.0103885821155303	23
12h	PK-15	LT934125.1	+	229	44773	44869	44812	97	7605	0.0174027459954233	23
12h	C6	LT934125.1	+	274	44779	44848	44812	70	1713	0.0119799425130604	23
8h	C6	LT934125.1	+	126	44779	44852	44812	74	385	0.0124293785310734	23
6h	PC-12	LT934125.1	+	132	44779	44875	44812	97	494	0.013165609509088	23
8h	PC-12	LT934125.1	+	157	44779	44841	44812	63	344	0.0107843751959371	23
6h	PK-15	LT934125.1	+	169	44800	44835	44812	36	2404	0.0193872531230091	23
6h	C6	LT934125.1	+	95	44807	44833	44812	27	156	0.0134540750323415	23
4h	PC-12	LT934125.1	+	61	44807	44852	44812	46	112	0.0112427223449107	23
4h	PK-15	LT934125.1	+	92	44807	44817	44812	11	490	0.0198912072744987	23
8h	PK-15	LT934125.1	+	226	44807	44903	44812	97	3317	0.0145483094224097	23
2h	NRK	LT934125.1	+	16	44809	44812	44810	4	6	0.0194174757281553	23
2h	PC-12	LT934125.1	+	31	44809	44812	44812	4	7	0.00466977985323549	23
1h	C6	LT934125.1	+	22	44810	44812	44812	3	7	0.0107858243451464	23
2h	C6	LT934125.1	+	20	44810	44812	44810	3	5	0.00586166471277843	23
4h	C6	LT934125.1	+	29	44810	44813	44812	4	21	0.0110352075669995	23
2.5h	PC-12	LT934125.1	+	25	44810	44812	44810	3	10	0.0074019245003701	23
2h	PK-15	LT934125.1	+	35	44810	44814	44812	5	26	0.00941346850108617	23
12h	PK-15	LT934125.1	+	243	45942	46036	46024	95	410	0.000938215102974828	24
8h	PC-12	LT934125.1	+	164	46002	46032	46023	31	39	0.00122264718791147	24
12h	C6	LT934125.1	+	285	46005	46031	46024	27	189	0.00132177999706271	24
12h	PC-12	LT934125.1	+	247	46005	46059	46023	55	102	0.000696212467663661	24
8h	PK-15	LT934125.1	+	238	46005	46040	46023	36	144	0.000631581717463673	24
6h	C6	LT934125.1	+	100	46010	46032	46024	23	20	0.00172488141440276	24
6h	PC-12	LT934125.1	+	142	46023	46042	46024	20	23	0.000612973722083045	24
4h	C6	LT934125.1	+	31	46024	46027	46025	4	5	0.00262743037309511	24
2h	PC-12	LT934125.1	+	33	46230	46236	46230	7	5	0.00333555703802535	25
6h	C6	LT934125.1	+	101	46233	46270	46233	38	22	0.00189736955584304	25
8h	PC-12	LT934125.1	+	166	46233	46286	46235	54	16	0.000501598846322654	25
6h	C6	LT934125.1	+	106	47282	47344	47319	63	8	0.000689952565761104	26
6h	PC-12	LT934125.1	+	151	47282	47357	47315	76	32	0.00085283300463728	26
8h	PC-12	LT934125.1	+	174	47282	47348	47315	67	18	0.000564298702112985	26
4h	PC-12	LT934125.1	+	73	47311	47319	47311	9	7	0.000702670146556916	26
4h	PC-12	LT934125.1	+	79	48253	48294	48253	42	6	0.000602288697048785	27
2h	PK-15	LT934125.1	+	41	48505	48572	48567	68	109	0.0394641564083997	28
2h	PC-12	LT934125.1	+	39	48547	48571	48567	25	59	0.0393595730486991	28
8h	PC-12	LT934125.1	+	186	48547	48634	48567	88	803	0.0251739920998182	28
12h	PK-15	LT934125.1	+	272	48547	48602	48567	56	1542	0.00352860411899314	28
6h	PK-15	LT934125.1	+	202	48547	48631	48567	85	2635	0.0212501713723498	28
8h	PK-15	LT934125.1	+	266	48547	48633	48567	87	4151	0.0182062202027202	28
6h	PC-12	LT934125.1	+	163	48556	48645	48567	90	539	0.0143649059218592	28
12h	C6	LT934125.1	+	312	48559	48621	48567	63	2880	0.0201414094790508	28
8h	C6	LT934125.1	+	150	48559	48599	48567	41	1377	0.044455205811138	28
4h	PC-12	LT934125.1	+	81	48559	48653	48567	95	173	0.0173659907649066	28
4h	PK-15	LT934125.1	+	105	48563	48616	48567	54	1262	0.0512300073069741	28
2h	C6	LT934125.1	+	22	48565	48575	48567	11	37	0.0433763188745604	28
6h	C6	LT934125.1	+	114	48565	48608	48567	44	239	0.020612332902113	28
1.5h	PC-12	LT934125.1	+	15	48565	48571	48567	7	28	0.0619469026548673	28
12h	PC-12	LT934125.1	+	273	48565	48622	48567	58	1718	0.011726402151433	28
2.5h	PC-12	LT934125.1	+	32	48565	48571	48567	7	83	0.0614359733530718	28
1h	C6	LT934125.1	+	28	48567	48581	48567	15	33	0.0508474576271187	28
4h	C6	LT934125.1	+	38	48567	48599	48567	33	51	0.0267997898055702	28
1h	NRK	LT934125.1	+	8	48567	48570	48567	4	7	0.0707070707070707	28
2h	NRK	LT934125.1	+	20	48567	48570	48567	4	26	0.0841423948220065	28
1h	PC-12	LT934125.1	+	18	48567	48586	48567	20	22	0.0489977728285078	28
1h	PK-15	LT934125.1	+	6	48567	48567	48567	1	5	0.0146198830409357	28
8h	C6	LT934125.1	+	151	48611	48670	48622	60	21	0.000677966101694915	28
8h	PC-12	LT934125.1	+	187	48655	48731	48691	77	20	0.000626998557903317	28
8h	C6	LT934125.1	+	152	48685	48773	48691	89	20	0.000645682001614205	28
8h	PC-12	LT934125.1	+	189	48821	48890	48848	70	23	0.000721048341588814	29
8h	C6	LT934125.1	+	154	48850	48933	48868	84	19	0.000613397901533495	29
4h	PC-12	LT934125.1	+	84	48868	48950	48868	83	5	0.000501907247540655	29
8h	PC-12	LT934125.1	+	190	48904	48941	48925	38	17	0.000532948774217819	29
6h	PC-12	LT934125.1	+	167	48916	49000	48931	85	19	0.000506369596503385	29
8h	PC-12	LT934125.1	+	193	49082	49147	49114	66	22	0.000689698413693649	30
8h	C6	LT934125.1	+	158	49196	49261	49196	66	16	0.000516545601291364	31
8h	PC-12	LT934125.1	+	195	49224	49297	49261	74	19	0.000595648630008151	31
8h	PC-12	LT934125.1	+	197	49372	49451	49444	80	19	0.000595648630008151	32
12h	C6	LT934125.1	+	337	51148	51244	51235	97	1109	0.00775584135842617	33
4h	C6	LT934125.1	+	43	51148	51238	51235	91	19	0.00998423541776143	33
6h	PC-12	LT934125.1	+	178	51148	51242	51235	95	323	0.00860828314055754	33
2h	PK-15	LT934125.1	+	49	51148	51241	51235	94	22	0.00796524257784214	33
2h	C6	LT934125.1	+	26	51152	51240	51152	89	8	0.00937866354044549	33
8h	PK-15	LT934125.1	+	288	51193	51269	51235	77	1757	0.00770617414988662	33
4h	PK-15	LT934125.1	+	119	51220	51310	51235	91	263	0.010676301047333	33
12h	PK-15	LT934125.1	+	298	51227	51303	51235	77	3003	0.00687185354691076	33
6h	C6	LT934125.1	+	127	51230	51282	51235	53	107	0.00922811556705476	33
2h	NRK	LT934125.1	+	22	51230	51238	51230	9	5	0.0161812297734628	33
1.5h	PC-12	LT934125.1	+	17	51230	51235	51235	6	10	0.0221238938053097	33
2.5h	PC-12	LT934125.1	+	38	51230	51239	51230	10	28	0.0207253886010363	33
6h	PK-15	LT934125.1	+	222	51230	51310	51235	81	977	0.00787909579915967	33
12h	PC-12	LT934125.1	+	296	51231	51264	51235	34	666	0.00454585787709802	33
8h	C6	LT934125.1	+	168	51232	51302	51235	71	209	0.00674737691686844	33
2h	PC-12	LT934125.1	+	44	51232	51248	51235	17	13	0.00867244829886591	33
4h	PC-12	LT934125.1	+	91	51232	51302	51235	71	84	0.008432041758683	33
8h	PC-12	LT934125.1	+	205	51233	51269	51235	37	194	0.00608188601166217	33
4h	PC-12	LT934125.1	+	93	51495	51556	51495	62	6	0.000602288697048785	34
4h	PC-12	LT934125.1	+	95	51805	51890	51805	86	5	0.000501907247540655	35
12h	PK-15	LT934125.1	+	312	52386	52475	52460	90	2422	0.00554233409610984	36
6h	PK-15	LT934125.1	+	235	52412	52467	52460	56	1077	0.00868555391575739	36
12h	C6	LT934125.1	+	351	52432	52525	52460	94	972	0.00679772569917966	36
8h	PK-15	LT934125.1	+	305	52432	52497	52460	66	2547	0.0111711016276387	36
12h	PC-12	LT934125.1	+	309	52434	52504	52460	71	755	0.00515333738319671	36
2h	PC-12	LT934125.1	+	47	52434	52463	52460	30	24	0.0160106737825217	36
4h	PK-15	LT934125.1	+	128	52434	52494	52460	61	377	0.0153040513111959	36
8h	C6	LT934125.1	+	176	52435	52494	52460	60	270	0.00871670702179177	36
6h	C6	LT934125.1	+	135	52437	52464	52460	28	131	0.0112979732643381	36
8h	PC-12	LT934125.1	+	218	52437	52496	52460	60	326	0.0102200764938241	36
2h	PK-15	LT934125.1	+	51	52438	52494	52460	57	59	0.0213613323678494	36
2h	C6	LT934125.1	+	28	52440	52484	52460	45	9	0.0105509964830012	36
1h	NRK	LT934125.1	+	11	52440	52460	52460	21	5	0.0505050505050505	36
2.5h	PC-12	LT934125.1	+	39	52440	52484	52460	45	34	0.0251665433012583	36
4h	PC-12	LT934125.1	+	98	52440	52491	52460	52	85	0.00853242320819113	36
6h	PC-12	LT934125.1	+	187	52440	52496	52460	57	287	0.0076488460103406	36
1h	C6	LT934125.1	+	30	52444	52461	52460	18	14	0.0215716486902928	36
2h	NRK	LT934125.1	+	23	52444	52462	52460	19	9	0.029126213592233	36
1.5h	PC-12	LT934125.1	+	18	52444	52460	52460	17	18	0.0398230088495575	36
1h	PC-12	LT934125.1	+	22	52444	52460	52460	17	8	0.0178173719376392	36
4h	C6	LT934125.1	+	44	52460	52494	52460	35	18	0.00945874934314241	36
6h	PK-15	LT934125.1	+	236	52482	52562	52484	81	69	0.000556456100452423	36
6h	C6	LT934125.1	+	136	52484	52549	52484	66	8	0.000689952565761104	36
4h	PK-15	LT934125.1	+	134	53564	53652	53648	89	29	0.00117723471624584	37
6h	PC-12	LT934125.1	+	197	53575	53655	53648	81	186	0.00495709183945419	37
12h	PC-12	LT934125.1	+	321	53606	53669	53648	64	891	0.00608162067341492	37
4h	PC-12	LT934125.1	+	103	53606	53652	53648	47	23	0.00230877333868701	37
8h	PC-12	LT934125.1	+	229	53606	53655	53648	50	196	0.00614458586745251	37
8h	PK-15	LT934125.1	+	319	53606	53669	53648	64	1849	0.00810968469159952	37
12h	PK-15	LT934125.1	+	329	53632	53681	53648	50	8761	0.0200480549199085	37
12h	C6	LT934125.1	+	363	53640	53696	53648	57	1013	0.00708446104245781	37
6h	PK-15	LT934125.1	+	248	53640	53723	53648	84	382	0.00308067000540327	37
8h	C6	LT934125.1	+	186	53643	53696	53648	54	94	0.00303470540758676	37
6h	C6	LT934125.1	+	142	53644	53655	53648	12	62	0.00534713238464856	37
