chr	pos	strand	C6_dRNA	PC_12_dRNA	PK_15_dRNA
LT934125.1	15006	+	129.082225	0	0
LT934125.1	15082	+	129.082225	0	0
LT934125.1	15630	+	0	46.163789	0
LT934125.1	16209	+	0	46.163789	17.839463
LT934125.1	16210	+	129.082225	46.163789	35.678925
LT934125.1	16211	+	129.082225	92.327578	26.759194
LT934125.1	16212	+	0	46.163789	17.839463
LT934125.1	16215	+	0	92.327578	35.678925
LT934125.1	16217	+	129.082225	46.163789	44.598657
LT934125.1	16218	+	0	184.655156	133.79597
LT934125.1	16219	+	258.164451	323.146524	124.876239
LT934125.1	16220	+	903.575578	1708.060198	909.812596
LT934125.1	16221	+	129.082225	369.310313	178.394627
LT934125.1	16222	+	1161.740028	1292.586095	829.535014
LT934125.1	16223	+	387.246676	184.655156	401.38791
LT934125.1	16224	+	37821.092036	51518.788662	47024.823612
LT934125.1	16225	+	0	46.163789	17.839463
LT934125.1	16226	+	774.493352	738.620626	1159.565074
LT934125.1	16227	+	129.082225	46.163789	17.839463
LT934125.1	16228	+	0	184.655156	267.59194
LT934125.1	16234	+	0	0	17.839463
LT934125.1	18834	+	0	46.163789	0
LT934125.1	21872	+	129.082225	0	0
LT934125.1	28428	+	0	0	17.839463
LT934125.1	28629	+	129.082225	46.163789	17.839463
LT934125.1	28630	+	0	46.163789	35.678925
LT934125.1	28631	+	0	0	26.759194
LT934125.1	28632	+	1032.657803	877.111993	330.030059
LT934125.1	32402	+	0	46.163789	0
LT934125.1	32403	+	0	46.163789	17.839463
LT934125.1	32404	+	0	0	26.759194
LT934125.1	32406	+	129.082225	0	62.438119
LT934125.1	32407	+	0	0	62.438119
LT934125.1	32408	+	516.328902	461.637891	330.030059
LT934125.1	32409	+	1419.904479	1200.258517	1088.207223
LT934125.1	32410	+	129.082225	92.327578	71.357851
LT934125.1	32411	+	645.411127	276.982735	321.110328
LT934125.1	32412	+	258.164451	138.491367	115.956507
LT934125.1	32413	+	6195.946818	4754.87028	3728.447699
LT934125.1	32414	+	6970.44017	3416.120395	3826.564744
LT934125.1	32415	+	63895.701562	69661.157788	60895.005842
LT934125.1	32416	+	0	323.146524	374.628716
LT934125.1	32418	+	0	46.163789	26.759194
LT934125.1	32422	+	129.082225	0	0
LT934125.1	32704	+	0	46.163789	0
LT934125.1	44943	+	129.082225	0	0
LT934125.1	46034	+	129.082225	0	17.839463
LT934125.1	46035	+	903.575578	969.439572	2096.136864
LT934125.1	46036	+	258.164451	553.965469	588.702268
LT934125.1	46037	+	387.246676	184.655156	517.344418
LT934125.1	46038	+	8777.591326	10294.524975	15894.961244
LT934125.1	46039	+	0	92.327578	169.474895
LT934125.1	46040	+	0	46.163789	53.518388
LT934125.1	46042	+	0	0	17.839463
LT934125.1	46043	+	0	0	98.117045
LT934125.1	46045	+	0	0	17.839463
LT934125.1	46190	+	129.082225	0	0
LT934125.1	46219	+	129.082225	0	0
LT934125.1	46255	+	129.082225	0	0
LT934125.1	46297	+	129.082225	0	0
LT934125.1	48315	+	129.082225	0	0
LT934125.1	48641	+	129.082225	0	0
LT934125.1	48878	+	129.082225	0	0
LT934125.1	48885	+	129.082225	0	0
LT934125.1	49164	+	129.082225	0	0
LT934125.1	49334	+	0	46.163789	0
LT934125.1	49640	+	129.082225	46.163789	26.759194
LT934125.1	49641	+	0	92.327578	26.759194
LT934125.1	49642	+	129.082225	46.163789	0
LT934125.1	49643	+	1678.06893	1754.223987	981.170447
LT934125.1	49644	+	903.575578	692.456837	490.585224
LT934125.1	49645	+	129.082225	46.163789	0
LT934125.1	49646	+	129.082225	230.818946	80.277582
LT934125.1	49647	+	35239.447528	32868.617856	19596.649749
LT934125.1	49648	+	258.164451	230.818946	107.036776
LT934125.1	52422	+	0	46.163789	44.598657
LT934125.1	52426	+	129.082225	46.163789	17.839463
LT934125.1	52427	+	903.575578	553.965469	437.066836
LT934125.1	52428	+	129.082225	461.637891	481.665492
LT934125.1	52430	+	129.082225	184.655156	356.789254
LT934125.1	52431	+	0	0	62.438119
LT934125.1	52432	+	0	46.163789	35.678925
LT934125.1	52433	+	0	184.655156	53.518388
LT934125.1	52434	+	645.411127	877.111993	990.090178
LT934125.1	52435	+	6841.357945	5908.965008	8554.022353
LT934125.1	52436	+	0	0	53.518388
LT934125.1	52437	+	2194.397831	2262.025667	3657.089848
LT934125.1	52439	+	1290.822254	1615.732619	1569.872715
LT934125.1	52440	+	0	0	107.036776
LT934125.1	52446	+	0	0	26.759194
LT934125.1	53590	+	0	46.163789	35.678925
LT934125.1	53591	+	129.082225	184.655156	44.598657
LT934125.1	53592	+	0	0	53.518388
LT934125.1	53593	+	129.082225	46.163789	35.678925
LT934125.1	53594	+	4001.548987	3508.447973	5672.949131
LT934125.1	53595	+	645.411127	1015.603361	883.053402
LT934125.1	53596	+	258.164451	92.327578	222.993283
LT934125.1	53597	+	0	0	17.839463
LT934125.1	53598	+	2452.562282	1938.879143	1730.42788
LT934125.1	53599	+	129.082225	184.655156	160.555164
LT934125.1	53600	+	129.082225	0	17.839463
LT934125.1	53601	+	0	46.163789	44.598657
LT934125.1	53602	+	516.328902	1154.094728	811.695552
LT934125.1	53603	+	129.082225	46.163789	35.678925
LT934125.1	53604	+	2581.644508	2677.499769	2006.939551
LT934125.1	53758	+	129.082225	0	0
LT934125.1	53765	+	0	46.163789	0
LT934125.1	54271	+	129.082225	0	0
LT934125.1	54412	+	129.082225	0	0
LT934125.1	54725	+	0	46.163789	0
LT934125.1	55147	+	0	46.163789	0
LT934125.1	55152	+	0	92.327578	0
LT934125.1	55153	+	0	0	17.839463
LT934125.1	55154	+	129.082225	0	107.036776
LT934125.1	55155	+	0	46.163789	0
LT934125.1	55156	+	387.246676	230.818946	802.77582
LT934125.1	55157	+	129.082225	138.491367	205.153821
LT934125.1	55158	+	129.082225	323.146524	428.147104
LT934125.1	55159	+	387.246676	323.146524	285.431403
LT934125.1	55160	+	0	92.327578	35.678925
LT934125.1	55161	+	19362.333807	25159.265072	26063.454969
LT934125.1	55162	+	0	46.163789	222.993283
LT934125.1	55164	+	0	0	35.678925
LT934125.1	55262	+	0	0	17.839463
LT934125.1	55270	+	0	46.163789	0
LT934125.1	55271	+	258.164451	92.327578	35.678925
LT934125.1	55276	+	129.082225	46.163789	0
LT934125.1	55279	+	258.164451	46.163789	26.759194
LT934125.1	55666	+	0	46.163789	0
LT934125.1	60240	+	0	0	17.839463
LT934125.1	60245	+	0	46.163789	0
LT934125.1	60247	+	129.082225	46.163789	142.715701
LT934125.1	60248	+	258.164451	138.491367	107.036776
LT934125.1	60249	+	387.246676	830.948204	784.936358
LT934125.1	60250	+	0	184.655156	71.357851
LT934125.1	60251	+	10068.413579	9001.938879	9570.871725
LT934125.1	60252	+	258.164451	461.637891	437.066836
LT934125.1	60253	+	0	0	17.839463
LT934125.1	60254	+	129.082225	369.310313	276.511671
LT934125.1	60256	+	0	46.163789	44.598657
LT934125.1	62333	+	0	92.327578	0
LT934125.1	62334	+	0	184.655156	44.598657
LT934125.1	62336	+	258.164451	46.163789	62.438119
LT934125.1	62337	+	516.328902	184.655156	151.635433
LT934125.1	62338	+	3227.055634	3646.939341	1890.983044
LT934125.1	62339	+	0	46.163789	26.759194
LT934125.1	62340	+	6454.111269	9925.214662	5209.123101
LT934125.1	62341	+	129.082225	230.818946	115.956507
LT934125.1	62342	+	0	46.163789	0
LT934125.1	62343	+	0	0	17.839463
LT934125.1	63280	+	129.082225	0	0
LT934125.1	63577	+	129.082225	0	0
LT934125.1	66028	+	0	46.163789	0
LT934125.1	70507	+	129.082225	0	0
LT934125.1	70512	+	0	0	17.839463
LT934125.1	70513	+	129.082225	0	35.678925
LT934125.1	70515	+	1032.657803	923.275782	1837.464656
LT934125.1	70516	+	0	0	26.759194
LT934125.1	70517	+	0	0	89.197313
LT934125.1	70518	+	258.164451	138.491367	62.438119
LT934125.1	70520	+	129.082225	92.327578	160.555164
LT934125.1	70521	+	16135.278172	23728.18761	36178.430306
LT934125.1	70522	+	0	46.163789	26.759194
LT934125.1	70523	+	0	46.163789	26.759194
LT934125.1	70524	+	0	46.163789	0
LT934125.1	70527	+	0	0	17.839463
LT934125.1	70709	+	129.082225	0	0
LT934125.1	71519	+	0	46.163789	26.759194
LT934125.1	71523	+	0	0	26.759194
LT934125.1	71527	+	0	0	17.839463
LT934125.1	71528	+	258.164451	553.965469	231.913015
LT934125.1	71529	+	516.328902	923.275782	686.819313
LT934125.1	71530	+	6325.029044	7386.20626	5173.444176
LT934125.1	71531	+	1807.151155	1431.077463	1079.287492
LT934125.1	71532	+	0	92.327578	0
LT934125.1	71535	+	774.493352	646.293048	240.832746
LT934125.1	71537	+	387.246676	600.129259	312.190597
LT934125.1	71538	+	0	0	17.839463
LT934125.1	71539	+	0	138.491367	26.759194
LT934125.1	71540	+	774.493352	415.474102	205.153821
LT934125.1	71541	+	9423.002453	8263.318253	5449.955847
LT934125.1	71542	+	387.246676	323.146524	142.715701
LT934125.1	71543	+	0	92.327578	53.518388
LT934125.1	71544	+	11359.235833	9509.74056	6573.841996
LT934125.1	71545	+	129.082225	0	35.678925
LT934125.1	71546	+	129.082225	0	35.678925
LT934125.1	74218	+	0	46.163789	0
LT934125.1	74593	+	0	46.163789	0
LT934125.1	75639	+	0	0	26.759194
LT934125.1	75644	+	0	46.163789	0
LT934125.1	75647	+	129.082225	46.163789	0
LT934125.1	75648	+	2452.562282	1107.930939	865.21394
LT934125.1	75649	+	258.164451	276.982735	597.622
LT934125.1	75650	+	129.082225	46.163789	107.036776
LT934125.1	75651	+	258.164451	184.655156	133.79597
LT934125.1	75652	+	645.411127	92.327578	35.678925
LT934125.1	76786	+	129.082225	0	0
LT934125.1	79974	+	0	46.163789	0
LT934125.1	79986	+	0	46.163789	0
LT934125.1	79987	+	129.082225	0	0
LT934125.1	79988	+	0	46.163789	0
LT934125.1	79989	+	129.082225	46.163789	80.277582
LT934125.1	79990	+	0	0	53.518388
LT934125.1	79991	+	1678.06893	646.293048	419.227373
LT934125.1	79992	+	2968.891184	1431.077463	1596.631909
LT934125.1	79993	+	2452.562282	2585.172191	1311.200507
LT934125.1	79994	+	1161.740028	830.948204	651.140388
LT934125.1	79996	+	49051.245643	35499.953836	32922.728367
LT934125.1	79997	+	645.411127	369.310313	89.197313
LT934125.1	79998	+	774.493352	276.982735	249.752477
LT934125.1	80001	+	387.246676	184.655156	151.635433
LT934125.1	80002	+	0	46.163789	0
LT934125.1	84254	+	0	46.163789	0
LT934125.1	86158	+	0	0	26.759194
LT934125.1	86161	+	129.082225	138.491367	44.598657
LT934125.1	86163	+	0	0	35.678925
LT934125.1	86164	+	387.246676	507.80168	258.672209
LT934125.1	86165	+	0	46.163789	17.839463
LT934125.1	86167	+	3743.384536	3693.10313	2256.692028
LT934125.1	86168	+	129.082225	369.310313	160.555164
LT934125.1	86203	+	0	46.163789	0
LT934125.1	91551	+	0	0	17.839463
LT934125.1	91559	+	0	92.327578	80.277582
LT934125.1	91562	+	0	0	35.678925
LT934125.1	91574	+	0	46.163789	0
LT934125.1	91577	+	0	0	17.839463
LT934125.1	92045	+	0	46.163789	0
LT934125.1	92050	+	0	46.163789	35.678925
LT934125.1	92051	+	129.082225	0	0
LT934125.1	92052	+	516.328902	415.474102	231.913015
LT934125.1	92054	+	129.082225	138.491367	62.438119
LT934125.1	92055	+	129.082225	92.327578	80.277582
LT934125.1	92056	+	0	46.163789	17.839463
LT934125.1	92057	+	0	46.163789	0
LT934125.1	92059	+	4517.877888	3231.465239	1436.076745
LT934125.1	95020	+	129.082225	0	0
LT934125.1	96246	+	0	46.163789	0
LT934125.1	98936	+	0	46.163789	0
LT934125.1	102393	+	0	46.163789	0
LT934125.1	102587	+	129.082225	0	0
LT934125.1	102607	+	0	46.163789	0
LT934125.1	104579	+	0	46.163789	0
LT934125.1	107989	+	129.082225	0	0
LT934125.1	108031	+	129.082225	0	0
LT934125.1	108068	+	0	92.327578	0
LT934125.1	108071	+	258.164451	0	0
LT934125.1	108087	+	258.164451	0	0
LT934125.1	108101	+	129.082225	0	0
LT934125.1	108120	+	129.082225	46.163789	0
LT934125.1	108229	+	129.082225	0	0
LT934125.1	108231	+	129.082225	46.163789	0
LT934125.1	108233	+	0	46.163789	0
LT934125.1	108247	+	129.082225	0	0
LT934125.1	108253	+	129.082225	0	0
LT934125.1	108614	+	0	92.327578	0
LT934125.1	108747	+	0	46.163789	0
LT934125.1	108816	+	129.082225	92.327578	62.438119
LT934125.1	108817	+	0	0	17.839463
LT934125.1	108821	+	0	46.163789	98.117045
LT934125.1	108822	+	0	230.818946	258.672209
LT934125.1	108823	+	0	0	26.759194
LT934125.1	108824	+	129.082225	230.818946	133.79597
LT934125.1	108825	+	0	46.163789	17.839463
LT934125.1	108826	+	0	0	35.678925
LT934125.1	108827	+	0	230.818946	142.715701
LT934125.1	108828	+	645.411127	923.275782	811.695552
LT934125.1	108829	+	5937.782367	9001.938879	10248.771307
LT934125.1	108830	+	129.082225	138.491367	35.678925
LT934125.1	109987	+	129.082225	0	0
LT934125.1	111965	+	0	46.163789	0
LT934125.1	115213	+	129.082225	0	0
LT934125.1	115310	+	129.082225	0	0
LT934125.1	115367	+	0	46.163789	0
LT934125.1	115376	+	129.082225	0	0
LT934125.1	115664	+	129.082225	0	0
LT934125.1	115681	+	129.082225	0	0
LT934125.1	115887	+	129.082225	0	0
LT934125.1	115935	+	129.082225	0	0
LT934125.1	115989	+	0	46.163789	0
LT934125.1	116148	+	0	46.163789	0
LT934125.1	116164	+	129.082225	0	0
LT934125.1	116191	+	129.082225	0	0
LT934125.1	116221	+	0	46.163789	0
LT934125.1	116372	+	129.082225	0	0
LT934125.1	116914	+	129.082225	0	0
LT934125.1	116955	+	0	0	17.839463
LT934125.1	116957	+	129.082225	46.163789	17.839463
LT934125.1	116958	+	0	138.491367	115.956507
LT934125.1	116959	+	0	46.163789	26.759194
LT934125.1	116960	+	129.082225	230.818946	151.635433
LT934125.1	116962	+	1161.740028	1523.405041	1391.478089
LT934125.1	118933	+	129.082225	0	0
LT934125.1	120460	+	0	0	35.678925
LT934125.1	120462	+	0	0	17.839463
LT934125.1	120464	+	0	46.163789	26.759194
LT934125.1	120465	+	0	46.163789	17.839463
LT934125.1	120466	+	0	184.655156	44.598657
LT934125.1	120467	+	0	46.163789	44.598657
LT934125.1	120468	+	0	0	17.839463
LT934125.1	120469	+	129.082225	230.818946	330.030059
LT934125.1	120470	+	516.328902	323.146524	276.511671
LT934125.1	120471	+	2065.315606	3369.956606	2997.029729
LT934125.1	120472	+	3356.13786	4431.723756	4745.297072
LT934125.1	120473	+	0	415.474102	276.511671
LT934125.1	120474	+	6970.44017	10663.835288	7813.684652
LT934125.1	120475	+	129.082225	92.327578	196.234089
LT934125.1	120476	+	0	0	142.715701
LT934125.1	120477	+	40015.489867	55627.365894	56667.053188
LT934125.1	120478	+	258.164451	415.474102	356.789254
LT934125.1	120479	+	0	0	17.839463
LT934125.1	120563	+	129.082225	0	0
LT934125.1	122903	+	0	46.163789	0
LT934125.1	122904	+	0	0	17.839463
LT934125.1	122905	+	129.082225	230.818946	151.635433
LT934125.1	122906	+	0	46.163789	17.839463
LT934125.1	122907	+	129.082225	0	26.759194
LT934125.1	122908	+	1936.233381	1615.732619	1667.98976
LT934125.1	122909	+	516.328902	461.637891	526.264149
LT934125.1	122910	+	258.164451	138.491367	80.277582
LT934125.1	122911	+	0	184.655156	178.394627
LT934125.1	122912	+	8648.5091	8632.628566	9133.80489
LT934125.1	122913	+	0	46.163789	0
LT934125.1	122914	+	0	0	53.518388
LT934125.1	122915	+	6712.27572	9186.594036	9686.828233
LT934125.1	122916	+	645.411127	415.474102	472.745761
LT934125.1	122918	+	0	46.163789	17.839463
LT934125.1	123070	+	129.082225	0	0
LT934125.1	125213	+	0	46.163789	0
LT934125.1	125222	+	0	0	44.598657
LT934125.1	125224	+	0	0	35.678925
LT934125.1	125225	+	774.493352	1292.586095	1097.126955
LT934125.1	125227	+	0	0	44.598657
LT934125.1	125229	+	0	0	98.117045
LT934125.1	125230	+	8132.180199	9555.904349	11524.292888
LT934125.1	125231	+	0	0	17.839463
LT934125.1	125232	+	129.082225	184.655156	267.59194
LT934125.1	125233	+	516.328902	415.474102	258.672209
LT934125.1	125234	+	0	0	35.678925
LT934125.1	125235	+	129.082225	138.491367	214.073552
LT934125.1	125236	+	0	0	17.839463
LT934125.1	125240	+	0	46.163789	0
LT934125.1	125262	+	129.082225	0	0
LT934125.1	125295	+	0	46.163789	0
LT934125.1	126135	+	0	46.163789	17.839463
LT934125.1	126139	+	129.082225	0	17.839463
LT934125.1	126140	+	0	46.163789	44.598657
LT934125.1	126141	+	129.082225	0	0
LT934125.1	126142	+	0	46.163789	0
LT934125.1	126143	+	0	46.163789	26.759194
LT934125.1	126144	+	129.082225	46.163789	160.555164
LT934125.1	126145	+	258.164451	184.655156	169.474895
LT934125.1	126146	+	903.575578	923.275782	891.973134
LT934125.1	126147	+	258.164451	230.818946	133.79597
LT934125.1	126148	+	3227.055634	1477.241252	1400.39782
LT934125.1	126149	+	258.164451	415.474102	258.672209
LT934125.1	126150	+	0	0	44.598657
LT934125.1	126151	+	44404.28553	36469.393408	26304.287715
LT934125.1	126152	+	258.164451	92.327578	178.394627
LT934125.1	126154	+	129.082225	46.163789	98.117045
LT934125.1	126156	+	0	0	35.678925
LT934125.1	126185	+	129.082225	0	0
LT934125.1	126203	+	129.082225	0	0
LT934125.1	126462	+	129.082225	0	0
LT934125.1	126467	+	129.082225	46.163789	0
LT934125.1	126512	+	129.082225	0	0
LT934125.1	129663	+	0	46.163789	0
LT934125.1	132111	+	129.082225	0	0
LT934125.1	132364	+	129.082225	0	0
LT934125.1	133515	+	0	46.163789	0
LT934125.1	135423	+	0	46.163789	0
LT934125.1	139091	+	129.082225	0	0
LT934125.1	141348	+	129.082225	92.327578	44.598657
LT934125.1	141349	+	129.082225	0	53.518388
LT934125.1	141350	+	903.575578	600.129259	303.270865
LT934125.1	141351	+	129.082225	0	62.438119
LT934125.1	141352	+	0	46.163789	35.678925
LT934125.1	141353	+	0	92.327578	0
LT934125.1	141354	+	0	0	17.839463
LT934125.1	141355	+	0	92.327578	17.839463
LT934125.1	141356	+	2581.644508	3923.922076	1828.544924
LT934125.1	141357	+	0	46.163789	17.839463
LT934125.1	141359	+	645.411127	923.275782	428.147104
LT934125.1	141360	+	129.082225	92.327578	26.759194
LT934125.1	141361	+	0	0	26.759194
LT934125.1	1399	-	129.082225	0	0
LT934125.1	2776	-	0	46.163789	0
LT934125.1	2777	-	0	46.163789	0
LT934125.1	2778	-	12133.729185	10940.818022	10659.078949
LT934125.1	2779	-	0	0	26.759194
LT934125.1	2780	-	129.082225	415.474102	196.234089
LT934125.1	2781	-	903.575578	369.310313	392.468179
LT934125.1	2782	-	0	92.327578	44.598657
LT934125.1	2784	-	0	46.163789	17.839463
LT934125.1	2785	-	0	46.163789	44.598657
LT934125.1	2922	-	129.082225	0	0
LT934125.1	3494	-	129.082225	0	0
LT934125.1	8486	-	258.164451	0	0
LT934125.1	8487	-	4388.795663	3185.30145	3327.059789
LT934125.1	8488	-	0	46.163789	26.759194
LT934125.1	8489	-	0	184.655156	26.759194
LT934125.1	8490	-	258.164451	184.655156	303.270865
LT934125.1	8492	-	0	92.327578	89.197313
LT934125.1	8496	-	129.082225	0	0
LT934125.1	8497	-	129.082225	0	0
LT934125.1	10815	-	129.082225	0	0
LT934125.1	15213	-	0	46.163789	0
LT934125.1	15871	-	0	46.163789	0
LT934125.1	16579	-	0	0	89.197313
LT934125.1	16580	-	0	138.491367	187.314358
LT934125.1	16581	-	24912.869498	26036.377066	31647.206786
LT934125.1	16582	-	0	46.163789	0
LT934125.1	16583	-	8519.426875	10063.706029	12799.81447
LT934125.1	16584	-	258.164451	184.655156	214.073552
LT934125.1	16585	-	129.082225	184.655156	169.474895
LT934125.1	16586	-	0	92.327578	53.518388
LT934125.1	16587	-	129.082225	138.491367	205.153821
LT934125.1	16588	-	0	46.163789	0
LT934125.1	16589	-	0	0	17.839463
LT934125.1	16590	-	129.082225	46.163789	17.839463
LT934125.1	16591	-	516.328902	92.327578	196.234089
LT934125.1	16592	-	0	0	26.759194
LT934125.1	16593	-	129.082225	0	17.839463
LT934125.1	21473	-	0	0	44.598657
LT934125.1	21475	-	2710.726733	3600.775552	3059.467849
LT934125.1	21476	-	0	0	17.839463
LT934125.1	21477	-	5808.700142	5585.818484	3853.323938
LT934125.1	21478	-	0	138.491367	53.518388
LT934125.1	21479	-	516.328902	507.80168	240.832746
LT934125.1	21480	-	0	0	26.759194
LT934125.1	21481	-	129.082225	0	17.839463
LT934125.1	22955	-	129.082225	0	0
LT934125.1	23481	-	129.082225	0	0
LT934125.1	24906	-	0	46.163789	0
LT934125.1	28071	-	129.082225	0	0
LT934125.1	28420	-	129.082225	184.655156	71.357851
LT934125.1	28425	-	1032.657803	415.474102	124.876239
LT934125.1	28426	-	258.164451	92.327578	98.117045
LT934125.1	28427	-	6195.946818	4708.706491	3371.658446
LT934125.1	28428	-	516.328902	553.965469	347.869522
LT934125.1	28429	-	26461.856202	24974.609916	24939.56882
LT934125.1	28430	-	1807.151155	1892.715354	2577.802357
LT934125.1	28431	-	1548.986705	969.439572	1346.879432
LT934125.1	28432	-	645.411127	1107.930939	963.330984
LT934125.1	28433	-	645.411127	923.275782	463.82603
LT934125.1	28435	-	0	0	17.839463
LT934125.1	28440	-	0	0	17.839463
LT934125.1	29691	-	129.082225	0	0
LT934125.1	32685	-	0	46.163789	44.598657
LT934125.1	32686	-	15102.620369	25066.937494	13388.516738
LT934125.1	32687	-	258.164451	184.655156	124.876239
LT934125.1	32688	-	0	138.491367	205.153821
LT934125.1	32689	-	258.164451	276.982735	187.314358
LT934125.1	32692	-	258.164451	0	0
LT934125.1	32694	-	387.246676	553.965469	44.598657
LT934125.1	33943	-	0	46.163789	0
LT934125.1	39552	-	129.082225	0	0
LT934125.1	41145	-	129.082225	0	0
LT934125.1	41959	-	129.082225	0	0
LT934125.1	41999	-	129.082225	0	0
LT934125.1	42004	-	258.164451	0	44.598657
LT934125.1	42005	-	4130.631212	5078.016804	3728.447699
LT934125.1	42006	-	0	0	26.759194
LT934125.1	42007	-	4776.042339	2954.482504	2452.926118
LT934125.1	42008	-	2968.891184	3369.956606	2310.210416
LT934125.1	42012	-	129.082225	369.310313	89.197313
LT934125.1	42013	-	0	0	80.277582
LT934125.1	42014	-	0	0	17.839463
LT934125.1	43059	-	0	46.163789	0
LT934125.1	43495	-	0	46.163789	0
LT934125.1	48175	-	0	46.163789	0
LT934125.1	48875	-	0	46.163789	0
LT934125.1	49775	-	0	46.163789	0
LT934125.1	50026	-	0	0	26.759194
LT934125.1	50027	-	0	92.327578	35.678925
LT934125.1	50028	-	0	0	17.839463
LT934125.1	50029	-	129.082225	0	80.277582
LT934125.1	50030	-	258.164451	138.491367	160.555164
LT934125.1	50040	-	0	0	17.839463
LT934125.1	50042	-	0	46.163789	0
LT934125.1	51863	-	129.082225	0	0
LT934125.1	52027	-	129.082225	0	0
LT934125.1	55262	-	0	0	35.678925
LT934125.1	55264	-	0	184.655156	107.036776
LT934125.1	55265	-	516.328902	646.293048	517.344418
LT934125.1	55266	-	0	92.327578	71.357851
LT934125.1	55267	-	129.082225	92.327578	80.277582
LT934125.1	55268	-	3485.220085	3000.646293	3220.023013
LT934125.1	55269	-	0	230.818946	44.598657
LT934125.1	55270	-	56667.096941	49256.762995	50664.073998
LT934125.1	55271	-	774.493352	276.982735	392.468179
LT934125.1	55272	-	645.411127	415.474102	642.220656
LT934125.1	55273	-	516.328902	230.818946	214.073552
LT934125.1	55274	-	1161.740028	323.146524	490.585224
LT934125.1	55275	-	1032.657803	1384.913674	1079.287492
LT934125.1	55276	-	3097.973409	3369.956606	2345.889342
LT934125.1	55277	-	774.493352	1200.258517	784.936358
LT934125.1	55278	-	0	92.327578	53.518388
LT934125.1	55279	-	516.328902	276.982735	169.474895
LT934125.1	55280	-	0	0	17.839463
LT934125.1	57879	-	129.082225	0	0
LT934125.1	58500	-	0	46.163789	0
LT934125.1	60419	-	129.082225	0	0
LT934125.1	60884	-	129.082225	0	0
LT934125.1	61570	-	0	46.163789	0
LT934125.1	63151	-	0	0	17.839463
LT934125.1	63152	-	2065.315606	969.439572	1480.675402
LT934125.1	63153	-	22976.636117	16711.291663	36000.035679
LT934125.1	63154	-	1032.657803	507.80168	722.498238
LT934125.1	63155	-	258.164451	138.491367	401.38791
LT934125.1	63156	-	0	92.327578	205.153821
LT934125.1	63157	-	258.164451	92.327578	44.598657
LT934125.1	63158	-	0	0	312.190597
LT934125.1	63159	-	258.164451	46.163789	196.234089
LT934125.1	63160	-	1936.233381	1431.077463	1364.718895
LT934125.1	63161	-	52794.630179	38823.746653	72472.817119
LT934125.1	63162	-	774.493352	553.965469	1230.922925
LT934125.1	63163	-	0	138.491367	401.38791
LT934125.1	63164	-	645.411127	369.310313	1052.528298
LT934125.1	63165	-	129.082225	46.163789	187.314358
LT934125.1	63166	-	1678.06893	1708.060198	2399.40773
LT934125.1	63167	-	1419.904479	923.275782	1471.755671
LT934125.1	63168	-	645.411127	923.275782	900.892865
LT934125.1	63169	-	0	0	62.438119
LT934125.1	63170	-	0	0	53.518388
LT934125.1	63171	-	0	0	17.839463
LT934125.1	63172	-	0	184.655156	26.759194
LT934125.1	63174	-	129.082225	46.163789	0
LT934125.1	63303	-	129.082225	0	0
LT934125.1	63521	-	0	46.163789	0
