seqnames	strand	TSS	TES	NOV_TX_ID	C6_dRNA	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_12h	NRK_dcDNA_1h	NRK_dcDNA_2h	NRK_dcDNA_4h	NRK_dcDNA_6h	NRK_dcDNA_8h	PC_12_dRNA	PC_12_dcDNA_0.5h	PC_12_dcDNA_1.5h	PC_12_dcDNA_12h	PC_12_dcDNA_1h	PC_12_dcDNA_2.5h	PC_12_dcDNA_2h	PC_12_dcDNA_4h	PC_12_dcDNA_6h	PC_12_dcDNA_8h	PK_15_dRNA	PK_15_dcDNA_12h	PK_15_dcDNA_1h	PK_15_dcDNA_2h	PK_15_dcDNA_4h	PK_15_dcDNA_6h	PK_15_dcDNA_8h
LT934125.1	+	1600	2273	NOV_TX_22	1	437	0	2	15	60	89	871	0	1	21	68	141	1	0	0	599	1	3	3	54	213	193	10	827	0	5	23	172	476
LT934125.1	+	1664	2273	NOV_TX_24	1	31	0	0	0	0	6	27	0	0	6	23	0	1	0	0	18	0	0	0	0	0	26	2	16	0	0	0	0	9
LT934125.1	+	1689	2273	NOV_TX_25	1	54	0	0	0	0	10	64	1	0	0	0	0	5	0	0	60	0	0	0	0	35	0	6	46	0	0	0	0	44
LT934125.1	+	1712	2273	NOV_TX_27	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	5	0	0	0	0	0	7	9	0	0
LT934125.1	+	1725	2273	NOV_TX_28	2	0	0	1	2	15	5	23	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	11	11	0	0	18	0	15
LT934125.1	+	1772	2273	NOV_TX_29	0	0	0	0	0	0	39	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	1788	2273	NOV_TX_30	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0
LT934125.1	+	1806	2273	NOV_TX_31	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	106	0	0	0	0	0
LT934125.1	+	1825	2273	NOV_TX_32	2	0	0	1	1	0	0	0	0	0	2	0	0	4	0	0	34	0	0	0	12	0	0	8	0	0	4	37	79	0
LT934125.1	+	1852	2273	NOV_TX_33	0	0	1	0	0	0	0	0	0	0	6	0	0	3	0	0	144	0	0	1	0	0	0	7	0	0	6	0	0	117
LT934125.1	+	1876	2273	NOV_TX_34	0	150	0	0	0	0	0	136	0	2	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0
LT934125.1	+	1911	2273	NOV_TX_35	1	0	1	0	2	3	0	0	0	1	0	0	0	10	0	1	118	0	0	15	55	0	0	12	258	1	4	33	0	354
LT934125.1	+	1934	2273	NOV_TX_36	0	0	0	0	0	0	201	263	0	0	0	0	0	0	0	0	393	0	0	0	0	213	0	0	0	0	0	0	0	0
LT934125.1	+	1967	2273	NOV_TX_38	5	450	1	1	0	10	0	0	0	0	0	56	85	3	0	0	0	0	0	0	0	0	0	18	0	0	9	0	0	0
LT934125.1	+	2012	2273	NOV_TX_39	1	0	1	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	13	0	0	2	0	0	4	7	344	0
LT934125.1	+	2057	2273	NOV_TX_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	56	0	0
LT934125.1	+	2069	2273	NOV_TX_41	3	127	1	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0
LT934125.1	+	2142	2273	NOV_TX_42	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	54	0	1	0	0	0	0	0	0	0	2	0	0	0
LT934125.1	+	2166	2273	NOV_TX_43	1	13	1	0	0	11	3	2	0	0	0	1	0	0	0	0	7	4	1	2	0	3	3	1	110	0	7	60	8	9
LT934125.1	+	4633	8523	NOV_TX_44	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
LT934125.1	+	6887	8523	NOV_TX_50	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
LT934125.1	+	6995	8523	NOV_TX_52	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1
LT934125.1	+	7186	8523	NOV_TX_53	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
LT934125.1	+	7244	8523	NOV_TX_54	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0
LT934125.1	+	7588	8519	NOV_TX_59	5	0	0	0	0	0	0	86	0	0	4	12	18	13	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
LT934125.1	+	7588	8523	NOV_TX_58	0	276	5	5	11	50	109	130	0	4	8	14	21	0	0	3	233	1	1	8	59	185	87	0	245	2	7	191	408	584
LT934125.1	+	7588	10426	NOV_TX_60	0	42	0	0	0	4	9	7	0	0	0	2	3	1	0	0	8	0	0	0	3	5	7	6	23	0	0	4	27	50
LT934125.1	+	7689	8523	NOV_TX_63	0	8	0	0	0	4	4	1	0	0	0	0	1	0	0	0	6	0	0	0	0	8	0	0	8	0	1	10	5	8
LT934125.1	+	7811	8519	NOV_TX_68	1	0	0	0	0	0	0	16	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LT934125.1	+	7811	8523	NOV_TX_69	0	26	0	0	0	3	8	16	0	1	0	1	5	0	0	0	29	0	0	1	8	16	12	0	12	1	3	11	29	30
LT934125.1	+	7811	10426	NOV_TX_70	0	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	3
LT934125.1	+	7859	8519	NOV_TX_73	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LT934125.1	+	7859	8523	NOV_TX_71	0	18	1	0	0	2	1	8	0	0	0	0	1	0	0	0	7	0	0	1	2	5	8	0	3	0	0	1	4	3
LT934125.1	+	7905	8523	NOV_TX_74	0	1	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	2	0	0	0	1	2
LT934125.1	+	7957	8523	NOV_TX_76	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
LT934125.1	+	7974	8523	NOV_TX_77	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1
LT934125.1	+	8055	8523	NOV_TX_79	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	3	0	1	0	0	1	2	1
LT934125.1	+	8092	8523	NOV_TX_80	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1
LT934125.1	+	8188	8523	NOV_TX_83	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	7	1
LT934125.1	+	8238	8523	NOV_TX_84	0	6	0	0	0	1	4	1	0	0	1	2	0	0	0	0	27	0	0	1	1	6	5	0	7	0	0	9	12	23
LT934125.1	+	8340	8523	NOV_TX_87	0	7	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	8
LT934125.1	+	8352	8523	NOV_TX_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	16	0
LT934125.1	+	8437	8523	NOV_TX_89	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	8530	10426	NOV_TX_91	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	5
LT934125.1	+	8880	10426	NOV_TX_94	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LT934125.1	+	8899	10426	NOV_TX_95	0	7	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	3	0	1	2	0	0	0	1	1
LT934125.1	+	8950	10426	NOV_TX_96	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
LT934125.1	+	9018	10426	NOV_TX_98	0	4	0	0	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1	2
LT934125.1	+	9113	9277	NOV_TX_101	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11	0	0	0	0	2
LT934125.1	+	9113	9986	NOV_TX_103	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	6	0	0	0	1	2
LT934125.1	+	9113	10426	NOV_TX_100	3	1412	0	0	6	44	154	828	0	0	8	35	75	33	0	0	1283	0	0	1	32	223	208	152	4454	1	5	16	280	996
LT934125.1	+	9113	16224	NOV_TX_106	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LT934125.1	+	9160	10426	NOV_TX_107	3	68	0	0	0	0	6	25	0	0	0	0	7	4	0	0	92	0	0	0	0	10	7	12	134	0	1	4	17	32
LT934125.1	+	9208	10426	NOV_TX_108	0	23	0	0	0	0	2	6	0	0	0	0	2	1	0	0	25	0	0	0	0	2	5	4	58	0	0	0	3	8
LT934125.1	+	9270	9986	NOV_TX_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	1	1
LT934125.1	+	9270	10426	NOV_TX_114	8	1895	19	29	27	206	471	1515	2	8	29	109	294	24	0	9	1956	14	33	42	152	647	593	93	5780	5	168	467	1170	2648
LT934125.1	+	9270	16224	NOV_TX_113	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4
LT934125.1	+	9320	10426	NOV_TX_116	2	0	0	3	2	0	24	28	0	0	1	1	3	6	0	0	73	1	0	0	8	20	14	20	120	0	2	19	47	105
LT934125.1	+	9338	10426	NOV_TX_117	1	182	1	0	0	2	10	12	0	0	1	0	1	9	0	0	56	0	1	1	2	16	23	21	110	0	4	10	18	2
LT934125.1	+	9412	10426	NOV_TX_118	3	127	1	0	1	9	18	85	0	0	1	4	32	2	0	0	200	0	1	1	3	16	54	19	253	1	5	6	24	106
LT934125.1	+	9441	10426	NOV_TX_119	0	0	0	0	0	5	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	9455	10426	NOV_TX_120	2	14	0	0	0	0	3	43	1	0	1	0	0	1	0	0	0	0	0	0	2	0	14	15	62	0	1	4	30	59
LT934125.1	+	9479	10426	NOV_TX_121	1	78	0	0	0	0	13	3	0	0	0	2	0	2	0	0	83	0	0	0	2	8	2	12	179	0	2	9	3	5
LT934125.1	+	9548	10426	NOV_TX_122	2	153	5	0	0	10	39	141	1	0	3	3	20	6	0	0	134	0	2	1	10	37	35	18	310	0	7	13	51	144
LT934125.1	+	9592	10426	NOV_TX_124	1	21	0	1	0	0	3	20	0	0	1	2	2	4	0	0	39	0	0	0	3	7	8	20	67	0	0	2	10	19
LT934125.1	+	9646	10426	NOV_TX_125	44	2524	12	20	16	107	403	1531	1	6	64	211	330	169	0	1	2817	3	12	15	96	333	701	1050	6588	1	73	190	1135	3140
LT934125.1	+	9699	10426	NOV_TX_128	7	2596	3	15	7	30	386	0	0	3	8	26	60	12	0	2	2333	0	6	5	0	199	375	118	4198	0	15	126	993	2278
LT934125.1	+	9699	16224	NOV_TX_129	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
LT934125.1	+	9723	10426	NOV_TX_130	2	0	0	0	5	10	59	778	0	0	2	0	9	4	0	0	0	0	1	1	61	0	0	20	763	1	3	0	0	0
LT934125.1	+	9789	10426	NOV_TX_133	13	378	1	1	4	14	13	27	0	1	11	5	78	27	0	0	585	3	3	1	22	88	13	155	868	1	25	68	219	369
LT934125.1	+	9862	10426	NOV_TX_137	3	104	0	0	0	0	64	0	0	0	0	0	0	5	0	0	143	0	0	3	0	0	102	53	203	0	0	0	0	0
LT934125.1	+	9915	10426	NOV_TX_139	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	71	0	0	0	0	0	0	0	454
LT934125.1	+	9930	10426	NOV_TX_140	3	198	0	0	0	0	0	0	0	0	8	10	76	9	0	0	241	0	0	0	7	0	0	46	594	0	5	20	168	0
LT934125.1	+	9944	10426	NOV_TX_141	7	77	0	0	0	0	0	0	0	0	2	10	0	15	0	1	0	0	0	2	0	0	0	65	0	0	3	0	0	0
LT934125.1	+	9978	10426	NOV_TX_143	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	166	0	0	0	0	0	0	0
LT934125.1	+	10000	10426	NOV_TX_144	7	245	0	1	0	0	1	4	0	0	2	13	3	16	0	0	324	1	1	2	0	2	4	52	496	0	1	34	6	7
LT934125.1	+	10058	10426	NOV_TX_145	3	0	0	0	0	18	0	0	0	0	0	0	116	3	0	0	0	1	0	0	6	0	0	26	0	0	41	0	0	0
LT934125.1	+	10075	10426	NOV_TX_146	0	360	0	0	0	0	146	0	0	0	0	55	0	0	0	0	525	0	0	0	0	131	0	0	943	0	0	0	360	0
LT934125.1	+	10089	10426	NOV_TX_147	13	125	0	1	4	0	0	0	0	0	9	0	0	25	0	1	152	0	0	0	0	0	0	134	259	0	0	8	0	0
LT934125.1	+	10105	10426	NOV_TX_148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	31	0	850
LT934125.1	+	10120	10426	NOV_TX_149	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0
LT934125.1	+	10135	10426	NOV_TX_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	21	0	0	0	0	0	0	30	0	0
LT934125.1	+	10159	10426	NOV_TX_151	5	375	0	2	0	0	0	551	0	0	0	0	0	16	0	1	442	1	0	5	0	0	0	61	758	0	0	0	0	0
LT934125.1	+	10212	10426	NOV_TX_155	13	357	1	1	0	8	70	131	0	0	4	3	13	16	0	0	406	0	1	0	14	46	82	72	482	1	12	28	121	230
LT934125.1	+	10252	10426	NOV_TX_156	5	743	0	4	6	18	158	89	0	0	5	9	22	10	0	1	708	1	0	2	28	0	175	38	1139	0	19	40	251	581
LT934125.1	+	10336	10426	NOV_TX_161	1	407	0	0	1	6	0	27	0	0	1	1	4	0	0	0	436	0	1	2	12	68	80	5	789	1	15	43	137	401
LT934125.1	+	10431	11996	NOV_TX_163	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
LT934125.1	+	10431	12008	NOV_TX_169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11
LT934125.1	+	10431	12086	NOV_TX_164	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	32	0	0	1	1	9
LT934125.1	+	10431	12168	NOV_TX_165	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	2	10
LT934125.1	+	10431	16224	NOV_TX_173	0	32	0	0	0	0	10	25	0	0	0	0	10	0	0	0	2	0	0	0	0	0	2	0	79	0	1	0	28	110
LT934125.1	+	11793	11996	NOV_TX_193	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	7	42	0
LT934125.1	+	11793	12001	NOV_TX_187	0	0	0	0	0	0	1	9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
LT934125.1	+	11793	12005	NOV_TX_198	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0
LT934125.1	+	11793	12008	NOV_TX_200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	109
LT934125.1	+	11793	12085	NOV_TX_188	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LT934125.1	+	11793	12086	NOV_TX_194	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	5	7	0	276	0	0	5	26	65
LT934125.1	+	11793	12168	NOV_TX_195	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	1	6	0	0	311	0	0	0	26	71
LT934125.1	+	11793	12171	NOV_TX_192	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
LT934125.1	+	11793	12231	NOV_TX_190	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	17	0	0	0	0	0	4	0	87	0	0	1	7	24
LT934125.1	+	11793	16224	NOV_TX_191	0	162	0	0	0	2	11	23	0	0	0	0	7	0	0	0	30	0	1	0	1	1	7	0	290	0	1	2	63	227
LT934125.1	+	11845	12086	NOV_TX_203	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3
LT934125.1	+	11845	12168	NOV_TX_205	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
LT934125.1	+	11845	16224	NOV_TX_204	0	86	0	0	0	0	7	4	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	3	10
LT934125.1	+	11861	16224	NOV_TX_207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	34	0	0	0	0	0
LT934125.1	+	11922	12168	NOV_TX_212	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
LT934125.1	+	11922	16224	NOV_TX_213	0	16	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0
LT934125.1	+	11976	12086	NOV_TX_217	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0
LT934125.1	+	11976	12168	NOV_TX_215	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
LT934125.1	+	11976	16224	NOV_TX_216	0	10	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	1	10	0	0	1	2	0
LT934125.1	+	11990	16224	NOV_TX_221	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2
LT934125.1	+	12028	12168	NOV_TX_222	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
LT934125.1	+	12028	16224	NOV_TX_223	0	15	0	0	0	0	17	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	5	10	22	0	0	4	0	2
LT934125.1	+	12063	12168	NOV_TX_226	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
LT934125.1	+	12063	16224	NOV_TX_225	1	34	0	0	0	0	0	6	0	0	0	1	0	8	0	0	10	0	0	0	0	1	0	32	47	0	0	4	0	13
LT934125.1	+	12098	16224	NOV_TX_230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0
LT934125.1	+	12113	16224	NOV_TX_231	0	93	0	0	0	4	11	28	0	0	0	0	4	3	0	0	30	0	0	1	1	1	10	13	126	0	0	0	8	43
LT934125.1	+	12127	16224	NOV_TX_233	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3
LT934125.1	+	12194	16224	NOV_TX_234	0	10	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
LT934125.1	+	12209	16224	NOV_TX_235	0	39	0	0	0	0	1	3	0	0	0	0	0	6	0	0	21	0	0	0	0	0	10	7	59	0	0	0	5	24
LT934125.1	+	12252	16224	NOV_TX_236	0	25	0	0	0	0	5	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	42	0	0	1	8	5
LT934125.1	+	12373	16224	NOV_TX_240	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	0	4
LT934125.1	+	12406	16224	NOV_TX_241	0	22	0	0	0	0	0	2	0	0	0	0	3	1	0	0	3	0	0	0	0	1	0	3	31	0	0	0	2	2
LT934125.1	+	12425	16224	NOV_TX_242	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	2
LT934125.1	+	12447	16224	NOV_TX_243	0	14	0	0	0	0	1	1	0	0	0	0	0	0	0	0	16	0	0	0	0	1	3	3	23	0	0	0	0	8
LT934125.1	+	12714	16224	NOV_TX_246	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	7	0	0	0	0	0	1	0	3	0	0	0	0	0
LT934125.1	+	12766	16224	NOV_TX_248	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	1	1	0	0	0	2	0
LT934125.1	+	12840	16224	NOV_TX_250	0	10	0	0	0	0	0	0	0	0	0	1	1	0	0	0	13	0	0	0	1	0	0	2	25	0	1	0	5	9
LT934125.1	+	13080	16224	NOV_TX_256	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	6	4
LT934125.1	+	13258	16224	NOV_TX_260	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	40	0	0	0	5	0
LT934125.1	+	13273	16224	NOV_TX_261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	5
LT934125.1	+	13298	16224	NOV_TX_263	0	25	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1
LT934125.1	+	13374	16224	NOV_TX_264	0	7	0	0	0	0	2	4	0	0	0	1	0	1	0	0	14	0	0	0	0	0	0	2	14	0	1	0	2	3
LT934125.1	+	13454	16224	NOV_TX_267	0	43	0	0	0	1	2	20	0	0	0	0	5	1	0	0	13	0	0	0	0	3	4	2	0	0	1	1	7	19
LT934125.1	+	13521	16224	NOV_TX_269	0	14	0	0	0	1	0	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	5	31	0	0	1	0	8
LT934125.1	+	13539	16224	NOV_TX_270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0
LT934125.1	+	13580	16224	NOV_TX_272	0	13	0	0	0	0	0	3	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	4	0	0	0	0	2	14
LT934125.1	+	13592	16224	NOV_TX_273	0	3	0	0	0	0	2	1	0	0	0	1	1	0	0	0	8	0	0	0	1	0	0	4	21	0	0	0	0	0
LT934125.1	+	13634	16224	NOV_TX_274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	3	2
LT934125.1	+	13698	16224	NOV_TX_277	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	16	0	0	1	1	6
