seqnames	strand	gene	cluster	TC.start	TC.end	TC.width	support	score	mean_shape	min_shape	max_shape	consensus_peak	min_peak	max_peak	hpi_samples	cell_lines	dcDNA.TSS_TC_significance
LT934125.1	+	TC_1029	1029	116817	116846	29	9	2013.893336	0	0	5.00921013388847	116834	116817	116846	2h, 6h, 8h, 12h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_103	103	11846	11859	13	2	45.115002	0	0	0	11852	11846	11859	8h	PC_12, PK_15	*
LT934125.1	+	TC_1030	1030	117431	117452	21	7	885.483252	0	0	0	117441	117431	117452	12h, 2h, 4h, 6h, 8h	C6, NRK, PC_12	**
LT934125.1	+	TC_1031	1031	117566	117566	0	1	81.685999	0	0	0	117566	117566	117566	8h	NRK	*
LT934125.1	+	TC_1032	1032	117603	117612	4	16	8184.584016	0	0	5.61470984411521	117607	117603	117607	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1033	1033	117684	117684	0	1	26.651031	0	0	0	117684	117684	117684	6h	PC_12	*
LT934125.1	+	TC_1034	1034	117768	117781	0	25	64929.556588	0	0	2.67493059836653	117769	117769	117769	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1035	1035	117835	117857	22	4	165.060493	0	0	0	117850	117835	117857	8h, 6h, 4h	NRK, PC_12, PK_15	**
LT934125.1	+	TC_1036	1036	117887	117920	33	11	2888.101019	0	0	0	117901	117887	117920	12h, 6h, 8h, 1.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1037	1037	117958	117958	0	1	32258.064516	0	0	0	117958	117958	117958	0.5h	PC_12	*
LT934125.1	+	TC_1038	1038	117985	117987	0	1	172.488142	1.58496250072116	1.58496250072116	1.58496250072116	117985	117985	117985	6h	C6	*
LT934125.1	+	TC_1039	1039	118015	118086	71	11	3032.213919	0	0	5.88987288965307	118041	118015	118086	6h, 8h, 12h, 1.5h, 4h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_104	104	11913	11919	6	2	107.224706	0	0	0	11916	11913	11919	12h, 6h	C6	*
LT934125.1	+	TC_1040	1040	118133	118219	85	14	5408.853576	0	0	9.93262166702547	118186	118133	118218	12h, 8h, 4h, 6h, 1h, 2.5h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1041	1041	118253	118253	0	1	32.2841	0	0	0	118253	118253	118253	8h	C6	*
LT934125.1	+	TC_1042	1042	118278	118278	0	1	86.244071	0	0	0	118278	118278	118278	6h	C6	*
LT934125.1	+	TC_1043	1043	118315	118346	31	6	457.598581	0	0	2	118335	118315	118346	6h, 8h	C6, NRK, PC_12	**
LT934125.1	+	TC_1044	1044	118372	118391	19	6	826.574326	0	0	0	118383	118372	118391	8h, 4h, 6h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1045	1045	118439	118450	11	3	129.024264	0	0	0	118443	118439	118450	6h	C6, PC_12, PK_15	*
LT934125.1	+	TC_1046	1046	118499	118529	23	11	858.429284	0	0	6.000000012317	118521	118506	118529	12h, 6h, 8h, 4h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1047	1047	118574	118604	30	5	299.089501	0	0	0	118585	118574	118604	6h, 8h, 4h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1048	1048	118664	118763	90	8	2697.4529	0	0	6.39231742277876	118715	118664	118754	6h, 8h, 12h, 1h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1049	1049	118791	118799	8	3	565.295058	0	0	0	118794	118791	118799	4h, 6h, 8h	C6, PC_12, PK_15	**
LT934125.1	+	TC_105	105	11990	11990	0	2	34.138587	0	0	0	11990	11990	11990	12h, 8h	C6, PK_15	*
LT934125.1	+	TC_1050	1050	118846	118868	2	27	1656508.558633	0	0	5.21836258951	118864	118864	118866	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1051	1051	118906	118913	0	3	249.364244	0	0	2.7548874883858	118913	118913	118913	12h, 8h, 6h	C6, PC_12, PK_15	**
LT934125.1	+	TC_1052	1052	118953	118980	25	10	3091.983462	0	0	7.16992500144231	118968	118953	118978	12h, 6h, 8h, 1h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1053	1053	119009	119111	102	18	6170.482702	0	0	12.6808551669801	119061	119009	119111	12h, 2h, 6h, 8h, 4h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1054	1054	119155	119274	116	18	7673.942033	0	0	20.9173754826509	119217	119155	119271	12h, 4h, 6h, 8h, 1h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1055	1055	119301	119304	0	5	464.113361	0	0	1.83659167506276	119304	119304	119304	4h, 6h, 8h	PC_12, PK_15	**
LT934125.1	+	TC_1056	1056	119337	119353	16	9	1551.667379	0	0	6.36277644833739	119343	119337	119353	6h, 8h, 12h, 2h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1057	1057	119380	119386	6	4	925.14992	0	0	2.57798232963786	119382	119380	119386	8h, 6h, 2h	C6, NRK, PC_12	**
LT934125.1	+	TC_1058	1058	119421	119444	15	13	3173.692779	0	0	3.16992500144231	119433	119421	119436	12h, 6h, 8h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1059	1059	119461	119500	39	7	1479.386085	0	0	2.33804949078609	119484	119461	119500	12h, 6h, 4h, 2h, 8h	C6, PC_12, PK_15	***
LT934125.1	+	TC_106	106	12015	12099	84	11	841.750658	0	0	5.64385618977472	12054	12015	12099	12h, 6h, 8h, 2h, 4h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1060	1060	119526	119575	39	18	8430.770806	0	0	10.1608166304598	119564	119536	119575	12h, 4h, 6h, 8h, 2h, 1h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1061	1061	119618	119668	32	14	3230.569749	0	0	10.1853840407439	119637	119618	119650	12h, 4h, 6h, 8h, 2.5h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1062	1062	119685	119724	12	10	2587.216308	0	0	12.7201088053828	119691	119685	119697	4h, 6h, 12h, 8h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1063	1063	119740	119844	80	19	13055.558787	0	0	25.163395793579	119791	119746	119826	12h, 4h, 6h, 8h, 2h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1064	1064	119854	119889	31	16	6044.602851	0	0	12.7115499692233	119870	119854	119885	12h, 1h, 4h, 8h, 6h, 2.5h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1065	1065	119913	119913	0	1	86.244071	0	0	0	119913	119913	119913	6h	C6	*
LT934125.1	+	TC_1066	1066	119936	119986	11	17	13209.281201	0	0	16.3214083854697	119942	119938	119949	12h, 1h, 4h, 8h, 6h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1067	1067	119982	120197	182	20	17012.348197	0	0	25.6013613514512	120074	119982	120164	12h, 1h, 4h, 6h, 8h, 2.5h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1068	1068	120207	120216	0	5	1519.895636	0	0	4.09706862941342	120211	120211	120211	12h, 6h, 8h, 2h, 4h	NRK, PK_15	**
LT934125.1	+	TC_1069	1069	120238	120273	32	12	2328.202756	0	0	8.31419637857157	120251	120241	120273	12h, 4h, 6h, 8h, 2h	C6, PC_12, PK_15	***
LT934125.1	+	TC_107	107	12127	12127	0	1	26.651031	0	0	0	12127	12127	12127	6h	PC_12	*
LT934125.1	+	TC_1070	1070	120297	120375	53	19	10197.095155	0	0	14.8339117623734	120327	120310	120363	12h, 1h, 6h, 8h, 4h, 1.5h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1071	1071	120481	120499	18	3	388.211924	0	0	1.58496250072116	120488	120481	120499	6h, 4h	C6, NRK, PK_15	**
LT934125.1	+	TC_1072	1072	120554	120559	0	21	36057.610263	0	0	3.84915941076688	120555	120555	120555	12h, 1h, 2h, 4h, 6h, 8h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1073	1073	120624	120635	11	2	118.528171	0	0	0	120630	120624	120635	6h, 8h	C6	*
LT934125.1	+	TC_1074	1074	120664	120664	0	1	100.38145	0	0	0	120664	120664	120664	4h	PC_12	*
LT934125.1	+	TC_1075	1075	120741	120741	0	1	32.2841	0	0	0	120741	120741	120741	8h	C6	*
LT934125.1	+	TC_1076	1076	120803	120803	0	1	40.594301	0	0	0	120803	120803	120803	4h	PK_15	*
LT934125.1	+	TC_1077	1077	120836	120872	36	3	872.53095	0	0	0	120856	120836	120872	2.5h, 4h, 8h	PC_12	**
LT934125.1	+	TC_1078	1078	120932	120945	4	16	5396.924691	0	0	7.09853809547983	120935	120933	120937	12h, 2h, 6h, 8h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1079	1079	120992	121103	100	8	2759.466181	0	0	12.8266861056987	121027	120992	121092	12h, 8h, 6h, 1h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_108	108	12161	12208	47	8	839.63607	0	0	0	12192	12161	12208	12h, 6h, 8h, 4h, 2h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1080	1080	121130	121130	0	2	56.150793	0	0	0	121130	121130	121130	8h, 6h	PC_12, PK_15	*
LT934125.1	+	TC_1081	1081	121180	121210	30	3	779.702656	0	0	4.21103236991921	121197	121180	121210	6h, 4h	C6, NRK, PC_12	**
LT934125.1	+	TC_1082	1082	121236	121236	0	1	86.244071	0	0	0	121236	121236	121236	6h	C6	*
LT934125.1	+	TC_1083	1083	121262	121274	12	9	815.443916	0	0	3.05051273056363	121270	121262	121274	12h, 6h, 8h, 4h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1084	1084	121310	121313	3	3	2168.28081	0	0	0	121311	121310	121313	1h, 4h	C6, NRK, PK_15	**
LT934125.1	+	TC_1085	1085	121357	121396	39	3	584.094156	0	0	0	121377	121357	121396	4h, 6h, 8h	C6, PC_12	**
LT934125.1	+	TC_1086	1086	121454	121454	0	1	40.594301	0	0	0	121454	121454	121454	4h	PK_15	*
LT934125.1	+	TC_1087	1087	121483	121517	34	5	345.066321	0	0	0	121507	121483	121517	6h, 8h	C6, NRK, PC_12	**
LT934125.1	+	TC_1088	1088	121548	121548	0	1	26.651031	0	0	0	121548	121548	121548	6h	PC_12	*
LT934125.1	+	TC_1089	1089	121577	121583	0	2	277.015047	0	0	2.57798232963786	121583	121583	121583	8h	NRK, PC_12	*
LT934125.1	+	TC_109	109	12242	12262	20	2	58.608081	0	0	0	12252	12242	12262	6h, 8h	PC_12	*
LT934125.1	+	TC_1090	1090	121619	121626	0	1	172.488142	3	3	3	121619	121619	121619	6h	C6	*
LT934125.1	+	TC_1091	1091	121668	121668	0	1	86.244071	0	0	0	121668	121668	121668	6h	C6	*
LT934125.1	+	TC_1092	1092	121705	121745	37	13	1401.645129	0	0	4.44955227767627	121717	121705	121742	12h, 4h, 6h, 8h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1093	1093	121777	121795	2	26	273621.844233	0	0	3.23793721844566	121784	121784	121786	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1094	1094	121834	121837	3	3	665.152637	0	0	0	121836	121834	121837	8h, 4h, 12h	C6, NRK, PK_15	**
LT934125.1	+	TC_1095	1095	121886	121931	39	16	4123.011502	0	0	7.16992500144231	121901	121886	121925	12h, 1h, 4h, 6h, 8h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1096	1096	121979	122053	74	11	2962.1568	0	0	11.2464739223202	122014	121979	122053	6h, 8h, 12h, 1h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1097	1097	122110	122120	2	12	1699.737036	0	0	4.55419930960201	122119	122117	122119	12h, 8h, 6h, 2.5h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1098	1098	122171	122227	41	7	2469.919419	0	0	5.999999981239	122189	122171	122212	12h, 8h, 1.5h, 6h	C6, NRK, PC_12	***
LT934125.1	+	TC_1099	1099	122244	122354	97	15	2254.711767	0	0	10.6879973786396	122289	122244	122341	6h, 8h, 12h, 2h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_11	11	1290	1323	2	3	357.402493	0	0	14.3375814677532	1291	1290	1292	8h, 6h	C6, PC_12	**
LT934125.1	+	TC_110	110	12297	12297	0	1	16.129162	0	0	0	12297	12297	12297	6h	PK_15	*
LT934125.1	+	TC_1100	1100	122398	122409	3	10	874.367416	0	0	4.64638480387007	122402	122402	122405	12h, 6h, 8h, 4h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1101	1101	122463	122471	3	5	253.588692	0	0	2.70206051073511	122464	122463	122466	6h, 12h, 4h	C6, PC_12, PK_15	**
LT934125.1	+	TC_1102	1102	122495	122533	35	10	928.392825	0	0	7.55396355566495	122518	122498	122533	12h, 8h, 4h, 2h, 6h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1103	1103	122575	122819	244	17	16536.441621	0	0	25.2242473859118	122644	122575	122819	12h, 6h, 8h, 1h, 4h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1104	1104	122872	122872	0	2	48.413262	0	0	0	122872	122872	122872	8h, 6h	C6, PK_15	*
LT934125.1	+	TC_1105	1105	122920	122942	2	17	15264.532533	0	0	7.0419709381311	122922	122922	122924	12h, 6h, 8h, 1h, 4h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1106	1106	122977	122988	2	25	189025.492182	0	0	4.87993783077593	122979	122979	122981	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1107	1107	123035	123060	25	4	152.875575	0	0	0	123048	123035	123060	12h, 8h	C6, NRK	**
LT934125.1	+	TC_1108	1108	123095	123101	6	3	302.465251	0	0	0	123097	123095	123101	6h, 8h	C6, NRK	**
LT934125.1	+	TC_1109	1109	123186	123219	33	3	130.819943	0	0	0	123205	123186	123219	6h, 12h	C6, NRK, PC_12	*
LT934125.1	+	TC_111	111	12327	12327	0	1	32.2841	0	0	0	12327	12327	12327	8h	C6	*
LT934125.1	+	TC_1110	1110	123254	123254	0	1	26.887262	0	0	0	123254	123254	123254	12h	NRK	*
LT934125.1	+	TC_1111	1111	123282	123311	29	6	837.157508	0	0	0	123300	123282	123311	4h, 6h, 8h	C6, NRK, PC_12	**
LT934125.1	+	TC_1112	1112	123339	123381	42	4	158.218921	0	0	0	123364	123339	123381	12h, 8h, 6h	NRK, PC_12	**
LT934125.1	+	TC_1113	1113	123409	123412	3	2	113.643049	0	0	0	123410	123409	123412	8h	NRK, PC_12	*
LT934125.1	+	TC_1114	1114	123449	123484	35	4	333.127871	0	0	0	123464	123449	123484	12h, 6h, 8h, 4h	C6, PC_12	**
LT934125.1	+	TC_1115	1115	123509	123560	51	6	1316.269613	0	0	0	123527	123509	123560	12h, 4h, 8h, 6h	C6, NRK, PK_15	***
LT934125.1	+	TC_1116	1116	123587	123641	54	12	1912.354815	0	0	4.98289214714576	123606	123587	123641	6h, 8h, 12h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1117	1117	123687	123722	35	6	792.775309	0	0	0	123700	123687	123722	12h, 4h, 8h	C6, NRK, PC_12	**
LT934125.1	+	TC_1118	1118	123755	123788	25	10	737.796666	0	0	3.02548420809851	123768	123755	123780	12h, 6h, 4h, 8h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1119	1119	123817	123833	7	8	1157.000656	0	0	3.32192809488736	123822	123817	123824	12h, 6h, 8h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_112	112	12392	12392	0	1	100.38145	0	0	0	12392	12392	12392	4h	PC_12	*
LT934125.1	+	TC_1120	1120	123870	123878	8	3	447.462885	0	0	0	123873	123870	123878	12h, 2h, 4h	NRK, PK_15	**
LT934125.1	+	TC_1121	1121	123905	123953	48	7	570.687157	0	0	1.94190118368787	123923	123905	123953	12h, 6h, 8h, 4h	NRK, PC_12, PK_15	**
LT934125.1	+	TC_1122	1122	123979	123979	0	1	26.651031	0	0	0	123979	123979	123979	6h	PC_12	*
LT934125.1	+	TC_1123	1123	124008	124067	38	11	2569.619935	0	0	8	124027	124008	124046	12h, 1h, 6h, 8h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1124	1124	124093	124093	0	7	295.609112	0	0	0	124093	124093	124093	6h, 12h, 8h, 4h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1125	1125	124133	124406	235	22	20836.874859	0	0	27.1096064019716	124304	124162	124397	12h, 1h, 4h, 6h, 8h, 1.5h, 2.5h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1126	1126	124454	124642	157	18	11473.873149	0	0	29.2539529398356	124540	124454	124611	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1127	1127	124672	124716	44	11	1069.98016	0	0	3.83989793570595	124683	124672	124716	12h, 4h, 6h, 8h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1128	1128	124736	124770	8	25	180222.287437	0	0	2.64291917994257	124756	124756	124764	12h, 1h, 2h, 4h, 6h, 8h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1129	1129	124796	124796	0	1	2212.389381	0	0	0	124796	124796	124796	1.5h	PC_12	*
LT934125.1	+	TC_113	113	12425	12425	0	1	26.651031	0	0	0	12425	12425	12425	6h	PC_12	*
LT934125.1	+	TC_1130	1130	124815	124838	4	4	811.047089	0	0	5.60290165864301	124826	124823	124827	6h, 4h	NRK, PC_12, PK_15	**
LT934125.1	+	TC_1131	1131	124853	124914	53	10	3618.232189	0	0	11.6657800283295	124879	124853	124906	2h, 6h, 12h, 2.5h, 8h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1132	1132	124919	125061	121	16	5401.224714	0	0	23.7882863431153	124989	124937	125058	12h, 1h, 6h, 8h, 2h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1133	1133	125074	125105	14	11	4408.361714	0	0	11.0405068941811	125102	125090	125104	12h, 4h, 6h, 8h, 1h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1134	1134	125131	125150	13	4	273.502816	0	0	2.37320011645615	125144	125137	125150	12h, 6h	NRK, PC_12, PK_15	**
LT934125.1	+	TC_1135	1135	125177	125177	0	3	129.675683	0	0	0	125177	125177	125177	6h, 12h	C6, PC_12, PK_15	*
LT934125.1	+	TC_1136	1136	125177	125236	2	27	926133.987245	1.45546446154482	1.45546446154482	3.50580795744732	125225	125223	125225	12h, 1h, 2h, 4h, 6h, 8h, 0.5h, 1.5h, 2.5h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1137	1137	125266	125269	0	3	250.403311	0	0	1.34458964101544	125269	125269	125269	12h, 8h	NRK, PC_12	**
LT934125.1	+	TC_1138	1138	125302	125343	41	8	2221.893558	0	0	8.66969840127286	125317	125302	125343	12h, 2h, 6h, 8h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1139	1139	125365	125382	0	10	2015.551581	0	0	5.95449382513163	125373	125373	125373	12h, 8h, 6h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_114	114	12604	12604	0	3	88.434893	0	0	0	12604	12604	12604	8h, 6h	C6, PC_12, PK_15	*
LT934125.1	+	TC_1140	1140	125398	125398	0	1	100.38145	0	0	0	125398	125398	125398	4h	PC_12	*
LT934125.1	+	TC_1141	1141	125423	125446	22	6	936.433575	0	0	3.84874488588362	125434	125424	125446	4h, 6h, 12h, 8h	C6, NRK, PC_12, PK_15	**
LT934125.1	+	TC_1142	1142	125473	125514	41	14	2570.388579	0	0	4.34795081268517	125488	125473	125514	12h, 4h, 6h, 8h, 2h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1143	1143	125545	125928	383	20	26097.115759	0	0	39.5079403466741	125728	125545	125928	12h, 1h, 6h, 8h, 1.5h, 2.5h, 2h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1144	1144	125954	126010	51	13	2460.309567	0	0	13.4636618276367	125980	125954	126005	12h, 6h, 8h, 2.5h, 2h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_1145	1145	126026	126049	18	2	154.47923	0	0	3.87744376119282	126040	126031	126049	6h, 8h	PC_12	*
LT934125.1	+	TC_1146	1146	126194	126194	0	1	32.2841	0	0	0	126194	126194	126194	8h	C6	*
LT934125.1	+	TC_1147	1147	126375	126375	0	1	31.95705	0	0	0	126375	126375	126375	8h	PC_12	*
LT934125.1	+	TC_1148	1148	126466	126469	3	2	44.575872	0	0	0	126468	126466	126469	12h, 6h	NRK, PC_12	*
LT934125.1	+	TC_1149	1149	126800	126873	73	10	1126.070878	0	0	0	126828	126800	126873	12h, 6h, 8h, 2h, 4h	C6, NRK, PC_12, PK_15	***
LT934125.1	+	TC_115	115	12653	12676	23	2	166.492231	0	0	0	12664	12653	12676	6h, 8h	NRK, PC_12	*
LT934125.1	+	TC_1150	1150	126928	126946	18	2	378.185643	0	0	0	126937	126928	126946	2h, 6h	PK_15	*
LT934125.1	+	TC_1151	1151	127138	127147	9	3	140.869282	0	0	0	127141	127138	127147	12h, 6h	C6, PC_12	*
LT934125.1	+	TC_1152	1152	127568	127568	0	1	26.651031	0	0	0	127568	127568	127568	6h	PC_12	*
LT934125.1	+	TC_1153	1153	127788	127788	0	1	31.95705	0	0	0	127788	127788	127788	8h	PC_12	*
LT934125.1	+	TC_1154	1154	127862	127862	0	1	20.980635	0	0	0	127862	127862	127862	12h	C6	*
LT934125.1	+	TC_1155	1155	127999	128118	75	18	11304.056225	0	0	22.4634471965277	128060	128008	128083	12h, 4h, 6h, 8h, 2.5h, 2h	C6, NRK, PC_12, PK_15	***
