group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	cluster_width	hpi	cell_line	Time
C6_12h	308	LT934125.1	41687	41687	+	41687	20.980635	20.980635	41687	41687	1	1	12h	C6	12
C6_12h	330	LT934125.1	44807	44812	+	44812	11238.626748	8699.969928	44810	44812	3	6	12h	C6	12
C6_12h	332	LT934125.1	44946	44946	+	44946	20.980635	20.980635	44946	44946	1	1	12h	C6	12
C6_12h	338	LT934125.1	45313	45313	+	45313	27.97418	27.97418	45313	45313	1	1	12h	C6	12
C6_12h	342	LT934125.1	45626	45626	+	45626	20.980635	20.980635	45626	45626	1	1	12h	C6	12
C6_12h	344	LT934125.1	45772	45772	+	45772	20.980635	20.980635	45772	45772	1	1	12h	C6	12
C6_12h	346	LT934125.1	46023	46029	+	46024	1258.838093	405.625608	46023	46027	5	7	12h	C6	12
C6_12h	347	LT934125.1	46165	46165	+	46165	20.980635	20.980635	46165	46165	1	1	12h	C6	12
C6_12h	348	LT934125.1	46233	46243	+	46234	349.677248	125.883809	46233	46239	7	11	12h	C6	12
C6_12h	350	LT934125.1	46331	46331	+	46331	20.980635	20.980635	46331	46331	1	1	12h	C6	12
C6_12h	357	LT934125.1	46782	46782	+	46782	27.97418	27.97418	46782	46782	1	1	12h	C6	12
C6_12h	367	LT934125.1	47315	47319	+	47315	398.632063	188.825714	47315	47317	3	5	12h	C6	12
C6_12h	370	LT934125.1	47570	47570	+	47570	34.967725	34.967725	47570	47570	1	1	12h	C6	12
C6_12h	372	LT934125.1	47699	47699	+	47699	27.97418	27.97418	47699	47699	1	1	12h	C6	12
C6_12h	376	LT934125.1	48069	48069	+	48069	34.967725	34.967725	48069	48069	1	1	12h	C6	12
C6_12h	378	LT934125.1	48279	48362	+	48362	104.903175	34.967725	48279	48362	84	84	12h	C6	12
C6_12h	379	LT934125.1	48494	48494	+	48494	34.967725	34.967725	48494	48494	1	1	12h	C6	12
C6_12h	380	LT934125.1	48563	48570	+	48567	18833.616573	13938.135101	48567	48570	4	8	12h	C6	12
C6_12h	383	LT934125.1	48691	48691	+	48691	69.93545	69.93545	48691	48691	1	1	12h	C6	12
C6_12h	385	LT934125.1	48788	48794	+	48794	76.928995	41.96127	48788	48794	7	7	12h	C6	12
C6_12h	386	LT934125.1	48856	48883	+	48878	160.851535	34.967725	48856	48883	28	28	12h	C6	12
C6_12h	387	LT934125.1	48928	49032	+	48931	160.851535	62.941905	48928	49032	105	105	12h	C6	12
C6_12h	389	LT934125.1	49112	49121	+	49114	97.90963	41.96127	49112	49121	10	10	12h	C6	12
C6_12h	390	LT934125.1	49196	49196	+	49196	62.941905	62.941905	49196	49196	1	1	12h	C6	12
C6_12h	392	LT934125.1	49381	49433	+	49433	97.90963	34.967725	49381	49433	53	53	12h	C6	12
C6_12h	393	LT934125.1	49501	49503	+	49501	181.832169	160.851534	49501	49503	3	3	12h	C6	12
C6_12h	394	LT934125.1	49543	49543	+	49543	48.954815	48.954815	49543	49543	1	1	12h	C6	12
C6_12h	398	LT934125.1	50154	50154	+	50154	20.980635	20.980635	50154	50154	1	1	12h	C6	12
C6_12h	414	LT934125.1	51148	51148	+	51148	118.890264	118.890264	51148	51148	1	1	12h	C6	12
C6_12h	415	LT934125.1	51231	51238	+	51235	7280.280301	4259.068879	51235	51237	3	8	12h	C6	12
C6_12h	416	LT934125.1	51332	51332	+	51332	20.980635	20.980635	51332	51332	1	1	12h	C6	12
C6_12h	418	LT934125.1	51633	51633	+	51633	20.980635	20.980635	51633	51633	1	1	12h	C6	12
C6_12h	419	LT934125.1	51690	51690	+	51690	69.93545	69.93545	51690	51690	1	1	12h	C6	12
C6_12h	420	LT934125.1	51752	51752	+	51752	20.980635	20.980635	51752	51752	1	1	12h	C6	12
C6_12h	425	LT934125.1	52459	52460	+	52460	4238.088245	4210.114065	52460	52460	1	2	12h	C6	12
C6_12h	426	LT934125.1	52549	52549	+	52549	27.97418	27.97418	52549	52549	1	1	12h	C6	12
C6_12h	428	LT934125.1	52684	52684	+	52684	20.980635	20.980635	52684	52684	1	1	12h	C6	12
C6_12h	436	LT934125.1	53376	53417	+	53376	41.96127	20.980635	53376	53417	42	42	12h	C6	12
C6_12h	439	LT934125.1	53641	53652	+	53648	6916.615965	5734.706866	53648	53649	2	12	12h	C6	12
C6_12h	440	LT934125.1	53732	53732	+	53732	20.980635	20.980635	53732	53732	1	1	12h	C6	12
C6_12h	441	LT934125.1	53902	53902	+	53902	34.967725	34.967725	53902	53902	1	1	12h	C6	12
C6_12h	442	LT934125.1	54005	54005	+	54005	20.980635	20.980635	54005	54005	1	1	12h	C6	12
C6_12h	447	LT934125.1	54332	54375	+	54375	69.93545	27.97418	54332	54375	44	44	12h	C6	12
C6_12h	448	LT934125.1	54470	54475	+	54475	139.870899	90.916084	54470	54475	6	6	12h	C6	12
C6_12h	450	LT934125.1	54599	54599	+	54599	20.980635	20.980635	54599	54599	1	1	12h	C6	12
C6_12h	451	LT934125.1	54668	54728	+	54668	111.89672	27.97418	54668	54728	61	61	12h	C6	12
C6_12h	452	LT934125.1	54926	54926	+	54926	41.96127	41.96127	54926	54926	1	1	12h	C6	12
C6_12h	453	LT934125.1	55038	55046	+	55038	48.954815	27.97418	55038	55046	9	9	12h	C6	12
C6_12h	455	LT934125.1	55303	55324	+	55303	874.193119	489.548147	55303	55324	22	22	12h	C6	12
C6_12h	456	LT934125.1	55352	55355	+	55352	293.728889	244.774074	55352	55355	4	4	12h	C6	12
C6_12h	458	LT934125.1	55497	55497	+	55497	41.96127	41.96127	55497	55497	1	1	12h	C6	12
C6_12h	460	LT934125.1	55627	55627	+	55627	20.980635	20.980635	55627	55627	1	1	12h	C6	12
C6_12h	462	LT934125.1	55706	55715	+	55712	405.625608	286.735343	55712	55714	3	10	12h	C6	12
C6_12h	464	LT934125.1	55780	55782	+	55782	48.954815	27.97418	55780	55782	3	3	12h	C6	12
C6_12h	465	LT934125.1	55869	55875	+	55869	202.812805	48.954815	55869	55875	7	7	12h	C6	12
C6_12h	466	LT934125.1	55931	55931	+	55931	27.97418	27.97418	55931	55931	1	1	12h	C6	12
C6_12h	467	LT934125.1	55998	56008	+	56000	216.799895	76.928995	55998	56008	11	11	12h	C6	12
C6_12h	477	LT934125.1	57001	57001	+	57001	34.967725	34.967725	57001	57001	1	1	12h	C6	12
C6_12h	494	LT934125.1	58625	58625	+	58625	20.980635	20.980635	58625	58625	1	1	12h	C6	12
C6_12h	498	LT934125.1	58892	58898	+	58898	132.877355	48.954815	58892	58898	7	7	12h	C6	12
C6_12h	500	LT934125.1	59065	59074	+	59068	3552.72084	2342.837561	59068	59070	3	10	12h	C6	12
C6_12h	504	LT934125.1	59333	59333	+	59333	27.97418	27.97418	59333	59333	1	1	12h	C6	12
C6_12h	509	LT934125.1	59793	59793	+	59793	20.980635	20.980635	59793	59793	1	1	12h	C6	12
C6_12h	514	LT934125.1	60232	60239	+	60234	1580.541161	713.341586	60233	60239	7	8	12h	C6	12
C6_12h	530	LT934125.1	61076	61076	+	61076	83.922539	83.922539	61076	61076	1	1	12h	C6	12
C6_12h	536	LT934125.1	61687	61772	+	61687	97.90963	55.94836	61687	61772	86	86	12h	C6	12
C6_12h	537	LT934125.1	61822	61832	+	61822	62.941905	20.980635	61822	61832	11	11	12h	C6	12
C6_12h	539	LT934125.1	61939	62038	+	61939	139.8709	34.967725	61939	62038	100	100	12h	C6	12
C6_12h	540	LT934125.1	62152	62152	+	62152	27.97418	27.97418	62152	62152	1	1	12h	C6	12
C6_12h	562	LT934125.1	65805	65809	+	65807	412.619153	237.780529	65805	65807	3	5	12h	C6	12
C6_12h	563	LT934125.1	66209	66209	+	66209	27.97418	27.97418	66209	66209	1	1	12h	C6	12
C6_12h	565	LT934125.1	66335	66341	+	66338	4916.462105	3342.91449	66338	66341	4	7	12h	C6	12
C6_12h	566	LT934125.1	66401	66401	+	66401	20.980635	20.980635	66401	66401	1	1	12h	C6	12
C6_12h	569	LT934125.1	66578	66578	+	66578	27.97418	27.97418	66578	66578	1	1	12h	C6	12
C6_12h	588	LT934125.1	67961	67961	+	67961	27.97418	27.97418	67961	67961	1	1	12h	C6	12
C6_12h	591	LT934125.1	68098	68098	+	68098	20.980635	20.980635	68098	68098	1	1	12h	C6	12
C6_12h	597	LT934125.1	68367	68372	+	68372	48.954815	27.97418	68367	68372	6	6	12h	C6	12
C6_12h	598	LT934125.1	68492	68667	+	68667	125.88381	76.928995	68492	68667	176	176	12h	C6	12
C6_12h	601	LT934125.1	68873	68873	+	68873	55.94836	55.94836	68873	68873	1	1	12h	C6	12
C6_12h	602	LT934125.1	68927	68927	+	68927	20.980635	20.980635	68927	68927	1	1	12h	C6	12
C6_12h	603	LT934125.1	69077	69077	+	69077	20.980635	20.980635	69077	69077	1	1	12h	C6	12
C6_12h	604	LT934125.1	69159	69176	+	69159	188.825715	62.941905	69159	69176	18	18	12h	C6	12
C6_12h	605	LT934125.1	69237	69249	+	69244	1035.044654	447.586877	69237	69246	10	13	12h	C6	12
C6_12h	606	LT934125.1	69311	69311	+	69311	48.954815	48.954815	69311	69311	1	1	12h	C6	12
C6_12h	608	LT934125.1	69485	69555	+	69552	146.864445	62.941905	69485	69555	71	71	12h	C6	12
C6_12h	610	LT934125.1	69680	69680	+	69680	20.980635	20.980635	69680	69680	1	1	12h	C6	12
C6_12h	611	LT934125.1	69765	69768	+	69765	202.812804	174.838624	69765	69768	4	4	12h	C6	12
C6_12h	612	LT934125.1	69821	69821	+	69821	69.93545	69.93545	69821	69821	1	1	12h	C6	12
C6_12h	613	LT934125.1	69884	69947	+	69947	55.94836	34.967725	69884	69947	64	64	12h	C6	12
C6_12h	614	LT934125.1	70012	70012	+	70012	55.94836	55.94836	70012	70012	1	1	12h	C6	12
C6_12h	615	LT934125.1	70090	70090	+	70090	608.438411	608.438411	70090	70090	1	1	12h	C6	12
C6_12h	616	LT934125.1	70132	70144	+	70139	76.928995	27.97418	70132	70144	13	13	12h	C6	12
C6_12h	617	LT934125.1	70197	70197	+	70197	20.980635	20.980635	70197	70197	1	1	12h	C6	12
C6_12h	618	LT934125.1	70311	70311	+	70311	69.93545	69.93545	70311	70311	1	1	12h	C6	12
C6_12h	619	LT934125.1	70414	70414	+	70414	20.980635	20.980635	70414	70414	1	1	12h	C6	12
C6_12h	620	LT934125.1	70525	70531	+	70531	53906.244537	31596.83612	70529	70531	3	7	12h	C6	12
C6_12h	622	LT934125.1	70624	70642	+	70642	132.877355	55.94836	70624	70642	19	19	12h	C6	12
C6_12h	623	LT934125.1	70708	70708	+	70708	20.980635	20.980635	70708	70708	1	1	12h	C6	12
C6_12h	624	LT934125.1	70767	70769	+	70767	48.954815	27.97418	70767	70769	3	3	12h	C6	12
C6_12h	625	LT934125.1	70873	70873	+	70873	41.96127	41.96127	70873	70873	1	1	12h	C6	12
C6_12h	626	LT934125.1	70915	70918	+	70918	76.928995	41.96127	70915	70918	4	4	12h	C6	12
C6_12h	627	LT934125.1	70969	71022	+	71022	69.93545	41.96127	70969	71022	54	54	12h	C6	12
C6_12h	628	LT934125.1	71065	71193	+	71185	531.509418	132.877354	71067	71191	125	129	12h	C6	12
C6_12h	629	LT934125.1	71275	71278	+	71278	55.94836	34.967725	71275	71278	4	4	12h	C6	12
C6_12h	630	LT934125.1	71328	71328	+	71328	76.928995	76.928995	71328	71328	1	1	12h	C6	12
C6_12h	631	LT934125.1	71390	71396	+	71396	76.928995	48.954815	71390	71396	7	7	12h	C6	12
C6_12h	633	LT934125.1	71767	71767	+	71767	20.980635	20.980635	71767	71767	1	1	12h	C6	12
C6_12h	645	LT934125.1	72758	72763	+	72759	1042.038199	657.393226	72758	72763	6	6	12h	C6	12
C6_12h	666	LT934125.1	74192	74192	+	74192	20.980635	20.980635	74192	74192	1	1	12h	C6	12
C6_12h	669	LT934125.1	74400	74408	+	74402	16001.230864	7245.312576	74400	74403	4	9	12h	C6	12
C6_12h	673	LT934125.1	74839	74839	+	74839	20.980635	20.980635	74839	74839	1	1	12h	C6	12
C6_12h	676	LT934125.1	75133	75139	+	75133	69.93545	41.96127	75133	75139	7	7	12h	C6	12
C6_12h	679	LT934125.1	75382	75382	+	75382	34.967725	34.967725	75382	75382	1	1	12h	C6	12
C6_12h	681	LT934125.1	75653	75653	+	75653	55.94836	55.94836	75653	75653	1	1	12h	C6	12
C6_12h	684	LT934125.1	76677	76687	+	76683	1454.657352	832.23185	76683	76685	3	11	12h	C6	12
C6_12h	685	LT934125.1	76749	76749	+	76749	34.967725	34.967725	76749	76749	1	1	12h	C6	12
C6_12h	688	LT934125.1	76990	76992	+	76990	223.793439	202.812804	76990	76990	1	3	12h	C6	12
C6_12h	701	LT934125.1	78035	78044	+	78044	2251.921476	804.25767	78035	78044	10	10	12h	C6	12
C6_12h	709	LT934125.1	78526	78526	+	78526	20.980635	20.980635	78526	78526	1	1	12h	C6	12
C6_12h	714	LT934125.1	78825	78825	+	78825	27.97418	27.97418	78825	78825	1	1	12h	C6	12
C6_12h	717	LT934125.1	78969	78969	+	78969	20.980635	20.980635	78969	78969	1	1	12h	C6	12
C6_12h	719	LT934125.1	79269	79269	+	79269	20.980635	20.980635	79269	79269	1	1	12h	C6	12
C6_12h	720	LT934125.1	79315	79315	+	79315	20.980635	20.980635	79315	79315	1	1	12h	C6	12
C6_12h	722	LT934125.1	79437	79444	+	79444	18812.635938	15609.592346	79440	79444	5	8	12h	C6	12
C6_12h	723	LT934125.1	79527	79527	+	79527	41.96127	41.96127	79527	79527	1	1	12h	C6	12
C6_12h	724	LT934125.1	79597	79712	+	79597	97.90963	27.97418	79597	79712	116	116	12h	C6	12
C6_12h	725	LT934125.1	79781	79786	+	79781	97.90963	48.954815	79781	79786	6	6	12h	C6	12
C6_12h	733	LT934125.1	81082	81082	+	81082	90.916084	90.916084	81082	81082	1	1	12h	C6	12
C6_12h	735	LT934125.1	81436	81436	+	81436	90.916084	90.916084	81436	81436	1	1	12h	C6	12
C6_12h	740	LT934125.1	81829	81829	+	81829	34.967725	34.967725	81829	81829	1	1	12h	C6	12
C6_12h	756	LT934125.1	83792	83792	+	83792	69.93545	69.93545	83792	83792	1	1	12h	C6	12
C6_12h	757	LT934125.1	83975	83978	+	83975	181.832169	132.877354	83975	83978	4	4	12h	C6	12
C6_12h	768	LT934125.1	84645	84645	+	84645	27.97418	27.97418	84645	84645	1	1	12h	C6	12
C6_12h	784	LT934125.1	85996	85996	+	85996	62.941905	62.941905	85996	85996	1	1	12h	C6	12
C6_12h	787	LT934125.1	86229	86282	+	86278	188.825715	41.96127	86229	86282	54	54	12h	C6	12
C6_12h	791	LT934125.1	87216	87216	+	87216	27.97418	27.97418	87216	87216	1	1	12h	C6	12
C6_12h	800	LT934125.1	88883	88888	+	88883	48.954815	27.97418	88883	88888	6	6	12h	C6	12
C6_12h	803	LT934125.1	89133	89133	+	89133	20.980635	20.980635	89133	89133	1	1	12h	C6	12
C6_12h	810	LT934125.1	89666	89666	+	89666	20.980635	20.980635	89666	89666	1	1	12h	C6	12
C6_12h	815	LT934125.1	89876	89889	+	89883	97.90963	55.94836	89876	89889	14	14	12h	C6	12
C6_12h	818	LT934125.1	90007	90007	+	90007	20.980635	20.980635	90007	90007	1	1	12h	C6	12
C6_12h	824	LT934125.1	90381	90381	+	90381	76.928995	76.928995	90381	90381	1	1	12h	C6	12
C6_12h	829	LT934125.1	90699	90699	+	90699	27.97418	27.97418	90699	90699	1	1	12h	C6	12
C6_12h	840	LT934125.1	91356	91360	+	91360	139.8709	69.93545	91356	91360	5	5	12h	C6	12
C6_12h	841	LT934125.1	91409	91415	+	91409	1888.257139	972.102749	91409	91412	4	7	12h	C6	12
C6_12h	843	LT934125.1	91545	91548	+	91548	174.838624	139.870899	91545	91548	4	4	12h	C6	12
C6_12h	851	LT934125.1	92197	92197	+	92197	20.980635	20.980635	92197	92197	1	1	12h	C6	12
C6_12h	852	LT934125.1	92243	92247	+	92243	55.94836	34.967725	92243	92247	5	5	12h	C6	12
C6_12h	853	LT934125.1	92284	92288	+	92288	111.896719	90.916084	92284	92288	5	5	12h	C6	12
C6_12h	855	LT934125.1	92453	92456	+	92453	188.825714	146.864444	92453	92456	4	4	12h	C6	12
C6_12h	870	LT934125.1	95029	95029	+	95029	27.97418	27.97418	95029	95029	1	1	12h	C6	12
C6_12h	872	LT934125.1	95750	95750	+	95750	90.916084	90.916084	95750	95750	1	1	12h	C6	12
C6_12h	877	LT934125.1	96197	96197	+	96197	27.97418	27.97418	96197	96197	1	1	12h	C6	12
C6_12h	878	LT934125.1	96526	96526	+	96526	20.980635	20.980635	96526	96526	1	1	12h	C6	12
C6_12h	881	LT934125.1	96885	96885	+	96885	62.941905	62.941905	96885	96885	1	1	12h	C6	12
C6_12h	893	LT934125.1	98464	98464	+	98464	41.96127	41.96127	98464	98464	1	1	12h	C6	12
C6_12h	897	LT934125.1	99576	99576	+	99576	265.754708	265.754708	99576	99576	1	1	12h	C6	12
C6_12h	909	LT934125.1	101293	101293	+	101293	20.980635	20.980635	101293	101293	1	1	12h	C6	12
C6_12h	917	LT934125.1	102062	102062	+	102062	20.980635	20.980635	102062	102062	1	1	12h	C6	12
C6_12h	927	LT934125.1	103994	103994	+	103994	20.980635	20.980635	103994	103994	1	1	12h	C6	12
C6_12h	940	LT934125.1	105149	105149	+	105149	20.980635	20.980635	105149	105149	1	1	12h	C6	12
C6_12h	944	LT934125.1	105814	105814	+	105814	20.980635	20.980635	105814	105814	1	1	12h	C6	12
C6_12h	945	LT934125.1	105915	105915	+	105915	20.980635	20.980635	105915	105915	1	1	12h	C6	12
C6_12h	946	LT934125.1	105984	105984	+	105984	20.980635	20.980635	105984	105984	1	1	12h	C6	12
C6_12h	951	LT934125.1	106416	106416	+	106416	20.980635	20.980635	106416	106416	1	1	12h	C6	12
C6_12h	952	LT934125.1	106596	106601	+	106601	83.92254	48.954815	106596	106601	6	6	12h	C6	12
C6_12h	958	LT934125.1	107029	107035	+	107031	83.92254	34.967725	107029	107035	7	7	12h	C6	12
C6_12h	964	LT934125.1	107420	107437	+	107432	237.78053	69.93545	107420	107432	13	18	12h	C6	12
C6_12h	965	LT934125.1	107473	107485	+	107482	755.302857	349.677248	107482	107484	3	13	12h	C6	12
C6_12h	967	LT934125.1	107614	107614	+	107614	20.980635	20.980635	107614	107614	1	1	12h	C6	12
C6_12h	968	LT934125.1	107670	107670	+	107670	27.97418	27.97418	107670	107670	1	1	12h	C6	12
C6_12h	971	LT934125.1	107825	107825	+	107825	20.980635	20.980635	107825	107825	1	1	12h	C6	12
C6_12h	974	LT934125.1	108051	108051	+	108051	20.980635	20.980635	108051	108051	1	1	12h	C6	12
C6_12h	975	LT934125.1	108155	108155	+	108155	20.980635	20.980635	108155	108155	1	1	12h	C6	12
C6_12h	976	LT934125.1	108310	108310	+	108310	20.980635	20.980635	108310	108310	1	1	12h	C6	12
C6_12h	980	LT934125.1	108623	108623	+	108623	20.980635	20.980635	108623	108623	1	1	12h	C6	12
C6_12h	1000	LT934125.1	112884	112886	+	112884	118.890264	83.922539	112884	112886	3	3	12h	C6	12
C6_12h	1010	LT934125.1	114979	114988	+	114985	60277.363994	51143.794278	114985	114986	2	10	12h	C6	12
C6_12h	1017	LT934125.1	115475	115475	+	115475	20.980635	20.980635	115475	115475	1	1	12h	C6	12
C6_12h	1018	LT934125.1	115544	115544	+	115544	27.97418	27.97418	115544	115544	1	1	12h	C6	12
