sample	cluster_id	peak_id	chr	strand	cluster_start	cluster_end	peak_pos	gamma_TSS	gamma_shape	gamma_rate	sn_TSS	sn_location	sn_scale	sn_skew
PC_12_6h	5	3	LT934125.1	+	929	989	959.476398503027	977	3.43740800485929	0.130921366488798	982	22.15458653454	5.65409475972972	-0.995149676118656
PC_12_6h	5	4	LT934125.1	+	952	1012	982.017994967984	984	7.36042752584033	0.247967160755482	986	4.18004395432244	4.5764344014535	-0.918608145333169
PC_12_6h	5	5	LT934125.1	+	945	1005	974.817207208345	984	7.36042752584033	0.247967160755482	986	11.3808317139616	4.5764344014535	-0.91860814533317
C6_6h	5	1	LT934125.1	+	960	1020	989.833148999289	987	13.9338749636418	0.461626640230987				
C6_6h	5	2	LT934125.1	+	930	990	960.032836889604	987	13.4623958024871	0.450524438386761	987	26.8456724725192	2.41162036007322	-0.995149676118656
PC_12_4h	5	1	LT934125.1	+	960	1020	989.690107127604	977	3.1955059977476	0.118885082530419	985	-5.11898582149213	7.21004195007521	-0.995149676118656
PC_12_4h	5	2	LT934125.1	+	958	1018	987.95065319111	977	3.1955059977476	0.118885082530419	985	-3.37953188499814	7.21004195007521	-0.995149676118656
PC_12_4h	5	3	LT934125.1	+	935	995	965.021487664598	977	3.1955059977476	0.118885082530419	985	19.5496336415136	7.21004195007521	-0.995149676118656
PC_12_4h	5	4	LT934125.1	+	930	990	959.961258031161	977	3.05240817827534	0.116053106066198	982	22.160538837257	6.07131570133743	-0.995149676118656
PC_12_4h	5	5	LT934125.1	+	948	1008	977.751127836213	977	3.1955059977476	0.118885082530419	985	6.81999346989851	7.21004195007521	-0.995149676118656
PC_12_4h	5	6	LT934125.1	+	947	1007	976.960466955989	977	3.1955059977476	0.118885082530419	985	7.6106545277046	7.21004181112217	-0.995149676118656
PC_12_4h	5	7	LT934125.1	+	947	1007	976.644202603899	977	3.1955059977476	0.118885082530419	985	7.92691870221284	7.21004195007521	-0.995149676118656
PC_12_4h	5	8	LT934125.1	+	946	1006	976.486070427854	977	3.1955059977476	0.118885082530419	985	8.08505087825773	7.21004195007521	-0.995149676118656
PC_12_4h	5	9	LT934125.1	+	945	1005	975.458211283562	977	3.1955059977476	0.118885082530419	985	9.11291002254966	7.21004195007521	-0.995149676118656
PC_12_4h	5	10	LT934125.1	+	947	1007	977.434863484124	977	3.1955059977476	0.118885082530419	985	7.13625782198829	7.21004195007521	-0.995149676118656
PC_12_4h	5	11	LT934125.1	+	945	1005	975.141946931472	977	3.1955059977476	0.118885082530419	985	9.42917437463944	7.21004195007521	-0.995149676118656
C6_12h	5	1	LT934125.1	+	960	1020	989.998089173452	988	22.86085965452	0.900682599853599				
C6_12h	5	2	LT934125.1	+	935	995	965.001910826548	988	22.86085965452	0.900682599853599				
C6_12h	5	3	LT934125.1	+	946	1006	976.027938688577	988	22.86085965452	0.900682599853599				
PC_12_8h	5	1	LT934125.1	+	960	1020	989.942518013982	988	11.1696378279884	0.936403485101625	989	-1.00061895375023	2.71723008343084	0.0739773647790277
PC_12_8h	5	2	LT934125.1	+	958	1018	987.755958415482	988	11.1696378279884	0.936403485101625	989	1.18594064475036	2.71723008343084	0.0739773647790277
PC_12_8h	5	3	LT934125.1	+	952	1012	981.977193762302	988	11.1696378279884	0.936403485101625	989	6.96470529793015	2.71723008343084	0.0739773647790275
PC_12_8h	5	4	LT934125.1	+	948	1008	978.020562107872	988	11.1696378279884	0.936403485101625	989	10.9213369523597	2.71723008343084	0.073977364779028
PC_12_8h	5	5	LT934125.1	+	971	1031	1000.97943789213	988	11.1696378279884	0.936403485101625	989	-12.0375388318956	2.71723008343084	0.0739773647790276
PK_15_4h	5	1	LT934125.1	+	959	1019	989.302265863227	986	5.01343591948587	0.460186359152343	988	-1.61034521999234	2.99816830878353	-0.745800961698471
PK_15_4h	5	2	LT934125.1	+	952	1012	981.995118059037	986	5.01343591948587	0.460186359152343	988	5.69680258419752	2.99816830878353	-0.745800961698471
PK_15_4h	5	3	LT934125.1	+	948	1008	978.001676817212	986	5.01343591948587	0.460186359152343	988	9.69024382602212	2.99816830878353	-0.74580096169847
C6_4h	5	1	LT934125.1	+	960	1020	989.995889399643	988	6.47961197543423	0.804084479290742	988	-1.71748000875216	1.32873761709896	-0.995149676118656
C6_4h	5	2	LT934125.1	+	958	1018	988.002977306118	988	6.47961197543423	0.804084479290742	988	0.27543208477248	1.32873761709896	-0.995149676118656
C6_4h	5	3	LT934125.1	+	952	1012	982.004110600357	988	6.47961197543423	0.804084479290742	988	6.27429879053346	1.32873761709896	-0.995149676118656
PK_15_6h	5	1	LT934125.1	+	960	1020	989.961596652102	988	8.28093311256037	1.07436378435936	989	-1.28460290273007	2.06654914361896	-0.542454916862692
PK_15_6h	5	2	LT934125.1	+	957	1017	986.899592121991	988	8.28093311256037	1.07436378435936	989	1.77740162738074	2.06654914361896	-0.542454916862692
PK_15_6h	5	3	LT934125.1	+	952	1012	981.987626521605	988	8.3813019662288	1.0838798502541	989	6.68936722776697	2.06654914361896	-0.542454916862693
PK_15_6h	5	4	LT934125.1	+	964	1024	993.980477597873	988	8.28093311256037	1.07436378435936	989	-5.30348384850062	2.06654914361896	-0.542454916862692
PK_15_8h	5	1	LT934125.1	+	960	1020	989.992027710109	989	13.3167881689545	1.61378161175031	989	-0.827779583594554	1.59813685446294	-0.560279984406365
PK_15_8h	5	2	LT934125.1	+	958	1018	987.957006596185	989	13.3167881689545	1.61378161175031	989	1.20724153032946	1.59813685446294	-0.560279984406365
PK_15_8h	5	3	LT934125.1	+	952	1012	981.995254600464	989	13.3815695095887	1.6198234416196	989	7.16899352605034	1.59813685446294	-0.560279984406365
PK_15_8h	5	4	LT934125.1	+	964	1024	993.976083130326	989	13.3167881689545	1.61378161175031	989	-4.81183500381181	1.59813685446294	-0.560279984406365
PK_15_8h	5	5	LT934125.1	+	962	1022	991.998386554823	989	13.3167881689545	1.61378161175031	989	-2.83413842830831	1.59813685446294	-0.560279984406365
PC_12_12h	5	1	LT934125.1	+	960	1020	989.990906201644	989	7.08940106479115	1.7151236975383	989	-1.21735547967297	0.945898888076976	-0.995149676118656
PC_12_12h	5	2	LT934125.1	+	957	1017	987.027097616672	989	7.08940106479115	1.7151236975383	989	1.74645310529854	0.945898888076976	-0.995149676118656
PK_15_12h	5	1	LT934125.1	+	960	1020	989.996731461231	989	9.26975864283415	2.10116325982452	989	-0.673065087120945	1.09370253946166	-0.72604235367452
PK_15_12h	5	2	LT934125.1	+	958	1018	988.003268538769	989	9.26975864283415	2.10116325982452	989	1.3203978353417	1.09370253946166	-0.72604235367452
PK_15_12h	5	3	LT934125.1	+	957	1017	986.999468060082	989	9.26975864283415	2.10116325982452	989	2.32419831402861	1.09370253946166	-0.726042353674519
PK_15_12h	5	4	LT934125.1	+	959	1019	989.007069017456	989	9.26975864283415	2.10116325982452	989	0.316597356654785	1.09370253946166	-0.72604235367452
PK_15_12h	5	5	LT934125.1	+	956	1016	985.995667581395	989	9.32234790434377	2.10879842555817	989	3.32799879271541	1.09370253946166	-0.72604235367452
PK_15_12h	5	6	LT934125.1	+	962	1022	992.004332418605	989	9.26975864283415	2.10116325982452	989	-2.68066604449466	1.09370253946166	-0.726042353674519
PK_15_12h	5	7	LT934125.1	+	961	1021	991.000531939918	989	9.26975864283415	2.10116325982452	989	-1.67686556580786	1.09370253946166	-0.72604235367452
PC_12_6h	9	1	LT934125.1	+	1307	1367	1336.98615537252	1335	24.5304054787396	0.828518818312293	1337	-0.427035005029034	4.39175672015156	-0.116339026508064
PC_12_6h	9	2	LT934125.1	+	1304	1364	1334.18541855248	1335	21.8324427216769	0.652355053378376	1336	2.14255446792093	4.79979914871652	-0.220785061845754
PC_12_6h	9	3	LT934125.1	+	1315	1375	1345.00644717536	1336	20.1150495580371	0.925561084351985	1337	-8.18628489295217	3.93325501276506	0.248791183536202
PC_12_6h	9	4	LT934125.1	+	1321	1381	1350.98983947272	1336	17.5158285865659	1.17524293313367	1337	-13.8054103327182	3.29447825351026	0.60666159427244
PC_12_6h	9	5	LT934125.1	+	1272	1332	1301.976945122	1292	1.25850896035154	0.0814207646427784	1304	2.17623078054422	10.8691145242564	0.995149676118656
PC_12_6h	9	6	LT934125.1	+	1260	1320	1290.01016052728	1292	1.26906909977997	0.0932973145590346	1302	12.3381688843584	9.48568794129764	0.995149676118656
PC_12_6h	9	7	LT934125.1	+	1274	1334	1303.88653840839	1319	3.97058057889866	0.0985577670246547				
PC_12_6h	9	8	LT934125.1	+	1270	1330	1300.06735183561	1292	1.25850896035154	0.0814207646427784	1304	4.08582406693623	10.8691145242564	0.995149676118656
PC_12_6h	9	9	LT934125.1	+	1286	1346	1315.98062922221	1331	11.601713973596	0.25196830444448	1334	17.8264830853308	6.43624154749129	-0.730966417726993
PC_12_6h	9	10	LT934125.1	+	1289	1349	1319.03597848043	1331	11.601713973596	0.25196830444448	1334	14.7711338271037	6.43624154749129	-0.730966417726993
PC_12_6h	9	11	LT934125.1	+	1278	1338	1307.96033741936	1330	10.8350894825941	0.239712606466404	1331	22.7125027363213	4.88234457822791	-0.995149676118656
PC_12_6h	9	12	LT934125.1	+	1293	1353	1322.98247127231	1333	15.3361630381907	0.366558430823608	1335	12.2798654786956	6.26582277828159	-0.487683778986712
PC_12_6h	9	13	LT934125.1	+	1265	1325	1294.9751030719	1292	1.25850896035154	0.0814207646427784	1304	9.17807283064795	10.8691145242564	0.995149676118656
C6_8h	9	1	LT934125.1	+	1307	1367	1336.95886313069	1335	15.709562995001	0.606608577736747	1337	0.0629744516826219	5.04219280713255	0.196370484445729
C6_8h	9	2	LT934125.1	+	1304	1364	1334.08825729483	1335	15.709562995001	0.606608577736747	1337	2.93358028754402	5.04219280713255	0.196370484445729
C6_8h	9	3	LT934125.1	+	1315	1375	1344.9327682303	1336	10.6492705666596	0.545012973933368	1338	-6.79412218895807	5.42732790455282	0.543756975522438
C6_8h	9	4	LT934125.1	+	1339	1399	1369.01396163114	1335	0.725303241898929	0.105790621576003	1348	-21.371058281086	6.6632017108699	0.995149676118656
C6_8h	9	5	LT934125.1	+	1334	1394	1364.07014046938	1335	1.50501901015456	0.313809521712047	1339	-24.7057608511352	4.1269500709939	0.995149676118656
C6_8h	9	6	LT934125.1	+	1291	1351	1320.85157482947	1334	19.8888227761958	0.440252775136521	1336	14.7371468901407	4.90686176490633	-0.561432532317179
C6_8h	9	7	LT934125.1	+	1289	1349	1319.09731570755	1334	19.8888227761958	0.440252775136521	1336	16.491406012056	4.90686176490633	-0.561432532317179
C6_8h	9	8	LT934125.1	+	1312	1372	1342.06216239444	1335	13.4173587866166	0.509066837760385	1338	-4.32233234032052	6.01877770334216	0.379585450667077
C6_8h	9	9	LT934125.1	+	1318	1378	1347.96285216816	1336	10.6492705666596	0.545012973933368	1338	-9.82420612967983	5.42732790586383	0.543756973763989
C6_8h	9	10	LT934125.1	+	1282	1342	1311.9208011179	1333	19.6243719004241	0.439979666145859	1334	22.4949166318864	3.95255073163671	-0.903521268728948
C6_8h	9	12	LT934125.1	+	1326	1386	1356.41519157375	1335	1.50501901015456	0.313809521712047	1339	-17.0508119555047	4.1269500709939	0.995149676118656
C6_8h	9	13	LT934125.1	+	1327	1387	1357.21258208371	1335	1.50501901015456	0.313809521712047	1339	-17.8482024654663	4.1269500709939	0.995149676118656
C6_8h	9	16	LT934125.1	+	1326	1386	1355.77727916578	1335	1.50501901015456	0.313809521712047	1339	-16.4128995475357	4.1269500709939	0.995149676118656
C6_8h	9	21	LT934125.1	+	1275	1335	1304.58480842625	1326	6.98379776160505	0.170615576126816				
C6_8h	9	22	LT934125.1	+	1325	1385	1355.2988448598	1335	1.50501901015456	0.313809521712047	1339	-15.9344652415586	4.1269500709939	0.995149676118656
PK_15_4h	9	1	LT934125.1	+	1307	1367	1336.93329817567	1336	14.2011412816235	0.953714557226677	1337	0.409314485852612	3.73517779422465	0.672510068815675
PK_15_4h	9	2	LT934125.1	+	1304	1364	1334.13182155391	1335	25.876388222135	0.79054854362782	1337	2.7272812985817	4.65262461554942	0.233918329791543
PK_15_4h	9	3	LT934125.1	+	1321	1381	1350.94068128448	1336	10.2807013291483	0.669177398315796	1338	-12.6520482653715	4.7403183739674	0.785122514368295
PK_15_4h	9	4	LT934125.1	+	1339	1399	1368.95017385294	1335	0.744672535717162	0.0877741244149674	1348	-20.5861544386453	7.21460647540147	0.995149676118656
PK_15_4h	9	5	LT934125.1	+	1316	1376	1346.00474628423	1336	10.2807013291483	0.669177398315796	1338	-7.71611326512578	4.7403183739674	0.785122514368295
PK_15_4h	9	6	LT934125.1	+	1328	1388	1358.01107466321	1335	2.73905515698152	0.425725560474962	1339	-19.2376541509344	4.26916101649149	0.978336677769048
PK_15_4h	9	7	LT934125.1	+	1275	1335	1305.04982614706	1332	15.9445438404574	0.536410049330845	1332	27.0252045812323	2.25342334187044	-0.995149676118656
PK_15_4h	9	8	LT934125.1	+	1324	1384	1354.00896520355	1335	2.73905515698152	0.425725560474962	1339	-15.2355446912755	4.26916101649149	0.978336677769048
PK_15_4h	9	9	LT934125.1	+	1293	1353	1323.05931871552	1335	27.391894932336	0.841773359567998	1337	13.4605874123892	4.35227971271299	-0.0518502813505285
PK_15_4h	9	10	LT934125.1	+	1286	1346	1315.85552168814	1335	32.6376663837238	1.02445085522204	1336	19.7511768148436	2.861732666215	-0.466184021916018
PK_15_4h	9	11	LT934125.1	+	1283	1343	1312.78723776906	1335	33.2443914109205	1.04702502170381	1335	22.593932204489	2.53238725400761	-0.828368631681806
PK_15_4h	9	12	LT934125.1	+	1282	1342	1311.58660493117	1335	33.2443914109205	1.04702502170381	1335	23.7945650423865	2.53238725400761	-0.828368631681805
PK_15_4h	9	13	LT934125.1	+	1287	1347	1316.52253993141	1335	32.6376663837238	1.02445085522204	1336	19.0841585715671	2.861732666215	-0.466184021916017
PK_15_4h	9	14	LT934125.1	+	1282	1342	1312.25362317444	1335	33.2443914109205	1.04702502170381	1335	23.1275467991099	2.53238725400761	-0.828368631681806
C6_6h	9	1	LT934125.1	+	1307	1367	1337.03642165543	1334	10.1711976872174	0.432701627293761	1337	-0.411723782463697	5.35122084363816	0.179578415183973
C6_6h	9	2	LT934125.1	+	1304	1364	1334.0285666768	1334	10.1711976872174	0.432701627293761	1337	2.59613119616233	5.35122084363816	0.179578415183973
C6_6h	9	3	LT934125.1	+	1309	1369	1338.87455525348	1334	9.08167020170149	0.37924602704106	1337	-1.5830656168904	6.27279663014817	0.340157962733582
C6_6h	9	4	LT934125.1	+	1321	1381	1351.07307822235	1335	2.25008822223956	0.408043278632016	1339	-12.3138272912151	4.38484665397133	0.995149676118656
C6_6h	9	6	LT934125.1	+	1289	1349	1318.98929178367	1334	12.0815559049383	0.532191030169533	1335	16.0256108610685	2.95151412406046	-0.880860013488926
C6_6h	9	7	LT934125.1	+	1339	1399	1368.95310503974	1326	0.603509343514491	0.0336929131245738	1359	-9.45721930602469	15.7787038598901	0.995149676118656
C6_6h	9	9	LT934125.1	+	1284	1344	1313.97620015263	1334	12.2746630022061	0.539622335999459	1335	21.0387024921118	2.95151412406046	-0.880860013488926
C6_6h	9	10	LT934125.1	+	1334	1394	1363.94001340869	1334	1.23336732563893	0.233690765208923	1341	-22.6852064265045	5.58177439010051	0.995149676118656
C6_6h	9	13	LT934125.1	+	1349	1409	1378.81218524746	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	14	LT934125.1	+	1349	1409	1379.14639135619	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	15	LT934125.1	+	1344	1404	1373.96619667078	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	16	LT934125.1	+	1350	1410	1380.31611273677	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	17	LT934125.1	+	1316	1376	1345.89288353694	1335	9.5238290054158	0.494450226274874	1338	-7.98264138830395	5.41782120776603	0.537421552119196
C6_6h	9	18	LT934125.1	+	1315	1375	1345.39157437383	1335	9.5238290054158	0.494450226274874	1338	-7.48133222755354	5.41782120891061	0.537421550816284
C6_6h	9	19	LT934125.1	+	1348	1408	1378.14377302998	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	20	LT934125.1	+	1315	1375	1345.0573682651	1335	9.5238290054158	0.494450226274874	1338	-7.14712611881731	5.41782120891061	0.537421550816283
C6_6h	9	21	LT934125.1	+	1327	1387	1357.42299428834	1335	2.25008822223956	0.408043278632016	1339	-18.6637433572034	4.38484665397133	0.995149676118656
C6_6h	9	22	LT934125.1	+	1346	1406	1376.13853637757	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	23	LT934125.1	+	1345	1405	1375.30302110573	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	24	LT934125.1	+	1326	1386	1356.42037596213	1335	2.25008822223956	0.408043278632016	1339	-17.6611250309947	4.38484665397133	0.995149676118656
C6_6h	9	25	LT934125.1	+	1327	1387	1356.92168512523	1335	2.25008822223956	0.408043278632016	1339	-18.1624341940992	4.38484665397133	0.995149676118656
C6_6h	9	26	LT934125.1	+	1345	1405	1374.63460888825	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	27	LT934125.1	+	1329	1389	1358.75981872328	1335	1.7028228943597	0.274384579306393	1341	-18.0979942584202	5.83705283516785	0.995149676118656
C6_6h	9	28	LT934125.1	+	1347	1407	1377.47536081251	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	29	LT934125.1	+	1348	1408	1377.80956692125	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	30	LT934125.1	+	1347	1407	1377.14115470378	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	31	LT934125.1	+	1347	1407	1376.80694859504	1343	0.738257319937996	0.0372303237376568				
C6_6h	9	32	LT934125.1	+	1298	1358	1327.51154755645	1334	11.2651384884459	0.487136312618539	1336	8.4598043325303	4.27311794876399	-0.249340952257697
C6_6h	9	33	LT934125.1	+	1297	1357	1326.84313533897	1334	11.2651384884459	0.487136312618539	1336	9.12821655000276	4.27311794876399	-0.249340952257698
PC_12_8h	9	1	LT934125.1	+	1307	1367	1336.76869633245	1336	7.09709052955447	0.501147419439402	1339	1.90354459688563	5.0415873328416	0.749662255754186
PC_12_8h	9	2	LT934125.1	+	1305	1365	1334.75691339099	1336	7.09709052955447	0.501147419439402	1339	3.91532753834411	5.0415873328416	0.749662255754184
PC_12_8h	9	3	LT934125.1	+	1315	1375	1344.9987174566	1336	6.26118030792803	0.432115614487793	1339	-5.7708616236754	5.60545078591578	0.793530005366702
PC_12_8h	9	4	LT934125.1	+	1321	1381	1351.03406628097	1336	6.26118030792803	0.432115614487793	1339	-11.8062104480508	5.60545078591578	0.793530005366701
PC_12_8h	9	5	LT934125.1	+	1363	1423	1392.91572933497							
PC_12_8h	9	6	LT934125.1	+	1334	1394	1364.0192107213	1333	0.988852888341158	0.14588231815535	1343	-20.9520338666766	6.97674601917369	0.995149676118656
PC_12_8h	9	7	LT934125.1	+	1339	1399	1368.95722339579	1339	1.05996730522898	0.0845387169561943	1353	-15.5847841800635	11.0397090973717	0.995149676118656
PC_12_8h	9	8	LT934125.1	+	1295	1355	1325.06377740033	1336	7.95430630638705	0.573016743767936	1338	13.1536280245913	4.56710253910694	0.698964308326065
PC_12_8h	9	10	LT934125.1	+	1353	1413	1383.40548270262	1354	1.03510058898797	0.0371876844376288				
PC_12_8h	9	11	LT934125.1	+	1351	1411	1380.66214232791	1340	0.566572480806988	0.0442670049962399	1367	-13.8864545167313	12.1573714217356	0.995149676118656
PK_15_2h	9	1	LT934125.1	+	1304	1364	1334.16409394817	1335	5.01800702338845	0.776244533169191	1337	2.44234784189341	2.92521485295924	0.823586901402143
PK_15_2h	9	2	LT934125.1	+	1307	1367	1337.04760341003	1335	5.01800702338845	0.776244533169191	1337	-0.441161619970973	2.92521485295924	0.823586901402143
PK_15_2h	9	3	LT934125.1	+	1315	1375	1345.00211227035	1335	5.01800702338845	0.776244533169191	1337	-8.39567048028706	2.92521485295924	0.823586901402142
PK_15_2h	9	4	LT934125.1	+	1321	1381	1351.01770959596	1335	5.01800702338845	0.776244533169191	1337	-14.411267805901	2.92521485295924	0.823586901402142
C6_1h	9	1	LT934125.1	+	1307	1367	1336.72291456264	1335	5.08231496874845	1.11813044683637	1335	-1.43328557497976	1.3173662762708	-0.995149676118656
PK_15_6h	9	1	LT934125.1	+	1307	1367	1337.00527928827	1335	2.7447372262626	0.429005051985065	1338	1.25622682808491	4.08400248545397	0.957988803448419
PK_15_6h	9	2	LT934125.1	+	1304	1364	1334.05952904441	1335	2.83560989885434	0.448346838867006	1338	4.05491945951691	3.95598699397417	0.955589542487543
PK_15_6h	9	3	LT934125.1	+	1321	1381	1351.01749666446	1335	2.39577185832538	0.356002272595402	1339	-12.07176945646	4.67359823727291	0.966567082470247
PK_15_6h	9	4	LT934125.1	+	1315	1375	1345.04638130529	1335	2.39577185832538	0.356002272595402	1339	-6.10065409728612	4.67359823727291	0.966567082470247
PK_15_6h	9	5	LT934125.1	+	1339	1399	1369.01045761344	1339	1.09598084633561	0.109780222023436	1349	-20.2450331963246	7.50703802542497	0.995149676118656
PK_15_6h	9	6	LT934125.1	+	1334	1394	1364.15395045464	1334	1.26008351780259	0.260535846554908	1340	-24.5925712395597	4.28038368975967	0.995149676118656
PK_15_6h	9	7	LT934125.1	+	1324	1384	1353.96324690832	1335	2.39577185832538	0.356002272595402	1339	-15.017519700319	4.67359823727291	0.966567082470247
PK_15_6h	9	8	LT934125.1	+	1327	1387	1357.46630125237	1335	2.39577185832538	0.356002272595402	1339	-18.5205740443677	4.67359823727291	0.966567082470246
PK_15_6h	9	9	LT934125.1	+	1318	1378	1347.99213154915	1335	2.39577185832538	0.356002272595402	1339	-9.04640434114516	4.67359823727291	0.966567082470246
