group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	hpi	cell_line	Time
C6_12h	222	LT934125.1	27867	27867	+	27867	27.97418	27.97418	27867	27867	1	0	1	12h	C6	12
C6_12h	240	LT934125.1	29338	29338	+	29338	62.941905	62.941905	29338	29338	1	0	1	12h	C6	12
C6_12h	241	LT934125.1	29464	29468	+	29468	132.877355	55.94836	29464	29468	5	3.55122261233511	5	12h	C6	12
C6_12h	248	LT934125.1	30235	30241	+	30240	832.23185	587.457776	30235	30240	6	2.79426346080735	7	12h	C6	12
C6_12h	255	LT934125.1	30684	30684	+	30684	20.980635	20.980635	30684	30684	1	0	1	12h	C6	12
C6_12h	257	LT934125.1	30932	30932	+	30932	146.864444	146.864444	30932	30932	1	0	1	12h	C6	12
C6_12h	260	LT934125.1	31093	31098	+	31098	16889.411074	14469.644518	31096	31098	3	1.03330701317674	6	12h	C6	12
C6_12h	261	LT934125.1	31149	31152	+	31149	209.806349	139.870899	31149	31152	4	2.48389207067485	4	12h	C6	12
C6_12h	262	LT934125.1	31268	31268	+	31268	20.980635	20.980635	31268	31268	1	0	1	12h	C6	12
C6_12h	263	LT934125.1	31363	31363	+	31363	27.97418	27.97418	31363	31363	1	0	1	12h	C6	12
C6_12h	265	LT934125.1	31507	31507	+	31507	34.967725	34.967725	31507	31507	1	0	1	12h	C6	12
C6_12h	266	LT934125.1	31556	31678	+	31678	97.90963	48.954815	31556	31678	123	10.3624948180823	123	12h	C6	12
C6_12h	268	LT934125.1	31784	31784	+	31784	20.980635	20.980635	31784	31784	1	0	1	12h	C6	12
C6_12h	269	LT934125.1	31859	31859	+	31859	146.864444	146.864444	31859	31859	1	0	1	12h	C6	12
C6_12h	270	LT934125.1	31930	31930	+	31930	118.890264	118.890264	31930	31930	1	0	1	12h	C6	12
C6_12h	271	LT934125.1	32028	32038	+	32038	75712.117715	44443.978208	32036	32038	3	1.8190906034973	11	12h	C6	12
C6_12h	272	LT934125.1	32091	32095	+	32091	244.774074	139.870899	32091	32095	5	3.12018017003745	5	12h	C6	12
C6_12h	273	LT934125.1	32161	32200	+	32167	825.238307	202.812804	32161	32192	32	13.7765751243992	40	12h	C6	12
C6_12h	274	LT934125.1	32266	32322	+	32269	328.696614	97.909629	32266	32322	57	16.1148236213896	57	12h	C6	12
C6_12h	275	LT934125.1	32421	32421	+	32421	48.954815	48.954815	32421	32421	1	0	1	12h	C6	12
C6_12h	278	LT934125.1	33088	33088	+	33088	34.967725	34.967725	33088	33088	1	0	1	12h	C6	12
C6_12h	285	LT934125.1	33584	33584	+	33584	48.954815	48.954815	33584	33584	1	0	1	12h	C6	12
C6_12h	294	LT934125.1	34695	34695	+	34695	20.980635	20.980635	34695	34695	1	0	1	12h	C6	12
C6_12h	295	LT934125.1	34749	34749	+	34749	62.941905	62.941905	34749	34749	1	0	1	12h	C6	12
C6_12h	297	LT934125.1	34854	34854	+	34854	34.967725	34.967725	34854	34854	1	0	1	12h	C6	12
C6_12h	317	LT934125.1	41687	41687	+	41687	20.980635	20.980635	41687	41687	1	0	1	12h	C6	12
C6_12h	340	LT934125.1	44807	44812	+	44812	11238.626748	8699.969928	44810	44812	3	1.2053900310457	6	12h	C6	12
C6_12h	342	LT934125.1	44946	44946	+	44946	20.980635	20.980635	44946	44946	1	0	1	12h	C6	12
C6_12h	347	LT934125.1	45313	45313	+	45313	27.97418	27.97418	45313	45313	1	0	1	12h	C6	12
C6_12h	351	LT934125.1	45626	45626	+	45626	20.980635	20.980635	45626	45626	1	0	1	12h	C6	12
C6_12h	353	LT934125.1	45772	45772	+	45772	20.980635	20.980635	45772	45772	1	0	1	12h	C6	12
C6_12h	355	LT934125.1	46023	46029	+	46024	1258.838093	405.625608	46023	46027	5	4.82191396432899	7	12h	C6	12
C6_12h	356	LT934125.1	46165	46165	+	46165	20.980635	20.980635	46165	46165	1	0	1	12h	C6	12
C6_12h	357	LT934125.1	46233	46243	+	46234	349.677248	125.883809	46233	46239	7	5.74681397291981	11	12h	C6	12
C6_12h	358	LT934125.1	46331	46331	+	46331	20.980635	20.980635	46331	46331	1	0	1	12h	C6	12
C6_12h	364	LT934125.1	46782	46782	+	46782	27.97418	27.97418	46782	46782	1	0	1	12h	C6	12
C6_12h	373	LT934125.1	47315	47319	+	47315	398.632063	188.825714	47315	47317	3	1.58327079830953	5	12h	C6	12
C6_12h	378	LT934125.1	47570	47570	+	47570	34.967725	34.967725	47570	47570	1	0	1	12h	C6	12
C6_12h	380	LT934125.1	47699	47699	+	47699	27.97418	27.97418	47699	47699	1	0	1	12h	C6	12
C6_12h	385	LT934125.1	48069	48069	+	48069	34.967725	34.967725	48069	48069	1	0	1	12h	C6	12
C6_12h	387	LT934125.1	48279	48362	+	48362	104.903175	34.967725	48279	48362	84	12.5647150294632	84	12h	C6	12
C6_12h	388	LT934125.1	48494	48494	+	48494	34.967725	34.967725	48494	48494	1	0	1	12h	C6	12
C6_12h	389	LT934125.1	48563	48570	+	48567	18833.616573	13938.135101	48567	48570	4	1.89032267005821	8	12h	C6	12
C6_12h	392	LT934125.1	48691	48691	+	48691	69.93545	69.93545	48691	48691	1	0	1	12h	C6	12
C6_12h	394	LT934125.1	48788	48794	+	48794	76.928995	41.96127	48788	48794	7	2.7905956068638	7	12h	C6	12
C6_12h	395	LT934125.1	48856	48883	+	48878	160.851535	34.967725	48856	48883	28	12.3157137441529	28	12h	C6	12
C6_12h	396	LT934125.1	48928	49032	+	48931	160.851535	62.941905	48928	49032	105	14.5970105843008	105	12h	C6	12
C6_12h	398	LT934125.1	49112	49121	+	49114	97.90963	41.96127	49112	49121	10	5.08460624155554	10	12h	C6	12
C6_12h	399	LT934125.1	49196	49196	+	49196	62.941905	62.941905	49196	49196	1	0	1	12h	C6	12
C6_12h	401	LT934125.1	49381	49433	+	49433	97.90963	34.967725	49381	49433	53	11.2220869006914	53	12h	C6	12
C6_12h	402	LT934125.1	49501	49503	+	49501	181.832169	160.851534	49501	49503	3	0.817756539379545	3	12h	C6	12
C6_12h	403	LT934125.1	49543	49543	+	49543	48.954815	48.954815	49543	49543	1	0	1	12h	C6	12
C6_12h	407	LT934125.1	50154	50154	+	50154	20.980635	20.980635	50154	50154	1	0	1	12h	C6	12
C6_12h	422	LT934125.1	51148	51148	+	51148	118.890264	118.890264	51148	51148	1	0	1	12h	C6	12
C6_12h	423	LT934125.1	51231	51238	+	51235	7280.280301	4259.068879	51235	51237	3	1.82153164601344	8	12h	C6	12
C6_12h	424	LT934125.1	51332	51332	+	51332	20.980635	20.980635	51332	51332	1	0	1	12h	C6	12
C6_12h	427	LT934125.1	51633	51633	+	51633	20.980635	20.980635	51633	51633	1	0	1	12h	C6	12
C6_12h	428	LT934125.1	51690	51690	+	51690	69.93545	69.93545	51690	51690	1	0	1	12h	C6	12
C6_12h	429	LT934125.1	51752	51752	+	51752	20.980635	20.980635	51752	51752	1	0	1	12h	C6	12
C6_12h	436	LT934125.1	52459	52460	+	52460	4238.088245	4210.114065	52460	52460	1	0	2	12h	C6	12
C6_12h	437	LT934125.1	52549	52549	+	52549	27.97418	27.97418	52549	52549	1	0	1	12h	C6	12
C6_12h	439	LT934125.1	52684	52684	+	52684	20.980635	20.980635	52684	52684	1	0	1	12h	C6	12
C6_12h	448	LT934125.1	53376	53417	+	53376	41.96127	20.980635	53376	53417	42	5.39231742277876	42	12h	C6	12
C6_12h	452	LT934125.1	53641	53652	+	53648	6916.615965	5734.706866	53648	53649	2	0.266532518624186	12	12h	C6	12
C6_12h	453	LT934125.1	53732	53732	+	53732	20.980635	20.980635	53732	53732	1	0	1	12h	C6	12
C6_12h	454	LT934125.1	53902	53902	+	53902	34.967725	34.967725	53902	53902	1	0	1	12h	C6	12
C6_12h	455	LT934125.1	54005	54005	+	54005	20.980635	20.980635	54005	54005	1	0	1	12h	C6	12
C6_12h	461	LT934125.1	54332	54375	+	54375	69.93545	27.97418	54332	54375	44	8.57649734668288	44	12h	C6	12
C6_12h	462	LT934125.1	54470	54475	+	54475	139.870899	90.916084	54470	54475	6	3.30590313362318	6	12h	C6	12
C6_12h	464	LT934125.1	54599	54599	+	54599	20.980635	20.980635	54599	54599	1	0	1	12h	C6	12
C6_12h	465	LT934125.1	54668	54728	+	54668	111.89672	27.97418	54668	54728	61	13.7075834702221	61	12h	C6	12
C6_12h	467	LT934125.1	54926	54926	+	54926	41.96127	41.96127	54926	54926	1	0	1	12h	C6	12
C6_12h	468	LT934125.1	55038	55046	+	55038	48.954815	27.97418	55038	55046	9	3.12309930053938	9	12h	C6	12
C6_12h	470	LT934125.1	55303	55324	+	55303	874.193119	489.548147	55303	55324	22	8.42304571317506	22	12h	C6	12
C6_12h	471	LT934125.1	55352	55355	+	55352	293.728889	244.774074	55352	55355	4	1.30004484593171	4	12h	C6	12
C6_12h	473	LT934125.1	55497	55497	+	55497	41.96127	41.96127	55497	55497	1	0	1	12h	C6	12
C6_12h	475	LT934125.1	55627	55627	+	55627	20.980635	20.980635	55627	55627	1	0	1	12h	C6	12
C6_12h	477	LT934125.1	55706	55715	+	55712	405.625608	286.735343	55712	55714	3	1.46329668928587	10	12h	C6	12
C6_12h	479	LT934125.1	55780	55782	+	55782	48.954815	27.97418	55780	55782	3	1.56154965026969	3	12h	C6	12
C6_12h	480	LT934125.1	55869	55875	+	55869	202.812805	48.954815	55869	55875	7	7.10121990198919	7	12h	C6	12
C6_12h	481	LT934125.1	55931	55931	+	55931	27.97418	27.97418	55931	55931	1	0	1	12h	C6	12
C6_12h	482	LT934125.1	55998	56008	+	56000	216.799895	76.928995	55998	56008	11	8.3145528241043	11	12h	C6	12
C6_12h	492	LT934125.1	57001	57001	+	57001	34.967725	34.967725	57001	57001	1	0	1	12h	C6	12
C6_12h	507	LT934125.1	58625	58625	+	58625	20.980635	20.980635	58625	58625	1	0	1	12h	C6	12
C6_12h	511	LT934125.1	58892	58898	+	58898	132.877355	48.954815	58892	58898	7	5.32504818850092	7	12h	C6	12
C6_12h	513	LT934125.1	59065	59074	+	59068	3552.72084	2342.837561	59068	59070	3	1.36112584310132	10	12h	C6	12
C6_12h	517	LT934125.1	59333	59333	+	59333	27.97418	27.97418	59333	59333	1	0	1	12h	C6	12
C6_12h	523	LT934125.1	59793	59793	+	59793	20.980635	20.980635	59793	59793	1	0	1	12h	C6	12
C6_12h	529	LT934125.1	60232	60239	+	60234	1580.541161	713.341586	60233	60239	7	5.83292265417026	8	12h	C6	12
C6_12h	545	LT934125.1	61076	61076	+	61076	83.922539	83.922539	61076	61076	1	0	1	12h	C6	12
C6_12h	550	LT934125.1	61687	61772	+	61687	97.90963	55.94836	61687	61772	86	6.33133684593775	86	12h	C6	12
C6_12h	551	LT934125.1	61822	61832	+	61822	62.941905	20.980635	61822	61832	11	5.48306938934921	11	12h	C6	12
C6_12h	553	LT934125.1	61939	61939	+	61939	34.967725	34.967725	61939	61939	1	0	1	12h	C6	12
C6_12h	554	LT934125.1	62038	62038	+	62038	34.967725	34.967725	62038	62038	1	0	1	12h	C6	12
C6_12h	555	LT934125.1	62152	62152	+	62152	27.97418	27.97418	62152	62152	1	0	1	12h	C6	12
C6_12h	576	LT934125.1	65805	65809	+	65807	412.619153	237.780529	65805	65807	3	1.52047993646976	5	12h	C6	12
C6_12h	577	LT934125.1	66209	66209	+	66209	27.97418	27.97418	66209	66209	1	0	1	12h	C6	12
C6_12h	579	LT934125.1	66335	66341	+	66338	4916.462105	3342.91449	66338	66341	4	2.12116902788904	7	12h	C6	12
C6_12h	580	LT934125.1	66401	66401	+	66401	20.980635	20.980635	66401	66401	1	0	1	12h	C6	12
C6_12h	583	LT934125.1	66578	66578	+	66578	27.97418	27.97418	66578	66578	1	0	1	12h	C6	12
C6_12h	602	LT934125.1	67961	67961	+	67961	27.97418	27.97418	67961	67961	1	0	1	12h	C6	12
C6_12h	605	LT934125.1	68098	68098	+	68098	20.980635	20.980635	68098	68098	1	0	1	12h	C6	12
C6_12h	611	LT934125.1	68367	68372	+	68372	48.954815	27.97418	68367	68372	6	2.54677778630394	6	12h	C6	12
C6_12h	612	LT934125.1	68492	68492	+	68492	27.97418	27.97418	68492	68492	1	0	1	12h	C6	12
C6_12h	613	LT934125.1	68600	68667	+	68667	97.90963	76.928995	68600	68667	68	4.56313327454457	68	12h	C6	12
C6_12h	616	LT934125.1	68873	68873	+	68873	55.94836	55.94836	68873	68873	1	0	1	12h	C6	12
C6_12h	617	LT934125.1	68927	68927	+	68927	20.980635	20.980635	68927	68927	1	0	1	12h	C6	12
C6_12h	618	LT934125.1	69077	69077	+	69077	20.980635	20.980635	69077	69077	1	0	1	12h	C6	12
C6_12h	619	LT934125.1	69159	69176	+	69159	188.825715	62.941905	69159	69176	18	10.2461022658299	18	12h	C6	12
C6_12h	620	LT934125.1	69237	69249	+	69244	1035.044654	447.586877	69237	69246	10	6.22905051684534	13	12h	C6	12
C6_12h	621	LT934125.1	69311	69311	+	69311	48.954815	48.954815	69311	69311	1	0	1	12h	C6	12
C6_12h	623	LT934125.1	69485	69485	+	69485	27.97418	27.97418	69485	69485	1	0	1	12h	C6	12
C6_12h	624	LT934125.1	69552	69555	+	69552	97.90963	62.941905	69552	69555	4	1.88057191734126	4	12h	C6	12
C6_12h	626	LT934125.1	69680	69680	+	69680	20.980635	20.980635	69680	69680	1	0	1	12h	C6	12
C6_12h	627	LT934125.1	69765	69768	+	69765	202.812804	174.838624	69765	69768	4	1.15758925286036	4	12h	C6	12
C6_12h	628	LT934125.1	69821	69821	+	69821	69.93545	69.93545	69821	69821	1	0	1	12h	C6	12
C6_12h	629	LT934125.1	69884	69947	+	69947	55.94836	34.967725	69884	69947	64	5.72660401754979	64	12h	C6	12
C6_12h	630	LT934125.1	70012	70012	+	70012	55.94836	55.94836	70012	70012	1	0	1	12h	C6	12
C6_12h	632	LT934125.1	70090	70090	+	70090	608.438411	608.438411	70090	70090	1	0	1	12h	C6	12
C6_12h	633	LT934125.1	70132	70144	+	70139	76.928995	27.97418	70132	70144	13	5.81939906756623	13	12h	C6	12
C6_12h	634	LT934125.1	70197	70197	+	70197	20.980635	20.980635	70197	70197	1	0	1	12h	C6	12
C6_12h	635	LT934125.1	70311	70311	+	70311	69.93545	69.93545	70311	70311	1	0	1	12h	C6	12
C6_12h	636	LT934125.1	70414	70414	+	70414	20.980635	20.980635	70414	70414	1	0	1	12h	C6	12
C6_12h	637	LT934125.1	70525	70531	+	70531	53906.244537	31596.83612	70529	70531	3	1.635178020858	7	12h	C6	12
C6_12h	639	LT934125.1	70624	70642	+	70642	132.877355	55.94836	70624	70642	19	6.61585808139761	19	12h	C6	12
C6_12h	640	LT934125.1	70708	70708	+	70708	20.980635	20.980635	70708	70708	1	0	1	12h	C6	12
C6_12h	641	LT934125.1	70767	70769	+	70767	48.954815	27.97418	70767	70769	3	1.56154965026969	3	12h	C6	12
C6_12h	642	LT934125.1	70873	70873	+	70873	41.96127	41.96127	70873	70873	1	0	1	12h	C6	12
C6_12h	643	LT934125.1	70915	70918	+	70918	76.928995	41.96127	70915	70918	4	1.98806042295391	4	12h	C6	12
C6_12h	644	LT934125.1	70969	71022	+	71022	69.93545	41.96127	70969	71022	54	5.58771144124536	54	12h	C6	12
C6_12h	645	LT934125.1	71065	71193	+	71185	531.509418	132.877354	71067	71191	125	20.7520198625712	129	12h	C6	12
C6_12h	646	LT934125.1	71275	71278	+	71278	55.94836	34.967725	71275	71278	4	1.90886800584993	4	12h	C6	12
C6_12h	647	LT934125.1	71328	71328	+	71328	76.928995	76.928995	71328	71328	1	0	1	12h	C6	12
C6_12h	648	LT934125.1	71390	71396	+	71396	76.928995	48.954815	71390	71396	7	2.6548041107151	7	12h	C6	12
C6_12h	650	LT934125.1	71767	71767	+	71767	20.980635	20.980635	71767	71767	1	0	1	12h	C6	12
C6_12h	662	LT934125.1	72758	72763	+	72759	1042.038199	657.393226	72758	72763	6	3.77993476463804	6	12h	C6	12
C6_12h	681	LT934125.1	74192	74192	+	74192	20.980635	20.980635	74192	74192	1	0	1	12h	C6	12
C6_12h	684	LT934125.1	74400	74408	+	74402	16001.230864	7245.312576	74400	74403	4	2.49180099795867	9	12h	C6	12
C6_12h	689	LT934125.1	74839	74839	+	74839	20.980635	20.980635	74839	74839	1	0	1	12h	C6	12
C6_12h	694	LT934125.1	75133	75139	+	75133	69.93545	41.96127	75133	75139	7	2.72580293041707	7	12h	C6	12
C6_12h	698	LT934125.1	75382	75382	+	75382	34.967725	34.967725	75382	75382	1	0	1	12h	C6	12
C6_12h	701	LT934125.1	75653	75653	+	75653	55.94836	55.94836	75653	75653	1	0	1	12h	C6	12
C6_12h	703	LT934125.1	76677	76687	+	76683	1454.657352	832.23185	76683	76685	3	1.6643144979291	11	12h	C6	12
C6_12h	704	LT934125.1	76749	76749	+	76749	34.967725	34.967725	76749	76749	1	0	1	12h	C6	12
C6_12h	707	LT934125.1	76990	76992	+	76990	223.793439	202.812804	76990	76990	1	0	3	12h	C6	12
C6_12h	720	LT934125.1	78035	78044	+	78044	2251.921476	804.25767	78035	78044	10	8.42934120885493	10	12h	C6	12
C6_12h	727	LT934125.1	78526	78526	+	78526	20.980635	20.980635	78526	78526	1	0	1	12h	C6	12
C6_12h	732	LT934125.1	78825	78825	+	78825	27.97418	27.97418	78825	78825	1	0	1	12h	C6	12
C6_12h	735	LT934125.1	78969	78969	+	78969	20.980635	20.980635	78969	78969	1	0	1	12h	C6	12
C6_12h	738	LT934125.1	79269	79269	+	79269	20.980635	20.980635	79269	79269	1	0	1	12h	C6	12
C6_12h	739	LT934125.1	79315	79315	+	79315	20.980635	20.980635	79315	79315	1	0	1	12h	C6	12
C6_12h	741	LT934125.1	79437	79444	+	79444	18812.635938	15609.592346	79440	79444	5	1.67237738336949	8	12h	C6	12
C6_12h	742	LT934125.1	79527	79527	+	79527	41.96127	41.96127	79527	79527	1	0	1	12h	C6	12
C6_12h	743	LT934125.1	79597	79712	+	79597	97.90963	27.97418	79597	79712	116	13.6146568279154	116	12h	C6	12
C6_12h	744	LT934125.1	79781	79786	+	79781	97.90963	48.954815	79781	79786	6	2.58496250072116	6	12h	C6	12
C6_12h	752	LT934125.1	81082	81082	+	81082	90.916084	90.916084	81082	81082	1	0	1	12h	C6	12
C6_12h	754	LT934125.1	81436	81436	+	81436	90.916084	90.916084	81436	81436	1	0	1	12h	C6	12
C6_12h	759	LT934125.1	81829	81829	+	81829	34.967725	34.967725	81829	81829	1	0	1	12h	C6	12
C6_12h	775	LT934125.1	83792	83792	+	83792	69.93545	69.93545	83792	83792	1	0	1	12h	C6	12
C6_12h	776	LT934125.1	83975	83978	+	83975	181.832169	132.877354	83975	83978	4	1.68071734748422	4	12h	C6	12
C6_12h	787	LT934125.1	84645	84645	+	84645	27.97418	27.97418	84645	84645	1	0	1	12h	C6	12
C6_12h	803	LT934125.1	85996	85996	+	85996	62.941905	62.941905	85996	85996	1	0	1	12h	C6	12
C6_12h	806	LT934125.1	86229	86229	+	86229	27.97418	27.97418	86229	86229	1	0	1	12h	C6	12
C6_12h	807	LT934125.1	86269	86282	+	86278	104.903175	41.96127	86269	86282	14	5.96078051360685	14	12h	C6	12
C6_12h	811	LT934125.1	87216	87216	+	87216	27.97418	27.97418	87216	87216	1	0	1	12h	C6	12
C6_12h	819	LT934125.1	88883	88888	+	88883	48.954815	27.97418	88883	88888	6	2.54677778630394	6	12h	C6	12
C6_12h	822	LT934125.1	89133	89133	+	89133	20.980635	20.980635	89133	89133	1	0	1	12h	C6	12
C6_12h	829	LT934125.1	89666	89666	+	89666	20.980635	20.980635	89666	89666	1	0	1	12h	C6	12
C6_12h	834	LT934125.1	89876	89889	+	89883	97.90963	55.94836	89876	89889	14	5.38283673110433	14	12h	C6	12
C6_12h	837	LT934125.1	90007	90007	+	90007	20.980635	20.980635	90007	90007	1	0	1	12h	C6	12
C6_12h	843	LT934125.1	90381	90381	+	90381	76.928995	76.928995	90381	90381	1	0	1	12h	C6	12
C6_12h	848	LT934125.1	90699	90699	+	90699	27.97418	27.97418	90699	90699	1	0	1	12h	C6	12
C6_12h	860	LT934125.1	91356	91360	+	91360	139.8709	69.93545	91356	91360	5	3.34507514423351	5	12h	C6	12
C6_12h	861	LT934125.1	91409	91415	+	91409	1888.257139	972.102749	91409	91412	4	2.49546304674613	7	12h	C6	12
C6_12h	863	LT934125.1	91545	91548	+	91548	174.838624	139.870899	91545	91548	4	1.44385619435037	4	12h	C6	12
C6_12h	873	LT934125.1	92197	92197	+	92197	20.980635	20.980635	92197	92197	1	0	1	12h	C6	12
C6_12h	874	LT934125.1	92243	92247	+	92243	55.94836	34.967725	92243	92247	5	2.21612712610728	5	12h	C6	12
C6_12h	875	LT934125.1	92284	92288	+	92288	111.896719	90.916084	92284	92288	5	1.61655481502039	5	12h	C6	12
C6_12h	877	LT934125.1	92453	92456	+	92453	188.825714	146.864444	92453	92456	4	1.52840901727126	4	12h	C6	12
C6_12h	892	LT934125.1	95029	95029	+	95029	27.97418	27.97418	95029	95029	1	0	1	12h	C6	12
C6_12h	893	LT934125.1	95750	95750	+	95750	90.916084	90.916084	95750	95750	1	0	1	12h	C6	12
C6_12h	898	LT934125.1	96197	96197	+	96197	27.97418	27.97418	96197	96197	1	0	1	12h	C6	12
