seqnames	strand	TSS	TES	NOV_TX_ID	AllRefCat	max_count	prevalence	C6_dcDNA_12h	C6_dcDNA_1h	C6_dcDNA_2h	C6_dcDNA_4h	C6_dcDNA_6h	C6_dcDNA_8h	NRK_dcDNA_1h	NRK_dcDNA_2h	PC-12_dcDNA_0.5h	PC-12_dcDNA_1.5h	PC-12_dcDNA_12h	PC-12_dcDNA_1h	PC-12_dcDNA_2.5h	PC-12_dcDNA_2h	PC-12_dcDNA_4h	PC-12_dcDNA_6h	PC-12_dcDNA_8h	PK-15_dcDNA_12h	PK-15_dcDNA_1h	PK-15_dcDNA_2h	PK-15_dcDNA_4h	PK-15_dcDNA_6h	PK-15_dcDNA_8h
LT934125.1	+	9998	10426	NOV_TX_2485	UL49.1-S2::5`-long;UL49.1-S::5`-short;UL49.1-S2::5`-long;UL49.1-S::5`-short	199	2	125	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	10089	10426	NOV_TX_2518	UL49.1-S2::5`-short;UL49.1-S3::5`-long;UL49.1-S2::5`-short;UL49.1-S3::5`-long;UL49.1-S2::5`-short	103	3	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	4	0	0
LT934125.1	+	10164	10426	NOV_TX_2524	UL49.1-S5::5`-short;UL49.1-S5::5`-short	35	2	23	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	10205	10426	NOV_TX_119	UL49.1-S5::5`-short;UL49.1-S6::5`-long;UL49.1-S5::5`-short;UL49.1-S6::5`-long;UL49.1-S5::5`-short;UL49.1-S6::5`-long;UL49.1-S5::5`-short;UL49.1-S6::5`-long	237	4	227	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	92	174
LT934125.1	+	10337	10426	NOV_TX_122	UL49.1-S6::5`-short;UL49.1-S6::5`-short	478	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0
LT934125.1	+	10338	10426	NOV_TX_2534	UL49.1-S6::5`-short;UL49.1-S6::5`-short	82	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	82	0
LT934125.1	+	11792	11912	NOV_TX_2823	nc-UL47::3`-short;nc-UL47::3`-short;nc-UL47::3`-short;nc-UL47::3`-short	57	4	0	0	0	0	0	11	0	0	0	0	57	0	0	0	0	0	0	0	0	0	5	44	0
LT934125.1	+	11793	11912	NOV_TX_2821	nc-UL47::3`-short;nc-UL47::3`-short;nc-UL47::3`-short;nc-UL47::3`-short	238	4	120	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	238	0	0	0	0	52
LT934125.1	+	11977	12084	NOV_TX_2969	nc-UL47::5`-short;nc-UL47::5`-short	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
LT934125.1	+	11977	16224	NOV_TX_2970	UL47-46::5`-short;UL47-46::5`-short	10	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
LT934125.1	+	11990	16224	NOV_TX_2971	UL47-46::5`-short;UL47-46::5`-short	6	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LT934125.1	+	12068	16224	NOV_TX_3031	UL47-46::5`-short;UL47-46::5`-short	33	2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
LT934125.1	+	12211	16224	NOV_TX_1254	UL46-L9::5`-long;UL46-L9::5`-long	55	2	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0
LT934125.1	+	13263	16224	NOV_TX_316	UL46-L7::5`-short;UL46-L7::5`-short	18	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0
LT934125.1	+	13458	16224	NOV_TX_35	UL46-L6::5`-long;UL46-L6::5`-long	11	2	11	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	13515	16224	NOV_TX_460	UL46-L6::5`-long;UL46-L6::5`-long	5	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0
LT934125.1	+	13580	16224	NOV_TX_818	UL46-L5::5`-short;UL46-L5::5`-short	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	10
LT934125.1	+	13902	16224	NOV_TX_939	UL46-L::5`-long;UL46-L::5`-long	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	2	0	0
LT934125.1	+	13906	16224	NOV_TX_461	UL46-L::5`-long;UL46-L::5`-long	17	2	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	2	0	0	0	0	0	0	0
LT934125.1	+	14048	14176	NOV_TX_1378	UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short;UL47.3::5`-short	126	14	126	0	0	0	1	31	0	0	0	1	49	0	1	1	1	1	10	44	0	0	18	48	34
LT934125.1	+	14136	16224	NOV_TX_38	UL46::5`-short;UL46::5`-short;UL46::5`-short	64	3	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	41	0
LT934125.1	+	14138	16224	NOV_TX_1400	UL46::5`-short;UL46::5`-short;UL46::5`-short	241	3	170	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0
LT934125.1	+	14245	16224	NOV_TX_330	UL46.10::5`-long;UL46.10::5`-long	11	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
LT934125.1	+	14279	16224	NOV_TX_683	UL46.10::5`-long;UL46.10::5`-long;UL46.10::5`-long	14	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0
LT934125.1	+	14370	16224	NOV_TX_206	UL46.10::5`-short;UL46.10-S::5`-long;UL46.10::5`-short;UL46.10-S::5`-long;UL46.10::5`-short;UL46.10-S::5`-long;UL46.10::5`-short	29	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1	0	5	0
LT934125.1	+	14457	16224	NOV_TX_40	UL46.10-S::5`-short;UL46.10-S::5`-short;UL46.10-S::5`-short	38	3	38	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
LT934125.1	+	14541	16224	NOV_TX_1415	UL46.9::5`-long;UL46.9::5`-long;UL46.9::5`-long	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	17
LT934125.1	+	14606	16224	NOV_TX_1416	UL46.9::5`-short;UL46.9::5`-short	63	2	63	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	14670	16224	NOV_TX_1420	UL46.6::5`-long;UL46.6::5`-long;UL46.6::5`-long	59	3	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0
LT934125.1	+	14822	16224	NOV_TX_1426	UL46.5::5`-short;UL46.5::5`-short;UL46.5::5`-short	34	3	34	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	1	0	0
LT934125.1	+	14853	16224	NOV_TX_41	UL46.5::5`-short;UL46.5::5`-short;UL46.5::5`-short	194	3	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	132
LT934125.1	+	14859	16224	NOV_TX_942	UL46.5::5`-short;UL46.5::5`-short	135	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	135	0
LT934125.1	+	14861	16224	NOV_TX_1430	UL46.5::5`-short;UL46.5::5`-short	898	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	898	0	0	0	0	0
LT934125.1	+	14910	16224	NOV_TX_335	UL46.5-S2::5`-long;UL46.5-S2::5`-long;UL46.5-S2::5`-long;UL46.5-S2::5`-long	71	4	0	0	0	0	0	11	0	0	0	0	71	0	0	0	0	0	20	0	0	0	0	0	49
LT934125.1	+	15170	16224	NOV_TX_42	UL46.2::5`-long;UL46.2::5`-long;UL46.2::5`-long;UL46.2::5`-long	150	4	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	51	119
LT934125.1	+	15172	16224	NOV_TX_1443	UL46.2::5`-long;UL46.2::5`-long	294	2	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	15	0	0
LT934125.1	+	15187	16224	NOV_TX_1442	UL46.2::5`-long;UL46.2::5`-long	192	2	192	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
LT934125.1	+	15287	16224	NOV_TX_44	UL46.2::5`-short;UL46.2::5`-short;UL46.2::5`-short;UL46.2::5`-short;UL46.2::5`-short	121	5	101	0	0	0	2	0	0	0	0	0	121	0	0	0	4	0	0	101	0	0	0	0	0
LT934125.1	+	15344	16224	NOV_TX_1452	UL46.2::5`-short;UL46.2::5`-short	332	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0
LT934125.1	+	15414	16224	NOV_TX_824	UL46.2::5`-short;UL46.2::5`-short	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	0	0	0
LT934125.1	+	15434	16224	NOV_TX_1461	UL46.1::5`-long;UL46.1::5`-long;UL46.1::5`-long	231	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	27	68
LT934125.1	+	15527	16224	NOV_TX_1465	UL46.1::5`-long;UL46.1::5`-long;UL46.1::5`-long;UL46.1::5`-long;UL46.1::5`-long	293	5	0	0	0	0	0	0	0	0	0	0	162	0	0	0	11	0	0	293	0	0	0	49	100
LT934125.1	+	15599	16224	NOV_TX_1468	UL46.1::5`-short;UL46.1::5`-short	19	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
LT934125.1	+	15648	16224	NOV_TX_1471	UL46.1-S2::5`-short;UL46.1-S2::5`-short	80	2	0	0	0	0	0	0	0	0	0	0	80	0	0	0	4	0	0	0	0	0	0	0	0
LT934125.1	+	15696	16224	NOV_TX_1475	UL46.1-S3::5`-long;UL46.1-S2::5`-short;UL46.1-S3::5`-long;UL46.1-S2::5`-short	608	2	0	0	0	0	0	0	0	0	0	0	608	0	0	0	12	0	0	0	0	0	0	0	0
LT934125.1	+	15697	16224	NOV_TX_1474	UL46.1-S3::5`-long;UL46.1-S2::5`-short;UL46.1-S3::5`-long;UL46.1-S2::5`-short	992	2	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992	0	0	0	0	0
LT934125.1	+	15769	16224	NOV_TX_1478	UL46.1-S3::5`-short;UL46.1-S4::5`-long;UL46.1-S3::5`-short;UL46.1-S4::5`-long;UL46.1-S3::5`-short;UL46.1-S4::5`-long	237	3	237	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	13	0	0
LT934125.1	+	15836	16224	NOV_TX_825	UL46.1-S4::5`-short;UL46.1-S4::5`-short;UL46.1-S4::5`-short;UL46.1-S4::5`-short;nc-UL46::5`-long;nc-UL46::5`-long;nc-UL46::5`-long;nc-UL46::5`-long;nc-UL46::5`-long	811	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	89	811	0	0	21	0	280
LT934125.1	+	15856	16224	NOV_TX_1482	nc-UL46::5`-long;nc-UL46::5`-long	438	2	438	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	15926	16224	NOV_TX_826	nc-UL46::5`-short;nc-UL46::5`-short	68	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	17	0	0
LT934125.1	+	15973	16224	NOV_TX_1488	nc-UL46-S::5`-long;nc-UL46-S::5`-long	688	2	0	0	0	0	0	0	0	0	0	0	688	0	0	0	0	0	0	0	0	0	0	0	465
LT934125.1	+	16052	16224	NOV_TX_338	nc-UL46-S::5`-short;nc-UL46-S::5`-short;nc-UL46-S::5`-short;nc-UL46-S::5`-short	1356	4	0	0	0	0	0	112	0	0	0	0	0	0	2	0	0	0	0	1356	0	0	0	198	0
LT934125.1	+	16069	16224	NOV_TX_466	nc-UL46-S::5`-short;nc-UL46-S::5`-short	2189	2	0	0	0	0	0	0	0	0	0	0	2189	0	0	3	0	0	0	0	0	0	0	0	0
LT934125.1	+	27548	28632	NOV_TX_48	UL31.3-S::x;UL31.3-S::x	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
LT934125.1	+	27846	28632	NOV_TX_1521	UL31.3-S::x;UL31.3-S::x	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	6
LT934125.1	+	28505	28632	NOV_TX_697	UL31.3-S::x;UL31.3-S::x	11	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
LT934125.1	+	28511	28632	NOV_TX_829	UL31.3-S::x;UL31.3-S::x	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	12	0	0
LT934125.1	+	30240	32415	NOV_TX_1532	UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long;UL33-34-35::5`-long	81	11	81	1	0	0	15	24	0	0	0	0	19	0	0	0	3	6	18	57	0	0	0	24	39
LT934125.1	+	30684	32415	NOV_TX_50	UL34L2-35::5`-long;UL34L2-35::5`-long	19	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
LT934125.1	+	31098	31198	NOV_TX_1546	UL33::5`-short;UL33::5`-short;UL33::5`-short;UL33::5`-short;UL33::5`-short;UL33::5`-short;UL33::5`-short;UL33::5`-short;UL33::5`-short;UL33::5`-short	84	10	84	0	0	0	0	7	0	0	0	0	23	0	0	1	0	7	5	55	0	0	10	17	33
LT934125.1	+	31149	32415	NOV_TX_1549	UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short;UL34-35::5`-short	173	11	173	0	0	0	7	33	0	0	0	0	78	0	0	0	11	32	36	94	0	0	13	49	146
LT934125.1	+	31211	32415	NOV_TX_345	UL34-35::5`-short;UL34-35::5`-short	42	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
LT934125.1	+	31268	32415	NOV_TX_51	UL35-L6::5`-long;UL35-L6::5`-long	28	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
LT934125.1	+	31270	32415	NOV_TX_1559	UL35-L6::5`-long;UL35-L6::5`-long	58	2	0	0	0	0	0	0	0	0	0	0	58	0	0	0	1	0	0	0	0	0	0	0	0
LT934125.1	+	31271	32415	NOV_TX_1556	UL35-L6::5`-long;UL35-L6::5`-long;UL35-L6::5`-long	69	3	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	10	0	0
LT934125.1	+	31357	32415	NOV_TX_1564	UL35-L6::5`-short;UL35-L6::5`-short;UL35-L6::5`-short	425	3	0	0	0	0	0	102	0	0	0	0	391	0	0	0	0	0	0	425	0	0	0	0	0
LT934125.1	+	31378	32415	NOV_TX_1562	UL35-L5::5`-long;UL35-L6::5`-short;UL35-L6::5`-short	48	2	48	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LT934125.1	+	31381	32415	NOV_TX_1563	UL35-L5::5`-long;UL35-L6::5`-short;UL35-L5::5`-long;UL35-L6::5`-short	6	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
LT934125.1	+	31456	32415	NOV_TX_1567	UL35-L4::5`-long;UL35-L4::5`-long	63	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0
LT934125.1	+	31457	32415	NOV_TX_1566	UL35-L4::5`-long;UL35-L4::5`-long;UL35-L4::5`-long	80	3	80	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	3	0	0
LT934125.1	+	31507	32415	NOV_TX_52	UL35-L4::5`-short;UL35-L4::5`-short;UL35-L4::5`-short;UL35-L4::5`-short;UL35-L4::5`-short	109	5	109	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	14	0	49
LT934125.1	+	31562	32415	NOV_TX_1570	UL35-L4::5`-short;UL35-L4::5`-short	39	2	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	12	0
LT934125.1	+	31605	32415	NOV_TX_1573	UL35-L3::5`-long;UL35-L3::5`-long;UL35-L3::5`-long	67	3	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	11	0	0
LT934125.1	+	31675	32415	NOV_TX_347	UL35-L3::5`-long;UL35-L3::5`-long	11	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
LT934125.1	+	31726	32415	NOV_TX_348	UL35-L3::5`-short;UL35-L3::5`-short;UL35-L3::5`-short	9	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0
LT934125.1	+	31769	32415	NOV_TX_1579	UL35-L3::5`-short;UL35-L2::5`-long;UL35-L2::5`-long;UL35-L3::5`-short	59	2	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
