group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	cluster_width
C6_12h	62	LT934125.1	46782	46782	+	46782	27.97418	27.97418	46782	46782	1	1
C6_12h	63	LT934125.1	47315	47319	+	47315	398.632063	188.825714	47315	47317	3	5
C6_12h	64	LT934125.1	47570	47570	+	47570	34.967725	34.967725	47570	47570	1	1
C6_12h	65	LT934125.1	47699	47699	+	47699	27.97418	27.97418	47699	47699	1	1
C6_12h	66	LT934125.1	48069	48069	+	48069	34.967725	34.967725	48069	48069	1	1
C6_12h	67	LT934125.1	48362	48388	+	48362	90.916085	34.967725	48362	48388	27	27
C6_12h	68	LT934125.1	48494	48571	+	48567	19281.203451	13938.135101	48567	48570	4	78
C6_12h	69	LT934125.1	48757	48815	+	48794	153.85799	41.96127	48757	48815	59	59
C6_12h	70	LT934125.1	48856	48933	+	48931	377.65143	62.941905	48865	48931	67	78
C6_12h	71	LT934125.1	49175	49196	+	49196	83.92254	62.941905	49175	49196	22	22
C6_12h	72	LT934125.1	49501	49503	+	49501	181.832169	160.851534	49501	49503	3	3
C6_12h	73	LT934125.1	50154	50154	+	50154	20.980635	20.980635	50154	50154	1	1
C6_12h	74	LT934125.1	51231	51239	+	51235	7483.093105	4259.068879	51235	51238	4	9
C6_12h	75	LT934125.1	51690	51690	+	51690	69.93545	69.93545	51690	51690	1	1
C6_12h	76	LT934125.1	52440	52484	+	52460	6545.958082	4210.114065	52444	52460	17	45
C6_12h	77	LT934125.1	52684	52703	+	52684	41.96127	20.980635	52684	52703	20	20
C6_12h	78	LT934125.1	53376	53376	+	53376	20.980635	20.980635	53376	53376	1	1
C6_12h	79	LT934125.1	53641	53652	+	53648	6916.615965	5734.706866	53648	53649	2	12
C6_12h	80	LT934125.1	53902	53931	+	53902	55.94836	34.967725	53902	53931	30	30
C6_12h	81	LT934125.1	54332	54375	+	54375	69.93545	27.97418	54332	54375	44	44
C6_12h	82	LT934125.1	54470	54520	+	54475	181.832169	90.916084	54470	54520	51	51
C6_12h	83	LT934125.1	54668	54679	+	54668	69.93545	27.97418	54668	54679	12	12
C6_12h	84	LT934125.1	54926	54938	+	54926	83.92254	41.96127	54926	54938	13	13
C6_12h	85	LT934125.1	55038	55046	+	55038	48.954815	27.97418	55038	55046	9	9
C6_12h	86	LT934125.1	55303	55355	+	55303	1167.922008	489.548147	55303	55352	50	53
C6_12h	87	LT934125.1	55474	55514	+	55497	111.89672	41.96127	55474	55514	41	41
C6_12h	88	LT934125.1	55706	55742	+	55712	587.457777	286.735343	55712	55738	27	37
C6_12h	89	LT934125.1	55869	55875	+	55869	202.812805	48.954815	55869	55875	7	7
C6_12h	90	LT934125.1	55998	56035	+	56000	321.70307	76.928995	56000	56027	28	38
C6_12h	91	LT934125.1	57001	57001	+	57001	34.967725	34.967725	57001	57001	1	1
C6_12h	92	LT934125.1	58625	58625	+	58625	20.980635	20.980635	58625	58625	1	1
C6_12h	93	LT934125.1	58892	58898	+	58898	132.877355	48.954815	58892	58898	7	7
C6_12h	94	LT934125.1	59038	59074	+	59068	5622.810149	2342.837561	59044	59070	27	37
C6_12h	95	LT934125.1	59333	59333	+	59333	27.97418	27.97418	59333	59333	1	1
C6_12h	96	LT934125.1	59793	59793	+	59793	20.980635	20.980635	59793	59793	1	1
C6_12h	97	LT934125.1	60232	60262	+	60234	1727.405605	713.341586	60234	60239	6	31
C6_12h	98	LT934125.1	61076	61076	+	61076	83.922539	83.922539	61076	61076	1	1
C6_12h	99	LT934125.1	61687	61687	+	61687	55.94836	55.94836	61687	61687	1	1
C6_12h	100	LT934125.1	61928	61973	+	61939	97.90963	34.967725	61928	61973	46	46
C6_12h	101	LT934125.1	62152	62152	+	62152	27.97418	27.97418	62152	62152	1	1
C6_12h	102	LT934125.1	65805	65809	+	65807	412.619153	237.780529	65805	65807	3	5
C6_12h	103	LT934125.1	66209	66209	+	66209	27.97418	27.97418	66209	66209	1	1
C6_12h	104	LT934125.1	66335	66345	+	66338	5063.326549	3342.91449	66338	66341	4	11
C6_12h	105	LT934125.1	66578	66578	+	66578	27.97418	27.97418	66578	66578	1	1
C6_12h	106	LT934125.1	67961	67961	+	67961	27.97418	27.97418	67961	67961	1	1
C6_12h	107	LT934125.1	68098	68098	+	68098	20.980635	20.980635	68098	68098	1	1
C6_12h	108	LT934125.1	68367	68372	+	68372	48.954815	27.97418	68367	68372	6	6
C6_12h	109	LT934125.1	68492	68492	+	68492	27.97418	27.97418	68492	68492	1	1
C6_12h	110	LT934125.1	68667	68692	+	68667	97.90963	76.928995	68667	68692	26	26
C6_12h	111	LT934125.1	68873	68873	+	68873	55.94836	55.94836	68873	68873	1	1
C6_12h	112	LT934125.1	69237	69249	+	69244	1035.044654	447.586877	69237	69246	10	13
C6_12h	113	LT934125.1	69552	69567	+	69552	125.88381	62.941905	69552	69567	16	16
C6_12h	114	LT934125.1	69755	69821	+	69765	377.651429	174.838624	69765	69821	57	67
C6_12h	115	LT934125.1	70090	70091	+	70090	629.419046	608.438411	70090	70090	1	2
C6_12h	116	LT934125.1	70311	70324	+	70311	90.916085	69.93545	70311	70324	14	14
C6_12h	117	LT934125.1	70525	70534	+	70531	55353.908343	31596.83612	70529	70531	3	10
C6_12h	118	LT934125.1	70767	70828	+	70767	181.83217	27.97418	70767	70828	62	62
C6_12h	119	LT934125.1	70873	70873	+	70873	41.96127	41.96127	70873	70873	1	1
C6_12h	120	LT934125.1	71022	71067	+	71022	125.88381	41.96127	71022	71067	46	46
C6_12h	121	LT934125.1	71179	71278	+	71185	573.470688	132.877354	71185	71254	70	100
C6_12h	122	LT934125.1	71314	71350	+	71328	160.851535	76.928995	71314	71350	37	37
C6_12h	123	LT934125.1	71767	71767	+	71767	20.980635	20.980635	71767	71767	1	1
C6_12h	124	LT934125.1	72758	72763	+	72759	1042.038199	657.393226	72758	72763	6	6
C6_12h	125	LT934125.1	74192	74192	+	74192	20.980635	20.980635	74192	74192	1	1
C6_12h	126	LT934125.1	74386	74408	+	74402	16029.205044	7245.312576	74400	74403	4	23
C6_12h	127	LT934125.1	74839	74839	+	74839	20.980635	20.980635	74839	74839	1	1
C6_12h	128	LT934125.1	75133	75139	+	75133	69.93545	41.96127	75133	75139	7	7
C6_12h	129	LT934125.1	75371	75382	+	75382	55.94836	34.967725	75371	75382	12	12
C6_12h	130	LT934125.1	75653	75653	+	75653	55.94836	55.94836	75653	75653	1	1
C6_12h	131	LT934125.1	76677	76687	+	76683	1454.657352	832.23185	76683	76685	3	11
C6_12h	132	LT934125.1	76990	76992	+	76990	223.793439	202.812804	76990	76990	1	3
C6_12h	133	LT934125.1	78035	78083	+	78044	2391.792375	804.25767	78035	78044	10	49
C6_12h	134	LT934125.1	78526	78526	+	78526	20.980635	20.980635	78526	78526	1	1
C6_12h	135	LT934125.1	78825	78825	+	78825	27.97418	27.97418	78825	78825	1	1
C6_12h	136	LT934125.1	78969	78969	+	78969	20.980635	20.980635	78969	78969	1	1
C6_12h	137	LT934125.1	79269	79269	+	79269	20.980635	20.980635	79269	79269	1	1
C6_12h	138	LT934125.1	79437	79454	+	79444	20854.751065	15609.592346	79440	79444	5	18
C6_12h	139	LT934125.1	79781	79786	+	79781	97.90963	48.954815	79781	79786	6	6
C6_12h	140	LT934125.1	81082	81082	+	81082	90.916084	90.916084	81082	81082	1	1
C6_12h	141	LT934125.1	81436	81455	+	81436	118.890264	90.916084	81436	81455	20	20
C6_12h	142	LT934125.1	81829	81829	+	81829	34.967725	34.967725	81829	81829	1	1
C6_12h	143	LT934125.1	83792	83792	+	83792	69.93545	69.93545	83792	83792	1	1
C6_12h	144	LT934125.1	83975	83978	+	83975	181.832169	132.877354	83975	83978	4	4
C6_12h	145	LT934125.1	84635	84645	+	84645	48.954815	27.97418	84635	84645	11	11
C6_12h	146	LT934125.1	85996	85996	+	85996	62.941905	62.941905	85996	85996	1	1
C6_12h	147	LT934125.1	86229	86282	+	86278	188.825715	41.96127	86229	86282	54	54
C6_12h	148	LT934125.1	87216	87216	+	87216	27.97418	27.97418	87216	87216	1	1
C6_12h	149	LT934125.1	88883	88888	+	88883	48.954815	27.97418	88883	88888	6	6
C6_12h	150	LT934125.1	89133	89133	+	89133	20.980635	20.980635	89133	89133	1	1
C6_12h	151	LT934125.1	89666	89666	+	89666	20.980635	20.980635	89666	89666	1	1
C6_12h	152	LT934125.1	89876	89889	+	89883	97.90963	55.94836	89876	89889	14	14
C6_12h	153	LT934125.1	90007	90007	+	90007	20.980635	20.980635	90007	90007	1	1
C6_12h	154	LT934125.1	90381	90381	+	90381	76.928995	76.928995	90381	90381	1	1
C6_12h	155	LT934125.1	90699	90732	+	90699	83.92254	27.97418	90699	90732	34	34
C6_12h	156	LT934125.1	91409	91415	+	91409	1888.257139	972.102749	91409	91412	4	7
C6_12h	157	LT934125.1	91545	91548	+	91548	174.838624	139.870899	91545	91548	4	4
C6_12h	158	LT934125.1	92284	92288	+	92288	111.896719	90.916084	92284	92288	5	5
C6_12h	159	LT934125.1	92421	92456	+	92453	258.761164	146.864444	92421	92456	36	36
C6_12h	160	LT934125.1	95029	95029	+	95029	27.97418	27.97418	95029	95029	1	1
C6_12h	161	LT934125.1	95750	95750	+	95750	90.916084	90.916084	95750	95750	1	1
C6_12h	162	LT934125.1	96197	96197	+	96197	27.97418	27.97418	96197	96197	1	1
C6_12h	163	LT934125.1	96526	96526	+	96526	20.980635	20.980635	96526	96526	1	1
C6_12h	164	LT934125.1	96885	96885	+	96885	62.941905	62.941905	96885	96885	1	1
C6_12h	165	LT934125.1	98464	98464	+	98464	41.96127	41.96127	98464	98464	1	1
C6_12h	166	LT934125.1	99576	99576	+	99576	265.754708	265.754708	99576	99576	1	1
C6_12h	167	LT934125.1	101293	101293	+	101293	20.980635	20.980635	101293	101293	1	1
C6_12h	168	LT934125.1	102062	102062	+	102062	20.980635	20.980635	102062	102062	1	1
C6_12h	169	LT934125.1	103994	103994	+	103994	20.980635	20.980635	103994	103994	1	1
C6_12h	170	LT934125.1	105149	105149	+	105149	20.980635	20.980635	105149	105149	1	1
C6_12h	171	LT934125.1	105814	105814	+	105814	20.980635	20.980635	105814	105814	1	1
C6_12h	172	LT934125.1	105915	105915	+	105915	20.980635	20.980635	105915	105915	1	1
C6_12h	173	LT934125.1	106416	106416	+	106416	20.980635	20.980635	106416	106416	1	1
C6_12h	174	LT934125.1	106596	106601	+	106601	83.92254	48.954815	106596	106601	6	6
C6_12h	175	LT934125.1	107029	107035	+	107031	83.92254	34.967725	107029	107035	7	7
C6_12h	176	LT934125.1	107473	107505	+	107482	776.283492	349.677248	107482	107485	4	33
C6_12h	177	LT934125.1	107670	107670	+	107670	27.97418	27.97418	107670	107670	1	1
C6_12h	178	LT934125.1	107825	107825	+	107825	20.980635	20.980635	107825	107825	1	1
C6_12h	179	LT934125.1	108051	108051	+	108051	20.980635	20.980635	108051	108051	1	1
C6_12h	180	LT934125.1	108155	108155	+	108155	20.980635	20.980635	108155	108155	1	1
C6_12h	181	LT934125.1	108310	108310	+	108310	20.980635	20.980635	108310	108310	1	1
C6_12h	182	LT934125.1	108623	108623	+	108623	20.980635	20.980635	108623	108623	1	1
C6_12h	183	LT934125.1	112884	112886	+	112884	118.890264	83.922539	112884	112886	3	3
C6_12h	184	LT934125.1	114979	114988	+	114985	60277.363994	51143.794278	114985	114986	2	10
C6_12h	185	LT934125.1	115544	115544	+	115544	27.97418	27.97418	115544	115544	1	1
C6_12h	186	LT934125.1	115815	115841	+	115815	111.89672	69.93545	115815	115841	27	27
C6_12h	187	LT934125.1	116072	116072	+	116072	62.941905	62.941905	116072	116072	1	1
C6_12h	188	LT934125.1	116258	116321	+	116283	314.709524	139.870899	116261	116301	41	64
C6_12h	189	LT934125.1	116367	116835	+	116791	2524.669739	398.632063	116409	116791	383	469
C6_12h	190	LT934125.1	117441	117441	+	117441	20.980635	20.980635	117441	117441	1	1
C6_12h	191	LT934125.1	117603	117608	+	117607	468.567513	405.625608	117607	117607	1	6
C6_12h	192	LT934125.1	117769	117796	+	117769	433.599788	328.696613	117769	117779	11	28
C6_12h	193	LT934125.1	118209	118209	+	118209	83.922539	83.922539	118209	118209	1	1
C6_12h	194	LT934125.1	118529	118529	+	118529	34.967725	34.967725	118529	118529	1	1
C6_12h	195	LT934125.1	118857	118868	+	118864	73481.176875	43234.09493	118860	118866	7	12
C6_12h	196	LT934125.1	119210	119271	+	119248	314.709525	62.941905	119210	119271	62	62
C6_12h	197	LT934125.1	119550	119602	+	119567	244.774074	160.851534	119550	119592	43	53
C6_12h	198	LT934125.1	119794	119823	+	119808	307.715979	90.916084	119800	119823	24	30
C6_12h	199	LT934125.1	119938	119964	+	119941	391.638519	237.780529	119938	119956	19	27
C6_12h	200	LT934125.1	120075	120177	+	120090	356.670795	76.928995	120081	120164	84	103
C6_12h	201	LT934125.1	120246	120273	+	120246	202.812804	132.877354	120246	120273	28	28
C6_12h	202	LT934125.1	120555	120559	+	120555	2321.856926	1622.50243	120555	120557	3	5
C6_12h	203	LT934125.1	120933	120945	+	120937	321.703068	125.883809	120933	120937	5	13
C6_12h	204	LT934125.1	121092	121092	+	121092	20.980635	20.980635	121092	121092	1	1
C6_12h	205	LT934125.1	121271	121274	+	121271	90.916085	48.954815	121271	121274	4	4
C6_12h	206	LT934125.1	121784	121787	+	121784	9133.569715	5930.526124	121784	121786	3	4
C6_12h	207	LT934125.1	121902	121902	+	121902	34.967725	34.967725	121902	121902	1	1
C6_12h	208	LT934125.1	122119	122119	+	122119	55.94836	55.94836	122119	122119	1	1
C6_12h	209	LT934125.1	122405	122405	+	122405	20.980635	20.980635	122405	122405	1	1
C6_12h	210	LT934125.1	122614	122614	+	122614	34.967725	34.967725	122614	122614	1	1
C6_12h	211	LT934125.1	122960	122988	+	122979	7014.525593	3958.346446	122979	122981	3	29
C6_12h	212	LT934125.1	123473	123473	+	123473	27.97418	27.97418	123473	123473	1	1
C6_12h	213	LT934125.1	123824	123824	+	123824	76.928995	76.928995	123824	123824	1	1
C6_12h	214	LT934125.1	124008	124008	+	124008	20.980635	20.980635	124008	124008	1	1
C6_12h	215	LT934125.1	124162	124162	+	124162	27.97418	27.97418	124162	124162	1	1
C6_12h	216	LT934125.1	124385	124385	+	124385	97.909629	97.909629	124385	124385	1	1
C6_12h	217	LT934125.1	124538	124575	+	124563	314.709524	125.883809	124539	124569	31	38
C6_12h	218	LT934125.1	124736	124757	+	124756	7930.679982	7567.015645	124756	124756	1	22
C6_12h	219	LT934125.1	125098	125104	+	125104	69.93545	41.96127	125098	125104	7	7
C6_12h	220	LT934125.1	125177	125229	+	125225	34282.357385	16959.346523	125223	125225	3	53
C6_12h	221	LT934125.1	125446	125493	+	125473	146.864445	41.96127	125446	125493	48	48
C6_12h	222	LT934125.1	125626	125638	+	125626	55.94836	34.967725	125626	125638	13	13
C6_12h	223	LT934125.1	125784	125972	+	125905	440.593335	62.941905	125787	125954	168	189
C6_12h	224	LT934125.1	126005	126062	+	126005	139.8709	41.96127	126005	126062	58	58
C6_12h	225	LT934125.1	126825	126825	+	126825	34.967725	34.967725	126825	126825	1	1
C6_12h	226	LT934125.1	127138	127138	+	127138	27.97418	27.97418	127138	127138	1	1
C6_12h	227	LT934125.1	127862	127862	+	127862	20.980635	20.980635	127862	127862	1	1
C6_12h	228	LT934125.1	128007	128115	+	128083	1111.973651	146.864444	128037	128093	57	109
C6_12h	229	LT934125.1	128184	128199	+	128189	944.128569	426.606242	128185	128195	11	16
C6_12h	230	LT934125.1	128411	128411	+	128411	20.980635	20.980635	128411	128411	1	1
C6_12h	231	LT934125.1	132614	132614	+	132614	27.97418	27.97418	132614	132614	1	1
C6_12h	232	LT934125.1	132767	132767	+	132767	20.980635	20.980635	132767	132767	1	1
C6_12h	233	LT934125.1	134977	134990	+	134977	41.96127	20.980635	134977	134990	14	14
C6_12h	234	LT934125.1	136157	136174	+	136158	1125.960739	1021.057564	136158	136158	1	18
C6_12h	235	LT934125.1	136339	136352	+	136348	1405.702538	972.102749	136345	136351	7	14
C6_12h	236	LT934125.1	137112	137112	+	137112	20.980635	20.980635	137112	137112	1	1
C6_12h	237	LT934125.1	139670	139670	+	139670	20.980635	20.980635	139670	139670	1	1
C6_12h	238	LT934125.1	139968	139982	+	139982	76.928995	48.954815	139968	139982	15	15
C6_12h	239	LT934125.1	141089	141089	+	141089	20.980635	20.980635	141089	141089	1	1
C6_12h	240	LT934125.1	1958	1958	-	1958	20.980635	20.980635	1958	1958	1	1
C6_12h	241	LT934125.1	2908	2908	-	2908	20.980635	20.980635	2908	2908	1	1
C6_12h	242	LT934125.1	3114	3114	-	3114	20.980635	20.980635	3114	3114	1	1
C6_12h	243	LT934125.1	3389	3389	-	3389	41.96127	41.96127	3389	3389	1	1
C6_12h	244	LT934125.1	3494	3494	-	3494	55.94836	55.94836	3494	3494	1	1
C6_12h	245	LT934125.1	3880	3912	-	3910	783.277036	335.690158	3903	3911	9	33
C6_12h	246	LT934125.1	4470	4470	-	4470	27.97418	27.97418	4470	4470	1	1
C6_12h	247	LT934125.1	4925	4926	-	4925	251.767619	202.812804	4925	4926	2	2
C6_12h	248	LT934125.1	7758	7758	-	7758	83.922539	83.922539	7758	7758	1	1
C6_12h	249	LT934125.1	9054	9058	-	9058	104.903174	83.922539	9054	9058	5	5
C6_12h	250	LT934125.1	9214	9214	-	9214	20.980635	20.980635	9214	9214	1	1
C6_12h	251	LT934125.1	9494	9527	-	9494	2140.024758	1888.257139	9494	9499	6	34
C6_12h	252	LT934125.1	9754	9754	-	9754	27.97418	27.97418	9754	9754	1	1
C6_12h	253	LT934125.1	9885	9893	-	9885	216.799894	139.870899	9885	9893	9	9
C6_12h	254	LT934125.1	10028	10034	-	10034	83.92254	34.967725	10028	10034	7	7
C6_12h	255	LT934125.1	10267	10267	-	10267	20.980635	20.980635	10267	10267	1	1
C6_12h	256	LT934125.1	13939	13939	-	13939	41.96127	41.96127	13939	13939	1	1
C6_12h	257	LT934125.1	14637	14637	-	14637	20.980635	20.980635	14637	14637	1	1
C6_12h	258	LT934125.1	15130	15130	-	15130	20.980635	20.980635	15130	15130	1	1
C6_12h	259	LT934125.1	15465	15465	-	15465	27.97418	27.97418	15465	15465	1	1
C6_12h	260	LT934125.1	15834	15834	-	15834	118.890264	118.890264	15834	15834	1	1
C6_12h	261	LT934125.1	16164	16164	-	16164	20.980635	20.980635	16164	16164	1	1
C6_12h	262	LT934125.1	16690	16690	-	16690	20.980635	20.980635	16690	16690	1	1
C6_12h	263	LT934125.1	16760	16819	-	16802	146.864445	34.967725	16760	16819	60	60
C6_12h	264	LT934125.1	16907	16972	-	16957	230.786985	48.954815	16911	16972	62	66
C6_12h	265	LT934125.1	17159	17159	-	17159	62.941905	62.941905	17159	17159	1	1
C6_12h	266	LT934125.1	17339	17376	-	17341	1139.947828	587.457776	17341	17363	23	38
C6_12h	267	LT934125.1	17537	17551	-	17551	160.851535	69.93545	17537	17551	15	15
C6_12h	268	LT934125.1	17766	17837	-	17792	167.84508	48.954815	17766	17837	72	72
C6_12h	269	LT934125.1	17978	17981	-	17981	90.916085	62.941905	17978	17981	4	4
C6_12h	270	LT934125.1	18107	18107	-	18107	27.97418	27.97418	18107	18107	1	1
C6_12h	271	LT934125.1	18422	18422	-	18422	20.980635	20.980635	18422	18422	1	1
C6_12h	272	LT934125.1	19469	19474	-	19471	6175.300198	3007.224332	19470	19473	4	6
C6_12h	273	LT934125.1	19624	19624	-	19624	20.980635	20.980635	19624	19624	1	1
C6_12h	274	LT934125.1	21473	21473	-	21473	41.96127	41.96127	21473	21473	1	1
C6_12h	275	LT934125.1	21638	21638	-	21638	20.980635	20.980635	21638	21638	1	1
C6_12h	276	LT934125.1	21939	21967	-	21941	230.786984	139.870899	21939	21967	29	29
C6_12h	277	LT934125.1	22458	22463	-	22458	104.903174	83.922539	22458	22463	6	6
C6_12h	278	LT934125.1	22661	22661	-	22661	34.967725	34.967725	22661	22661	1	1
C6_12h	279	LT934125.1	25309	25313	-	25313	685.367407	531.509417	25310	25313	4	5
C6_12h	280	LT934125.1	26925	26925	-	26925	20.980635	20.980635	26925	26925	1	1
C6_12h	281	LT934125.1	27617	27617	-	27617	27.97418	27.97418	27617	27617	1	1
C6_12h	282	LT934125.1	27761	27761	-	27761	69.93545	69.93545	27761	27761	1	1
C6_12h	283	LT934125.1	28572	28572	-	28572	27.97418	27.97418	28572	28572	1	1
C6_12h	284	LT934125.1	28651	28759	-	28738	167.84508	41.96127	28651	28759	109	109
C6_12h	285	LT934125.1	28925	28959	-	28925	111.89672	34.967725	28925	28959	35	35
C6_12h	286	LT934125.1	29019	29087	-	29046	181.83217	48.954815	29019	29087	69	69
C6_12h	287	LT934125.1	29267	29291	-	29288	202.812804	118.890264	29267	29291	25	25
C6_12h	288	LT934125.1	29404	29417	-	29414	23729.098045	7070.473953	29407	29414	8	14
C6_12h	289	LT934125.1	29686	29686	-	29686	41.96127	41.96127	29686	29686	1	1
C6_12h	290	LT934125.1	30349	30349	-	30349	27.97418	27.97418	30349	30349	1	1
C6_12h	291	LT934125.1	30877	30882	-	30877	538.502962	468.567512	30877	30878	2	6
C6_12h	292	LT934125.1	31041	31041	-	31041	48.954815	48.954815	31041	31041	1	1
C6_12h	293	LT934125.1	31198	31198	-	31198	20.980635	20.980635	31198	31198	1	1
C6_12h	294	LT934125.1	31323	31323	-	31323	20.980635	20.980635	31323	31323	1	1
C6_12h	295	LT934125.1	31505	31505	-	31505	41.96127	41.96127	31505	31505	1	1
C6_12h	296	LT934125.1	31816	31824	-	31816	62.941905	41.96127	31816	31824	9	9
C6_12h	297	LT934125.1	32374	32374	-	32374	20.980635	20.980635	32374	32374	1	1
C6_12h	298	LT934125.1	32836	32842	-	32842	153.857989	125.883809	32836	32842	7	7
C6_12h	299	LT934125.1	33335	33356	-	33356	104.903175	34.967725	33335	33356	22	22
C6_12h	300	LT934125.1	33947	33955	-	33947	41.96127	20.980635	33947	33955	9	9
