cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width
51	LT934125.1	32007	32040	+	32038	46479.412397	21975.261382	32036	32039	4
52	LT934125.1	34145	34145	+	34145	14.355097	14.355097	34145	34145	1
53	LT934125.1	41706	41706	+	41706	16.747613	16.747613	41706	41706	1
54	LT934125.1	44779	44812	+	44812	10053.353112	7794.81781	44810	44812	3
55	LT934125.1	44946	44946	+	44946	21.532646	21.532646	44946	44946	1
56	LT934125.1	45064	45065	+	45065	38.280259	23.925162	45064	45065	2
57	LT934125.1	45306	45306	+	45306	28.710195	28.710195	45306	45306	1
58	LT934125.1	46019	46029	+	46024	1380.481853	459.363112	46023	46026	4
59	LT934125.1	46234	46238	+	46235	2095.8442	1469.004953	46234	46235	2
60	LT934125.1	46489	46489	+	46489	21.532646	21.532646	46489	46489	1
61	LT934125.1	46655	46682	+	46655	23.925162	11.962581	46655	46682	28
62	LT934125.1	47313	47320	+	47315	138.76594	52.635357	47315	47317	3
63	LT934125.1	47642	47642	+	47642	14.355097	14.355097	47642	47642	1
64	LT934125.1	48016	48016	+	48016	11.962581	11.962581	48016	48016	1
65	LT934125.1	48223	48223	+	48223	14.355097	14.355097	48223	48223	1
66	LT934125.1	48563	48571	+	48567	6469.363829	2031.246262	48563	48570	8
67	LT934125.1	48750	48750	+	48750	40.672776	40.672776	48750	48750	1
68	LT934125.1	49175	49224	+	49196	107.663229	40.672776	49175	49224	50
69	LT934125.1	49331	49331	+	49331	14.355097	14.355097	49331	49331	1
70	LT934125.1	49506	49506	+	49506	28.710195	28.710195	49506	49506	1
71	LT934125.1	49760	49760	+	49760	14.355097	14.355097	49760	49760	1
72	LT934125.1	49959	49959	+	49959	14.355097	14.355097	49959	49959	1
73	LT934125.1	50156	50156	+	50156	11.962581	11.962581	50156	50156	1
74	LT934125.1	51232	51239	+	51235	8361.844152	5330.526114	51235	51237	3
75	LT934125.1	51681	51681	+	51681	23.925162	23.925162	51681	51681	1
76	LT934125.1	52029	52051	+	52030	337.344786	114.840778	52030	52047	18
77	LT934125.1	52317	52317	+	52317	21.532646	21.532646	52317	52317	1
78	LT934125.1	52436	52462	+	52460	2598.272604	1270.426107	52444	52461	18
79	LT934125.1	52882	52882	+	52882	14.355097	14.355097	52882	52882	1
80	LT934125.1	53004	53004	+	53004	11.962581	11.962581	53004	53004	1
81	LT934125.1	53642	53652	+	53648	12512.859775	9086.776563	53644	53648	5
82	LT934125.1	54075	54076	+	54075	59.812905	33.495227	54075	54076	2
83	LT934125.1	54292	54292	+	54292	14.355097	14.355097	54292	54292	1
84	LT934125.1	54472	54475	+	54472	28.710194	16.747613	54472	54475	4
85	LT934125.1	54626	54626	+	54626	14.355097	14.355097	54626	54626	1
86	LT934125.1	54744	54745	+	54745	52.635357	33.495227	54744	54745	2
87	LT934125.1	54938	54940	+	54938	40.672775	26.317678	54938	54940	3
88	LT934125.1	55722	55722	+	55722	11.962581	11.962581	55722	55722	1
89	LT934125.1	55839	55839	+	55839	16.747613	16.747613	55839	55839	1
90	LT934125.1	57001	57001	+	57001	11.962581	11.962581	57001	57001	1
91	LT934125.1	58622	58625	+	58622	43.065292	28.710195	58622	58625	4
92	LT934125.1	59038	59070	+	59068	3416.513147	1916.405484	59044	59068	25
93	LT934125.1	59219	59219	+	59219	11.962581	11.962581	59219	59219	1
94	LT934125.1	59333	59333	+	59333	14.355097	14.355097	59333	59333	1
95	LT934125.1	59793	59794	+	59793	43.065292	31.102711	59793	59794	2
96	LT934125.1	60232	60239	+	60235	1497.715146	528.746082	60232	60236	5
97	LT934125.1	60376	60376	+	60376	19.14013	19.14013	60376	60376	1
98	LT934125.1	60750	60750	+	60750	11.962581	11.962581	60750	60750	1
99	LT934125.1	61076	61076	+	61076	52.635357	52.635357	61076	61076	1
100	LT934125.1	61930	61930	+	61930	11.962581	11.962581	61930	61930	1
101	LT934125.1	62325	62325	+	62325	14.355097	14.355097	62325	62325	1
102	LT934125.1	65805	65809	+	65807	988.109195	490.465823	65805	65807	3
103	LT934125.1	66209	66209	+	66209	26.317678	26.317678	66209	66209	1
104	LT934125.1	66334	66339	+	66338	28487.690504	24535.253726	66338	66339	2
105	LT934125.1	66682	66682	+	66682	11.962581	11.962581	66682	66682	1
106	LT934125.1	66800	66818	+	66818	26.317678	14.355097	66800	66818	19
107	LT934125.1	67326	67326	+	67326	11.962581	11.962581	67326	67326	1
108	LT934125.1	67962	67968	+	67962	62.20542	16.747613	67962	67968	7
109	LT934125.1	68267	68293	+	68292	38.280259	14.355097	68267	68293	27
110	LT934125.1	68557	68563	+	68557	47.850324	19.14013	68557	68563	7
111	LT934125.1	68692	68692	+	68692	11.962581	11.962581	68692	68692	1
112	LT934125.1	69162	69162	+	69162	16.747613	16.747613	69162	69162	1
113	LT934125.1	69765	69765	+	69765	28.710195	28.710195	69765	69765	1
114	LT934125.1	69949	69949	+	69949	14.355097	14.355097	69949	69949	1
115	LT934125.1	70087	70090	+	70090	299.064526	181.831232	70087	70090	4
116	LT934125.1	70526	70534	+	70531	13166.016699	7892.910974	70527	70531	5
117	LT934125.1	71008	71009	+	71008	43.065292	21.532646	71008	71009	2
118	LT934125.1	71189	71189	+	71189	11.962581	11.962581	71189	71189	1
119	LT934125.1	71767	71767	+	71767	14.355097	14.355097	71767	71767	1
120	LT934125.1	72356	72356	+	72356	19.14013	19.14013	72356	72356	1
121	LT934125.1	72539	72539	+	72539	31.102711	31.102711	72539	72539	1
122	LT934125.1	72756	72764	+	72759	1229.753331	435.43795	72759	72763	5
123	LT934125.1	73096	73096	+	73096	14.355097	14.355097	73096	73096	1
124	LT934125.1	74398	74405	+	74400	5093.66701	2330.310788	74400	74402	3
125	LT934125.1	75100	75101	+	75100	43.065292	28.710195	75100	75101	2
126	LT934125.1	75651	75657	+	75654	129.195876	76.560519	75653	75657	5
127	LT934125.1	76677	76685	+	76685	382.802594	198.578845	76679	76685	7
128	LT934125.1	76990	76990	+	76990	83.738067	83.738067	76990	76990	1
129	LT934125.1	78037	78044	+	78039	145.943488	59.812905	78037	78044	8
130	LT934125.1	79142	79142	+	79142	14.355097	14.355097	79142	79142	1
131	LT934125.1	79439	79447	+	79444	12201.832667	6660.765127	79441	79445	5
132	LT934125.1	79550	79552	+	79552	107.663229	71.775486	79550	79552	3
133	LT934125.1	79937	79937	+	79937	11.962581	11.962581	79937	79937	1
134	LT934125.1	80193	80193	+	80193	11.962581	11.962581	80193	80193	1
135	LT934125.1	81081	81083	+	81082	272.746847	210.541426	81081	81082	2
136	LT934125.1	81481	81481	+	81481	11.962581	11.962581	81481	81481	1
137	LT934125.1	83973	83978	+	83978	105.270713	62.205421	83973	83978	6
138	LT934125.1	87216	87216	+	87216	11.962581	11.962581	87216	87216	1
139	LT934125.1	88884	88889	+	88885	672.297054	253.606718	88884	88888	5
140	LT934125.1	89131	89133	+	89131	59.812906	31.102711	89131	89133	3
141	LT934125.1	90381	90381	+	90381	19.14013	19.14013	90381	90381	1
142	LT934125.1	91408	91412	+	91412	1002.464292	354.092399	91408	91412	5
143	LT934125.1	91542	91548	+	91548	255.999235	172.261167	91542	91548	7
144	LT934125.1	92970	92987	+	92970	33.495227	19.14013	92970	92987	18
145	LT934125.1	93130	93130	+	93130	11.962581	11.962581	93130	93130	1
146	LT934125.1	93437	93437	+	93437	16.747613	16.747613	93437	93437	1
147	LT934125.1	94577	94581	+	94580	189.00878	114.840778	94577	94581	5
148	LT934125.1	95017	95029	+	95029	83.738067	50.24284	95017	95029	13
149	LT934125.1	95446	95446	+	95446	19.14013	19.14013	95446	95446	1
150	LT934125.1	95624	95624	+	95624	21.532646	21.532646	95624	95624	1
151	LT934125.1	95743	95751	+	95746	854.128287	430.652918	95746	95751	6
152	LT934125.1	95875	95880	+	95875	81.345551	50.24284	95875	95880	6
153	LT934125.1	96654	96654	+	96654	21.532646	21.532646	96654	96654	1
154	LT934125.1	96885	96886	+	96885	78.953035	57.420389	96885	96886	2
155	LT934125.1	97394	97394	+	97394	23.925162	23.925162	97394	97394	1
156	LT934125.1	100598	100601	+	100598	28.710194	16.747613	100598	100601	4
157	LT934125.1	101290	101296	+	101293	521.568533	217.718975	101290	101293	4
158	LT934125.1	101803	101833	+	101828	208.14891	138.76594	101827	101828	2
159	LT934125.1	101942	101992	+	101990	76.560519	28.710195	101942	101992	51
160	LT934125.1	103805	103805	+	103805	14.355097	14.355097	103805	103805	1
161	LT934125.1	107310	107310	+	107310	16.747613	16.747613	107310	107310	1
162	LT934125.1	107473	107483	+	107482	9448.046509	8244.610857	107482	107483	2
163	LT934125.1	107672	107672	+	107672	21.532646	21.532646	107672	107672	1
164	LT934125.1	108407	108432	+	108407	23.925162	11.962581	108407	108432	26
165	LT934125.1	109307	109307	+	109307	19.14013	19.14013	109307	109307	1
166	LT934125.1	110407	110407	+	110407	11.962581	11.962581	110407	110407	1
167	LT934125.1	110692	110696	+	110692	507.213437	251.214202	110692	110695	4
168	LT934125.1	112884	112888	+	112884	165.083618	122.018327	112884	112888	5
169	LT934125.1	113446	113446	+	113446	14.355097	14.355097	113446	113446	1
170	LT934125.1	114000	114000	+	114000	16.747613	16.747613	114000	114000	1
171	LT934125.1	114832	114837	+	114835	117.233295	64.597938	114832	114837	6
172	LT934125.1	114980	114988	+	114985	18750.149531	15127.879991	114984	114985	2
173	LT934125.1	115701	115754	+	115725	38.280259	14.355097	115701	115754	54
174	LT934125.1	115816	115846	+	115844	461.755627	222.504007	115843	115846	4
175	LT934125.1	116010	116720	+	116431	18903.270563	1918.798	116285	116601	317
176	LT934125.1	117297	117297	+	117297	21.532646	21.532646	117297	117297	1
177	LT934125.1	117603	117608	+	117607	808.670479	538.316147	117603	117607	5
178	LT934125.1	117767	117796	+	117769	1423.547144	1019.211905	117768	117769	2
179	LT934125.1	117887	117887	+	117887	59.812905	59.812905	117887	117887	1
180	LT934125.1	118180	118209	+	118209	55.027873	28.710195	118180	118209	30
181	LT934125.1	118529	118529	+	118529	26.317678	26.317678	118529	118529	1
182	LT934125.1	118747	118748	+	118747	50.24284	33.495227	118747	118748	2
183	LT934125.1	118858	118866	+	118864	45259.229131	28643.204058	118861	118865	5
184	LT934125.1	119068	119071	+	119068	43.065292	21.532646	119068	119071	4
185	LT934125.1	119265	119266	+	119266	241.644137	124.410843	119265	119266	2
186	LT934125.1	119484	119485	+	119485	708.184798	535.923631	119484	119485	2
187	LT934125.1	119764	119764	+	119764	31.102711	31.102711	119764	119764	1
188	LT934125.1	119876	119908	+	119878	325.382205	179.438716	119876	119906	31
189	LT934125.1	119998	120022	+	120020	330.167237	143.550973	119998	120022	25
190	LT934125.1	120131	120238	+	120133	648.371891	301.457042	120132	120193	62
191	LT934125.1	120552	120558	+	120552	6993.32488	3844.773548	120552	120557	6
192	LT934125.1	120826	120826	+	120826	11.962581	11.962581	120826	120826	1
193	LT934125.1	120930	120937	+	120934	124.410843	45.457808	120930	120937	8
194	LT934125.1	121782	121787	+	121784	9620.307678	5177.405077	121784	121786	3
195	LT934125.1	122119	122119	+	122119	23.925162	23.925162	122119	122119	1
196	LT934125.1	122303	122305	+	122304	143.550973	88.5231	122303	122305	3
197	LT934125.1	122521	122522	+	122522	93.308132	62.205421	122521	122522	2
198	LT934125.1	122973	122983	+	122979	3363.87779	2026.461229	122979	122981	3
199	LT934125.1	123445	123445	+	123445	14.355097	14.355097	123445	123445	1
200	LT934125.1	123619	123619	+	123619	14.355097	14.355097	123619	123619	1
201	LT934125.1	124371	124412	+	124409	203.363878	64.597938	124385	124409	25
202	LT934125.1	124737	124757	+	124756	6658.372609	6096.131301	124756	124756	1
203	LT934125.1	125219	125228	+	125225	3162.906429	1452.257339	125223	125226	4
204	LT934125.1	125506	125506	+	125506	11.962581	11.962581	125506	125506	1
205	LT934125.1	125956	125957	+	125957	43.065292	31.102711	125956	125957	2
206	LT934125.1	126085	126085	+	126085	19.14013	19.14013	126085	126085	1
207	LT934125.1	126964	126991	+	126988	95.700648	26.317678	126964	126991	28
208	LT934125.1	127230	127270	+	127270	507.213437	263.176783	127235	127270	36
209	LT934125.1	128133	128133	+	128133	11.962581	11.962581	128133	128133	1
210	LT934125.1	128933	128933	+	128933	14.355097	14.355097	128933	128933	1
211	LT934125.1	129291	129291	+	129291	11.962581	11.962581	129291	129291	1
212	LT934125.1	129573	129586	+	129586	31.10271	16.747613	129573	129586	14
213	LT934125.1	129941	129941	+	129941	14.355097	14.355097	129941	129941	1
214	LT934125.1	130200	130200	+	130200	11.962581	11.962581	130200	130200	1
215	LT934125.1	130614	130630	+	130614	47.850324	33.495227	130614	130630	17
216	LT934125.1	131745	131745	+	131745	23.925162	23.925162	131745	131745	1
217	LT934125.1	132611	132614	+	132614	47.850324	33.495227	132611	132614	4
218	LT934125.1	132850	132850	+	132850	14.355097	14.355097	132850	132850	1
219	LT934125.1	132938	132966	+	132966	31.102711	19.14013	132938	132966	29
220	LT934125.1	135001	135002	+	135001	28.710194	14.355097	135001	135002	2
221	LT934125.1	135238	135312	+	135310	1574.275666	322.989688	135268	135311	44
222	LT934125.1	135671	135673	+	135673	31.102711	19.14013	135671	135673	3
223	LT934125.1	135883	135883	+	135883	23.925162	23.925162	135883	135883	1
224	LT934125.1	136156	136159	+	136158	1356.556691	1172.332943	136158	136159	2
225	LT934125.1	136335	136351	+	136348	959.398999	622.054214	136345	136348	4
226	LT934125.1	137186	137186	+	137186	16.747613	16.747613	137186	137186	1
227	LT934125.1	141051	141051	+	141051	11.962581	11.962581	141051	141051	1
228	LT934125.1	141497	141497	+	141497	11.962581	11.962581	141497	141497	1
229	LT934125.1	141678	141678	+	141678	11.962581	11.962581	141678	141678	1
230	LT934125.1	141824	141824	+	141824	14.355097	14.355097	141824	141824	1
231	LT934125.1	141935	141938	+	141935	136.373424	86.130584	141935	141938	4
232	LT934125.1	142477	142477	+	142477	62.205421	62.205421	142477	142477	1
233	LT934125.1	101	101	-	101	28.710195	28.710195	101	101	1
234	LT934125.1	3218	3218	-	3218	14.355097	14.355097	3218	3218	1
235	LT934125.1	3355	3355	-	3355	23.925162	23.925162	3355	3355	1
236	LT934125.1	3509	3509	-	3509	11.962581	11.962581	3509	3509	1
237	LT934125.1	3706	3706	-	3706	11.962581	11.962581	3706	3706	1
238	LT934125.1	3913	3914	-	3914	186.616264	172.261167	3914	3914	1
239	LT934125.1	4928	4932	-	4929	483.288274	205.756394	4928	4930	3
240	LT934125.1	7572	7572	-	7572	14.355097	14.355097	7572	7572	1
241	LT934125.1	7762	7762	-	7762	31.102711	31.102711	7762	7762	1
242	LT934125.1	8193	8193	-	8193	14.355097	14.355097	8193	8193	1
243	LT934125.1	9058	9062	-	9062	71.775486	57.420389	9058	9062	5
244	LT934125.1	9217	9220	-	9218	148.336004	119.62581	9217	9218	2
245	LT934125.1	9374	9374	-	9374	11.962581	11.962581	9374	9374	1
246	LT934125.1	9497	9501	-	9498	1370.911788	966.576549	9498	9501	4
247	LT934125.1	9804	9804	-	9804	14.355097	14.355097	9804	9804	1
248	LT934125.1	12052	12065	-	12065	222.504007	69.38297	12054	12065	12
249	LT934125.1	13998	13998	-	13998	33.495227	33.495227	13998	13998	1
250	LT934125.1	16175	16175	-	16175	11.962581	11.962581	16175	16175	1
251	LT934125.1	17035	17035	-	17035	14.355097	14.355097	17035	17035	1
252	LT934125.1	17163	17163	-	17163	16.747613	16.747613	17163	17163	1
253	LT934125.1	17344	17379	-	17345	421.082853	160.298586	17344	17379	36
254	LT934125.1	17511	17514	-	17512	57.420389	31.102711	17511	17514	4
255	LT934125.1	17846	17848	-	17848	40.672775	26.317678	17846	17848	3
256	LT934125.1	17982	18013	-	18013	52.635357	21.532646	17982	18013	32
257	LT934125.1	18706	18727	-	18706	52.635357	19.14013	18706	18727	22
258	LT934125.1	18905	18924	-	18906	447.400532	133.980908	18905	18923	19
259	LT934125.1	18962	19029	-	19011	555.063761	311.027107	18963	19011	49
260	LT934125.1	19474	19479	-	19475	37117.496471	22257.578295	19475	19477	3
261	LT934125.1	21475	21477	-	21477	110.055746	98.093165	21475	21477	3
262	LT934125.1	21943	21951	-	21945	272.746849	136.373424	21943	21951	9
263	LT934125.1	22381	22383	-	22383	57.420389	35.887743	22381	22383	3
264	LT934125.1	22633	22633	-	22633	14.355097	14.355097	22633	22633	1
265	LT934125.1	22968	22968	-	22968	14.355097	14.355097	22968	22968	1
266	LT934125.1	24789	24789	-	24789	19.14013	19.14013	24789	24789	1
267	LT934125.1	24893	24893	-	24893	16.747613	16.747613	24893	24893	1
268	LT934125.1	25316	25320	-	25317	2213.077493	1734.574252	25316	25318	3
269	LT934125.1	25642	25642	-	25642	33.495227	33.495227	25642	25642	1
270	LT934125.1	26117	26117	-	26117	11.962581	11.962581	26117	26117	1
271	LT934125.1	27764	27765	-	27765	122.018327	100.485681	27764	27765	2
272	LT934125.1	28414	28422	-	28422	55.027873	28.710195	28414	28422	9
273	LT934125.1	28576	28576	-	28576	11.962581	11.962581	28576	28576	1
274	LT934125.1	28722	28722	-	28722	28.710195	28.710195	28722	28722	1
275	LT934125.1	28902	28953	-	28928	131.588391	59.812905	28902	28953	52
276	LT934125.1	29026	29116	-	29061	224.896524	86.130584	29027	29088	62
277	LT934125.1	29290	29303	-	29303	98.093164	59.812905	29290	29303	14
278	LT934125.1	29411	29421	-	29416	12500.897192	3301.672369	29411	29417	7
279	LT934125.1	30881	30884	-	30881	445.008015	380.410077	30881	30882	2
280	LT934125.1	31045	31047	-	31045	76.560519	55.027873	31045	31047	3
281	LT934125.1	32680	32680	-	32680	14.355097	14.355097	32680	32680	1
282	LT934125.1	33409	33409	-	33409	11.962581	11.962581	33409	33409	1
283	LT934125.1	33643	33644	-	33644	50.24284	35.887743	33643	33644	2
284	LT934125.1	34095	34095	-	34095	16.747613	16.747613	34095	34095	1
285	LT934125.1	34202	34202	-	34202	11.962581	11.962581	34202	34202	1
286	LT934125.1	34477	34484	-	34480	1234.538363	559.848793	34478	34482	5
287	LT934125.1	37550	37550	-	37550	11.962581	11.962581	37550	37550	1
288	LT934125.1	41788	41788	-	41788	23.925162	23.925162	41788	41788	1
289	LT934125.1	41998	42003	-	41999	10864.416106	9443.261478	41999	41999	1
290	LT934125.1	44757	44760	-	44760	375.625045	311.027107	44759	44760	2
291	LT934125.1	44893	44899	-	44893	3744.287867	2421.226404	44893	44896	4
292	LT934125.1	45973	45973	-	45973	16.747613	16.747613	45973	45973	1
293	LT934125.1	49124	49125	-	49124	38.280259	26.317678	49124	49125	2
294	LT934125.1	49607	49607	-	49607	11.962581	11.962581	49607	49607	1
295	LT934125.1	50350	50380	-	50374	93.308132	64.597938	50350	50380	31
296	LT934125.1	50496	50525	-	50496	23.925162	11.962581	50496	50525	30
297	LT934125.1	50643	50643	-	50643	26.317678	26.317678	50643	50643	1
298	LT934125.1	50820	50820	-	50820	35.887743	35.887743	50820	50820	1
299	LT934125.1	51149	51151	-	51151	1476.182502	1184.295524	51150	51151	2
300	LT934125.1	52836	52836	-	52836	14.355097	14.355097	52836	52836	1
301	LT934125.1	53558	53559	-	53559	198.578845	181.831232	53559	53559	1
302	LT934125.1	55267	55270	-	55270	45.457808	23.925162	55267	55270	4
303	LT934125.1	55489	55507	-	55489	28.710194	16.747613	55489	55507	19
304	LT934125.1	55768	55807	-	55797	145.943488	50.24284	55796	55807	12
305	LT934125.1	56031	56068	-	56053	246.42917	64.597938	56032	56068	37
306	LT934125.1	56191	56232	-	56192	27676.627509	11531.928129	56192	56195	4
307	LT934125.1	56478	56478	-	56478	14.355097	14.355097	56478	56478	1
308	LT934125.1	56642	56642	-	56642	11.962581	11.962581	56642	56642	1
309	LT934125.1	56947	56982	-	56950	2402.086274	1684.331411	56948	56950	3
310	LT934125.1	57089	57090	-	57090	112.448262	76.560519	57089	57090	2
311	LT934125.1	58572	58577	-	58574	1004.856808	301.457042	58574	58577	4
312	LT934125.1	59019	59020	-	59020	102.878197	90.915616	59019	59020	2
313	LT934125.1	59138	59138	-	59138	14.355097	14.355097	59138	59138	1
314	LT934125.1	59279	59284	-	59281	2576.739957	2313.563174	59281	59281	1
315	LT934125.1	62580	62580	-	62580	11.962581	11.962581	62580	62580	1
316	LT934125.1	62918	62918	-	62918	14.355097	14.355097	62918	62918	1
317	LT934125.1	63242	63250	-	63250	50.24284	26.317678	63242	63250	9
318	LT934125.1	63421	63442	-	63424	247469.91411	190977.821375	63423	63424	2
319	LT934125.1	63695	63695	-	63695	21.532646	21.532646	63695	63695	1
320	LT934125.1	63846	63846	-	63846	35.887743	35.887743	63846	63846	1
321	LT934125.1	64129	64131	-	64129	50.24284	33.495227	64129	64131	3
322	LT934125.1	64730	64731	-	64731	45.457808	28.710195	64730	64731	2
323	LT934125.1	65445	65451	-	65451	193.793813	160.298586	65445	65451	7
324	LT934125.1	65611	65633	-	65611	78.953035	66.990454	65611	65633	23
325	LT934125.1	65752	65758	-	65756	3426.083212	2079.096586	65753	65756	4
326	LT934125.1	65887	65889	-	65887	45.457808	33.495227	65887	65889	3
327	LT934125.1	66457	66457	-	66457	16.747613	16.747613	66457	66457	1
328	LT934125.1	66629	66629	-	66629	16.747613	16.747613	66629	66629	1
329	LT934125.1	68123	68123	-	68123	16.747613	16.747613	68123	68123	1
330	LT934125.1	71885	71893	-	71890	189.00878	95.700648	71886	71893	8
331	LT934125.1	72742	72744	-	72744	40.672776	28.710195	72742	72744	3
332	LT934125.1	73111	73140	-	73112	74.168002	50.24284	73111	73140	30
333	LT934125.1	74348	74352	-	74349	193.793812	162.691102	74349	74349	1
334	LT934125.1	75602	75604	-	75604	45.457808	28.710195	75602	75604	3
335	LT934125.1	75737	75737	-	75737	11.962581	11.962581	75737	75737	1
336	LT934125.1	76863	76870	-	76867	181.831231	71.775486	76863	76867	5
337	LT934125.1	77988	77989	-	77989	83.738068	43.065292	77988	77989	2
338	LT934125.1	79391	79394	-	79394	64.597937	35.887743	79391	79394	4
339	LT934125.1	80658	80658	-	80658	21.532646	21.532646	80658	80658	1
340	LT934125.1	81088	81090	-	81090	50.24284	33.495227	81088	81090	3
341	LT934125.1	81493	81494	-	81493	203.363877	119.62581	81493	81494	2
342	LT934125.1	81688	81689	-	81689	71.775487	52.635357	81688	81689	2
343	LT934125.1	81808	81846	-	81810	18276.431324	8881.020169	81809	81812	4
344	LT934125.1	82027	82030	-	82027	74.168003	40.672776	82027	82030	4
345	LT934125.1	83206	83206	-	83206	26.317678	26.317678	83206	83206	1
346	LT934125.1	85660	85660	-	85660	33.495227	33.495227	85660	85660	1
347	LT934125.1	87161	87167	-	87165	492.858339	248.821686	87161	87166	6
348	LT934125.1	87451	87451	-	87451	14.355097	14.355097	87451	87451	1
349	LT934125.1	89080	89085	-	89082	815.848027	272.746848	89080	89084	5
350	LT934125.1	89632	89632	-	89632	11.962581	11.962581	89632	89632	1
351	LT934125.1	91359	91361	-	91361	200.971362	122.018327	91359	91361	3
352	LT934125.1	91998	91998	-	91998	11.962581	11.962581	91998	91998	1
353	LT934125.1	92483	92531	-	92530	150.728521	69.38297	92484	92531	48
354	LT934125.1	92568	92635	-	92634	296.67201	90.915616	92568	92635	68
355	LT934125.1	92737	92778	-	92778	122.018326	43.065292	92737	92778	42
356	LT934125.1	92935	92942	-	92937	31136.205947	25427.662272	92937	92937	1
357	LT934125.1	93264	93297	-	93266	222.504007	59.812905	93266	93293	28
358	LT934125.1	93468	93482	-	93469	433.045434	169.868651	93468	93475	8
359	LT934125.1	93657	93661	-	93658	1423.547144	1155.585329	93657	93658	2
360	LT934125.1	93853	93853	-	93853	16.747613	16.747613	93853	93853	1
361	LT934125.1	94112	94112	-	94112	11.962581	11.962581	94112	94112	1
362	LT934125.1	94529	94568	-	94530	921.11874	516.783501	94529	94532	4
363	LT934125.1	94948	95022	-	94949	8069.957174	4117.520396	94949	94951	3
