seqnames	strand	TR_ID	TR_start	TR_end	correct_tss	correct_tes	sample	count
LT934125.1	-	73	55270	56939	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	18
LT934125.1	+	74	125875	126151	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	4
LT934125.1	-	75	80352	80491	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	38
18	+	76	54283657	54285819	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	77	55275	56628	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	78	14497	16224	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	18
LT934125.1	-	79	55270	56202	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	16
LT934125.1	-	80	63161	63411	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	347
LT934125.1	+	81	119871	120477	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	21
6	+	82	114155215	114157541	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
14	-	83	87969530	87971352	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	84	119611	120453	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	85	55270	56194	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	944
LT934125.1	+	86	31711	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	5
2	+	87	14923312	14923508	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	101
LT934125.1	+	88	53648	55161	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	2850
LT934125.1	+	89	9649	10426	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	86
LT934125.1	-	90	92072	92923	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	2
17	+	91	9792819	9792933	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	92	80359	81804	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	14
LT934125.1	+	93	60010	60252	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
1	+	94	81879071	81879387	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	95	8383	8526	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
2	+	96	14923314	14923527	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	149
LT934125.1	-	97	92069	92879	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	8
LT934125.1	+	98	125225	126151	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	569
3	+	99	126093365	126095634	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
MT	+	100	5043	6127	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	101	69658	70521	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	102	63161	63360	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	87
LT934125.1	-	103	28429	29408	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	126
LT934125.1	-	104	80352	80837	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	37
LT934125.1	-	105	63153	63385	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	55
LT934125.1	-	106	55270	55911	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	10
1	+	107	83239881	83241287	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	5
2	+	108	9172562	9173397	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	3
LT934125.1	+	109	32038	32401	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	32
2	+	110	14923341	14923530	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	12
LT934125.1	+	111	15599	16208	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	112	32686	32955	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	2
2	-	113	40284621	40285085	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	12
11	-	114	54082977	54083440	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	21
LT934125.1	+	115	9498	10431	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	116	70531	71532	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	632
10	-	117	63584295	63584430	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
1	-	118	110432967	110433405	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	2
14	+	119	72266844	72267281	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	4
14	-	120	29769040	29769475	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
MT	+	121	9098	9797	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
6	+	122	13568823	13578677	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
6	-	123	13524721	13528000	TRUE	FALSE	PRV_MdBio_PK-15_12h_2	1
3	-	124	59776240	59777252	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	174
LT934125.1	+	125	79473	79996	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	30
LT934125.1	+	88	53648	55161	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1569
LT934125.1	+	126	15387	16214	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	2
LT934125.1	+	127	9647	10426	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	156
LT934125.1	-	128	63153	63408	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	216
LT934125.1	-	129	28429	29402	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	246
3	+	130	40002815	40003108	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	39
LT934125.1	-	131	16585	17989	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	132	63161	63425	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	542
LT934125.1	-	133	126753	126943	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	9
LT934125.1	+	134	116774	116962	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	9
LT934125.1	-	135	55270	55362	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	4
LT934125.1	+	136	51230	52436	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	15
LT934125.1	-	137	63161	63416	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1002
LT934125.1	+	138	69161	70521	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	30
LT934125.1	-	139	134888	136088	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	3
LT934125.1	+	140	107629	108829	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	3
LT934125.1	+	141	31098	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1419
LT934125.1	-	142	126985	127242	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	143	116475	116732	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	144	51977	52439	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	2
2	+	145	14923357	14923530	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	14
LT934125.1	-	146	55270	55766	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	48
LT934125.1	-	147	55270	55908	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	12
LT934125.1	+	148	69079	70518	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	149	119570	120477	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	14
3	-	150	64878782	64879612	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	81
LT934125.1	-	151	55270	56185	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1657
LT934125.1	-	152	80352	81804	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1675
LT934125.1	-	153	63161	63402	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	538
LT934125.1	-	154	28427	29412	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	142
LT934125.1	+	155	32041	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	840
2	+	64	14923312	14923528	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	4749
17	-	156	19380864	19381043	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	102
LT934125.1	+	157	11810	12059	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
7	+	158	100717654	100718301	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	159	63153	63399	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	141
2	-	160	59238802	59240279	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	161	63162	63412	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	7
9	+	162	9629073	9630400	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	2
LT934125.1	+	163	118860	120477	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1225
LT934125.1	-	164	63161	63280	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	8
MT	+	165	9618	9722	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	166	80352	80545	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	888
6	+	167	18645151	18646034	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
6	+	168	54566332	54568342	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	169	55270	56165	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	23
12	+	170	1320873	1323214	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	20	79444	79996	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1691
16	-	171	18561909	18563007	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	172	79455	79996	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	63
LT934125.1	-	173	32686	32938	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	5
LT934125.1	+	174	53668	55161	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	24
LT934125.1	-	175	16583	17666	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	176	80352	81218	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	13
LT934125.1	-	177	63161	63367	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	27
13	+	178	24079738	24081541	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
6	+	179	120472183	120473211	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	390
LT934125.1	-	180	32686	34474	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	5
LT934125.1	+	181	9647	10431	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	44
MT	+	182	4050	4881	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	3
X	+	183	22068500	22069321	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	6
9	+	184	130462499	130471380	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	185	79460	79996	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	28
LT934125.1	+	186	79467	79996	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	49
LT934125.1	-	187	80352	80439	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	14
LT934125.1	-	188	55270	55583	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	20
2	-	189	140515249	140515867	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	190	118864	120477	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	3778
LT934125.1	+	191	32036	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	3797
LT934125.1	-	192	63171	63420	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	49
LT934125.1	+	193	120203	120477	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	22
6	+	194	169122231	169122735	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	3
LT934125.1	+	195	118865	120477	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	68
LT934125.1	+	196	125938	126151	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	381
2	+	197	14923333	14923527	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	88
2	+	198	13391294	13391474	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
6	-	199	48085676	48086246	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	64
1	+	200	247880839	247881349	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	11
LT934125.1	+	201	119944	120466	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	202	54809	55161	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	37
LT934125.1	-	203	55273	56163	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	204	15921	16224	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	13
2	-	205	59892802	59896120	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	206	125031	126151	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	207	63167	63405	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	208	71227	71544	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	2
LT934125.1	-	209	71551	72635	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	210	63162	64127	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	211	55268	55836	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	212	53692	55161	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	4
LT934125.1	-	213	28439	29414	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	8
LT934125.1	-	214	55270	55412	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	4
LT934125.1	-	215	55275	56189	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	4
LT934125.1	-	216	80352	80542	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	226
LT934125.1	-	217	32688	33320	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	218	55270	56182	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	58
LT934125.1	+	219	51235	52435	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	345
LT934125.1	+	220	118864	120475	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	73
3	+	221	40001326	40003105	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
X	+	222	124971357	124973487	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	223	55270	56169	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	339
LT934125.1	+	224	52460	53599	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	13
MT	+	225	9527	9800	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	6
LT934125.1	+	226	124756	125230	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	723
LT934125.1	+	227	2042	2273	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
10	+	228	43517515	43526172	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
2	+	21	14923312	14923530	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	4309
LT934125.1	+	229	9687	10421	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	4
LT934125.1	-	230	64138	64360	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	3
LT934125.1	+	231	119604	120477	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	2
X	+	232	124540710	124541617	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	233	70567	71532	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	17
LT934125.1	+	234	46028	49647	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	14
LT934125.1	+	235	32037	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	443
LT934125.1	+	236	32055	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	60
LT934125.1	-	237	55270	56189	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	873
5	-	238	64129681	64131851	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	239	63180	63406	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	6
13	+	240	117303326	117303842	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	277
LT934125.1	+	241	53652	55161	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	241
LT934125.1	-	242	127025	127191	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	243	116526	116692	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	244	55275	56185	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	7
4	+	245	96076569	96076825	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	103
X	+	246	83021736	83022285	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
MT	+	247	13699	15340	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	-	23	63161	63418	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1053
13	+	248	24079738	24081541	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	53
6	+	249	120472182	120473211	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	251
LT934125.1	+	39	32038	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	6227
LT934125.1	+	16	9270	10426	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	689
LT934125.1	+	250	16092	16224	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	14
5	-	251	15150233	15152173	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	10
LT934125.1	-	252	28427	29391	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	2
LT934125.1	+	253	13212	16224	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	254	118864	120474	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	808
LT934125.1	-	255	80352	80512	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	7
LT934125.1	+	256	53650	55161	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1248
LT934125.1	+	257	119602	120477	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	4
LT934125.1	+	258	9274	10425	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	4
LT934125.1	-	259	16581	17722	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	8
LT934125.1	+	260	32039	32413	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	19
LT934125.1	+	261	9650	10426	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	71
LT934125.1	-	262	80354	81689	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	263	80352	81805	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
15	+	264	77558325	77558736	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	33
5	+	265	21507437	21507764	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
2	+	266	69432234	69434996	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	+	267	10281	10426	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	93
LT934125.1	-	268	63161	63427	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	526
LT934125.1	+	269	9113	10426	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	658
LT934125.1	-	270	55270	56188	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	2
2	+	271	14923315	14923510	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	3
5	-	272	15150231	15150516	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
15	-	273	101360090	101362011	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	1
LT934125.1	+	274	118861	120470	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	4
LT934125.1	+	275	70162	70521	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	20
LT934125.1	-	276	55272	55797	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	1
LT934125.1	-	277	92067	93371	FALSE	FALSE	PRV_MdBio_PK-15_12h_2	1
11	-	278	54082977	54083441	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	1
2	-	28	40284621	40285085	FALSE	FALSE	PRV_MdBio_PK-15_12h_1	17
LT934125.1	+	279	118860	120475	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	43
LT934125.1	-	280	2778	2974	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	23
LT934125.1	+	281	31099	32415	FALSE	TRUE	PRV_MdBio_PK-15_12h_1	49
LT934125.1	+	282	121786	122915	FALSE	TRUE	PRV_MdBio_PK-15_12h_2	249
