gene	seqnames	start	end	strand	type	Name	part	ID	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
UL8	LT934125.1	84087	86138	+	CDS	SOF05963.1		UL8	E	cluster_1	0.999993280813042	0.997713036349691	32528.3175052953	0.633533596088025
UL9	LT934125.1	81550	84090	+	CDS	SOF05962.1		UL9						
US1	LT934125.1	115740	116831	+	CDS	SOF05974.1		SOF05974.1	E	cluster_11	0.999999884568163	0.999650217233296	91353.9012855535	0.178854217037935
US1	LT934125.1	126886	127977	-	CDS	SOF05982.1		SOF05982.1	E	cluster_11	0.999999884568163	0.999650217233296	91353.9012855535	0.178854217037935
US2	LT934125.1	125308	126078	+	CDS	SOF05981.1		US2	L	cluster_3	0.999993280813042	0.997713036349691	24447.79240036	0.506788975047671
US3	LT934125.1	117833	118837	+	CDS	SOF05975.1		US3	L					
US4	LT934125.1	118897	120396	+	CDS	SOF05976.1		US4	L	cluster_8	0.999993280813042	0.997713036349691	115128.447833368	0.378514536873997
US6	LT934125.1	120576	121778	+	CDS	SOF05977.1		US6	L					
US7	LT934125.1	121799	122896	+	CDS	SOF05978.1		US7	L	cluster_8	0.999993280813042	0.997713036349691	3785.66002986097	0.619853999575648
US8	LT934125.1	123000	124730	+	CDS	SOF05979.1		US8	L	cluster_11	0.999999884568163	0.999650217233296	11782.7380757595	0.595983327071927
US9	LT934125.1	124788	125084	+	CDS	SOF05980.1		US9	L	cluster_11	0.999999884568163	0.999650217233296	11782.7380757595	0.595983327071927
