group	enhancer	cluster.m	cluster.p	chr	dominant_tss.m	dominant_tss.p	tags.m	tags.p	D	hpi	cell_line	Time
AGTG	62	1860	766	LT934125.1	96554	96593	62.932662	62.932662	0			
AGTG	63	1862	768	LT934125.1	96660	96701	62.932662	62.932662	0			
AGTG	64	1865	770	LT934125.1	96835	96885	62.932662	62.932662	0			
AGTG	65	1870	771	LT934125.1	97087	97144	62.932662	62.932662	0			
AGTG	66	1878	779	LT934125.1	98413	98439	125.865324	62.932662	-0.333333333333333			
AGTG	67	1882	781	LT934125.1	98692	98769	62.932662	62.932662	0			
AGTG	68	1929	814	LT934125.1	105752	105773	62.932662	62.932662	0			
AGTG	69	1935	818	LT934125.1	106531	106593	62.932662	62.932662	0			
AGTG	72	1955	835	LT934125.1	108165	108304	62.932662	62.932662	0			
AGTG	73	1957	836	LT934125.1	108405	108407	251.730648	62.932662	-0.6			
AGTG	74	1990	864	LT934125.1	112864	112886	62.932662	125.865324	0.333333333333333			
AGTG	75	2000	873	LT934125.1	114131	114278	125.865324	62.932662	-0.333333333333333			
AGTG	78	2017	905	LT934125.1	116540	116601	377.595972	1573.316551	0.61290322600487			
AGTG	79	2019	907	LT934125.1	116666	116719	188.797986	943.989931	0.666666666960926			
AGTG	82	2054	1003	LT934125.1	124082	124195	62.932662	62.932662	0			
AGTG	86	2072	1039	LT934125.1	126998	127051	943.989931	188.797986	-0.666666666960926			
AGTG	87	2074	1041	LT934125.1	127116	127177	1573.316551	377.595972	-0.61290322600487			
AGTG	90	2102	1056	LT934125.1	129439	129573	62.932662	62.932662	0			
AGTG	91	2112	1067	LT934125.1	130831	130853	125.865324	62.932662	-0.333333333333333			
AGTG	92	2143	1099	LT934125.1	135242	135270	62.932662	62.932662	0			
AGTG	93	2144	1100	LT934125.1	135291	135312	62.932662	251.730648	0.6			
AGTG	94	2146	1102	LT934125.1	135413	135552	62.932662	62.932662	0			
AGTG	97	2162	1121	LT934125.1	137096	137111	62.932662	62.932662	0			
AGTG	98	2165	1128	LT934125.1	137754	137936	188.797986	62.932662	-0.5			
AGTG	99	2166	1129	LT934125.1	137944	138021	62.932662	62.932662	0			
ATGG	7	1236	104	LT934125.1	12444	12447	24.301041	24.301041	0			
ATGG	8	1327	161	LT934125.1	23148	23169	24.301041	36.451562	0.20000000658408			
ATGG	10	1373	195	LT934125.1	28408	28549	60.752603	24.301041	-0.428571431930653			
ATGG	11	1379	197	LT934125.1	28794	28808	36.451562	24.301041	-0.20000000658408			
ATGG	14	1513	292	LT934125.1	47491	47642	24.301041	72.903123	0.5			
ATGG	21	1644	488	LT934125.1	64792	64909	24.301041	24.301041	0			
ATGG	23	1666	534	LT934125.1	68500	68511	24.301041	36.451562	0.20000000658408			
ATGG	24	1668	538	LT934125.1	68641	68692	48.602083	48.602083	0			
ATGG	25	1675	549	LT934125.1	69500	69516	24.301041	24.301041	0			
ATGG	26	1681	578	LT934125.1	71486	71679	24.301041	24.301041	0			
ATGG	27	1683	581	LT934125.1	71776	71845	36.451562	24.301041	-0.20000000658408			
ATGG	29	1705	617	LT934125.1	75734	75923	36.451562	24.301041	-0.20000000658408			
ATGG	30	1718	630	LT934125.1	77985	78039	36.451562	267.311453	0.759999998683184			
ATGG	32	1786	709	LT934125.1	89628	89665	36.451562	24.301041	-0.20000000658408			
ATGG	41	1893	786	LT934125.1	99777	99782	24.301041	24.301041	0			
ATGG	42	1894	788	LT934125.1	99840	99946	36.451562	36.451562	0			
ATGG	43	1897	789	LT934125.1	100128	100156	48.602083	24.301041	-0.333333342477889			
ATGG	44	1909	800	LT934125.1	101782	101827	60.752603	182.257809	0.5			
ATGG	45	1921	808	LT934125.1	103735	103805	24.301041	24.301041	0			
ATGG	49	1981	855	LT934125.1	111103	111114	121.505206	24.301041	-0.666666668952806			
ATGG	50	1984	857	LT934125.1	111713	111791	24.301041	24.301041	0			
ATGG	51	2015	903	LT934125.1	116447	116477	838.385925	3608.704633	0.62295081961315			
ATGG	54	2020	908	LT934125.1	116726	116773	109.354686	60.752603	-0.285714288233704			
ATGG	59	2071	1038	LT934125.1	126944	126991	60.752603	109.354686	0.285714288233704			
ATGG	61	2076	1043	LT934125.1	127240	127270	3608.704633	838.385925	-0.62295081961315			
ATGG	62	2119	1073	LT934125.1	131926	132004	24.301041	24.301041	0			
ATGG	66	2172	1136	LT934125.1	139912	139982	24.301041	24.301041	0			
ATGG	67	2180	1149	LT934125.1	141890	141935	182.257809	60.752603	-0.5			
GCGG	4	1370	189	LT934125.1	28152	28173	241.779497	241.779497	0			
GCGG	8	1492	249	LT934125.1	43430	43629	241.779497	241.779497	0			
GCGG	11	1566	406	LT934125.1	55486	55615	241.779497	241.779497	0			
GCGG	15	1676	554	LT934125.1	69596	69765	241.779497	483.558994	0.333333333333333			
GCGG	18	1854	763	LT934125.1	96137	96225	483.558994	241.779497	-0.333333333333333			
GCGG	20	1981	856	LT934125.1	111103	111218	241.779497	241.779497	0			
GCGG	21	1983	857	LT934125.1	111662	111786	241.779497	241.779497	0			
GCGG	22	2012	894	LT934125.1	115861	115974	241.779497	241.779497	0			
GCGG	23	2015	903	LT934125.1	116447	116477	241.779497	1934.235977	0.777777777879901			
GCGG	24	2017	904	LT934125.1	116540	116543	483.558994	725.338491	0.2			
GCGG	26	2028	926	LT934125.1	118278	118349	241.779497	241.779497	0			
GCGG	29	2075	1041	LT934125.1	127174	127177	725.338491	483.558994	-0.2			
GCGG	30	2119	1074	LT934125.1	131931	132055	241.779497	241.779497	0			
GCGG	31	2120	1076	LT934125.1	132478	132614	241.779497	241.779497	0			
GCTG	1	1163	24	LT934125.1	2466	2489	27.285874	27.285874	0			
GCTG	2	1165	27	LT934125.1	2761	2851	163.715245	27.285874	-0.714285715781592			
GCTG	25	1241	129	LT934125.1	15024	15028	27.285874	27.285874	0			
GCTG	26	1242	136	LT934125.1	15436	15533	27.285874	109.143496	0.6			
GCTG	28	1245	142	LT934125.1	15830	15952	27.285874	54.571748	0.333333333333333			
GCTG	29	1253	147	LT934125.1	16948	16950	54.571748	27.285874	-0.333333333333333			
GCTG	34	1331	162	LT934125.1	23559	23722	27.285874	54.571748	0.333333333333333			
GCTG	35	1337	163	LT934125.1	24376	24434	54.571748	27.285874	-0.333333333333333			
GCTG	37	1357	175	LT934125.1	26117	26173	136.429371	27.285874	-0.666666668702722			
GCTG	38	1359	178	LT934125.1	26672	26729	27.285874	54.571748	0.333333333333333			
GCTG	39	1361	179	LT934125.1	26873	26927	81.857622	54.571748	-0.2			
GCTG	40	1362	180	LT934125.1	26985	27008	27.285874	27.285874	0			
GCTG	41	1363	183	LT934125.1	27139	27177	27.285874	54.571748	0.333333333333333			
GCTG	42	1365	185	LT934125.1	27420	27519	27.285874	54.571748	0.333333333333333			
GCTG	44	1369	188	LT934125.1	27972	28088	27.285874	27.285874	0			
GCTG	45	1373	193	LT934125.1	28408	28470	81.857622	54.571748	-0.2			
GCTG	55	1432	235	LT934125.1	34091	34176	81.857622	27.285874	-0.5			
GCTG	56	1435	236	LT934125.1	34245	34347	27.285874	27.285874	0			
GCTG	57	1442	240	LT934125.1	34820	34887	27.285874	27.285874	0			
GCTG	58	1477	244	LT934125.1	41239	41430	27.285874	27.285874	0			
GCTG	62	1504	264	LT934125.1	45475	45596	27.285874	81.857622	0.5			
GCTG	65	1510	285	LT934125.1	46950	46978	27.285874	27.285874	0			
GCTG	70	1523	318	LT934125.1	49256	49265	27.285874	245.572866	0.8			
GCTG	71	1524	319	LT934125.1	49312	49331	27.285874	54.571748	0.333333333333333			
GCTG	72	1525	322	LT934125.1	49392	49506	81.857622	109.143496	0.142857142857143			
GCTG	73	1528	331	LT934125.1	50350	50365	81.857622	27.285874	-0.5			
GCTG	74	1529	332	LT934125.1	50424	50425	27.285874	27.285874	0			
GCTG	75	1530	333	LT934125.1	50490	50551	81.857622	27.285874	-0.5			
GCTG	76	1532	334	LT934125.1	50595	50629	27.285874	27.285874	0			
GCTG	82	1546	348	LT934125.1	51891	51892	27.285874	109.143496	0.6			
GCTG	88	1558	386	LT934125.1	54158	54168	27.285874	54.571748	0.333333333333333			
GCTG	89	1561	396	LT934125.1	54683	54745	27.285874	54.571748	0.333333333333333			
GCTG	90	1565	405	LT934125.1	55429	55458	81.857622	54.571748	-0.2			
GCTG	91	1567	406	LT934125.1	55570	55593	54.571748	27.285874	-0.333333333333333			
GCTG	101	1617	458	LT934125.1	61128	61165	27.285874	27.285874	0			
GCTG	102	1620	473	LT934125.1	62512	62653	81.857622	27.285874	-0.5			
GCTG	103	1622	474	LT934125.1	62659	62710	27.285874	27.285874	0			
GCTG	107	1634	483	LT934125.1	63935	63940	27.285874	27.285874	0			
GCTG	108	1647	489	LT934125.1	64950	64979	27.285874	27.285874	0			
GCTG	109	1648	491	LT934125.1	65219	65241	27.285874	27.285874	0			
GCTG	115	1661	509	LT934125.1	66902	66941	27.285874	27.285874	0			
GCTG	116	1662	513	LT934125.1	67091	67100	27.285874	27.285874	0			
GCTG	117	1663	518	LT934125.1	67340	67372	27.285874	54.571748	0.333333333333333			
GCTG	118	1664	529	LT934125.1	68123	68162	191.001119	136.42937	-0.166666669211736			
GCTG	119	1667	535	LT934125.1	68543	68560	27.285874	27.285874	0			
GCTG	120	1668	537	LT934125.1	68655	68665	27.285874	27.285874	0			
GCTG	121	1670	541	LT934125.1	68886	68946	54.571748	27.285874	-0.333333333333333			
GCTG	122	1672	544	LT934125.1	69140	69162	27.285874	136.42937	0.666666666666667			
GCTG	123	1673	547	LT934125.1	69304	69418	27.285874	27.285874	0			
GCTG	124	1675	549	LT934125.1	69515	69516	27.285874	27.285874	0			
GCTG	125	1676	551	LT934125.1	69593	69613	27.285874	81.857622	0.5			
GCTG	127	1678	574	LT934125.1	71162	71189	27.285874	191.001118	0.75			
GCTG	128	1682	579	LT934125.1	71532	71719	27.285874	27.285874	0			
GCTG	130	1688	584	LT934125.1	72080	72238	27.285874	27.285874	0			
GCTG	135	1700	599	LT934125.1	73686	73699	27.285874	27.285874	0			
GCTG	137	1704	616	LT934125.1	75599	75654	54.571748	54.571748	0			
GCTG	138	1708	618	LT934125.1	76021	76041	27.285874	27.285874	0			
GCTG	141	1718	630	LT934125.1	77985	78039	81.857622	327.430488	0.6			
GCTG	142	1720	639	LT934125.1	79145	79216	27.285874	54.571748	0.333333333333333			
GCTG	148	1728	650	LT934125.1	80238	80270	27.285874	27.285874	0			
GCTG	149	1729	653	LT934125.1	80633	80729	27.285874	27.285874	0			
GCTG	155	1749	667	LT934125.1	82433	82468	27.285874	27.285874	0			
GCTG	156	1754	673	LT934125.1	83713	83752	27.285874	27.285874	0			
GCTG	157	1758	681	LT934125.1	84963	85089	27.285874	27.285874	0			
GCTG	160	1772	694	LT934125.1	87680	87732	27.285874	27.285874	0			
GCTG	164	1786	709	LT934125.1	89628	89649	136.42937	27.285874	-0.666666666666667			
GCTG	165	1788	712	LT934125.1	89828	89906	54.571748	27.285874	-0.333333333333333			
GCTG	166	1790	716	LT934125.1	90326	90381	27.285874	27.285874	0			
GCTG	167	1791	717	LT934125.1	90482	90498	27.285874	27.285874	0			
GCTG	171	1801	732	LT934125.1	92125	92166	27.285874	27.285874	0			
GCTG	172	1802	733	LT934125.1	92217	92265	54.571748	27.285874	-0.333333333333333			
GCTG	188	1847	757	LT934125.1	95564	95589	27.285874	109.143496	0.6			
GCTG	189	1848	759	LT934125.1	95694	95695	218.286993	27.285874	-0.777777778682691			
GCTG	190	1849	761	LT934125.1	95792	95843	27.285874	27.285874	0			
GCTG	191	1856	764	LT934125.1	96282	96479	81.857622	27.285874	-0.5			
GCTG	192	1860	766	LT934125.1	96540	96597	27.285874	191.001119	0.750000001145281			
GCTG	193	1861	767	LT934125.1	96598	96654	163.715244	54.571748	-0.5			
GCTG	194	1863	768	LT934125.1	96698	96721	27.285874	54.571748	0.333333333333333			
GCTG	198	1878	779	LT934125.1	98415	98429	191.001119	27.285874	-0.750000001145281			
GCTG	199	1880	780	LT934125.1	98596	98678	54.571748	27.285874	-0.333333333333333			
GCTG	200	1887	783	LT934125.1	98973	99090	54.571748	27.285874	-0.333333333333333			
GCTG	201	1890	784	LT934125.1	99396	99516	27.285874	27.285874	0			
GCTG	202	1892	787	LT934125.1	99703	99833	27.285874	27.285874	0			
GCTG	204	1907	796	LT934125.1	101390	101464	27.285874	27.285874	0			
GCTG	205	1909	800	LT934125.1	101779	101803	54.571748	54.571748	0			
GCTG	206	1911	804	LT934125.1	101970	102062	27.285874	163.715244	0.714285714285714			
GCTG	207	1914	805	LT934125.1	102105	102213	27.285874	27.285874	0			
GCTG	208	1925	811	LT934125.1	104542	104730	27.285874	27.285874	0			
GCTG	209	1930	816	LT934125.1	105947	106104	27.285874	27.285874	0			
GCTG	210	1936	819	LT934125.1	106601	106633	27.285874	27.285874	0			
GCTG	214	1954	833	LT934125.1	108044	108189	54.571748	27.285874	-0.333333333333333			
GCTG	215	1956	835	LT934125.1	108303	108310	27.285874	136.42937	0.666666666666667			
GCTG	217	1963	845	LT934125.1	109561	109637	27.285874	27.285874	0			
GCTG	218	1970	846	LT934125.1	110111	110147	27.285874	27.285874	0			
GCTG	219	1971	847	LT934125.1	110157	110202	27.285874	27.285874	0			
GCTG	220	1972	849	LT934125.1	110350	110407	27.285874	54.571748	0.333333333333333			
GCTG	221	1973	852	LT934125.1	110519	110601	27.285874	27.285874	0			
GCTG	223	1977	854	LT934125.1	110748	110768	81.857622	54.571748	-0.2			
GCTG	224	1981	855	LT934125.1	111103	111115	54.571748	81.857622	0.2			
GCTG	225	1988	861	LT934125.1	112476	112524	27.285874	27.285874	0			
GCTG	226	1991	866	LT934125.1	112949	113029	27.285874	27.285874	0			
GCTG	227	1993	868	LT934125.1	113156	113179	54.571748	27.285874	-0.333333333333333			
GCTG	228	1995	869	LT934125.1	113391	113440	27.285874	81.857622	0.5			
GCTG	229	1996	870	LT934125.1	113543	113625	27.285874	27.285874	0			
GCTG	230	2007	879	LT934125.1	114991	115097	27.285874	27.285874	0			
GCTG	234	2015	903	LT934125.1	116447	116478	1364.293705	9004.338452	0.736842105237778			
GCTG	237	2022	909	LT934125.1	116834	116835	27.285874	27.285874	0			
GCTG	244	2037	948	LT934125.1	119544	119716	27.285874	191.001118	0.75			
GCTG	251	2048	985	LT934125.1	122439	122465	54.571748	191.001118	0.555555555555555			
GCTG	253	2052	996	LT934125.1	123596	123637	27.285874	81.857622	0.5			
GCTG	254	2053	998	LT934125.1	123802	123825	27.285874	54.571748	0.333333333333333			
GCTG	259	2068	1034	LT934125.1	126522	126675	27.285874	27.285874	0			
GCTG	260	2070	1037	LT934125.1	126881	126932	27.285874	54.571748	0.333333333333333			
GCTG	263	2076	1043	LT934125.1	127239	127270	9004.338452	1364.293705	-0.736842105237778			
GCTG	266	2098	1049	LT934125.1	128683	128726	54.571748	27.285874	-0.333333333333333			
GCTG	267	2105	1060	LT934125.1	130092	130121	27.285874	27.285874	0			
GCTG	268	2106	1062	LT934125.1	130272	130326	81.857622	27.285874	-0.5			
GCTG	269	2107	1063	LT934125.1	130360	130408	27.285874	27.285874	0			
GCTG	270	2108	1064	LT934125.1	130538	130561	27.285874	54.571748	0.333333333333333			
GCTG	271	2110	1066	LT934125.1	130688	130768	27.285874	27.285874	0			
GCTG	272	2115	1069	LT934125.1	131193	131241	27.285874	27.285874	0			
GCTG	273	2120	1076	LT934125.1	132470	132613	27.285874	54.571748	0.333333333333333			
GCTG	274	2122	1081	LT934125.1	132886	132944	27.285874	27.285874	0			
GCTG	276	2126	1084	LT934125.1	133077	133098	27.285874	27.285874	0			
GCTG	277	2130	1086	LT934125.1	133310	133367	54.571748	27.285874	-0.333333333333333			
GCTG	278	2132	1087	LT934125.1	133515	133560	27.285874	27.285874	0			
GCTG	279	2133	1088	LT934125.1	133570	133606	27.285874	27.285874	0			
GCTG	280	2134	1093	LT934125.1	134040	134081	109.143496	27.285874	-0.6			
GCTG	281	2142	1098	LT934125.1	135149	135172	27.285874	27.285874	0			
GCTG	283	2146	1101	LT934125.1	135407	135414	136.42937	27.285874	-0.666666666666667			
GCTG	287	2162	1121	LT934125.1	137084	137116	27.285874	27.285874	0			
GCTG	288	2164	1127	LT934125.1	137598	137770	27.285874	27.285874	0			
GCTG	289	2169	1132	LT934125.1	138987	139175	27.285874	27.285874	0			
GCTG	290	2175	1143	LT934125.1	141504	141545	27.285874	54.571748	0.333333333333333			
GCTG	291	2177	1147	LT934125.1	141710	141747	27.285874	27.285874	0			
GCTG	292	2180	1149	LT934125.1	141914	141935	163.715244	54.571748	-0.5			
GCTG	293	2184	1151	LT934125.1	142253	142310	27.285874	27.285874	0			
TACG	1	1283	151	LT934125.1	18903	18908	2839.295855	567.859171	-0.666666666666667			
TACG	4	1673	546	LT934125.1	69285	69290	567.859171	567.859171	0			
TACG	6	1817	743	LT934125.1	93263	93432	567.859171	1135.718342	0.333333333333333			
TACG	8	1848	762	LT934125.1	95694	95875	567.859171	567.859171	0			
TACG	9	1989	862	LT934125.1	112543	112743	567.859171	567.859171	0			
TACG	11	2016	904	LT934125.1	116488	116527	567.859171	4542.873368	0.777777777777778			
TACG	12	2018	905	LT934125.1	116575	116584	567.859171	2839.295855	0.666666666666667			
TACG	14	2074	1040	LT934125.1	127133	127142	2839.295855	567.859171	-0.666666666666667			
TACG	15	2075	1042	LT934125.1	127190	127229	4542.873368	567.859171	-0.777777777777778			
TACG	17	2114	1068	LT934125.1	130974	131174	567.859171	567.859171	0			
