sample,hpi,Time,libtype,group,cell_line,sample_name,seqnames,strand,pos,count,endtype
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1286,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1292,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1292,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1305,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1327,2,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1331,2,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1331,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1331,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1332,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1332,4,prime5
GCGG,4h,4,CAGE,PC-12_CAGE_4h,PC-12,PC-12_CAGE_4h,LT934125.1,+,1332,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1332,2,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1333,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1333,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1334,40,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1334,13,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1334,3,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1334,1,prime5
TACG,4h,4,CAGE,C6_CAGE_4h,C6,C6_CAGE_4h,LT934125.1,+,1334,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1335,2,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1335,3,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1336,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1336,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1336,2,prime5
GCGG,4h,4,CAGE,PC-12_CAGE_4h,PC-12,PC-12_CAGE_4h,LT934125.1,+,1336,2,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1337,27,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1337,21,prime5
GCGG,4h,4,CAGE,PC-12_CAGE_4h,PC-12,PC-12_CAGE_4h,LT934125.1,+,1337,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1337,3,prime5
TACG,4h,4,CAGE,C6_CAGE_4h,C6,C6_CAGE_4h,LT934125.1,+,1337,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1339,7,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1339,10,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1339,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1339,5,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1356,1,prime5
TACG,4h,4,CAGE,C6_CAGE_4h,C6,C6_CAGE_4h,LT934125.1,+,1356,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1361,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1379,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1380,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1381,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1382,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1397,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1401,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1404,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1444,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1468,2,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1469,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1469,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1501,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1501,4,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1501,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1533,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1571,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1590,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1597,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1597,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1598,2,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1598,1,prime5
GCGG,4h,4,CAGE,PC-12_CAGE_4h,PC-12,PC-12_CAGE_4h,LT934125.1,+,1599,2,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1600,167,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1600,2,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1600,45,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1600,23,prime5
TACG,4h,4,CAGE,C6_CAGE_4h,C6,C6_CAGE_4h,LT934125.1,+,1600,3,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1602,9,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1602,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1602,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1603,34,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1603,2,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1603,9,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1603,8,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1604,2,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1604,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1616,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1619,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1619,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1644,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1645,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1647,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1647,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1655,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1658,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1660,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1666,2,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1669,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1712,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1712,2,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1712,4,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1712,3,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1713,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1713,3,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1714,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1715,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1715,3,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1718,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1720,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1723,2,prime5
TACG,4h,4,CAGE,C6_CAGE_4h,C6,C6_CAGE_4h,LT934125.1,+,1723,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1725,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1728,2,prime5
GCGG,4h,4,CAGE,PC-12_CAGE_4h,PC-12,PC-12_CAGE_4h,LT934125.1,+,1728,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1729,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1729,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1772,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1773,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1774,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1783,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1787,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1793,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1793,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1797,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1815,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1816,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1830,2,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1830,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1836,2,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1838,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1851,3,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1852,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1852,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1853,4,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1854,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1854,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1854,2,prime5
TACG,4h,4,CAGE,C6_CAGE_4h,C6,C6_CAGE_4h,LT934125.1,+,1854,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1869,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1870,3,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1870,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1871,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1871,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1871,6,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1873,2,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1873,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1898,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1899,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1901,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1910,1,prime5
TACG,4h,4,CAGE,C6_CAGE_4h,C6,C6_CAGE_4h,LT934125.1,+,1911,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1912,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1912,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1914,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1914,2,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1914,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1915,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1934,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1935,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1935,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,1967,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1967,1,prime5
GCTG,12h,12,CAGE,C6_CAGE_12h,C6,C6_CAGE_12h,LT934125.1,+,1967,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,1974,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,1976,1,prime5
ATGG,12h,12,CAGE,PC-12_CAGE_12h,PC-12,PC-12_CAGE_12h,LT934125.1,+,2013,1,prime5
ACCG,12h,12,CAGE,PK-15_CAGE_12h,PK-15,PK-15_CAGE_12h,LT934125.1,+,2014,1,prime5
AGTG,4h,4,CAGE,PK-15_CAGE_4h,PK-15,PK-15_CAGE_4h,LT934125.1,+,2014,1,prime5
GCGG,4h,4,CAGE,PC-12_CAGE_4h,PC-12,PC-12_CAGE_4h,LT934125.1,+,2017,1,prime5
