group	cluster	chr	start	end	strand	dominant_tss	tags	tags.dominant_tss	q_0.1	q_0.9	interquantile_width	shape.score	cluster_width	group.y	hpi	cell_line	Time
ACCG	59	LT934125.1	9265	9270	+	9270	12223.274642	10908.75041	9267	9270	4	0.331723457764852	6	PK_15_12h	12h	PK_15	12
ACCG	60	LT934125.1	9339	9339	+	9339	14.405745	14.405745	9339	9339	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	61	LT934125.1	9413	9415	+	9415	435.773787	406.962297	9415	9415	1	0	3	PK_15_12h	12h	PK_15	12
ACCG	62	LT934125.1	9480	9480	+	9480	108.043088	108.043088	9480	9480	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	63	LT934125.1	9547	9550	+	9548	392.556551	270.107719	9548	9550	3	1.3533580256717	4	PK_15_12h	12h	PK_15	12
ACCG	64	LT934125.1	9592	9592	+	9592	21.608618	21.608618	9592	9592	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	65	LT934125.1	9638	9644	+	9643	26935.141735	24680.64264	9643	9643	1	0	7	PK_15_12h	12h	PK_15	12
ACCG	67	LT934125.1	9757	9768	+	9760	367.346499	309.723518	9760	9760	1	0	12	PK_15_12h	12h	PK_15	12
ACCG	68	LT934125.1	9803	9803	+	9803	61.224416	61.224416	9803	9803	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	69	LT934125.1	9862	9866	+	9862	57.622981	36.014363	9862	9866	5	2.2161271298193	5	PK_15_12h	12h	PK_15	12
ACCG	70	LT934125.1	9933	9949	+	9933	421.368041	230.49192	9933	9949	17	5.49024829634309	17	PK_15_12h	12h	PK_15	12
ACCG	71	LT934125.1	9998	10012	+	10009	118.847397	28.81149	9998	10012	15	8.9782495234633	15	PK_15_12h	12h	PK_15	12
ACCG	73	LT934125.1	10088	10089	+	10089	169.267504	151.260323	10088	10089	2	0.48890858642327	2	PK_15_12h	12h	PK_15	12
ACCG	74	LT934125.1	10163	10163	+	10163	18.007181	18.007181	10163	10163	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	78	LT934125.1	10426	10433	+	10428	9561.813251	8204.071784	10428	10432	5	0.694693047774794	8	PK_15_12h	12h	PK_15	12
ACCG	82	LT934125.1	10784	10784	+	10784	18.007181	18.007181	10784	10784	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	85	LT934125.1	10998	10998	+	10998	18.007181	18.007181	10998	10998	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	90	LT934125.1	11526	11526	+	11526	18.007181	18.007181	11526	11526	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	91	LT934125.1	11628	11628	+	11628	158.463195	158.463195	11628	11628	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	93	LT934125.1	11789	11794	+	11793	76155.971001	55141.590466	11793	11794	2	0.765730046059601	6	PK_15_12h	12h	PK_15	12
ACCG	94	LT934125.1	11859	11872	+	11863	108.043089	64.825853	11859	11872	14	5.21969551603592	14	PK_15_12h	12h	PK_15	12
ACCG	95	LT934125.1	11920	11938	+	11921	507.802513	201.68043	11921	11936	16	9.66169129233631	19	PK_15_12h	12h	PK_15	12
ACCG	96	LT934125.1	11969	11980	+	11977	529.41113	295.317773	11973	11979	7	4.19360401028626	12	PK_15_12h	12h	PK_15	12
ACCG	98	LT934125.1	12010	12070	+	12068	2510.20107	345.73788	12019	12068	50	22.2970785425293	61	PK_15_12h	12h	PK_15	12
ACCG	99	LT934125.1	12104	12114	+	12114	489.795331	172.86894	12109	12114	6	5.61286174745836	11	PK_15_12h	12h	PK_15	12
ACCG	101	LT934125.1	12211	12211	+	12211	21.608618	21.608618	12211	12211	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	103	LT934125.1	12416	12416	+	12416	14.405745	14.405745	12416	12416	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	105	LT934125.1	12842	12842	+	12842	18.007181	18.007181	12842	12842	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	110	LT934125.1	13593	13598	+	13593	28.81149	14.405745	13593	13598	6	2.58496250072116	6	PK_15_12h	12h	PK_15	12
ACCG	113	LT934125.1	14044	14051	+	14046	13822.312338	8081.622951	14046	14048	3	1.70115929831112	8	PK_15_12h	12h	PK_15	12
ACCG	114	LT934125.1	14138	14138	+	14138	21.608618	21.608618	14138	14138	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	118	LT934125.1	14294	14294	+	14294	18.007181	18.007181	14294	14294	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	122	LT934125.1	14563	14563	+	14563	14.405745	14.405745	14563	14563	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	123	LT934125.1	14605	14605	+	14605	46.818671	46.818671	14605	14605	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	126	LT934125.1	14821	14821	+	14821	28.81149	28.81149	14821	14821	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	127	LT934125.1	14861	14861	+	14861	18.007181	18.007181	14861	14861	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	128	LT934125.1	14955	14955	+	14955	36.014363	36.014363	14955	14955	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	130	LT934125.1	15085	15085	+	15085	18.007181	18.007181	15085	15085	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	131	LT934125.1	15174	15174	+	15174	14.405745	14.405745	15174	15174	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	132	LT934125.1	15286	15286	+	15286	14.405745	14.405745	15286	15286	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	134	LT934125.1	15377	15377	+	15377	25.210054	25.210054	15377	15377	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	136	LT934125.1	15534	15534	+	15534	90.035906	90.035906	15534	15534	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	137	LT934125.1	15592	15599	+	15599	306.122082	158.463195	15593	15599	7	4.89730415961501	8	PK_15_12h	12h	PK_15	12
ACCG	138	LT934125.1	15639	15649	+	15639	100.840215	54.021544	15639	15649	11	4.99059314004692	11	PK_15_12h	12h	PK_15	12
ACCG	139	LT934125.1	15697	15697	+	15697	64.825853	64.825853	15697	15697	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	140	LT934125.1	15752	15768	+	15752	90.035907	50.420108	15752	15768	17	5.7456568095503	17	PK_15_12h	12h	PK_15	12
ACCG	162	LT934125.1	23722	23722	+	23722	18.007181	18.007181	23722	23722	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	168	LT934125.1	25369	25369	+	25369	14.405745	14.405745	25369	25369	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	169	LT934125.1	25418	25422	+	25422	75.630162	28.81149	25418	25422	5	3.65730282610403	5	PK_15_12h	12h	PK_15	12
ACCG	187	LT934125.1	27846	27846	+	27846	21.608618	21.608618	27846	27846	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	196	LT934125.1	28627	28627	+	28627	14.405745	14.405745	28627	28627	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	202	LT934125.1	29464	29465	+	29465	36.014363	21.608618	29464	29465	2	0.970950591206173	2	PK_15_12h	12h	PK_15	12
ACCG	204	LT934125.1	30236	30240	+	30236	489.79533	295.317773	30236	30240	5	2.98453694158229	5	PK_15_12h	12h	PK_15	12
ACCG	215	LT934125.1	31093	31098	+	31098	3849.935354	2690.272881	31096	31098	3	1.61749590762993	6	PK_15_12h	12h	PK_15	12
ACCG	216	LT934125.1	31147	31151	+	31151	46.818671	28.81149	31147	31151	5	2.23192227316659	5	PK_15_12h	12h	PK_15	12
ACCG	217	LT934125.1	31231	31231	+	31231	39.615799	39.615799	31231	31231	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	218	LT934125.1	31270	31272	+	31271	403.360861	288.1149	31271	31272	2	0.803715925386238	3	PK_15_12h	12h	PK_15	12
ACCG	220	LT934125.1	31357	31357	+	31357	21.608618	21.608618	31357	31357	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	221	LT934125.1	31455	31456	+	31456	86.43447	72.028725	31455	31456	2	0.650022421648354	2	PK_15_12h	12h	PK_15	12
ACCG	222	LT934125.1	31559	31559	+	31559	21.608618	21.608618	31559	31559	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	223	LT934125.1	31604	31605	+	31605	126.050269	104.441651	31604	31605	2	0.660962343387699	2	PK_15_12h	12h	PK_15	12
ACCG	226	LT934125.1	31770	31770	+	31770	14.405745	14.405745	31770	31770	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	227	LT934125.1	31859	31860	+	31860	108.043088	57.62298	31859	31860	2	0.996791632457114	2	PK_15_12h	12h	PK_15	12
ACCG	228	LT934125.1	31932	31940	+	31933	273.709155	126.050269	31932	31940	9	4.45408915948655	9	PK_15_12h	12h	PK_15	12
ACCG	229	LT934125.1	32020	32038	+	32038	28249.665965	15248.481094	32036	32038	3	1.84095089681356	19	PK_15_12h	12h	PK_15	12
ACCG	231	LT934125.1	32164	32164	+	32164	18.007181	18.007181	32164	32164	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	245	LT934125.1	41706	41706	+	41706	14.405745	14.405745	41706	41706	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	252	LT934125.1	44807	44812	+	44812	12252.086133	9432.161546	44810	44812	3	1.20902958747541	6	PK_15_12h	12h	PK_15	12
ACCG	254	LT934125.1	44946	44946	+	44946	28.81149	28.81149	44946	44946	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	256	LT934125.1	45065	45065	+	45065	28.81149	28.81149	45065	45065	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	260	LT934125.1	45306	45306	+	45306	32.412926	32.412926	45306	45306	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	267	LT934125.1	45839	45839	+	45839	14.405745	14.405745	45839	45839	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	268	LT934125.1	45956	45956	+	45956	21.608618	21.608618	45956	45956	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	269	LT934125.1	46018	46026	+	46023	1310.922796	569.026928	46023	46025	3	2.36878990744711	9	PK_15_12h	12h	PK_15	12
ACCG	270	LT934125.1	46086	46086	+	46086	14.405745	14.405745	46086	46086	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	271	LT934125.1	46170	46170	+	46170	25.210054	25.210054	46170	46170	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	272	LT934125.1	46235	46235	+	46235	1447.777374	1447.777374	46235	46235	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	276	LT934125.1	46489	46489	+	46489	18.007181	18.007181	46489	46489	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	289	LT934125.1	47313	47315	+	47315	57.62298	39.615799	47313	47315	3	1.42018698995777	3	PK_15_12h	12h	PK_15	12
ACCG	305	LT934125.1	48412	48412	+	48412	18.007181	18.007181	48412	48412	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	306	LT934125.1	48493	48493	+	48493	43.217235	43.217235	48493	48493	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	307	LT934125.1	48565	48570	+	48567	1490.994608	1260.502688	48567	48570	4	1.26564834750376	6	PK_15_12h	12h	PK_15	12
ACCG	317	LT934125.1	49193	49196	+	49196	39.615799	21.608618	49193	49196	4	1.98806041812509	4	PK_15_12h	12h	PK_15	12
ACCG	323	LT934125.1	49580	49580	+	49580	14.405745	14.405745	49580	49580	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	325	LT934125.1	49738	49738	+	49738	14.405745	14.405745	49738	49738	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	327	LT934125.1	49835	49835	+	49835	14.405745	14.405745	49835	49835	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	328	LT934125.1	49959	49959	+	49959	21.608618	21.608618	49959	49959	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	338	LT934125.1	51148	51152	+	51148	133.253141	75.630161	51148	51152	5	3.10583352845419	5	PK_15_12h	12h	PK_15	12
ACCG	339	LT934125.1	51234	51237	+	51235	7429.76299	4768.301599	51235	51237	3	1.73501407332352	4	PK_15_12h	12h	PK_15	12
ACCG	345	LT934125.1	51681	51681	+	51681	21.608618	21.608618	51681	51681	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	346	LT934125.1	51739	51739	+	51739	25.210054	25.210054	51739	51739	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	349	LT934125.1	51989	51989	+	51989	54.021544	54.021544	51989	51989	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	350	LT934125.1	52046	52051	+	52046	190.876122	169.267504	52046	52051	6	1.31707904147961	6	PK_15_12h	12h	PK_15	12
ACCG	351	LT934125.1	52117	52120	+	52117	97.238779	68.427289	52117	52120	4	1.75343257609765	4	PK_15_12h	12h	PK_15	12
ACCG	352	LT934125.1	52169	52169	+	52169	32.412926	32.412926	52169	52169	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	356	LT934125.1	52382	52382	+	52382	21.608618	21.608618	52382	52382	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	357	LT934125.1	52460	52461	+	52460	1238.894071	1174.068218	52460	52460	1	0	2	PK_15_12h	12h	PK_15	12
ACCG	376	LT934125.1	53642	53648	+	53648	14286.897615	11128.438021	53644	53648	5	2.20971547648302	7	PK_15_12h	12h	PK_15	12
ACCG	380	LT934125.1	53930	53930	+	53930	36.014363	36.014363	53930	53930	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	382	LT934125.1	53991	54000	+	54000	75.630161	32.412926	53991	54000	10	5.01600715987416	10	PK_15_12h	12h	PK_15	12
ACCG	384	LT934125.1	54075	54075	+	54075	50.420108	50.420108	54075	54075	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	388	LT934125.1	54292	54292	+	54292	14.405745	14.405745	54292	54292	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	394	LT934125.1	54646	54646	+	54646	14.405745	14.405745	54646	54646	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	396	LT934125.1	54744	54745	+	54745	64.825853	43.217235	54744	54745	2	0.918295839196471	2	PK_15_12h	12h	PK_15	12
ACCG	400	LT934125.1	54938	54940	+	54938	46.818671	28.81149	54938	54940	3	1.52352396927476	3	PK_15_12h	12h	PK_15	12
ACCG	410	LT934125.1	55900	55900	+	55900	14.405745	14.405745	55900	55900	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	424	LT934125.1	58622	58622	+	58622	43.217235	43.217235	58622	58622	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	428	LT934125.1	59068	59070	+	59068	1318.125668	1130.850983	59068	59070	3	0.934575131729271	3	PK_15_12h	12h	PK_15	12
ACCG	433	LT934125.1	59333	59333	+	59333	18.007181	18.007181	59333	59333	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	440	LT934125.1	59793	59793	+	59793	25.210054	25.210054	59793	59793	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	443	LT934125.1	60232	60239	+	60232	1451.37881	522.208257	60232	60236	5	4.26485307991945	8	PK_15_12h	12h	PK_15	12
ACCG	457	LT934125.1	61076	61076	+	61076	72.028725	72.028725	61076	61076	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	470	LT934125.1	62281	62281	+	62281	14.405745	14.405745	62281	62281	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	471	LT934125.1	62325	62325	+	62325	21.608618	21.608618	62325	62325	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	477	LT934125.1	62977	62977	+	62977	14.405745	14.405745	62977	62977	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	478	LT934125.1	63061	63061	+	63061	14.405745	14.405745	63061	63061	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	495	LT934125.1	65805	65807	+	65807	947.177734	543.816874	65805	65807	3	1.81029745011004	3	PK_15_12h	12h	PK_15	12
ACCG	500	LT934125.1	66330	66338	+	66338	29214.850883	28285.680329	66338	66338	1	0	9	PK_15_12h	12h	PK_15	12
ACCG	501	LT934125.1	66427	66427	+	66427	14.405745	14.405745	66427	66427	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	508	LT934125.1	66800	66800	+	66800	18.007181	18.007181	66800	66800	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	518	LT934125.1	67373	67373	+	67373	14.405745	14.405745	67373	67373	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	526	LT934125.1	67962	67964	+	67962	28.81149	14.405745	67962	67964	3	1.58496250072116	3	PK_15_12h	12h	PK_15	12
ACCG	531	LT934125.1	68292	68292	+	68292	21.608618	21.608618	68292	68292	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	533	LT934125.1	68460	68460	+	68460	14.405745	14.405745	68460	68460	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	534	LT934125.1	68510	68510	+	68510	18.007181	18.007181	68510	68510	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	535	LT934125.1	68557	68563	+	68557	46.818671	28.81149	68557	68563	7	2.69853230727551	7	PK_15_12h	12h	PK_15	12
ACCG	543	LT934125.1	69095	69095	+	69095	18.007181	18.007181	69095	69095	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	556	LT934125.1	69949	69949	+	69949	14.405745	14.405745	69949	69949	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	557	LT934125.1	70087	70090	+	70087	226.890484	151.260323	70087	70090	4	1.8365916651707	4	PK_15_12h	12h	PK_15	12
ACCG	558	LT934125.1	70135	70135	+	70135	28.81149	28.81149	70135	70135	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	563	LT934125.1	70526	70534	+	70531	13966.369788	8146.448804	70526	70531	6	3.8987194452751	9	PK_15_12h	12h	PK_15	12
ACCG	571	LT934125.1	71008	71008	+	71008	32.412926	32.412926	71008	71008	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	580	LT934125.1	71767	71767	+	71767	14.405745	14.405745	71767	71767	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	585	LT934125.1	72277	72277	+	72277	14.405745	14.405745	72277	72277	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	586	LT934125.1	72356	72356	+	72356	28.81149	28.81149	72356	72356	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	589	LT934125.1	72539	72539	+	72539	46.818671	46.818671	72539	72539	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	593	LT934125.1	72758	72763	+	72760	1235.292634	424.969478	72759	72763	5	3.67161734195618	6	PK_15_12h	12h	PK_15	12
ACCG	594	LT934125.1	72813	72813	+	72813	21.608618	21.608618	72813	72813	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	601	LT934125.1	74398	74405	+	74402	6533.005364	2999.996399	74400	74402	3	1.58430550999212	8	PK_15_12h	12h	PK_15	12
ACCG	608	LT934125.1	75018	75018	+	75018	14.405745	14.405745	75018	75018	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	609	LT934125.1	75100	75100	+	75100	43.217235	43.217235	75100	75100	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	612	LT934125.1	75247	75247	+	75247	14.405745	14.405745	75247	75247	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	615	LT934125.1	75568	75568	+	75568	14.405745	14.405745	75568	75568	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	616	LT934125.1	75653	75657	+	75654	154.861759	100.840215	75653	75657	5	2.97379387075365	5	PK_15_12h	12h	PK_15	12
ACCG	621	LT934125.1	76677	76685	+	76685	349.339316	154.861759	76683	76685	3	1.9351125207319	9	PK_15_12h	12h	PK_15	12
ACCG	622	LT934125.1	76749	76749	+	76749	14.405745	14.405745	76749	76749	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	626	LT934125.1	76918	76920	+	76918	39.615799	25.210054	76918	76920	3	1.49883611827611	3	PK_15_12h	12h	PK_15	12
ACCG	627	LT934125.1	76990	76990	+	76990	61.224416	61.224416	76990	76990	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	630	LT934125.1	78037	78041	+	78039	79.231597	32.412926	78037	78041	5	4.42945042069939	5	PK_15_12h	12h	PK_15	12
ACCG	638	LT934125.1	79142	79142	+	79142	21.608618	21.608618	79142	79142	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	641	LT934125.1	79440	79444	+	79444	5564.219011	4620.642712	79441	79444	4	1.37260174242832	5	PK_15_12h	12h	PK_15	12
ACCG	642	LT934125.1	79550	79551	+	79551	39.615799	21.608618	79550	79551	2	0.994030209062544	2	PK_15_12h	12h	PK_15	12
ACCG	647	LT934125.1	79937	79939	+	79937	32.412926	18.007181	79937	79939	3	1.57081839195517	3	PK_15_12h	12h	PK_15	12
ACCG	649	LT934125.1	80193	80193	+	80193	14.405745	14.405745	80193	80193	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	654	LT934125.1	81081	81082	+	81082	118.847396	104.441651	81081	81082	2	0.532835063762935	2	PK_15_12h	12h	PK_15	12
ACCG	675	LT934125.1	83973	83978	+	83978	118.847396	61.224416	83973	83978	6	3.70626826373421	6	PK_15_12h	12h	PK_15	12
ACCG	692	LT934125.1	87216	87216	+	87216	14.405745	14.405745	87216	87216	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	700	LT934125.1	88885	88888	+	88885	460.98384	248.499101	88885	88888	4	2.74521035126512	4	PK_15_12h	12h	PK_15	12
ACCG	703	LT934125.1	89131	89133	+	89131	64.825852	46.818671	89131	89133	3	1.35103023983505	3	PK_15_12h	12h	PK_15	12
ACCG	725	LT934125.1	91360	91360	+	91360	14.405745	14.405745	91360	91360	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	726	LT934125.1	91408	91412	+	91408	979.590661	500.599639	91408	91412	5	3.30106089111992	5	PK_15_12h	12h	PK_15	12
ACCG	728	LT934125.1	91542	91548	+	91548	262.904847	194.477558	91544	91548	5	2.24403119361456	7	PK_15_12h	12h	PK_15	12
ACCG	738	LT934125.1	92926	92926	+	92926	18.007181	18.007181	92926	92926	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	739	LT934125.1	92970	92970	+	92970	25.210054	25.210054	92970	92970	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	743	LT934125.1	93437	93437	+	93437	18.007181	18.007181	93437	93437	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	747	LT934125.1	94512	94512	+	94512	25.210054	25.210054	94512	94512	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	748	LT934125.1	94577	94581	+	94580	216.086175	133.253141	94577	94581	5	3.11875048708529	5	PK_15_12h	12h	PK_15	12
ACCG	750	LT934125.1	94961	94961	+	94961	14.405745	14.405745	94961	94961	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	751	LT934125.1	95029	95029	+	95029	68.427289	68.427289	95029	95029	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	753	LT934125.1	95170	95170	+	95170	14.405745	14.405745	95170	95170	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	754	LT934125.1	95210	95210	+	95210	14.405745	14.405745	95210	95210	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	755	LT934125.1	95397	95397	+	95397	21.608618	21.608618	95397	95397	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	756	LT934125.1	95446	95446	+	95446	18.007181	18.007181	95446	95446	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	758	LT934125.1	95624	95624	+	95624	28.81149	28.81149	95624	95624	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	760	LT934125.1	95743	95749	+	95746	831.931774	644.657089	95746	95748	3	0.830903450783153	7	PK_15_12h	12h	PK_15	12
ACCG	762	LT934125.1	95875	95880	+	95875	108.043088	72.028725	95875	95880	6	2.37376030357441	6	PK_15_12h	12h	PK_15	12
ACCG	767	LT934125.1	96654	96654	+	96654	25.210054	25.210054	96654	96654	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	770	LT934125.1	96885	96886	+	96885	97.238779	64.825853	96885	96886	2	0.918295830626502	2	PK_15_12h	12h	PK_15	12
ACCG	773	LT934125.1	97394	97394	+	97394	36.014363	36.014363	97394	97394	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	774	LT934125.1	97550	97550	+	97550	14.405745	14.405745	97550	97550	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	794	LT934125.1	101290	101296	+	101293	716.685814	288.1149	101290	101293	4	3.05549890172746	7	PK_15_12h	12h	PK_15	12
ACCG	796	LT934125.1	101463	101463	+	101463	14.405745	14.405745	101463	101463	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	797	LT934125.1	101574	101574	+	101574	14.405745	14.405745	101574	101574	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	799	LT934125.1	101726	101726	+	101726	18.007181	18.007181	101726	101726	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	800	LT934125.1	101827	101828	+	101828	230.49192	201.68043	101827	101828	2	0.543564443199596	2	PK_15_12h	12h	PK_15	12
ACCG	803	LT934125.1	101990	101990	+	101990	43.217235	43.217235	101990	101990	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	804	LT934125.1	102057	102057	+	102057	25.210054	25.210054	102057	102057	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	808	LT934125.1	103805	103805	+	103805	14.405745	14.405745	103805	103805	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	822	LT934125.1	107310	107310	+	107310	21.608618	21.608618	107310	107310	1	0	1	PK_15_12h	12h	PK_15	12
ACCG	824	LT934125.1	107418	107433	+	107432	194.477558	50.420108	107420	107432	13	7.33456753557308	16	PK_15_12h	12h	PK_15	12
ACCG	825	LT934125.1	107473	107482	+	107482	7739.486507	7710.675017	107482	107482	1	0	10	PK_15_12h	12h	PK_15	12
ACCG	826	LT934125.1	107610	107615	+	107610	50.420108	21.608618	107610	107615	6	4.02389920671885	6	PK_15_12h	12h	PK_15	12
