sample	seqnames	strand	window_start	window_end	sum_coverage	mean_coverage	sd_coverage	median_coverage	min_coverage	max_coverage	varcoeff_coverage	cell_line	hpi	Time	bamfiles	libtype	group	sample_name
ACCG	LT934125.1	+	851	900	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	901	950	8	0.16	0.548095031235739	0	0	2	3.42559394522337	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	951	1000	3687	73.74	112.081386246143	4	2	253	1.5199537055349	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1001	1050	8899	177.98	112.175971453019	249	0	251	0.630272903994939	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1051	1100	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1101	1150	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1151	1200	20	0.4	0.494871659305394	0	0	1	1.23717914826348	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1201	1250	28	0.56	0.501426536422407	1	0	1	0.895404529325727	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1251	1300	225	4.5	2.12132034355964	5	0	7	0.471404520791032	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1301	1350	978	19.56	23.1544591729506	4.5	2	54	1.18376580638807	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1351	1400	1827	36.54	24.520886557199	53	2	55	0.671069692315242	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1401	1450	106	2.12	0.435187034620795	2	1	3	0.205276903123016	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1451	1500	67	1.34	0.93917028079392	2	0	2	0.70087334387606	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1501	1550	32	0.64	0.942424142998322	0	0	2	1.47253772343488	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1551	1600	222	4.44	24.3605234352798	1	0	173	5.48660437731527	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1601	1650	10060	201.2	50.8093676080966	218	3	218	0.252531648151574	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1651	1700	210	4.2	0.832993127835043	4	3	5	0.198331697103582	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1701	1750	137	2.74	0.63277813115286	3	1	4	0.230940923778416	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1751	1800	83	1.66	1.08062717994728	2	0	3	0.650980228883905	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1801	1850	122	2.44	0.674914960629584	3	0	3	0.276604492061305	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1851	1900	199	3.98	1.20356612970432	4	2	6	0.302403550176964	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1901	1950	197	3.94	0.934814179941879	4	3	6	0.237262482218751	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	1951	2000	79	1.58	0.78480466827545	1	1	3	0.496711815364209	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2001	2050	57	1.14	0.350509832753866	1	1	2	0.307464765573566	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2051	2100	95	1.9	0.364215679542342	2	1	3	0.191692462917022	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2101	2150	23	0.46	0.645549915868286	0	0	2	1.40336938232236	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2151	2200	313	6.26	3.7786186872551	9	1	9	0.603613208826694	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2201	2250	385	7.7	2.31455024943138	9	2	9	0.300590941484595	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2251	2300	317	6.34	3.8893365469589	8	0	11	0.613460023179638	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2301	2350	411	8.22	4.63478419020734	8	1	17	0.563842358906003	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2351	2400	500	10	1.42857142857143	10	7	13	0.142857142857143	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2401	2450	474	9.48	1.38858318631118	10	6	11	0.146475019653079	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2451	2500	458	9.16	2.09333246674448	9	6	12	0.228529745277782	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2501	2550	538	10.76	3.88907417763967	10	0	16	0.361438120598482	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2551	2600	1094	21.88	14.5232255932576	16	7	52	0.663767166053822	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2601	2650	2559	51.18	5.73101123676427	53	38	59	0.111977554450259	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2651	2700	718	14.36	13.1378251236493	12	0	37	0.91489032894494	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2701	2750	45	0.9	0.303045763365663	1	0	1	0.336717514850737	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2751	2800	16	0.32	0.471212071499161	0	0	1	1.47253772343488	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2801	2850	7	0.14	0.350509832753866	0	0	1	2.50364166252761	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2851	2900	41	0.82	0.388087934491604	1	0	1	0.4732779688922	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2901	2950	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	2951	3000	33	0.66	0.478518120698407	1	0	1	0.725027455603646	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3001	3050	65	1.3	0.505076272276105	1	0	2	0.388520209443158	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3051	3100	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3101	3150	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3151	3200	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3201	3250	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3251	3300	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3301	3350	12	0.24	0.4314191105869	0	0	1	1.79757962744542	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3351	3400	64	1.28	0.453557367611073	1	1	2	0.354341693446151	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3401	3450	19	0.38	0.490314351478015	0	0	1	1.29030092494214	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3451	3500	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3501	3550	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3551	3600	7	0.14	0.350509832753866	0	0	1	2.50364166252761	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3601	3650	39	0.78	0.41845195759648	1	0	1	0.536476868713436	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3651	3700	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3701	3750	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3751	3800	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3801	3850	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3851	3900	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3901	3950	62	1.24	0.715997947779524	1	0	2	0.577417699822197	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	3951	4000	107	2.14	0.606428150765461	2	1	3	0.283377640544608	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4001	4050	74	1.48	0.814160391358572	2	0	2	0.550108372539576	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4051	4100	41	0.82	0.962352559605674	0	0	2	1.17360068244594	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4101	4150	2	0.04	0.197948663722157	0	0	1	4.94871659305394	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4151	4200	47	0.94	0.239897937482095	1	0	1	0.255210571789463	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4201	4250	128	2.56	1.96042477696096	1	0	5	0.765790928500377	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4251	4300	107	2.14	1.9379138794285	3	0	4	0.905567233377805	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4301	4350	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4351	4400	45	0.9	0.303045763365663	1	0	1	0.336717514850737	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4401	4450	39	0.78	0.581693516328638	1	0	2	0.745760918370049	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4451	4500	391	7.82	6.75727876637709	2.5	2	16	0.86410214403799	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4501	4550	373	7.46	7.25402070072388	13	0	15	0.972388833877196	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4551	4600	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4601	4650	178	3.56	4.62980583186988	0	0	10	1.30050725614322	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4651	4700	346	6.92	3.85364921144854	10	1	11	0.556885724197766	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4701	4750	98	1.96	1.14214263378895	2	0	3	0.582725833565793	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4751	4800	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4801	4850	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4851	4900	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4901	4950	10	0.2	0.808122035641769	0	0	4	4.04061017820884	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	4951	5000	178	3.56	1.21487380716967	4	0	4	0.341256687407212	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5001	5050	15	0.3	0.646813224152673	0	0	2	2.15604408050891	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5051	5100	123	2.46	0.761577310586391	3	1	3	0.309584272596094	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5101	5150	14	0.28	0.453557367611073	0	0	1	1.61984774146812	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5151	5200	48	0.96	0.347586430302755	1	0	2	0.362069198232037	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5201	5250	86	1.72	0.640153042925945	2	0	2	0.372182001701131	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5251	5300	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5301	5350	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5351	5400	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5401	5450	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5451	5500	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5501	5550	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5551	5600	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5601	5650	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5651	5700	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5701	5750	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5751	5800	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5801	5850	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5851	5900	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5901	5950	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	5951	6000	10	0.2	0.404061017820884	0	0	1	2.02030508910442	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6001	6050	37	0.74	0.443087497693452	1	0	1	0.598766888774935	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6051	6100	9	0.18	0.388087934491604	0	0	1	2.15604408050891	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6101	6150	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6151	6200	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6201	6250	32	0.64	0.484873221385061	1	0	1	0.757614408414158	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6251	6300	26	0.52	0.504672049504448	1	0	1	0.970523172123939	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6301	6350	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6351	6400	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6401	6450	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6451	6500	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6501	6550	18	0.36	0.484873221385061	0	0	1	1.34687005940295	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6551	6600	57	1.14	0.350509832753866	1	1	2	0.307464765573566	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6601	6650	20	0.4	0.494871659305394	0	0	1	1.23717914826348	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6651	6700	26	0.52	0.504672049504448	1	0	1	0.970523172123939	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6701	6750	21	0.42	0.49856938190329	0	0	1	1.1870699569126	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6751	6800	0	0	0	0	0	0		PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6801	6850	20	0.4	0.494871659305394	0	0	1	1.23717914826348	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
ACCG	LT934125.1	+	6851	6900	32	0.64	0.484873221385061	1	0	1	0.757614408414158	PK-15	12h	12	ACCG_mappedAligned.out.bam	CAGE	PK-15_CAGE_12h	PK-15_CAGE_12h
